N EXPEDIENTE,FECHA,AUX-FECHA,HORA,AUX-HORA,DATE,URI-DATE,HORA INTERVALO,CALLE 1,AUX-CALLE 1,CALLE 2,AUX-CALLE 2,NUMERO,URI-CRUCE,DISTRITO,URI-DISTRITO,TIPO ACCIDENTE,ESTADO METEREOLÓGICO,TIPO VEHÍCULO,AUX-TIPO VEHÍCULO,TIPO PERSONA,AUX-TIPO PERSONA,RANGO DE EDAD,SEXO,AUX-SEXO,LESIVIDAD,URI-PERSONA
2020S000057,01/01/2020,01012020,23:15,2315,2020-01-01T23:15:00Z,01012020-2315,23:00-23:59,AVDA. CIUDAD DE BARCELONA,avda-ciudad-de-barcelona,CALL. DOCTOR ESQUERDO,call-doctor-esquerdo,,avda-ciudad-de-barcelona%call-doctor-esquerdo,RETIRO,retiro,Choque contra obstáculo fijo,Despejado,Turismo,turismo,Conductor,conductor,25-29,Hombre,hombre,,hombre%25-29%conductor%turismo
2020S000038,01/01/2020,01012020,22:35,2235,2020-01-01T22:35:00Z,01012020-2235,22:00-22:59,CALL. VALLE DE TORANZO,call-valle-de-toranzo,CALL. SIERRA DE PAJAREJO,call-sierra-de-pajarejo,,call-valle-de-toranzo%call-sierra-de-pajarejo,MONCLOA-ARAVACA,moncloa-aravaca,Caída,Despejado,Ciclomotor,ciclomotor,Conductor,conductor,21-24,Mujer,mujer,6,mujer%21-24%conductor%ciclomotor%6
2020S000060,01/01/2020,01012020,20:15,2015,2020-01-01T20:15:00Z,01012020-2015,20:00-20:59,GTA. MARIANO SALVADOR MAELLA,gta-mariano-salvador-maella,,,1,gta-mariano-salvador-maella%1,FUENCARRAL-EL PARDO,fuencarral-el-pardo,Caída,Despejado,Turismo,turismo,Conductor,conductor,45-49,Hombre,hombre,14,hombre%45-49%conductor%turismo%14
2020S000060,01/01/2020,01012020,20:15,2015,2020-01-01T20:15:00Z,01012020-2015,20:00-20:59,GTA. MARIANO SALVADOR MAELLA,gta-mariano-salvador-maella,,,1,gta-mariano-salvador-maella%1,FUENCARRAL-EL PARDO,fuencarral-el-pardo,Caída,Despejado,Motocicleta hasta 125cc,motocicleta-hasta-125cc,Conductor,conductor,25-29,Hombre,hombre,7,hombre%25-29%conductor%motocicleta-hasta-125cc%7
2020S000033,01/01/2020,01012020,19:45,1945,2020-01-01T19:45:00Z,01012020-1945,19:00-19:59,CALL. OLIVAR,call-olivar,,,40,call-olivar%40,CENTRO,centro,Choque contra obstáculo fijo,Despejado,Turismo,turismo,Conductor,conductor,,,,,conductor%turismo
2020S000035,01/01/2020,01012020,19:30,1930,2020-01-01T19:30:00Z,01012020-1930,19:00-19:59,CALL. ANTONIO DE LEYVA,call-antonio-de-leyva,CALL. FUENLABRADA,call-fuenlabrada,,call-antonio-de-leyva%call-fuenlabrada,CARABANCHEL,carabanchel,Colisión fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,14,conductor%turismo%14
2020S000035,01/01/2020,01012020,19:30,1930,2020-01-01T19:30:00Z,01012020-1930,19:00-19:59,CALL. ANTONIO DE LEYVA,call-antonio-de-leyva,CALL. FUENLABRADA,call-fuenlabrada,,call-antonio-de-leyva%call-fuenlabrada,CARABANCHEL,carabanchel,Colisión fronto-lateral,Despejado,Motocicleta hasta 125cc,motocicleta-hasta-125cc,Conductor,conductor,21-24,Mujer,mujer,2,mujer%21-24%conductor%motocicleta-hasta-125cc%2
2020S000073,01/01/2020,01012020,18:48,1848,2020-01-01T18:48:00Z,01012020-1848,18:00-18:59,AVDA. PIO XII,avda-pio-xii,,,81,avda-pio-xii%81,CHAMARTÍN,chamartin,Atropello a persona,Despejado,Turismo,turismo,Conductor,conductor,55-59,Hombre,hombre,14,hombre%55-59%conductor%turismo%14
2020S000073,01/01/2020,01012020,18:48,1848,2020-01-01T18:48:00Z,01012020-1848,18:00-18:59,AVDA. PIO XII,avda-pio-xii,,,81,avda-pio-xii%81,CHAMARTÍN,chamartin,Atropello a persona,Despejado,Turismo,turismo,Peatón,peaton,18-20,Hombre,hombre,7,hombre%18-20%peaton%turismo%7
2020S000067,01/01/2020,01012020,18:40,1840,2020-01-01T18:40:00Z,01012020-1840,18:00-18:59,PLAZA. BEATA MARIA ANA DE JESUS,plaza-beata-maria-ana-de-jesus,PASEO. DELICIAS,paseo-delicias,,plaza-beata-maria-ana-de-jesus%paseo-delicias,ARGANZUELA,arganzuela,Caída,,Turismo,turismo,Conductor,conductor,55-59,Hombre,hombre,14,hombre%55-59%conductor%turismo%14
2020S000067,01/01/2020,01012020,18:40,1840,2020-01-01T18:40:00Z,01012020-1840,18:00-18:59,PLAZA. BEATA MARIA ANA DE JESUS,plaza-beata-maria-ana-de-jesus,PASEO. DELICIAS,paseo-delicias,,plaza-beata-maria-ana-de-jesus%paseo-delicias,ARGANZUELA,arganzuela,Caída,,Motocicleta hasta 125cc,motocicleta-hasta-125cc,Conductor,conductor,35-39,Hombre,hombre,14,hombre%35-39%conductor%motocicleta-hasta-125cc%14
2020S000063,01/01/2020,01012020,16:46,1646,2020-01-01T16:46:00Z,01012020-1646,16:00-16:59,CALL. BAHIA DE ALGECIRAS,call-bahia-de-algeciras,CALL. UBRIQUE,call-ubrique,,call-bahia-de-algeciras%call-ubrique,HORTALEZA,hortaleza,Colisión fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,40-44,Mujer,mujer,,mujer%40-44%conductor%turismo
2020S000063,01/01/2020,01012020,16:46,1646,2020-01-01T16:46:00Z,01012020-1646,16:00-16:59,CALL. BAHIA DE ALGECIRAS,call-bahia-de-algeciras,CALL. UBRIQUE,call-ubrique,,call-bahia-de-algeciras%call-ubrique,HORTALEZA,hortaleza,Colisión fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,30-34,Hombre,hombre,,hombre%30-34%conductor%turismo
2020S000063,01/01/2020,01012020,16:46,1646,2020-01-01T16:46:00Z,01012020-1646,16:00-16:59,CALL. BAHIA DE ALGECIRAS,call-bahia-de-algeciras,CALL. UBRIQUE,call-ubrique,,call-bahia-de-algeciras%call-ubrique,HORTALEZA,hortaleza,Colisión fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,conductor%turismo
2020S000030,01/01/2020,01012020,16:30,1630,2020-01-01T16:30:00Z,01012020-1630,16:00-16:59,AVDA. SAN DIEGO,avda-san-diego,AVDA. MONTE IGUELDO,avda-monte-igueldo,,avda-san-diego%avda-monte-igueldo,PUENTE DE VALLECAS,puente-de-vallecas,Colisión fronto-lateral,Despejado,Furgoneta,furgoneta,Conductor,conductor,45-49,Hombre,hombre,14,hombre%45-49%conductor%furgoneta%14
2020S000030,01/01/2020,01012020,16:30,1630,2020-01-01T16:30:00Z,01012020-1630,16:00-16:59,AVDA. SAN DIEGO,avda-san-diego,AVDA. MONTE IGUELDO,avda-monte-igueldo,,avda-san-diego%avda-monte-igueldo,PUENTE DE VALLECAS,puente-de-vallecas,Colisión fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,35-39,Hombre,hombre,2,hombre%35-39%conductor%turismo%2
2020S000030,01/01/2020,01012020,16:30,1630,2020-01-01T16:30:00Z,01012020-1630,16:00-16:59,AVDA. SAN DIEGO,avda-san-diego,AVDA. MONTE IGUELDO,avda-monte-igueldo,,avda-san-diego%avda-monte-igueldo,PUENTE DE VALLECAS,puente-de-vallecas,Colisión fronto-lateral,Despejado,Turismo,turismo,Pasajero,pasajero,40-44,Hombre,hombre,2,hombre%40-44%pasajero%turismo%2
2020S000030,01/01/2020,01012020,16:30,1630,2020-01-01T16:30:00Z,01012020-1630,16:00-16:59,AVDA. SAN DIEGO,avda-san-diego,AVDA. MONTE IGUELDO,avda-monte-igueldo,,avda-san-diego%avda-monte-igueldo,PUENTE DE VALLECAS,puente-de-vallecas,Colisión fronto-lateral,Despejado,Turismo,turismo,Pasajero,pasajero,45-49,Mujer,mujer,2,mujer%45-49%pasajero%turismo%2
2020S000061,01/01/2020,01012020,15:50,1550,2020-01-01T15:50:00Z,01012020-1550,15:00-15:59,AVDA. VIRGEN DEL CARMEN,avda-virgen-del-carmen,,,1,avda-virgen-del-carmen%1,HORTALEZA,hortaleza,Colisión fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,21-24,Hombre,hombre,14,hombre%21-24%conductor%turismo%14
2020S000061,01/01/2020,01012020,15:50,1550,2020-01-01T15:50:00Z,01012020-1550,15:00-15:59,AVDA. VIRGEN DEL CARMEN,avda-virgen-del-carmen,,,1,avda-virgen-del-carmen%1,HORTALEZA,hortaleza,Colisión fronto-lateral,Despejado,Turismo,turismo,Pasajero,pasajero,18-20,Mujer,mujer,,mujer%18-20%pasajero%turismo
2020S000061,01/01/2020,01012020,15:50,1550,2020-01-01T15:50:00Z,01012020-1550,15:00-15:59,AVDA. VIRGEN DEL CARMEN,avda-virgen-del-carmen,,,1,avda-virgen-del-carmen%1,HORTALEZA,hortaleza,Colisión fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,conductor%turismo
2020S000061,01/01/2020,01012020,15:50,1550,2020-01-01T15:50:00Z,01012020-1550,15:00-15:59,AVDA. VIRGEN DEL CARMEN,avda-virgen-del-carmen,,,1,avda-virgen-del-carmen%1,HORTALEZA,hortaleza,Colisión fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,conductor%turismo
