N EXPEDIENTE,FECHA,HORA,DATE,HORA INTERVALO,CALLE 1,AUX-CALLE 1,CALLE 2,AUX-CALLE 2,NUMERO,CRUCE LABEL,URI-CRUCE,DISTRITO,URI-DISTRITO-Wikidata,URI-DISTRITO,TIPO ACCIDENTE,URI-TIPO ACCIDENTE,ESTADO METEREOLÓGICO,TIPO VEHÍCULO,URI-TIPO VEHÍCULO,TIPO PERSONA,URI-TIPO PERSONA,RANGO DE EDAD,SEXO,URI-SEXO,URI-PERSONA,LESIVIDAD,PERSONA LABEL
2020S000067,01/01/2020,18:40,2020-01-01T18:40:00Z,18:00-18:59,PLAZA. BEATA MARIA ANA DE JESUS,plaza-beata-maria-ana-de-jesus,PASEO. DELICIAS,paseo-delicias,,PLAZA.BEATAMARIAANADEJESUS-PASEO.DELICIAS,plaza-beata-maria-ana-de-jesus%paseo-delicias,Arganzuela,https://www.wikidata.org/wiki/Q2000929,arganzuela,Caída,caída,,Motocicleta hasta 125cc,motocicleta-hasta-125cc,Conductor,conductor,35-39,Hombre,hombre,hombre%35-39%14,14,Hombre entre 35 y 39 años
2020S000063,01/01/2020,16:46,2020-01-01T16:46:00Z,16:00-16:59,CALL. BAHIA DE ALGECIRAS,call-bahia-de-algeciras,CALL. UBRIQUE,call-ubrique,,CALL.BAHIADEALGECIRAS-CALL.UBRIQUE,call-bahia-de-algeciras%call-ubrique,Hortaleza,https://www.wikidata.org/wiki/Q1928529,hortaleza,Colisión fronto-lateral,colisión-fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,40-44,Mujer,mujer,mujer%40-44,,Mujer entre 40 y 44 años
2020S000063,01/01/2020,16:46,2020-01-01T16:46:00Z,16:00-16:59,CALL. BAHIA DE ALGECIRAS,call-bahia-de-algeciras,CALL. UBRIQUE,call-ubrique,,CALL.BAHIADEALGECIRAS-CALL.UBRIQUE,call-bahia-de-algeciras%call-ubrique,Hortaleza,https://www.wikidata.org/wiki/Q1928529,hortaleza,Colisión fronto-lateral,colisión-fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,30-34,Hombre,hombre,hombre%30-34,,Hombre entre 30 y 34 años
2020S000063,01/01/2020,16:46,2020-01-01T16:46:00Z,16:00-16:59,CALL. BAHIA DE ALGECIRAS,call-bahia-de-algeciras,CALL. UBRIQUE,call-ubrique,,CALL.BAHIADEALGECIRAS-CALL.UBRIQUE,call-bahia-de-algeciras%call-ubrique,Hortaleza,https://www.wikidata.org/wiki/Q1928529,hortaleza,Colisión fronto-lateral,colisión-fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,,
2020S000030,01/01/2020,16:30,2020-01-01T16:30:00Z,16:00-16:59,AVDA. SAN DIEGO,avda-san-diego,AVDA. MONTE IGUELDO,avda-monte-igueldo,,AVDA.SANDIEGO-AVDA.MONTEIGUELDO,avda-san-diego%avda-monte-igueldo,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,puente-de-vallecas,Colisión fronto-lateral,colisión-fronto-lateral,Despejado,Furgoneta,furgoneta,Conductor,conductor,45-49,Hombre,hombre,hombre%45-49%14,14,Hombre entre 45 y 49 años
2020S000030,01/01/2020,16:30,2020-01-01T16:30:00Z,16:00-16:59,AVDA. SAN DIEGO,avda-san-diego,AVDA. MONTE IGUELDO,avda-monte-igueldo,,AVDA.SANDIEGO-AVDA.MONTEIGUELDO,avda-san-diego%avda-monte-igueldo,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,puente-de-vallecas,Colisión fronto-lateral,colisión-fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,35-39,Hombre,hombre,hombre%35-39%2,2,Hombre entre 35 y 39 años
2020S000030,01/01/2020,16:30,2020-01-01T16:30:00Z,16:00-16:59,AVDA. SAN DIEGO,avda-san-diego,AVDA. MONTE IGUELDO,avda-monte-igueldo,,AVDA.SANDIEGO-AVDA.MONTEIGUELDO,avda-san-diego%avda-monte-igueldo,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,puente-de-vallecas,Colisión fronto-lateral,colisión-fronto-lateral,Despejado,Turismo,turismo,Pasajero,pasajero,40-44,Hombre,hombre,hombre%40-44%2,2,Hombre entre 40 y 44 años
2020S000030,01/01/2020,16:30,2020-01-01T16:30:00Z,16:00-16:59,AVDA. SAN DIEGO,avda-san-diego,AVDA. MONTE IGUELDO,avda-monte-igueldo,,AVDA.SANDIEGO-AVDA.MONTEIGUELDO,avda-san-diego%avda-monte-igueldo,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,puente-de-vallecas,Colisión fronto-lateral,colisión-fronto-lateral,Despejado,Turismo,turismo,Pasajero,pasajero,45-49,Mujer,mujer,mujer%45-49%2,2,Mujer entre 45 y 49 años
2020S000061,01/01/2020,15:50,2020-01-01T15:50:00Z,15:00-15:59,AVDA. VIRGEN DEL CARMEN,avda-virgen-del-carmen,,,1,AVDA. VIRGEN DEL CARMEN  - 1,avda-virgen-del-carmen%1,Hortaleza,https://www.wikidata.org/wiki/Q1928529,hortaleza,Colisión fronto-lateral,colisión-fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,21-24,Hombre,hombre,hombre%21-24%14,14,Hombre entre 21 y 24 años
2020S000061,01/01/2020,15:50,2020-01-01T15:50:00Z,15:00-15:59,AVDA. VIRGEN DEL CARMEN,avda-virgen-del-carmen,,,1,AVDA. VIRGEN DEL CARMEN  - 1,avda-virgen-del-carmen%1,Hortaleza,https://www.wikidata.org/wiki/Q1928529,hortaleza,Colisión fronto-lateral,colisión-fronto-lateral,Despejado,Turismo,turismo,Pasajero,pasajero,18-20,Mujer,mujer,mujer%18-20,,Mujer entre 18 y 20 años
2020S000061,01/01/2020,15:50,2020-01-01T15:50:00Z,15:00-15:59,AVDA. VIRGEN DEL CARMEN,avda-virgen-del-carmen,,,1,AVDA. VIRGEN DEL CARMEN  - 1,avda-virgen-del-carmen%1,Hortaleza,https://www.wikidata.org/wiki/Q1928529,hortaleza,Colisión fronto-lateral,colisión-fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,,
2020S000061,01/01/2020,15:50,2020-01-01T15:50:00Z,15:00-15:59,AVDA. VIRGEN DEL CARMEN,avda-virgen-del-carmen,,,1,AVDA. VIRGEN DEL CARMEN  - 1,avda-virgen-del-carmen%1,Hortaleza,https://www.wikidata.org/wiki/Q1928529,hortaleza,Colisión fronto-lateral,colisión-fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,,
2020S000061,01/01/2020,15:50,2020-01-01T15:50:00Z,15:00-15:59,AVDA. VIRGEN DEL CARMEN,avda-virgen-del-carmen,,,1,AVDA. VIRGEN DEL CARMEN  - 1,avda-virgen-del-carmen%1,Hortaleza,https://www.wikidata.org/wiki/Q1928529,hortaleza,Colisión fronto-lateral,colisión-fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,,
2020S000229,01/01/2020,15:00,2020-01-01T15:00:00Z,15:00-15:59,CALL. ARGÜESO,call-argüeso,,,31,CALL. ARGÜESO  - 31,call-argüeso%31,Carabanchel,https://www.wikidata.org/wiki/Q1001991,carabanchel,Colisión lateral,colisión-lateral,Despejado,Turismo,turismo,Conductor,conductor,50-54,Hombre,hombre,hombre%50-54%6,6,Hombre entre 50 y 54 años
