identifier,modified,PuntoMuestreo,Latitud,Longitud,nºEstación,Fecha,Olor,Sabor,Turbidez,Color,Conductividad,pH,Oxidabilidad,CloroLibre,Al,Fe,Cr,Ni,Pb,BacteriasColiformes,eColi,BacteriasAerobias,ClostridiumPerfringes,uri,WQProperties,PhysicalSamples,PhysicalObservedProperties,BacteriologicalSamples,Observation,QualitiveSamples
N4-13-000974,2020-10-30T23:16:11Z,ETAP LLEGADA,0,0,0,2013-03-19,0.0,0.0,0.92,5,319,7.71,1.0,0.0,106,,,,,630,160.0,420.0,17.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000974.csv,46,46,46,46,46,46
N4-13-000980,2020-10-30T23:16:11Z,SALIDA PLANTA SANTANDER,43.347135,-4.012846,0,2013-03-19,0.0,0.0,0.42,< 5,322,7.59,0.0,0.95,,,,,,,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000980.csv,47,47,47,47,47,47
N4-13-000988,2020-10-30T23:16:11Z,CUENCO N1 DEPOSITO DE PRONILLO,43.46214,-3.833346,0,2013-03-19,0.0,0.0,0.37,< 5,332,7.72,0.6,0.5,,,,,,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000988.csv,48,48,48,48,48,48
N4-13-000990,2020-10-30T23:16:11Z,GRIFO VIRTUAL,0,0,0,2013-03-19,0.0,0.0,0.36,< 5,333,7.74,0.6,0.51,,24,< 1,1,7,< 1,6,0,0.0,0.00000,49,49,49,49,49,49
N4-13-000979,2020-10-30T23:16:11Z,SALIDA DE LA ETAP,0,0,0,2013-03-19,0.0,0.0,0.52,< 5,309,7.51,0.6,1.0,79,,,,,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000979.csv,50,50,50,50,50,50
N4-13-000982,2020-10-30T23:16:11Z,FUENTE PARQUE MARIA BLANCHARD,43.4216,-3.841685,0,2013-03-19,0.0,0.0,0.45,< 5,316,7.67,0.6,0.64,,,,,,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000982.csv,51,51,51,51,51,51
N4-13-000983,2020-10-30T23:16:11Z,MONTE,43.470032,-3.827248,0,2013-03-19,0.0,0.0,0.38,< 5,329,7.7,0.6,0.6,,,,,,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000983.csv,52,52,52,52,52,52
N4-13-000987,2020-10-30T23:16:11Z,SAN ROMAN-VIRGEN DEL MAR,43.471475,-3.869498,0,2013-03-19,0.0,0.0,0.08,< 5,362,8.42,0.6,0.18,,,,,,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000987.csv,53,53,53,53,53,53
N4-13-000969,2020-10-30T23:16:11Z,SAN ROMAN,43.304772,-3.912069,1,2013-03-18,0.0,0.0,0.16,< 5,343,7.68,0.4,0.6,,,,,,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000969.csv,54,54,54,54,54,54
N4-13-000970,2020-10-30T23:16:11Z,PENACASTILLO,43.449922,-3.852689,3,2013-03-18,0.0,0.0,0.3,< 5,337,7.64,0.4,0.61,,,,,,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000970.csv,55,55,55,55,55,55
N4-13-000967,2020-10-30T23:16:11Z,CUETO,43.483296,-3.797606,6,2013-03-18,0.0,0.0,0.17,< 5,346,7.75,0.4,0.6,,,,,,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000967.csv,56,56,56,56,56,56
N4-13-000966,2020-10-30T23:16:11Z,BARRIO PESQUERO,43.450632,-3.819569,5,2013-03-18,0.0,0.0,0.21,< 5,343,7.81,0.4,0.58,,,,,,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000966.csv,57,57,57,57,57,57
N4-13-000964,2020-10-30T23:16:11Z,SALIDA PLANTA SANTANDER,43.347135,-4.012846,0,2013-03-18,0.0,0.0,0.45,< 5,330,7.54,0.0,0.88,,,,,,,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000964.csv,59,59,59,59,59,59
N4-13-000973,2020-10-30T23:16:11Z,GRIFO VIRTUAL,0,0,0,2013-03-18,0.0,0.0,0.15,< 5,348,7.68,0.5,0.47,,16,< 1,9,2,2,1,0,0.0,0.00000,60,60,60,60,60,60
N4-13-000963,2020-10-30T23:16:11Z,SALIDA DE LA ETAP,0,0,0,2013-03-18,0.0,0.0,0.42,< 5,339,7.5,0.4,0.87,88,,,,,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000963.csv,61,61,61,61,61,61
N4-13-000965,2020-10-30T23:16:11Z,FUENTE FRENTE CORMORAN,43.477683,-3.7881,0,2013-03-18,0.0,0.0,0.3,< 5,333,7.81,0.5,0.43,,,,,,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000965.csv,62,62,62,62,62,62
N4-13-000968,2020-10-30T23:16:11Z,CUETO GRIFO CEMENTERIO,43.483533,-3.8055,0,2013-03-18,0.0,0.0,0.18,< 5,354,7.73,0.4,0.45,,,,,,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000968.csv,63,63,63,63,63,63
N4-13-000972,2020-10-30T23:16:11Z,CACICEDO (GOFRIS),43.43322,-3.871269,0,2013-03-18,0.0,0.0,0.42,< 5,339,7.5,0.4,0.87,,,,,,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000972.csv,64,64,64,64,64,64
N4-13-000971,2020-10-30T23:16:11Z,PM RED PARBAYON,43.375544,-3.891588,0,2013-03-18,0.0,0.0,0.42,< 5,339,7.5,0.4,0.87,,,,,,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000971.csv,65,65,65,65,65,65
