Nombre_distrito,NombreDistritoURI,Num_Distrito,NOMBRE_ESPECIE,Num_Unidades
Centro,Centro,1,Ligustrum japonicum 'variegata',300
Centro,Centro,1,Robinia pseudoacacia,320
Centro,Centro,1,Prunus cerasifera subsp. Pissartii,348
Centro,Centro,1,Ulmus pumila,367
Centro,Centro,1,Aesculus hippocastanum,510
Centro,Centro,1,Platanus x hybrida,1367
Centro,Centro,1,Sophora japonica,1585
Centro,Centro,1,Ligustrum japonicum,2646
Arganzuela,Arganzuela,2,Prunus cerasifera pisardii,717
Arganzuela,Arganzuela,2,Melia azedarach,1047
Arganzuela,Arganzuela,2,Acer negundo,1205
Arganzuela,Arganzuela,2,Robinia pseudoacacia,1275
Arganzuela,Arganzuela,2,Ligustrum japonicum,1284
Arganzuela,Arganzuela,2,Ulmus pumila,1298
Arganzuela,Arganzuela,2,Pinus pinea,1371
Arganzuela,Arganzuela,2,Celtis australis,1434
Arganzuela,Arganzuela,2,Sophora japonica,2414
Arganzuela,Arganzuela,2,Platanus x hybrida,3428
Retiro,Retiro,3,Prunus cerasifera subsp. Pissartii,299
Retiro,Retiro,3,Aesculus hippocastanum,303
Retiro,Retiro,3,Liquidambar styraciflua,328
Retiro,Retiro,3,Cupressus arizonica,344
Retiro,Retiro,3,Cupressus sempervirens,418
Retiro,Retiro,3,Celtis australis,432
Retiro,Retiro,3,Cupressocyparis leilandii,455
Retiro,Retiro,3,Robinia pseudoacacia,487
Retiro,Retiro,3,Pinus pinea,892
Retiro,Retiro,3,Ligustrum japonicum,981
Retiro,Retiro,3,Ulmus pumila,1948
Retiro,Retiro,3,Sophora japonica,2297
Retiro,Retiro,3,Platanus x hybrida,2585
Salamanca,Salamanca,4,Populus alba 'bolleana',361
Salamanca,Salamanca,4,Acer negundo,404
Salamanca,Salamanca,4,Prunus cerasifera pisardii,545
Salamanca,Salamanca,4,Robinia pseudoacacia,581
Salamanca,Salamanca,4,Aesculus hippocastanum,667
Salamanca,Salamanca,4,Ulmus pumila,912
Salamanca,Salamanca,4,Pinus pinea,928
Salamanca,Salamanca,4,Ligustrum japonicum,1854
Salamanca,Salamanca,4,Platanus x hybrida,2497
Salamanca,Salamanca,4,Sophora japonica,5921
CHAMARTÍN,Chamartín,5,Populus alba 'bolleana',598
CHAMARTÍN,Chamartín,5,Aesculus hippocastanum,645
CHAMARTÍN,Chamartín,5,Melia azedarach,722
CHAMARTÍN,Chamartín,5,Ligustrum japonicum,938
CHAMARTÍN,Chamartín,5,Prunus cerasifera pisardii,971
CHAMARTÍN,Chamartín,5,Celtis australis,1146
CHAMARTÍN,Chamartín,5,Robinia pseudoacacia,1164
CHAMARTÍN,Chamartín,5,Pinus pinea,1344
CHAMARTÍN,Chamartín,5,Ulmus pumila,2611
CHAMARTÍN,Chamartín,5,Sophora japonica,3744
CHAMARTÍN,Chamartín,5,Platanus x hybrida,6080
TETUÁN,Tetuán,6,Cupressus sempervirens,423
TETUÁN,Tetuán,6,Celtis australis,455
TETUÁN,Tetuán,6,Aesculus hippocastanum,466
TETUÁN,Tetuán,6,Melia azedarach,507
TETUÁN,Tetuán,6,Sophora japonica,522
TETUÁN,Tetuán,6,Pinus pinea,529
TETUÁN,Tetuán,6,Prunus cerasifera pisardii,731
TETUÁN,Tetuán,6,Ulmus pumila,821
TETUÁN,Tetuán,6,Ligustrum japonicum,925
TETUÁN,Tetuán,6,Platanus x hybrida,4519
CHAMBERÍ,Chamberí,7,Pinus pinea,167
CHAMBERÍ,Chamberí,7,Cercis siliquastrum,183
CHAMBERÍ,Chamberí,7,Prunus cerasifera pisardii,252
CHAMBERÍ,Chamberí,7,Koelreuteria paniculata,261
CHAMBERÍ,Chamberí,7,Aesculus hippocastanum,267
CHAMBERÍ,Chamberí,7,Melia azedarach,276
CHAMBERÍ,Chamberí,7,Robinia pseudoacacia,332
CHAMBERÍ,Chamberí,7,Ligustrum japonicum,639
CHAMBERÍ,Chamberí,7,Celtis australis,677
CHAMBERÍ,Chamberí,7,Ulmus pumila,875
CHAMBERÍ,Chamberí,7,Platanus x hybrida,1696
CHAMBERÍ,Chamberí,7,Sophora japonica,5807
FUENCARRAL - EL PARDO,FuencarralElPardo,8,Ligustrum japonicum,1046
FUENCARRAL - EL PARDO,FuencarralElPardo,8,Cupressus sempervirens,1196
FUENCARRAL - EL PARDO,FuencarralElPardo,8,Morus alba,1381
