Nombre_distrito,NombreDistritoURI,dbpedia:Distrito,Num_Distrito,NOMBRE_ESPECIE,NombreEspecieURI,dbpedia:Especie,Num_Unidades
Centro,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),1,LigustrumÂ japonicumÂ 'variegata',Ligustrum japonicum,http://dbpedia.org/resource/Ligustrum_japonicum,300
Centro,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),1,Robinia pseudoacacia,Robinia pseudoacacia,http://dbpedia.org/resource/Robinia_pseudoacacia,320
Centro,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),1,Prunus cerasifera subsp. Pissartii,Prunus cerasifera,http://dbpedia.org/resource/Prunus_cerasifera,348
Centro,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),1,Ulmus pumila,Ulmus pumila,http://dbpedia.org/resource/Ulmus_pumila,367
Centro,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),1,Aesculus hippocastanum,Aesculus hippocastanum,http://dbpedia.org/resource/Aesculus_hippocastanum,510
Centro,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),1,Platanus x hybrida,Platanus hybrida,http://dbpedia.org/resource/Platanus_hybrida,1367
Centro,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),1,Sophora japonica,Sophora japonica,http://dbpedia.org/resource/Sophora_japonica,1585
Centro,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),1,Ligustrum japonicum,Ligustrum japonicum,http://dbpedia.org/resource/Ligustrum_japonicum,2646
Arganzuela,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Prunus cerasifera pisardii,Prunus cerasifera,http://dbpedia.org/resource/Cherry_plum,717
Arganzuela,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Melia azedarach,Melia azedarach,http://dbpedia.org/resource/Melia_azedarach,1047
Arganzuela,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Acer negundo,Acer negundo,http://dbpedia.org/resource/Acer_negundo,1205
Arganzuela,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Robinia pseudoacacia,Robinia pseudoacacia,http://dbpedia.org/resource/Robinia_pseudoacacia,1275
Arganzuela,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Ligustrum japonicum,Ligustrum japonicum,http://dbpedia.org/resource/Ligustrum_japonicum,1284
Arganzuela,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Ulmus pumila,Ulmus pumila,http://dbpedia.org/resource/Ulmus_pumila,1298
Arganzuela,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Pinus pinea,Pinus pinea,http://dbpedia.org/resource/Pinus_pinea,1371
Arganzuela,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Celtis australis,Celtis australis,http://dbpedia.org/resource/Celtis_australis,1434
Arganzuela,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Sophora japonica,Sophora japonica,http://dbpedia.org/resource/Sophora_japonica,2414
Arganzuela,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Platanus x hybrida,Platanus hybrida,http://dbpedia.org/resource/Platanus_hybrida,3428
Retiro,Retiro (Madrid),http://dbpedia.org/resource/Category:Retiro_(Madrid),3,Prunus cerasifera subsp. Pissartii,Prunus cerasifera,http://dbpedia.org/resource/Prunus_cerasifera,299
Retiro,Retiro (Madrid),http://dbpedia.org/resource/Category:Retiro_(Madrid),3,Aesculus hippocastanum,Aesculus hippocastanum,http://dbpedia.org/resource/Aesculus_hippocastanum,303
Retiro,Retiro (Madrid),http://dbpedia.org/resource/Category:Retiro_(Madrid),3,Liquidambar styraciflua,Liquidambar styraciflua,http://dbpedia.org/resource/Liquidambar_styraciflua,328
Retiro,Retiro (Madrid),http://dbpedia.org/resource/Category:Retiro_(Madrid),3,Cupressus arizonica,Cupressus arizonica,http://dbpedia.org/resource/Cupressus_arizonica,344
Retiro,Retiro (Madrid),http://dbpedia.org/resource/Category:Retiro_(Madrid),3,Cupressus sempervirens,Cupressus sempervirens,http://dbpedia.org/resource/Cupressus_sempervirens,418
Retiro,Retiro (Madrid),http://dbpedia.org/resource/Category:Retiro_(Madrid),3,Celtis australis,Celtis australis,http://dbpedia.org/resource/Celtis_australis,432
Retiro,Retiro (Madrid),http://dbpedia.org/resource/Category:Retiro_(Madrid),3,Cupressocyparis leilandii,Cupressocyparis leylandii,http://dbpedia.org/resource/Cupressocyparis_leylandii,455
