PARQUE,ParqueURI,ESPECIE,EspecieURI,UNIDADES 2019
Capricho De La Alameda De Osuna,CaprichoDeLaAlamedaDeOsuna,Aesculus hippocastanum,AesculusHippocastanum,79
Capricho De La Alameda De Osuna,CaprichoDeLaAlamedaDeOsuna,Otros,Otros,1273
Cuña Verde De O´donnell Y P. F. Fuente Carrantona,CuñaVerdeDeO´donnellYP.F.FuenteCarrantona,Pinus halepensis,PinusHalepensis,3228
Cuña Verde De O´donnell Y P. F. Fuente Carrantona,CuñaVerdeDeO´donnellYP.F.FuenteCarrantona,Pinus pinea,PinusPinea,2786
Cuña Verde De O´donnell Y P. F. Fuente Carrantona,CuñaVerdeDeO´donnellYP.F.FuenteCarrantona,Celtis australis,CeltisAustralis,1040
Cuña Verde De O´donnell Y P. F. Fuente Carrantona,CuñaVerdeDeO´donnellYP.F.FuenteCarrantona,Quercus ilex,QuercusIlex,833
Cuña Verde De O´donnell Y P. F. Fuente Carrantona,CuñaVerdeDeO´donnellYP.F.FuenteCarrantona,Cedrus deodara,CedrusDeodara,494
Cuña Verde De O´donnell Y P. F. Fuente Carrantona,CuñaVerdeDeO´donnellYP.F.FuenteCarrantona,Ulmus pumila,UlmusPumila,395
Cuña Verde De O´donnell Y P. F. Fuente Carrantona,CuñaVerdeDeO´donnellYP.F.FuenteCarrantona,Platanus orientalis,PlatanusOrientalis,393
Cuña Verde De O´donnell Y P. F. Fuente Carrantona,CuñaVerdeDeO´donnellYP.F.FuenteCarrantona,Quercus robur,QuercusRobur,357
Cuña Verde De O´donnell Y P. F. Fuente Carrantona,CuñaVerdeDeO´donnellYP.F.FuenteCarrantona,Cupressocyparis leylandii,CupressocyparisLeylandii,255
Cuña Verde De O´donnell Y P. F. Fuente Carrantona,CuñaVerdeDeO´donnellYP.F.FuenteCarrantona,Platanus hybrida,PlatanusHybrida,254
Cuña Verde De O´donnell Y P. F. Fuente Carrantona,CuñaVerdeDeO´donnellYP.F.FuenteCarrantona,Otros,Otros,3403
Dehesa De La Villa,DehesaDeLaVilla,Pinus pinea,PinusPinea,4904
Dehesa De La Villa,DehesaDeLaVilla,Pinus halepensis,PinusHalepensis,742
Dehesa De La Villa,DehesaDeLaVilla,Prunus dulcis,PrunusDulcis,578
Dehesa De La Villa,DehesaDeLaVilla,Ulmus pumila,UlmusPumila,271
Dehesa De La Villa,DehesaDeLaVilla,Quercus ilex,QuercusIlex,218
Dehesa De La Villa,DehesaDeLaVilla,Ailanthus altissima,AilanthusAltissima,205
Dehesa De La Villa,DehesaDeLaVilla,Fraxinus angustifolia,FraxinusAngustifolia,164
Dehesa De La Villa,DehesaDeLaVilla,Platanus x hybrida,PlatanusXHybrida,144
Dehesa De La Villa,DehesaDeLaVilla,Gleditsia triacanthos,GleditsiaTriacanthos,131
Dehesa De La Villa,DehesaDeLaVilla,Celtis australis,CeltisAustralis,115
Dehesa De La Villa,DehesaDeLaVilla,Otros,Otros,1200
Z.V.Distrito C-las Tablas,Z.V.DistritoC-lasTablas,Pinus pinea,PinusPinea,400
Z.V.Distrito C-las Tablas,Z.V.DistritoC-lasTablas,Celtis australis,CeltisAustralis,315
