Nº DISTRITO;DISTRITO;ESPECIE PREDOMINANTE;Unidades;Superficie Masa Forestal m2
1;CENTRO;;0;0
2;ARGANZUELA;;0;0
3;RETIRO;Pinus pinea;13;486,11223
4;SALAMANCA;Cupresus arizonica;65;2406,400183
5;CHAMARTÍN;;0;0
6;TETUÁN;Pinus halepensis;3310;88674,20597
7;CHAMBERÍ;;0;0
8;FUENCARRAL - EL PARDO;Pinus pinea;33826;917797,3589
9;MONCLOA-ARAVACA;Pinus pinea;36334;601214,6035
10;LATINA;Pinus pinea;33127;645468,5313
11;CARABANCHEL;Pinus halepensis;28160;291401,3404
12;USERA;;0;0
13;PUENTE DE VALLECAS;Pinus halepensis;30068;687419,1454
14;MORATALAZ;Pinus halepensis;4452;102469,0414
15;CIUDAD LINEAL;Pinus halepensis;6973;159248,0262
16;HORTALEZA;Pinus pinea;30819;805070,8046
17;VILLAVERDE;Pinus pinea;13816;406414,0133
18;VILLA DE VALLECAS;Pinus halepensis;40785;634922,3204
19;VICÁLVARO;Pinus halepensis;16232;430813,5629
20;SAN BLAS - CANILLEJAS;Pinus pinea;6480;452323,662
21;BARAJAS;Pinus halepensis;2102;222432,4251
