PARQUE;ESPECIE;UNIDADES 2019;;;
QUINTA DE LOS MOLINOS;Prunus dulcis;1674;;;
QUINTA DE LOS MOLINOS;Pinus halepensis;1313;;;
QUINTA DE LOS MOLINOS;Cupressus sempervirens;609;;;
QUINTA DE LOS MOLINOS;Pinus pinea;462;;;
QUINTA DE LOS MOLINOS;Eucalyptus sp;401;;;
QUINTA DE LOS MOLINOS;Platanus x hybrida;277;;;
QUINTA DE LOS MOLINOS;Ulmus sp;253;;;
QUINTA DE LOS MOLINOS;Cedrus deodara;249;;;
QUINTA DE LOS MOLINOS;Gleditsia triacanthos;220;;;
QUINTA DE LOS MOLINOS;Ligustrum japonicum;178;;;
QUINTA DE LOS MOLINOS;Otros;1503;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Pinus pinea;1205;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Sophora japonica;830;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Platanus x hybrida;627;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Ligustrum japonicum;508;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Pinus halepensis;372;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Populus alba 'bolleana';369;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Cedrus deodara;357;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Prunus cerasifera subsp. Pissartii;317;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Celtis australis;288;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Cedrus atlantica;268;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Otros;2490;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Cedrus deodara;55;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Acer negundo;18;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Prunus cerasifera pisardii;7;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Thuja occidentalis;7;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Populus alba bolleana;5;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Ligustrum japonicum;3;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Quercus robur;3;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Betula utilis;2;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Cedrus libani;2;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Cedrus atlantica 'Glauca';2;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);OTROS;11;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Platanus x hybrida;127;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Ligustrum lucidum;39;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cupressus sempervirens;33;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Taxus baccata;30;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Magnolia grandiflora;9;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cedrus deodara;8;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cupressus macrocarpa;7;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Pinus halepensis;1;;;
PARQUE LINEAL DEL MANZANARES;Populus nigra (Chopo negro);3961;;;
PARQUE LINEAL DEL MANZANARES;Pinus pinea (Pino piñonero);3143;;;
PARQUE LINEAL DEL MANZANARES;Celtis australis (Almez);2105;;;
PARQUE LINEAL DEL MANZANARES;Fraxinus angustifolia (Fresno de la tierra);1128;;;
PARQUE LINEAL DEL MANZANARES;Platanus hybrida (Platano de sombra);634;;;
PARQUE LINEAL DEL MANZANARES;Olea europaea (Olivo);499;;;
PARQUE LINEAL DEL MANZANARES;Salix alba (Sauce blanco);446;;;
PARQUE LINEAL DEL MANZANARES;Cupressus sempervirens (Cipres comun);409;;;
PARQUE LINEAL DEL MANZANARES;Tilia platyphyllos (Tilo de hojas grandes);271;;;
PARQUE LINEAL DEL MANZANARES;Gleditsia triacanthos (Acacia de tres espinas);250;;;
PARQUE LINEAL DEL MANZANARES;Otros;2464;;;
JARDINES DE SABATINI;Cupressus sempervirens;85;;;
JARDINES DE SABATINI;Pinus pinea;52;;;
JARDINES DE SABATINI;Acer negundo;26;;;
JARDINES DE SABATINI;Cedrus deodara;22;;;
JARDINES DE SABATINI;Magnolia grandiflora;16;;;
JARDINES DE SABATINI;Abies nordmanniana;8;;;
JARDINES DE SABATINI;Thuja occidentalis;5;;;
JARDINES DE SABATINI;Acer pseudoplatanus;3;;;
JARDINES DE SABATINI;Cercis siliquastrum;1;;;
JARDINES DE SABATINI;Ulmus minor;1;;;
JARDINES DE SABATINI;Otros;1;;;
PARQUE FORESTAL VALDEBEBAS;Celtis australis;1630;;;
PARQUE FORESTAL VALDEBEBAS;Morus alba 'Fruitless';393;;;
PARQUE FORESTAL VALDEBEBAS;Populus nigra var. Italica;375;;;
PARQUE FORESTAL VALDEBEBAS;Koelreuteria paniculata;342;;;
PARQUE FORESTAL VALDEBEBAS;Fraxinus angustifolia;209;;;
PARQUE FORESTAL VALDEBEBAS;Olea europaea;159;;;
PARQUE FORESTAL VALDEBEBAS;Prunus amygdalus;139;;;
PARQUE FORESTAL VALDEBEBAS;Pinus pinea;136;;;
PARQUE FORESTAL VALDEBEBAS;Cercis siliquastrum;119;;;
PARQUE FORESTAL VALDEBEBAS;Aesculus hippocastanum;112;;;
PARQUE FORESTAL VALDEBEBAS;Otros;2210;;;
CASA DE CAMPO;Pinus pinea;301689;;;
CASA DE CAMPO;Quercus ilex;208792;;;
CASA DE CAMPO;Cupresus arizonica;33826;;;
CASA DE CAMPO;Ulmus sp.;30758;;;
CASA DE CAMPO;Fraxinus angustifolia;13575;;;
CASA DE CAMPO;Pinus halepensis;9081;;;
CASA DE CAMPO;Cupresus sempervirens;3686;;;
CASA DE CAMPO;Salix sp.;1493;;;
CASA DE CAMPO;Populus nigra;1263;;;
CASA DE CAMPO;Acer negundo;922;;;
CASA DE CAMPO;Otros;66751;;;
;;785732;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
