Numero de Puesto,Estacion URI Final,Latitud,Longitud,Calles Linked,Calle,Calles URI Final,wikidata:PublicSpace,Numero,Direccion,Direccion URI Final,Distrito Linked,Distrito,Distritos URI Final,wikidata:districtMadrid,Barrios Linked,Barrio,Barrios URI Final,wikidata:neighborhoodMadrid,Numero de Plazas
001 a,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-alcala-1,40.4171107,-3.701998,Calle de Alcalá,calle de alcala,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-alcala,https://wikidata.org/wiki/Q2424746,2,Calle De Alcala-2,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-alcala-2,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Sol,sol,http://semantic.web.es/group05/resource/bicimad/barrio#sol,https://wikidata.org/wikiQ2465181,30
001 b,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-alcala-2,40.4172132,-3.7015636,Calle de Alcalá,calle de alcala,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-alcala,https://wikidata.org/wiki/Q2424746,6,Calle De Alcala-6,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-alcala-6,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Sol,sol,http://semantic.web.es/group05/resource/bicimad/barrio#sol,https://wikidata.org/wikiQ2465181,30
002,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-miguel-moya,40.42058,-3.7056739,CALLE DE MIGUEL MOYA,calle de miguel moya,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-miguel-moya,,1,Calle De Miguel Moya-1,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-miguel-moya-1,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Universidad,universidad,http://semantic.web.es/group05/resource/bicimad/barrio#universidad,https://wikidata.org/wikiQ10387767,24
003,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#plaza-del-conde-del-valle-de-suchil,40.4303224,-3.7072122,plaza del Conde del Valle de Súchil,plaza del conde del valle de suchil,http://semantic.web.es/group05/resource/bicimad/calle#plaza-del-conde-del-valle-de-suchil,https://wikidata.org/wiki/Q27244013,2,Plaza Del Conde Del Valle De Suchil-2,http://semantic.web.es/group05/resource/bicimad/direccion#plaza-del-conde-del-valle-de-suchil-2,Chamberí,chamberi,http://semantic.web.es/group05/resource/bicimad/distrito#chamberi,https://wikidata.org/wikiQ1763370,Arapiles,arapiles,http://semantic.web.es/group05/resource/bicimad/barrio#arapiles,https://wikidata.org/wikiQ10856744,18
004,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-manuela-malasana,40.4285905,-3.7026739,"Calle de Manuela Malasaña, Madrid",calle de manuela malasana,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-manuela-malasana,https://wikidata.org/wiki/Q27044275,3,Calle De Manuela Malasana-3,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-manuela-malasana-3,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Universidad,universidad,http://semantic.web.es/group05/resource/bicimad/barrio#universidad,https://wikidata.org/wikiQ10387767,24
005,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-fuencarral,40.428362,-3.7020743,calle de Fuencarral,calle de fuencarral,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-fuencarral,https://wikidata.org/wiki/Q5740840,106,Calle De Fuencarral-106,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-fuencarral-106,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Justicia,justicia,http://semantic.web.es/group05/resource/bicimad/barrio#justicia,https://wikidata.org/wikiQ1992319,27
006,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-hortaleza,40.4241633,-3.6984093,calle de Hortaleza,calle de hortaleza,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-hortaleza,https://wikidata.org/wiki/Q5740911,63,Calle De Hortaleza-63,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-hortaleza-63,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Justicia,justicia,http://semantic.web.es/group05/resource/bicimad/barrio#justicia,https://wikidata.org/wikiQ1992319,24
007,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-hortaleza,40.4252161,-3.6977399,calle de Hortaleza,calle de hortaleza,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-hortaleza,https://wikidata.org/wiki/Q5740911,75,Calle De Hortaleza-75,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-hortaleza-75,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Justicia,justicia,http://semantic.web.es/group05/resource/bicimad/barrio#justicia,https://wikidata.org/wikiQ1992319,21
008,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#plaza-de-alonso-martinez,40.4277143,-3.6953067,Plaza de Alonso Martínez,plaza de alonso martinez,http://semantic.web.es/group05/resource/bicimad/calle#plaza-de-alonso-martinez,https://wikidata.org/wiki/Q6079871,6,Plaza De Alonso Martinez-6,http://semantic.web.es/group05/resource/bicimad/direccion#plaza-de-alonso-martinez-6,Chamberí,chamberi,http://semantic.web.es/group05/resource/bicimad/distrito#chamberi,https://wikidata.org/wikiQ1763370,Almagro,almagro,http://semantic.web.es/group05/resource/bicimad/barrio#almagro,https://wikidata.org/wikiQ10954432,24
009,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#plaza-de-san-miguel,40.4156134,-3.7094093,Plaza de San Miguel,plaza de san miguel,http://semantic.web.es/group05/resource/bicimad/calle#plaza-de-san-miguel,https://wikidata.org/wiki/Q37307504,9,Plaza De San Miguel-9,http://semantic.web.es/group05/resource/bicimad/direccion#plaza-de-san-miguel-9,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Palacio,palacio,http://semantic.web.es/group05/resource/bicimad/barrio#palacio,https://wikidata.org/wikiQ2136510,24
