ID,ESTACION,MAGNITUD,PUNTO_MUESTREO,FECHA,VALOR
24_12_28079024_2020_1_16,24,12,28079024,2020-01-16T00:00:00Z,65
48_9_28079048_2020_2_25,48,9,28079048,2020-02-25T00:00:00Z,12
60_14_28079060_2020_1_26,60,14,28079060,2020-01-26T00:00:00Z,35
8_8_28079008_2019_4_23,8,8,28079008,2019-04-23T00:00:00Z,52
8_42_28079008_2019_12_12,8,42,28079008,2019-12-12T00:00:00Z,1.6
16_6_28079016_2019_4_20,16,6,28079016,2019-04-20T00:00:00Z,0.2
17_12_28079017_2019_7_13,17,12,28079017,2019-07-13T00:00:00Z,51
18_14_28079018_2019_11_18,18,14,28079018,2019-11-18T00:00:00Z,30
24_10_28079024_2019_2_17,24,10,28079024,2019-02-17T00:00:00Z,13
24_44_28079024_2019_5_24,24,44,28079024,2019-05-24T00:00:00Z,0.04
35_8_28079035_2019_9_15,35,8,28079035,2019-09-15T00:00:00Z,25
38_1_28079038_2019_1_11,38,1,28079038,2019-01-11T00:00:00Z,14
38_35_28079038_2019_9_7,38,35,28079038,2019-09-07T00:00:00Z,4.3
40_8_28079040_2019_12_4,40,8,28079040,2019-12-04T00:00:00Z,34
48_8_28079048_2019_5_3,48,8,28079048,2019-05-03T00:00:00Z,12
50_7_28079050_2019_7_28,50,7,28079050,2019-07-28T00:00:00Z,2
54_14_28079054_2019_10_20,54,14,28079054,2019-10-20T00:00:00Z,57
55_43_28079055_2019_4_18,55,43,28079055,2019-04-18T00:00:00Z,1.34
56_14_28079056_2019_9_14,56,14,28079056,2019-09-14T00:00:00Z,49
58_12_28079058_2019_1_27,58,12,28079058,2019-01-27T00:00:00Z,13
60_10_28079060_2019_7_1,60,10,28079060,2019-07-01T00:00:00Z,33
8_1_28079008_2018_10_2,8,1,28079008,2018-10-02T00:00:00Z,5
8_30_28079008_2018_1_5,8,30,28079008,2018-01-05T00:00:00Z,0.6
11_20_28079011_2018_5_1,11,20,28079011,2018-05-01T00:00:00Z,0.3
17_1_28079017_2018_8_9,17,1,28079017,2018-08-09T00:00:00Z,1
18_8_28079018_2018_12_3,18,8,28079018,2018-12-03T00:00:00Z,47
24_7_28079024_2018_6_5,24,7,28079024,2018-06-05T00:00:00Z,1
24_42_28079024_2018_3_22,24,42,28079024,2018-03-22T00:00:00Z,1.19
35_6_28079035_2018_7_15,35,6,28079035,2018-07-15T00:00:00Z,0.2
36_8_28079036_2018_12_26,36,8,28079036,2018-12-26T00:00:00Z,69
38_20_28079038_2018_3_21,38,20,28079038,2018-03-21T00:00:00Z,2.2
40_1_28079040_2018_7_29,40,1,28079040,2018-07-29T00:00:00Z,1
47_10_28079047_2018_11_3,47,10,28079047,2018-11-03T00:00:00Z,16
49_12_28079049_2018_1_30,49,12,28079049,2018-01-30T00:00:00Z,103
54_8_28079054_2018_4_25,54,8,28079054,2018-04-25T00:00:00Z,48
55_30_28079055_2018_8_6,55,30,28079055,2018-08-06T00:00:00Z,0.1
56_12_28079056_2018_12_21,56,12,28079056,2018-12-21T00:00:00Z,91
58_8_28079058_2018_3_13,58,8,28079058,2018-03-13T00:00:00Z,13
60_8_28079060_2018_6_13,60,8,28079060,2018-06-13T00:00:00Z,12
4_12_28079004_2017_9_2,4,12,28079004,2017-09-02T00:00:00Z,48
8_14_28079008_2017_12_9,8,14,28079008,2017-12-09T00:00:00Z,12
11_12_28079011_2017_4_4,11,12,28079011,2017-04-04T00:00:00Z,64
16_14_28079016_2017_7_26,16,14,28079016,2017-07-26T00:00:00Z,82
18_7_28079018_2017_10_24,18,7,28079018,2017-10-24T00:00:00Z,66
24_6_28079024_2017_6_30,24,6,28079024,2017-06-30T00:00:00Z,0.1
24_30_28079024_2017_11_23,24,30,28079024,2017-11-23T00:00:00Z,1.1
35_1_28079035_2017_4_9,35,1,28079035,2017-04-09T00:00:00Z,4
36_7_28079036_2017_7_24,36,7,28079036,2017-07-24T00:00:00Z,5
38_10_28079038_2017_10_16,38,10,28079038,2017-10-16T00:00:00Z,25
39_14_28079039_2017_2_22,39,14,28079039,2017-02-22T00:00:00Z,30
47_9_28079047_2017_5_30,47,9,28079047,2017-05-30T00:00:00Z,10
49_7_28079049_2017_9_7,49,7,28079049,2017-09-07T00:00:00Z,2
50_12_28079050_2017_12_13,50,12,28079050,2017-12-13T00:00:00Z,192
55_20_28079055_2017_3_26,55,20,28079055,2017-03-26T00:00:00Z,0.7
56_8_28079056_2017_10_24,56,8,28079056,2017-10-24T00:00:00Z,91
58_7_28079058_2017_1_21,58,7,28079058,2017-01-21T00:00:00Z,2
60_7_28079060_2017_5_2,60,7,28079060,2017-05-02T00:00:00Z,2
4_8_28079004_2016_7_21,4,8,28079004,2016-07-21T00:00:00Z,57
8_12_28079008_2016_10_1,8,12,28079008,2016-10-01T00:00:00Z,129
11_7_28079011_2016_12_24,11,7,28079011,2016-12-24T00:00:00Z,16
16_12_28079016_2016_4_12,16,12,28079016,2016-04-12T00:00:00Z,57
18_6_28079018_2016_7_20,18,6,28079018,2016-07-20T00:00:00Z,0.3
24_1_28079024_2016_6_14,24,1,28079024,2016-06-14T00:00:00Z,2
24_20_28079024_2016_10_10,24,20,28079024,2016-10-10T00:00:00Z,1.0
27_14_28079027_2016_2_7,27,14,28079027,2016-02-07T00:00:00Z,68
36_6_28079036_2016_9_11,36,6,28079036,2016-09-11T00:00:00Z,0.2
38_10_28079038_2016_3_17,38,10,28079038,2016-03-17T00:00:00Z,22
39_12_28079039_2016_7_30,39,12,28079039,2016-07-30T00:00:00Z,30
47_8_28079047_2016_10_19,47,8,28079047,2016-10-19T00:00:00Z,60
49_7_28079049_2016_1_14,49,7,28079049,2016-01-14T00:00:00Z,54
50_12_28079050_2016_3_31,50,12,28079050,2016-03-31T00:00:00Z,67
55_12_28079055_2016_6_28,55,12,28079055,2016-06-28T00:00:00Z,61
56_7_28079056_2016_11_8,56,7,28079056,2016-11-08T00:00:00Z,33
57_12_28079057_2016_1_23,57,12,28079057,2016-01-23T00:00:00Z,192
59_14_28079059_2016_4_27,59,14,28079059,2016-04-27T00:00:00Z,48
4_7_28079004_2015_7_16,4,7,28079004,2015-07-16T00:00:00Z,17
8_10_28079008_2015_12_12,8,10,28079008,2015-12-12T00:00:00Z,23
11_7_28079011_2015_5_13,11,7,28079011,2015-05-13T00:00:00Z,26
16_8_28079016_2015_8_22,16,8,28079016,2015-08-22T00:00:00Z,15
