magnitud,notation,nombre,name
01,SO2,Dióxido de Azufre,Sulfur Dioxide
06,CO,Monóxido de Carbono,Carbon Monoxide
08,NO2,Dióxido de Nitrógeno,Nitrogen Dioxide
09,PM2.5,Partículas <2.5 μm,Particles <2.5 μm
10,PM10,Partículas <10 μm,Particles <10 μm
14,O3,Ozono,Ozone
