ID,ESTACION,MAGNITUD,PUNTO_MUESTREO,FECHA,VALOR
40_1_28079040_2020_1_1,40,1,28079040,2020-01-01T00:00:00Z,12
40_1_28079040_2020_1_2,40,1,28079040,2020-01-02T00:00:00Z,9
40_1_28079040_2020_1_3,40,1,28079040,2020-01-03T00:00:00Z,9
40_1_28079040_2020_1_4,40,1,28079040,2020-01-04T00:00:00Z,5
40_1_28079040_2020_1_5,40,1,28079040,2020-01-05T00:00:00Z,7
40_1_28079040_2020_1_6,40,1,28079040,2020-01-06T00:00:00Z,8
40_1_28079040_2020_1_7,40,1,28079040,2020-01-07T00:00:00Z,11
40_1_28079040_2020_1_8,40,1,28079040,2020-01-08T00:00:00Z,10
40_1_28079040_2020_1_9,40,1,28079040,2020-01-09T00:00:00Z,10
40_1_28079040_2020_1_10,40,1,28079040,2020-01-10T00:00:00Z,6
40_1_28079040_2020_1_11,40,1,28079040,2020-01-11T00:00:00Z,6
40_1_28079040_2020_1_12,40,1,28079040,2020-01-12T00:00:00Z,7
40_1_28079040_2020_1_13,40,1,28079040,2020-01-13T00:00:00Z,8
40_1_28079040_2020_1_14,40,1,28079040,2020-01-14T00:00:00Z,7
40_1_28079040_2020_1_15,40,1,28079040,2020-01-15T00:00:00Z,7
40_1_28079040_2020_1_16,40,1,28079040,2020-01-16T00:00:00Z,8
40_1_28079040_2020_1_17,40,1,28079040,2020-01-17T00:00:00Z,7
40_1_28079040_2020_1_18,40,1,28079040,2020-01-18T00:00:00Z,6
40_1_28079040_2020_1_19,40,1,28079040,2020-01-19T00:00:00Z,5
40_1_28079040_2020_1_20,40,1,28079040,2020-01-20T00:00:00Z,3
40_1_28079040_2020_1_21,40,1,28079040,2020-01-21T00:00:00Z,4
40_1_28079040_2020_1_22,40,1,28079040,2020-01-22T00:00:00Z,5
40_1_28079040_2020_1_23,40,1,28079040,2020-01-23T00:00:00Z,6
40_1_28079040_2020_1_24,40,1,28079040,2020-01-24T00:00:00Z,7
40_1_28079040_2020_1_25,40,1,28079040,2020-01-25T00:00:00Z,7
40_1_28079040_2020_1_26,40,1,28079040,2020-01-26T00:00:00Z,7
40_1_28079040_2020_1_27,40,1,28079040,2020-01-27T00:00:00Z,7
40_1_28079040_2020_1_28,40,1,28079040,2020-01-28T00:00:00Z,8
40_1_28079040_2020_1_29,40,1,28079040,2020-01-29T00:00:00Z,8
40_1_28079040_2020_1_30,40,1,28079040,2020-01-30T00:00:00Z,7
40_1_28079040_2020_1_31,40,1,28079040,2020-01-31T00:00:00Z,7
40_1_28079040_2020_2_1,40,1,28079040,2020-02-01T00:00:00Z,6
40_1_28079040_2020_2_2,40,1,28079040,2020-02-02T00:00:00Z,5
