Id,Tipo Contenedor,Modelo,Descripcion Modelo,Cantidad,Lote,Distrito,Barrio,Tipo Via,Nombre,Numero,COORDENADA X,COORDENADA Y,LONGITUD,LATITUD,DIRECCION
168755,ENVASES,,Env 3200 CL,1,1,CENTRO,,PLAZA,SALESAS,9,441062.99,4475052.45,-36.947.684,404.240.174,PLAZA SALESAS. 9
168755,VIDRIO,,V 2200 CL VACRI,1,1,CENTRO,,PLAZA,SALESAS,9,441062.99,4475052.45,-36.947.684,404.240.174,PLAZA SALESAS. 9
168753,VIDRIO,,V 2200 CL,1,1,CENTRO,,CALLE,MEJIA LEQUERICA,20,440680.69,4475502.55,-36.993.168,40.428.045,CALLE MEJIA LEQUERICA. 20
170313,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,CALLE,ISLA DE JAVA,55,441852.02,4482612.15,-36.861.602,404.921.741,CALLE ISLA DE JAVA. 55
169874,ENVASES,,Env 800,1,1,FUENCARRAL-EL PARDO,,AVENIDA,CARDENAL HERRERA ORIA,271,438643.32,4481240.57,-37.238.881,404.795.874,AVENIDA CARDENAL HERRERA ORIA. 271
169874,ENVASES,,Env 800,1,1,FUENCARRAL-EL PARDO,,AVENIDA,CARDENAL HERRERA ORIA,271,438643.32,4481240.57,-37.238.881,404.795.874,AVENIDA CARDENAL HERRERA ORIA. 271
172855,ORGANICA,,O 800,1,1,LATINA,,CALLE,CAMPO FLORIDO,6,434274.2,4472308.23,-37.745.068,40.398.788,CALLE CAMPO FLORIDO. 6
172752,ENVASES,,Env 800,1,1,LATINA,,CALLE,CINE,46,434301.5,4471948.99,-37.741.481,40.395.554,CALLE CINE. 46
172852,ENVASES,,Env 800,1,1,LATINA,,CALLE,CARTAYA,8,434548.32,4472017.57,-3.771.247,403.961.912,CALLE CARTAYA. 8
170651,ENVASES,,Env 800,1,1,FUENCARRAL-EL PARDO,,CALLE,KANT,2,441056.26,4488113.29,-36.960.621,40.541.674,CALLE KANT. 2
