PARQUE,wikidataPARQUE,ESPECIE,wikidataESPECIE,UNIDADES,PARQUEURI,ARBOLURI
Casa de Campo,https://www.wikidata.org/wiki/Q1046524,Pinus pinea,https://www.wikidata.org/wiki/Q106094,301689,CasaCampo,PinusP
Casa de Campo,https://www.wikidata.org/wiki/Q1046524,Quercus ilex,https://www.wikidata.org/wiki/Q218155,208792,CasaCampo,QuercusI
Casa de Campo,https://www.wikidata.org/wiki/Q1046524,Cupressus arizonica,https://www.wikidata.org/wiki/Q670040,33826,CasaCampo,CupressusA
Casa de Campo,https://www.wikidata.org/wiki/Q1046524,Ulmus minor,https://www.wikidata.org/wiki/Q147487,30758,CasaCampo,UlmusS
Casa de Campo,https://www.wikidata.org/wiki/Q1046524,Fraxinus angustifolia,https://www.wikidata.org/wiki/Q518949,13575,CasaCampo,FraxinusA
Casa de Campo,https://www.wikidata.org/wiki/Q1046524,Pinus halepensis,https://www.wikidata.org/wiki/Q211457,9081,CasaCampo,PinusH
Casa de Campo,https://www.wikidata.org/wiki/Q1046524,Cupressus sempervirens,https://www.wikidata.org/wiki/Q147513,3686,CasaCampo,CupressusS
Casa de Campo,https://www.wikidata.org/wiki/Q1046524,Salix,https://www.wikidata.org/wiki/Q36050,1493,CasaCampo,SalixS
Casa de Campo,https://www.wikidata.org/wiki/Q1046524,Populus nigra,https://www.wikidata.org/wiki/Q147064,1263,CasaCampo,PopulusN
Casa de Campo,https://www.wikidata.org/wiki/Q1046524,Acer negundo,https://www.wikidata.org/wiki/Q161166,922,CasaCampo,AcerN
Casa de Campo,https://www.wikidata.org/wiki/Q1046524,Other,https://www.wikidata.org/wiki/Q86630688,66751,CasaCampo,
Total,https://www.wikidata.org/wiki/Q7827948,,,785732,,
