PARQUE,wikidataPARQUE,ESPECIE,wikidataESPECIE,UNIDADES,PARQUEURI,ARBOLURI
Parque de la Quinta de la Fuente del Berro,https://www.wikidata.org/wiki/Q5411839,Cedrus deodara,https://www.wikidata.org/wiki/Q146935,58,QuintaFuenteBerro,CedrusD
Parque de la Quinta de la Fuente del Berro,https://www.wikidata.org/wiki/Q5411839,Acacia dealbata,https://www.wikidata.org/wiki/Q757123,47,QuintaFuenteBerro,AcaciaD
Parque de la Quinta de la Fuente del Berro,https://www.wikidata.org/wiki/Q5411839,Trachycarpus fortunei,https://www.wikidata.org/wiki/Q158383,37,QuintaFuenteBerro,TrachycarpusF
Parque de la Quinta de la Fuente del Berro,https://www.wikidata.org/wiki/Q5411839,Populus alba,https://www.wikidata.org/wiki/Q146269,31,QuintaFuenteBerro,PopulusA
Parque de la Quinta de la Fuente del Berro,https://www.wikidata.org/wiki/Q5411839,Platanus hybrida,https://www.wikidata.org/wiki/Q59420135,27,QuintaFuenteBerro,PlatanusH
Parque de la Quinta de la Fuente del Berro,https://www.wikidata.org/wiki/Q5411839,Celtis australis,https://www.wikidata.org/wiki/Q255375,26,QuintaFuenteBerro,CeltisA
Parque de la Quinta de la Fuente del Berro,https://www.wikidata.org/wiki/Q5411839,Other,https://www.wikidata.org/wiki/Q86630688,345,QuintaFuenteBerro,
Parque de El Capricho,https://www.wikidata.org/wiki/Q2054035,Judas tree,https://www.wikidata.org/wiki/Q29488,747,CaprichoAlamedaOsuna,CercisS
Parque de El Capricho,https://www.wikidata.org/wiki/Q2054035,Cupressus sempervirens,https://www.wikidata.org/wiki/Q147513,367,CaprichoAlamedaOsuna,CupressusS
Parque de El Capricho,https://www.wikidata.org/wiki/Q2054035,Pinus pinea,https://www.wikidata.org/wiki/Q106094,220,CaprichoAlamedaOsuna,PinusP
Parque de El Capricho,https://www.wikidata.org/wiki/Q2054035,Gleditsia triacanthos,https://www.wikidata.org/wiki/Q157650,216,CaprichoAlamedaOsuna,GleditsiaT
Parque de El Capricho,https://www.wikidata.org/wiki/Q2054035,Fraxinus angustifolia,https://www.wikidata.org/wiki/Q518949,187,CaprichoAlamedaOsuna,FraxinusA
Parque de El Capricho,https://www.wikidata.org/wiki/Q2054035,Quercus robur,https://www.wikidata.org/wiki/Q165145,145,CaprichoAlamedaOsuna,QuercusR
Parque de El Capricho,https://www.wikidata.org/wiki/Q2054035,Platanus hybrida,https://www.wikidata.org/wiki/Q59420135,140,CaprichoAlamedaOsuna,PlatanusH
Parque de El Capricho,https://www.wikidata.org/wiki/Q2054035,Acer campestre,https://www.wikidata.org/wiki/Q158785,114,CaprichoAlamedaOsuna,AcerC
Parque de El Capricho,https://www.wikidata.org/wiki/Q2054035,Robinia pseudoacacia,https://www.wikidata.org/wiki/Q157417,111,CaprichoAlamedaOsuna,RobinaP
