Nombre_distrito,wikidataNombre_distrito,Nº_Distrito,NOMBRE_ESPECIE,wikidataNOMBRE_ESPECIE,Unidades,URIDISTRITO,URIESPECIE
Centro,https://www.wikidata.org/wiki/Q1763376,01,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,300,CENTRO,LigustrumJVariegata
Centro,https://www.wikidata.org/wiki/Q1763376,01,Robinia pseudoacacia,https://www.wikidata.org/wiki/Q157417,320,CENTRO,RobiniaP
Centro,https://www.wikidata.org/wiki/Q1763376,01,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,348,CENTRO,PrunusCPissartii
Centro,https://www.wikidata.org/wiki/Q1763376,01,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,367,CENTRO,UlmusP
Centro,https://www.wikidata.org/wiki/Q1763376,01,Aesculus hippocastanum,https://www.wikidata.org/wiki/Q26899,510,CENTRO,AesculusH
Centro,https://www.wikidata.org/wiki/Q1763376,01,Platanus ×hispanica,https://www.wikidata.org/wiki/Q161374,1367,CENTRO,PlatanusX
Centro,https://www.wikidata.org/wiki/Q1763376,01,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,1585,CENTRO,SophoraJ
Centro,https://www.wikidata.org/wiki/Q1763376,01,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,2646,CENTRO,LigustrumJ
Arganzuela,https://www.wikidata.org/wiki/Q2000929,02,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,717,ARGANZUELA,PrunusC
Arganzuela,https://www.wikidata.org/wiki/Q2000929,02,Melia azedarach,https://www.wikidata.org/wiki/Q162171,1047,ARGANZUELA,MeliaA
Arganzuela,https://www.wikidata.org/wiki/Q2000929,02,Acer negundo,https://www.wikidata.org/wiki/Q161166,1205,ARGANZUELA,AcerN
Arganzuela,https://www.wikidata.org/wiki/Q2000929,02,Robinia pseudoacacia,https://www.wikidata.org/wiki/Q157417,1275,ARGANZUELA,RobiniaP
Arganzuela,https://www.wikidata.org/wiki/Q2000929,02,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,1284,ARGANZUELA,LigustrumJ
Arganzuela,https://www.wikidata.org/wiki/Q2000929,02,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,1298,ARGANZUELA,UlmusP
Arganzuela,https://www.wikidata.org/wiki/Q2000929,02,Pinus pinea,https://www.wikidata.org/wiki/Q106094,1371,ARGANZUELA,PinusP
Arganzuela,https://www.wikidata.org/wiki/Q2000929,02,Celtis australis,https://www.wikidata.org/wiki/Q255375,1434,ARGANZUELA,CeltisA
Arganzuela,https://www.wikidata.org/wiki/Q2000929,02,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,2414,ARGANZUELA,SophoraJ
Arganzuela,https://www.wikidata.org/wiki/Q2000929,02,Platanus ×hispanica,https://www.wikidata.org/wiki/Q161374,3428,ARGANZUELA,PlatanusX
Retiro,https://www.wikidata.org/wiki/Q2002296,03,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,299,RETIRO,PrunusCPissartii
Retiro,https://www.wikidata.org/wiki/Q2002296,03,Aesculus hippocastanum,https://www.wikidata.org/wiki/Q26899,303,RETIRO,AesculusH
Retiro,https://www.wikidata.org/wiki/Q2002296,03,Liquidambar styraciflua,https://www.wikidata.org/wiki/Q469652,328,RETIRO,LiquidambarS
Retiro,https://www.wikidata.org/wiki/Q2002296,03,Cupressus arizonica,https://www.wikidata.org/wiki/Q670040,344,RETIRO,CupressusA
Retiro,https://www.wikidata.org/wiki/Q2002296,03,Cupressus sempervirens,https://www.wikidata.org/wiki/Q147513,418,RETIRO,CupressusS
Retiro,https://www.wikidata.org/wiki/Q2002296,03,Celtis australis,https://www.wikidata.org/wiki/Q255375,432,RETIRO,CeltisA
Retiro,https://www.wikidata.org/wiki/Q2002296,03,Cupressus × leylandii,https://www.wikidata.org/wiki/Q1290970,455,RETIRO,CupressocyparisL
Retiro,https://www.wikidata.org/wiki/Q2002296,03,Robinia pseudoacacia,https://www.wikidata.org/wiki/Q157417,487,RETIRO,RobiniaP
Retiro,https://www.wikidata.org/wiki/Q2002296,03,Pinus pinea,https://www.wikidata.org/wiki/Q106094,892,RETIRO,PinusP
Retiro,https://www.wikidata.org/wiki/Q2002296,03,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,981,RETIRO,LigustrumJ
Retiro,https://www.wikidata.org/wiki/Q2002296,03,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,1948,RETIRO,UlmusP
Retiro,https://www.wikidata.org/wiki/Q2002296,03,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,2297,RETIRO,SophoraJ
Retiro,https://www.wikidata.org/wiki/Q2002296,03,Platanus ×hispanica,https://www.wikidata.org/wiki/Q161374,2585,RETIRO,PlatanusX
Salamanca,https://www.wikidata.org/wiki/Q1773521,04,Populus alba,https://www.wikidata.org/wiki/Q146269,361,SALAMANCA,PopulusABolleana
