PARQUE,ESPECIE,UNIDADES 2019,PARQUEURI,ARBOLURI
CU√ëA VERDE DE O¥DONNELL Y P. F. FUENTE CARRANTONA,Platanus hybrida,254,ODonellFuenteCarantona,PlatanusH
CU√ëA VERDE DE O¥DONNELL Y P. F. FUENTE CARRANTONA,Otros,3403,ODonellFuenteCarantona
DEHESA DE LA VILLA,Pinus pinea,4904,DehesaVilla,PinusP
DEHESA DE LA VILLA,Pinus halepensis,742,DehesaVilla,PinusH
DEHESA DE LA VILLA,Prunus dulcis,578,DehesaVilla,PrunusD
DEHESA DE LA VILLA,Ulmus pumila,271,DehesaVilla,UlmusP
DEHESA DE LA VILLA,Quercus ilex,218,DehesaVilla,QuercusI
DEHESA DE LA VILLA,Ailanthus altissima,205,DehesaVilla,AilanthusA
DEHESA DE LA VILLA,Fraxinus angustifolia,164,DehesaVilla,FraxinusA
DEHESA DE LA VILLA,Platanus hybrida,144,DehesaVilla,PlatanusH
DEHESA DE LA VILLA,Gleditsia triacanthos,131,DehesaVilla,GleditsiaT
DEHESA DE LA VILLA,Celtis australis,115,DehesaVilla,CeltisA
DEHESA DE LA VILLA,Otros,1200,DehesaVilla
Z.V.DISTRITO C-LAS TABLAS,Pinus pinea,400,Tablas,PinusP
Z.V.DISTRITO C-LAS TABLAS,Celtis australis,315,Tablas,CeltisA
Z.V.DISTRITO C-LAS TABLAS,Prunus cerasifera pissardii,110,Tablas,PrunusC
Z.V.DISTRITO C-LAS TABLAS,Melia azedarach,61,Tablas,MeliaA
Z.V.DISTRITO C-LAS TABLAS,Cupressocyparis leylandii,60,Tablas,CupressocyparisL
Z.V.DISTRITO C-LAS TABLAS,Liquidambar styraciflua,46,Tablas,LiquidambarS
Z.V.DISTRITO C-LAS TABLAS,Cedrus deodara,45,Tablas,CedrusD
Z.V.DISTRITO C-LAS TABLAS,Olea europaea,38,Tablas,OleaE
Z.V.DISTRITO C-LAS TABLAS,Gleditsia triacanthos inermes,30,Tablas,GleditsiaTInermes
Z.V.DISTRITO C-LAS TABLAS,Pyrus calleryana,26,Tablas,PyrusC
Z.V.DISTRITO C-LAS TABLAS,Otros,172,Tablas
PARQUE JUAN CARLOS I,Olea europaea,2377,ParqueJCI,OleaE
PARQUE JUAN CARLOS I,Pinus pinea,1243,ParqueJCI,PinusP
PARQUE JUAN CARLOS I,Catalpa bignonioides,980,ParqueJCI,CatalpaB
PARQUE JUAN CARLOS I,Sophora japonica,581,ParqueJCI,SophoraJ
PARQUE JUAN CARLOS I,Cupressocyparis leylandii,566,ParqueJCI,CupressocyparisL
PARQUE JUAN CARLOS I,Fraxinus excelsior,499,ParqueJCI,FraxinusE
PARQUE JUAN CARLOS I,Cupressus sempervirens,494,ParqueJCI,CupressusS
PARQUE JUAN CARLOS I,Platanus hybrida,432,ParqueJCI,PlatanusH
PARQUE JUAN CARLOS I,Fraxinus angustifolia,314,ParqueJCI,FraxinusA
PARQUE JUAN CARLOS I,Populus alba,289,ParqueJCI,PopulusA
PARQUE JUAN CARLOS I,Otros,6539,ParqueJCI
PARQUE JUAN PABLO II,Aesculus hippocastanum,133,ParqueJPII,AesculusH
PARQUE JUAN PABLO II,Pinus pinea,123,ParqueJPII,PinusP
PARQUE JUAN PABLO II,Celtis australis,104,ParqueJPII,CeltisA
PARQUE JUAN PABLO II,Morus alba,100,ParqueJPII,MorusA
PARQUE JUAN PABLO II,Liquidambar styraciflua,80,ParqueJPII,LiquidambarS
PARQUE JUAN PABLO II,Gleditsia triacanthos,66,ParqueJPII,GleditsiaT
PARQUE JUAN PABLO II,Prunus dulcis,63,ParqueJPII,PrunusD
PARQUE JUAN PABLO II,Trachycarpus fortunei,58,ParqueJPII,TrachycarpusF
PARQUE JUAN PABLO II,Punica granatum,47,ParqueJPII,PrunusG
PARQUE JUAN PABLO II,Tilia platyphyllos,46,ParqueJPII,TiliaP
PARQUE JUAN PABLO II,Otros,788,ParqueJPII
MADRID RIO,Pinus pinea,3094,MadridRio,PinusP
MADRID RIOMADRID R√çO,Pinus halepensis,2776,MadridRio,PinusH
MADRID RIO,Platanus hybrida,1481,MadridRio,PlatanusH
MADRID RIO,Acer x freemanii (Arce),694,MadridRio,AcerX
MADRID RIO,Populus nigra,687,MadridRio,PopulusN
MADRID RIO,Aesculus hippocastanum,534,MadridRio,AesculusH
MADRID RIO,Melia azedarach,504,MadridRio,MeliaA
MADRID RIO,Fraxinus angustifolia,448,MadridRio,FraxinusA
MADRID RIO,Ginkgo biloba,434,MadridRio,GinkgoB
MADRID RIO,Tilia platyphyllos,414,MadridRio,TiliaP
MADRID RIO,Otros,4727,MadridRio
QUINTA DE LOS MOLINOS,Prunus dulcis,1674,QuintaMolinos,PrunusD
QUINTA DE LOS MOLINOS,Pinus halepensis,1313,QuintaMolinos,PinusH
QUINTA DE LOS MOLINOS,Cupressus sempervirens,609,QuintaMolinos,CupressusS
QUINTA DE LOS MOLINOS,Pinus pinea,462,QuintaMolinos,PinusP
QUINTA DE LOS MOLINOS,Eucalyptus sp,401,QuintaMolinos,EucalyptusS
QUINTA DE LOS MOLINOS,Platanus hybrida,277,QuintaMolinos,PlatanusH
QUINTA DE LOS MOLINOS,Ulmus sp.,253,QuintaMolinos,UlmusS
QUINTA DE LOS MOLINOS,Cedrus deodara,249,QuintaMolinos,CedrusD
QUINTA DE LOS MOLINOS,Gleditsia triacanthos,220,QuintaMolinos,GleditsiaT
