ID,PROVINCE,MUNICIPALITY,STATION,STATION_LOCATION,MEASURED_COMPOUND,MEASUREMENT_TECHNIQUE,DATE,VALUE,IS_VALID
820592020101,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-01,3.2,true
820592020102,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-02,3.9,true
820592020103,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-03,7.1,true
820592020104,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-04,1.5,true
820592020105,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-05,1.6,true
820592020106,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-06,2.3,true
820592020107,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-07,5.7,true
820592020108,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-08,9.3,true
820592020109,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-09,8.0,true
820592020110,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-10,3.1,true
820592020111,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-11,1.8,true
820592020112,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-12,3.2,true
820592020113,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-13,6.6,true
820592020114,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-14,11.7,true
820592020115,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-15,3.5,true
820592020116,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-16,5.9,true
820592020117,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-17,3.4,true
820592020118,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-18,2.6,true
820592020119,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-19,1.4,true
820592020120,Madrid Province,Madrid,8,Escuelas Aguirre,toluene,Cromatografía de gases,2020-1-20,4.1,false
