dc:identifier,dc:modified,ayto:PuntoMuestreo,ayto:Fecha,ayto:Olor,ayto:Sabor,ayto:Turbidez,ayto:Color,ayto:Conductividad,ayto:pH,ayto:Oxidabilidad,ayto:CloroLibre,ayto:BacteriasColiformes,ayto:eColi,ayto:BacteriasAerobias,ayto:ClostridiumPerfringes,uri
N4-13-000022,2020-09-26T22:16:11.377Z,MURIEDAS,2013-01-02T00:00:00Z,0.0,0.0,0.08, < 5,555.0,7.72,0.5,0.84,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000022.csv
N4-13-000018,2020-09-26T22:16:11.377Z,"CUETO\, ESTACIÃ“N DE MUESTREO NÂº 6",2013-01-02T00:00:00Z,0.0,0.0,0.09, < 5,501.0,7.86,0.6,0.52,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000018.csv
N4-13-000016,2020-09-26T22:16:11.377Z,"BÂº PESQUERO\, ESTACIÃ“N DE MUESTREO NÂº 5",2013-01-02T00:00:00Z,0.0,0.0,0.11, < 5,526.0,7.9,0.5,0.51,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000016.csv
N4-13-000008,2020-09-26T22:16:11.377Z,ETAP LLEGADA,2013-01-02T00:00:00Z,0.0,0.0,0.58,5,559.0,7.81,0.7,0.0,530,240.0,920.0,23.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000008.csv
N4-13-000014,2020-09-26T22:16:11.377Z,SALIDA PLANTA SANTANDER,2013-01-02T00:00:00Z,0.0,0.0,0.05, < 5,553.0,7.68,0.0,0.9,,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000014.csv
N4-13-000024,2020-09-26T22:16:11.377Z,GRIFO VIRTUAL,2013-01-02T00:00:00Z,0.0,0.0,0.7, < 5,539.0,7.87,0.6,0.46,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000024.csv
N4-13-000013,2020-09-26T22:16:11.377Z,SALIDA DE LA ETAP,2013-01-02T00:00:00Z,0.0,0.0,0.08, < 5,555.0,7.72,0.5,0.84,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000013.csv
N4-13-000015,2020-09-26T22:16:11.377Z,FUENTE FRENTE CORMORÃ�N,2013-01-02T00:00:00Z,0.0,0.0,0.13, < 5,528.0,8.01,0.6,0.5,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000015.csv
N4-13-000001,2020-09-26T22:16:11.377Z,ETAP LLEGADA,2013-01-01T00:00:00Z,0.0,0.0,0.37,5,533.0,7.83,0.6,0.0,290,60.0,60.0,3.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000001.csv
N4-13-000007,2020-09-26T22:16:11.377Z,SALIDA PLANTA SANTANDER,2013-01-01T00:00:00Z,0.0,0.0,0.06, < 5,540.0,7.72,0.0,0.8,,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000007.csv
N4-13-000006,2020-09-26T22:16:11.377Z,SALIDA DE LA ETAP,2013-01-01T00:00:00Z,0.0,0.0,0.01, < 5,539.0,7.76,0.4,0.9,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000006.csv
