dc:identifier,dc:modified,ayto:PuntoMuestreo,ayto:Fecha,ayto:Olor,ayto:Sabor,ayto:Turbidez,ayto:Color,ayto:Conductividad,ayto:pH,ayto:Amonio,ayto:Nitritos,ayto:Oxidabilidad,ayto:CloroLibre,ayto:Al,ayto:Fe,ayto:Cu,ayto:Cr,ayto:Ni,ayto:Pb,ayto:BacteriasColiformes,ayto:eColi,ayto:BacteriasAerobias,ayto:ClostridiumPerfringes,uri
N4-13-000022,2020-09-26T22:16:11.377Z,MURIEDAS,2013-01-02,0.00000,0.00000,0.08000," < 5",555.00000,7.72000,0.00000,0.00000,0.50000,0.84000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000022.csv
N4-13-000018,2020-09-26T22:16:11.377Z,"CUETO\, ESTACIÓN DE MUESTREO Nº 6",2013-01-02,0.00000,0.00000,0.09000," < 5",501.00000,7.86000,0.00000,0.00000,0.60000,0.52000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000018.csv
N4-13-000016,2020-09-26T22:16:11.377Z,"Bº PESQUERO\, ESTACIÓN DE MUESTREO Nº 5",2013-01-02,0.00000,0.00000,0.11000," < 5",526.00000,7.90000,0.00000,0.00000,0.50000,0.51000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000016.csv
N4-13-000008,2020-09-26T22:16:11.377Z,ETAP LLEGADA,2013-01-02,0.00000,0.00000,0.58000,5,559.00000,7.81000,0.00000,0.00000,0.70000,0.00000,52,,,,,,530,240.00000,920.00000,23.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000008.csv
N4-13-000014,2020-09-26T22:16:11.377Z,SALIDA PLANTA SANTANDER,2013-01-02,0.00000,0.00000,0.05000," < 5",553.00000,7.68000,0.00000,0.00000,0.00000,0.90000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000014.csv
N4-13-000024,2020-09-26T22:16:11.377Z,GRIFO VIRTUAL,2013-01-02,0.00000,0.00000,0.70000," < 5",539.00000,7.87000,0.00000,0.00000,0.60000,0.46000,,150,"0\,005",2,"1\,73",10,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000024.csv
N4-13-000013,2020-09-26T22:16:11.377Z,SALIDA DE LA ETAP,2013-01-02,0.00000,0.00000,0.08000," < 5",555.00000,7.72000,0.00000,0.00000,0.50000,0.84000,13,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000013.csv
N4-13-000015,2020-09-26T22:16:11.377Z,FUENTE FRENTE CORMORÁN,2013-01-02,0.00000,0.00000,0.13000," < 5",528.00000,8.01000,0.00000,0.00000,0.60000,0.50000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000015.csv
N4-13-000001,2020-09-26T22:16:11.377Z,ETAP LLEGADA,2013-01-01,0.00000,0.00000,0.37000,5,533.00000,7.83000,0.00000,0.00000,0.60000,0.00000,26,,,,,,290,60.00000,60.00000,3.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000001.csv
N4-13-000007,2020-09-26T22:16:11.377Z,SALIDA PLANTA SANTANDER,2013-01-01,0.00000,0.00000,0.06000," < 5",540.00000,7.72000,0.00000,0.00000,0.00000,0.80000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000007.csv
N4-13-000006,2020-09-26T22:16:11.377Z,SALIDA DE LA ETAP,2013-01-01,0.00000,0.00000,0.01000," < 5",539.00000,7.76000,0.00000,0.00000,0.40000,0.90000,10,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000006.csv
N4-13-000091,2020-09-26T22:16:11.376Z,CUETO GRIFO CEMENTERIO,2013-01-08,0.00000,0.00000,0.21000," < 5",429.00000,7.76000,0.00000,0.00000,0.60000,0.32000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000091.csv
N4-13-000088,2020-09-26T22:16:11.376Z,MONTE,2013-01-08,0.00000,0.00000,0.17000," < 5",406.00000,7.72000,0.00000,0.00000,0.50000,0.69000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000088.csv
N4-13-000092,2020-09-26T22:16:11.376Z,SAN ROMÁN-VIRGEN DEL MAR,2013-01-08,0.00000,0.00000,0.24000," < 5",417.00000,8.54000,0.00000,0.00000,0.60000,0.09000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000092.csv
N4-13-000072,2020-09-26T22:16:11.376Z,ETAP LLEGADA,2013-01-07,0.00000,0.00000,0.45000,5,404.00000,7.90000,0.00000,0.00000,0.70000,0.00000,66,,,,,,260,100.00000,90.00000,4.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000072.csv
N4-13-000078,2020-09-26T22:16:11.376Z,SALIDA PLANTA SANTANDER,2013-01-07,0.00000,0.00000,0.15000," < 5",405.00000,7.69000,0.00000,0.00000,0.00000,1.01000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000078.csv
N4-13-000077,2020-09-26T22:16:11.376Z,SALIDA DE LA ETAP,2013-01-07,0.00000,0.00000,0.19000," < 5",404.00000,7.71000,0.00000,0.00000,0.40000,0.85000,48,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000077.csv
N4-13-000065,2020-09-26T22:16:11.376Z,ETAP LLEGADA,2013-01-06,0.00000,0.00000,0.50000,5,399.00000,7.88000,0.00000,0.00000,1.00000,0.00000,44,,,,,,160,100.00000,180.00000,2.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000065.csv
N4-13-000071,2020-09-26T22:16:11.376Z,SALIDA PLANTA SANTANDER,2013-01-06,0.00000,0.00000,0.19000," < 5",404.00000,7.66000,0.00000,0.00000,0.00000,1.11000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000071.csv
N4-13-000070,2020-09-26T22:16:11.376Z,SALIDA DE LA ETAP,2013-01-06,0.00000,0.00000,0.27000," < 5",403.00000,7.69000,0.00000,0.00000,0.50000,0.88000,15,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000070.csv
N4-13-000058,2020-09-26T22:16:11.376Z,ETAP LLEGADA,2013-01-05,0.00000,0.00000,0.52000,5,398.00000,7.89000,0.00000,0.00000,1.10000,0.00000,41,,,,,,260,140.00000,120.00000,3.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000058.csv
N4-13-000064,2020-09-26T22:16:11.376Z,SALIDA PLANTA SANTANDER,2013-01-05,0.00000,0.00000,0.29000," < 5",400.00000,7.66000,0.00000,0.00000,0.00000,0.85000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000064.csv
N4-13-000063,2020-09-26T22:16:11.376Z,SALIDA DE LA ETAP,2013-01-05,0.00000,0.00000,0.25000," < 5",401.00000,7.68000,0.00000,0.00000,0.60000,0.83000,23,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000063.csv
N4-13-000054,2020-09-26T22:16:11.376Z,"SAN ROMÁN\, ESTACIÓN DE MUESTREO Nº 1",2013-01-04,0.00000,0.00000,0.20000," < 5",523.00000,7.88000,0.00000,0.00000,0.60000,0.44000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000054.csv
N4-13-000055,2020-09-26T22:16:11.376Z,"PEÑACASTILLO\, ESTACIÓN DE MUESTREO Nº 3",2013-01-04,0.00000,0.00000,0.23000," < 5",520.00000,7.83000,0.00000,0.00000,0.70000,0.48000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000055.csv
N4-13-000053,2020-09-26T22:16:11.376Z,"CUETO\, ESTACIÓN DE MUESTREO Nº 6",2013-01-04,0.00000,0.00000,0.15000," < 5",543.00000,7.90000,0.00000,0.00000,0.60000,0.49000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000053.csv
N4-13-000051,2020-09-26T22:16:11.376Z,"Bº PESQUERO\, ESTACIÓN DE MUESTREO Nº 5",2013-01-04,0.00000,0.00000,0.23000," < 5",529.00000,7.92000,0.00000,0.00000,0.70000,0.47000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000051.csv
N4-13-000043,2020-09-26T22:16:11.376Z,ETAP LLEGADA,2013-01-04,0.00000,0.00000,0.69000,5,449.00000,7.59000,0.00000,0.00000,1.40000,0.00000,101,,,,,,520,260.00000,270.00000,7.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000043.csv
N4-13-000049,2020-09-26T22:16:11.376Z,SALIDA PLANTA SANTANDER,2013-01-04,0.00000,0.00000,0.34000," < 5",458.00000,7.69000,0.00000,0.00000,0.00000,1.02000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000049.csv
N4-13-000057,2020-09-26T22:16:11.376Z,GRIFO VIRTUAL,2013-01-04,0.00000,0.00000,0.26000," < 5",518.00000,7.87000,0.00000,0.00000,0.80000,0.48000,,21," < 0\,001",2,"1\,33"," < 1\,6",0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000057.csv
N4-13-000048,2020-09-26T22:16:11.376Z,SALIDA DE LA ETAP,2013-01-04,0.00000,0.00000,0.32000," < 5",464.00000,7.71000,0.00000,0.00000,0.70000,0.90000,43,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000048.csv
N4-13-000050,2020-09-26T22:16:11.376Z,FUENTE FRENTE CORMORÁN,2013-01-04,0.00000,0.00000,0.14000," < 5",539.00000,8.02000,0.00000,0.00000,0.60000,0.48000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000050.csv
N4-13-000052,2020-09-26T22:16:11.376Z,FUENTE PARQUE MARIA BLANCHARD,2013-01-04,0.00000,0.00000,0.24000," < 5",528.00000,7.79000,0.00000,0.00000,0.60000,0.45000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000052.csv
N4-13-000056,2020-09-26T22:16:11.376Z,SOTO DE LA MARINA,2013-01-04,0.00000,0.00000,0.31000," < 5",531.00000,7.88000,0.00000,0.00000,0.70000,0.43000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000056.csv
N4-13-000036,2020-09-26T22:16:11.376Z,"SAN ROMÁN\, ESTACIÓN DE MUESTREO Nº 1",2013-01-03,0.00000,0.00000,0.09000," < 5",558.00000,7.83000,0.00000,0.00000,0.60000,0.51000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000036.csv
N4-13-000033,2020-09-26T22:16:11.376Z,"PALACIO DE LA MAGDALENA\, ESTACIÓN DE MUESTREO Nº 2",2013-01-03,0.00000,0.00000,0.09000," < 5",556.00000,7.80000,0.00000,0.00000,0.60000,0.53000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000033.csv
N4-13-000041,2020-09-26T22:16:11.376Z,HERRERA,2013-01-03,0.00000,0.00000,0.23000," < 5",538.00000,7.72000,0.00000,0.00000,0.60000,0.77000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000041.csv
N4-13-000037,2020-09-26T22:16:11.376Z,"PEÑACASTILLO\, ESTACIÓN DE MUESTREO Nº 4",2013-01-03,0.00000,0.00000,0.13000," < 5",516.00000,7.91000,0.00000,0.00000,0.60000,0.47000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000037.csv
N4-13-000035,2020-09-26T22:16:11.376Z,"CUETO\, ESTACIÓN DE MUESTREO Nº 6",2013-01-03,0.00000,0.00000,0.08000," < 5",540.00000,7.84000,0.00000,0.00000,0.60000,0.52000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000035.csv
N4-13-000025,2020-09-26T22:16:11.376Z,ETAP LLEGADA,2013-01-03,0.00000,0.00000,0.78000,5,525.00000,7.78000,0.00000,0.00000,1.20000,0.00000,103,,,,,,720,280.00000,340.00000,14.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000025.csv
N4-13-000031,2020-09-26T22:16:11.376Z,SALIDA PLANTA SANTANDER,2013-01-03,0.00000,0.00000,0.17000," < 5",538.00000,7.69000,0.00000,0.00000,0.00000,0.88000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000031.csv
N4-13-000039,2020-09-26T22:16:11.376Z,"CUENCO Nº 1\, DEPÓSITO DE ATALAYA",2013-01-03,0.00000,0.00000,0.26000," < 5",557.00000,7.81000,0.00000,0.00000,0.70000,0.61000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000039.csv
N4-13-000042,2020-09-26T22:16:11.376Z,GRIFO VIRTUAL,2013-01-03,0.00000,0.00000,0.42000," < 5",560.00000,7.76000,0.00000,0.00000,0.80000,0.61000,,48,"0\,002",5,"1\,86","1\,8",0,0.00000,2.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000042.csv
N4-13-000030,2020-09-26T22:16:11.376Z,SALIDA DE LA ETAP,2013-01-03,0.00000,0.00000,0.23000," < 5",538.00000,7.72000,0.00000,0.00000,0.60000,0.77000,24,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000030.csv
N4-13-000032,2020-09-26T22:16:11.376Z,FUENTE FRENTE CORMORÁN,2013-01-03,0.00000,0.00000,0.10000," < 5",525.00000,7.95000,0.00000,0.00000,0.60000,0.50000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000032.csv
N4-13-000034,2020-09-26T22:16:11.376Z,FUENTE PARQUE MARIA BLANCHARD,2013-01-03,0.00000,0.00000,0.10000," < 5",555.00000,7.78000,0.00000,0.00000,0.70000,0.51000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000034.csv
N4-13-000038,2020-09-26T22:16:11.376Z,SAN ROMÁN-VIRGEN DEL MAR,2013-01-03,0.00000,0.00000,0.11000," < 5",535.00000,8.15000,0.00000,0.00000,0.80000,0.22000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000038.csv
N4-13-000040,2020-09-26T22:16:11.376Z,BOO DE GUARNIZO (FARMACIA),2013-01-03,0.00000,0.00000,0.10000," < 5",532.00000,7.79000,0.00000,0.00000,0.70000,0.68000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000040.csv
N4-13-000019,2020-09-26T22:16:11.376Z,"SAN ROMÁN\, ESTACIÓN DE MUESTREO Nº 1",2013-01-02,0.00000,0.00000,0.06000," < 5",497.00000,7.85000,0.00000,0.00000,0.60000,0.49000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000019.csv
N4-13-000017,2020-09-26T22:16:11.376Z,"PALACIO DE LA MAGDALENA\, ESTACIÓN DE MUESTREO Nº 2",2013-01-02,0.00000,0.00000,0.09000," < 5",532.00000,7.84000,0.00000,0.00000,0.50000,0.53000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000017.csv
N4-13-000020,2020-09-26T22:16:11.376Z,"PEÑACASTILLO\, ESTACIÓN DE MUESTREO Nº 3",2013-01-02,0.00000,0.00000,0.06000," < 5",521.00000,7.81000,0.00000,0.00000,0.60000,0.59000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000020.csv
N4-13-000021,2020-09-26T22:16:11.376Z,"PEÑACASTILLO\, ESTACIÓN DE MUESTREO Nº 4",2013-01-02,0.00000,0.00000,0.10000," < 5",486.00000,7.88000,0.00000,0.00000,0.50000,0.48000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000021.csv
N4-13-000023,2020-09-26T22:16:11.376Z,MALIAÑO,2013-01-02,0.00000,0.00000,0.08000," < 5",555.00000,7.72000,0.00000,0.00000,0.50000,0.84000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000023.csv
N4-13-000143,2020-09-26T22:16:11.375Z,SALIDA PLANTA SANTANDER,2013-01-11,0.00000,0.00000,0.06000," < 5",447.00000,7.63000,0.00000,0.00000,0.00000,0.84000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000143.csv
N4-13-000151,2020-09-26T22:16:11.375Z,GRIFO VIRTUAL,2013-01-11,0.00000,0.00000,0.14000," < 5",416.00000,7.77000,0.00000,0.00000,0.50000,0.36000,,14,"0\,001"," < 1","1\,64",15,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000151.csv
N4-13-000142,2020-09-26T22:16:11.375Z,SALIDA DE LA ETAP,2013-01-11,0.00000,0.00000,0.11000," < 5",447.00000,7.61000,0.00000,0.00000,0.50000,0.81000,18,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000142.csv
N4-13-000144,2020-09-26T22:16:11.375Z,FUENTE FRENTE CORMORÁN,2013-01-11,0.00000,0.00000,0.16000," < 5",413.00000,7.85000,0.00000,0.00000,0.50000,0.52000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000144.csv
N4-13-000146,2020-09-26T22:16:11.375Z,FUENTE PARQUE MARIA BLANCHARD,2013-01-11,0.00000,0.00000,0.17000," < 5",442.00000,7.79000,0.00000,0.00000,0.60000,0.60000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000146.csv
N4-13-000150,2020-09-26T22:16:11.375Z,SOTO DE LA MARINA,2013-01-11,0.00000,0.00000,0.13000," < 5",437.00000,7.78000,0.00000,0.00000,0.50000,0.62000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000150.csv
N4-13-000130,2020-09-26T22:16:11.375Z,"SAN ROMÁN\, ESTACIÓN DE MUESTREO Nº 1",2013-01-10,0.00000,0.00000,0.13000," < 5",425.00000,7.76000,0.00000,0.00000,0.40000,0.59000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000130.csv
N4-13-000127,2020-09-26T22:16:11.375Z,"PALACIO DE LA MAGDALENA\, ESTACIÓN DE MUESTREO Nº 2",2013-01-10,0.00000,0.00000,0.15000," < 5",415.00000,7.71000,0.00000,0.00000,0.50000,0.45000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000127.csv
N4-13-000131,2020-09-26T22:16:11.375Z,"PEÑACASTILLO\, ESTACIÓN DE MUESTREO Nº 4",2013-01-10,0.00000,0.00000,0.19000," < 5",432.00000,7.85000,0.00000,0.00000,0.50000,0.43000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000131.csv
N4-13-000129,2020-09-26T22:16:11.375Z,"CUETO\, ESTACIÓN DE MUESTREO Nº 6",2013-01-10,0.00000,0.00000,0.18000," < 5",417.00000,7.79000,0.00000,0.00000,0.00000,0.60000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000129.csv
N4-13-000120,2020-09-26T22:16:11.375Z,ETAP LLEGADA,2013-01-10,0.00000,0.00000,0.44000,5,435.00000,7.80000,0.00000,0.00000,0.60000,0.00000,51,,,,,,230,50.00000,100.00000,9.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000120.csv
N4-13-000126,2020-09-26T22:16:11.375Z,SALIDA PLANTA SANTANDER,2013-01-10,0.00000,0.00000,0.11000," < 5",432.00000,7.67000,0.00000,0.00000,0.00000,0.73000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000126.csv
N4-13-000132,2020-09-26T22:16:11.375Z,"CUENCO Nº 1\, DEPÓSITO DE AVELLANO",2013-01-10,0.00000,0.00000,0.20000," < 5",420.00000,7.71000,0.00000,0.00000,0.50000,0.55000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000132.csv
N4-13-000136,2020-09-26T22:16:11.375Z,GRIFO VIRTUAL,2013-01-10,0.00000,0.00000,0.19000," < 5",440.00000,7.80000,0.00000,0.00000,0.50000,0.49000,,21," < 0\,001"," < 1","1\,6"," < 1\,6",0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000136.csv
N4-13-000125,2020-09-26T22:16:11.375Z,SALIDA DE LA ETAP,2013-01-10,0.00000,0.00000,0.16000," < 5",432.00000,7.69000,0.00000,0.00000,0.40000,0.90000,23,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000125.csv
N4-13-000128,2020-09-26T22:16:11.375Z,FUENTE PARQUE MARIA BLANCHARD,2013-01-10,0.00000,0.00000,0.14000," < 5",427.00000,7.74000,0.00000,0.00000,0.50000,0.65000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000128.csv
N4-13-000135,2020-09-26T22:16:11.375Z,BOO DE GUARNIZO (FARMACIA),2013-01-10,0.00000,0.00000,0.15000," < 5",430.00000,7.68000,0.00000,0.00000,0.50000,0.76000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000135.csv
N4-13-000134,2020-09-26T22:16:11.375Z,CACICEDO (GOFRIS),2013-01-10,0.00000,0.00000,0.16000," < 5",432.00000,7.69000,0.00000,0.00000,0.40000,0.90000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000134.csv
N4-13-000133,2020-09-26T22:16:11.375Z,PM RED PARBAYÓN,2013-01-10,0.00000,0.00000,0.16000," < 5",432.00000,7.69000,0.00000,0.00000,0.40000,0.90000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000133.csv
N4-13-000114,2020-09-26T22:16:11.375Z,"SAN ROMÁN\, ESTACIÓN DE MUESTREO Nº 1",2013-01-09,0.00000,0.00000,0.15000," < 5",414.00000,7.79000,0.00000,0.00000,0.40000,0.49000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000114.csv
N4-13-000112,2020-09-26T22:16:11.375Z,"PALACIO DE LA MAGDALENA\, ESTACIÓN DE MUESTREO Nº 2",2013-01-09,0.00000,0.00000,0.18000," < 5",412.00000,7.81000,0.00000,0.00000,0.30000,0.47000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000112.csv
N4-13-000115,2020-09-26T22:16:11.375Z,"PEÑACASTILLO\, ESTACIÓN DE MUESTREO Nº 3",2013-01-09,0.00000,0.00000,0.14000," < 5",415.00000,7.77000,0.00000,0.00000,0.40000,0.57000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000115.csv
N4-13-000116,2020-09-26T22:16:11.375Z,"PEÑACASTILLO\, ESTACIÓN DE MUESTREO Nº 4",2013-01-09,0.00000,0.00000,0.23000," < 5",443.00000,7.89000,0.00000,0.00000,0.40000,0.41000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000116.csv
N4-13-000118,2020-09-26T22:16:11.375Z,MALIAÑO,2013-01-09,0.00000,0.00000,0.16000," < 5",423.00000,7.68000,0.00000,0.00000,0.30000,0.95000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000118.csv
N4-13-000117,2020-09-26T22:16:11.375Z,MURIEDAS,2013-01-09,0.00000,0.00000,0.16000," < 5",423.00000,7.68000,0.00000,0.00000,0.30000,0.95000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000117.csv
N4-13-000113,2020-09-26T22:16:11.375Z,"CUETO\, ESTACIÓN DE MUESTREO Nº 6",2013-01-09,0.00000,0.00000,0.17000," < 5",415.00000,7.83000,0.00000,0.00000,0.40000,0.52000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000113.csv
N4-13-000111,2020-09-26T22:16:11.375Z,"Bº PESQUERO\, ESTACIÓN DE MUESTREO Nº 5",2013-01-09,0.00000,0.00000,0.18000," < 5",410.00000,7.85000,0.00000,0.00000,0.40000,0.49000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000111.csv
N4-13-000103,2020-09-26T22:16:11.375Z,ETAP LLEGADA,2013-01-09,0.00000,0.00000,0.48000,5,425.00000,7.60000,0.00000,0.00000,0.70000,0.00000,56,,,,,,220,110.00000,130.00000,2.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000103.csv
N4-13-000109,2020-09-26T22:16:11.375Z,SALIDA PLANTA SANTANDER,2013-01-09,0.00000,0.00000,0.13000," < 5",418.00000,7.70000,0.00000,0.00000,0.00000,0.93000,,,,,,,,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000109.csv
N4-13-000119,2020-09-26T22:16:11.375Z,GRIFO VIRTUAL,2013-01-09,0.00000,0.00000,0.19000," < 5",413.00000,7.82000,0.00000,0.00000,0.50000,0.45000,,18,"0\,001"," < 1","1\,67"," < 1\,6",0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000119.csv
N4-13-000108,2020-09-26T22:16:11.375Z,SALIDA DE LA ETAP,2013-01-09,0.00000,0.00000,0.16000," < 5",423.00000,7.68000,0.00000,0.00000,0.30000,0.95000,20,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000108.csv
N4-13-000110,2020-09-26T22:16:11.375Z,FUENTE FRENTE CORMORÁN,2013-01-09,0.00000,0.00000,0.19000," < 5",415.00000,8.01000,0.00000,0.00000,0.40000,0.43000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000110.csv
N4-13-000090,2020-09-26T22:16:11.375Z,"SAN ROMÁN\, ESTACIÓN DE MUESTREO Nº 1",2013-01-08,0.00000,0.00000,0.21000," < 5",394.00000,7.78000,0.00000,0.00000,0.50000,0.41000,,,,,,,0,0.00000,0.00000,0.00000,http://datos.santander.es/api/datos/calidad_agua/n4-13-000090.csv
