bs_id,position_x,position_y,registration_date,district_name,district_number,neighbourhood_name,neighbourhood_number,street_name,street_number,spots,longitude,latitude
001 a,"440443,61","4474290,65",43803,CENTRO,1,SOL,1-06,CALLE DE ALCALA,2,30,-3.701998,40.4171107
001 b,"440480,56","4474301,74",43867,CENTRO,1,SOL,1-06,CALLE DE ALCALA,6,30,-3.7015636,40.4172132
002,"440134,83","4474678,23",41813,CENTRO,1,UNIVERSIDAD,1-05,CALLE DE MIGUEL MOYA,1,24,-3.7056739,40.42058
003,"440012,98","4475760,68",41813,CHAMBERÍ,7,ARAPILES,7-02,PLAZA DEL CONDE DEL VALLE DE SUCHIL,2,18,-3.7072122,40.4303224
004,"440396,4","4475565,36",41813,CENTRO,1,UNIVERSIDAD,1-05,CALLE DE MANUELA MALASAÑA,3,24,-3.7026739,40.4285905
005,"440447,06","4475539,6",41813,CENTRO,1,JUSTICIA,1-04,CALLE DE FUENCARRAL,106,27,-3.7020743,40.428362
006,"440754,26","4475071,08",41813,CENTRO,1,JUSTICIA,1-04,CALLE DE HORTALEZA,63,24,-3.6984093,40.4241633
007,"440811,97","4475187,49",41813,CENTRO,1,JUSTICIA,1-04,CALLE DE HORTALEZA,75,21,-3.6977399,40.4252161
008,"441020,56","4475463,16",41813,CHAMBERÍ,7,ALMAGRO,7-04,PLAZA DE ALONSO MARTINEZ,6,24,-3.6953067,40.4277143
009,"439813,51","4474129,47",41813,CENTRO,1,PALACIO,1-01,PLAZA DE SAN MIGUEL,9,24,-3.7094093,40.4156134
010,"441292,12","4475204,43",41813,CENTRO,1,JUSTICIA,1-04,CALLE DEL MARQUES DE LA ENSENADA,16,24,-3.6920816,40.4254027
011,"440314,86","4475395,19",41813,CENTRO,1,UNIVERSIDAD,1-05,CALLE DE SAN ANDRES,20,24,-3.7036192,40.4270517
012,"440095,53","4475560,73",41813,CENTRO,1,UNIVERSIDAD,1-05,CALLE DE SAN BERNARDO,87,24,-3.7062202,40.4285271
013,"439733,78","4475434,65",41813,CENTRO,1,UNIVERSIDAD,1-05,CALLE DEL CONDE DUQUE,22,24,-3.7104727,40.4273652
014,"439486,2","4475284,13",44045,MONCLOA-ARAVACA,9,ARGÜELLES,9-02,CALLE DE VENTURA RODRIGUEZ,1,24,-3.7133768,40.4259913
015,"439996,77","4475313,59",43881,CENTRO,1,UNIVERSIDAD,1-05,CALLE DEL NORTE,10,21,-3.7073611,40.4262937
016,"439982,39","4474941,66",41813,CENTRO,1,UNIVERSIDAD,1-05,CALLE DE SAN BERNARDO,22,21,-3.7074955,40.4229421
017,"440263,35","4474964,43",41813,CENTRO,1,UNIVERSIDAD,1-05,PLAZA DE CARLOS CAMBRONERO,2,24,-3.7041859,40.4231675
018,"440653,13","4474711,92",41813,CENTRO,1,JUSTICIA,1-04,PLAZA DE PEDRO ZEROLO,1,24,-3.6995679,40.4209206
019,"441007,98","4474817,8",41813,CENTRO,1,JUSTICIA,1-04,CALLE DE PRIM,4,24,-3.6953951,40.4218997
020,"441021,37","4474517,89",41813,CENTRO,1,JUSTICIA,1-04,CALLE DE ALCALA,49,24,-3.6952095,40.4191989
020 ampliacion,"441014,52","4474516,49",43291,CENTRO,1,JUSTICIA,1-04,CALLE DE ALCALA,49,6,-3.6952901,40.4191858
022,"440064,4","4474630,53",41813,CENTRO,1,SOL,1-06,CALLE DE JACOMETREZO,1,24,-3.7064995,40.4201452
023,"439912,56","4474639,35",41813,CENTRO,1,PALACIO,1-01,PLAZA DE SANTO DOMINGO,S/N,24,-3.7082901,40.4202137
024,"439715,67","4474384,75",41813,CENTRO,1,PALACIO,1-01,CALLE DE CARLOS III,1,24,-3.7105866,40.417906
025 a,"440104,48","4474318,99",41813,CENTRO,1,SOL,1-06,PLAZA DEL CELENQUE,1,24,-3.7059978,40.4173416
025 b,"440102,16","4474309,87",41813,CENTRO,1,SOL,1-06,PLAZA DEL CELENQUE,1,24,-3.7060243,40.4172593
026,"441082,03","4475031,58",41813,CENTRO,1,JUSTICIA,1-04,PLAZA DE LAS SALESAS,8,24,-3.6945421,40.4238308
027,"440984,74","4473861,49",41813,CENTRO,1,CORTES,1-03,CALLE DE JESUS,frente 6,27,-3.6955803,40.4132831
028,"440752,57","4474394,64",43955,CENTRO,1,CORTES,1-03,CALLE DE ALCALA,26,24,-3.6983662,40.4180695
029,"440968,62","4474190,29",41813,CENTRO,1,CORTES,1-03,CALLE DEL MARQUES DE CUBAS,25,24,-3.6958008,40.416244
030,"439635,83","4474544,08",41813,CENTRO,1,PALACIO,1-01,CALLE DE PAVIA,6,27,-3.7115428,40.4193355
031,"440050,38","4474208,74",41813,CENTRO,1,SOL,1-06,CALLE   MAYOR,18,27,-3.706625,40.4163446
032,"440090,59","4474042,64",41813,CENTRO,1,SOL,1-06,PLAZA DE LA PROVINCIA,1,18,-3.7061355,40.4148511
033,"440340,26","4474220,99",43515,CENTRO,1,SOL,1-06,CALLE DE LAS CARRETAS,3,21,-3.7032096,40.4164757
034,"440313,43","4473992,08",41813,CENTRO,1,CORTES,1-03,PLAZA DE JACINTO BENAVENTE,S/N,24,-3.7035044,40.4144117
035,"439730,93","4473970,93",41813,CENTRO,1,PALACIO,1-01,PLAZA DEL CORDON,1,24,-3.7103676,40.4141792
036,"439614,82","4474265,33",41813,CENTRO,1,PALACIO,1-01,PLAZA DE RAMALES,5,24,-3.711764,40.4168229
037,"439409,3","4473605,14",41813,CENTRO,1,PALACIO,1-01,PLAZA DE SAN FRANCISCO,5,24,-3.7141234,40.4108606
038,439637,"4473651,64",41813,CENTRO,1,PALACIO,1-01,CARRERA DE SAN FRANCISCO,1,24,-3.7114443,40.4112961
039,439844,"4473646,66",41813,CENTRO,1,PALACIO,1-01,PLAZA DE LA CEBADA,16,27,-3.7090043,40.4112662
040,"440207,51","4473923,52",41813,CENTRO,1,EMBAJADORES,1-02,CALLE DEL CONDE DE ROMANONES,2,24,-3.7047463,40.4137865
041,"440694,54","4473746,65",43480,CENTRO,1,EMBAJADORES,1-02,CALLE DE ATOCHA,56,18,-3.6989898,40.412228
042,"440757,78","4473584,46",41813,CENTRO,1,EMBAJADORES,1-02,CALLE DE SANTA ISABEL,32,24,-3.6982294,40.4107714
043,"440391,04","4473511,6",41813,CENTRO,1,EMBAJADORES,1-02,CALLE DE LAVAPIES,36,24,-3.7025446,40.4100889
044,"440274,63","4473482,26",41813,CENTRO,1,EMBAJADORES,1-02,CALLE DEL MESON DE PAREDES,35,21,-3.7039138,40.4098162
