bs_id,position_x,position_y,registration_date,district_name,district_number,neighbourhood_name,neighbourhood_number,street_name,street_number,spots,longitude,latitude
045,"439659,1","4473168,86",41813,CENTRO,1,EMBAJADORES,1-02,GLORIETA DE LA PUERTA DE TOLEDO,1,21,-3.7111381,40.4069486
046,"439998,9","4472999,74",41813,ARGANZUELA,2,ACACIAS,2-02,CALLE DE LA RIBERA DE CURTIDORES,28,24,-3.7071178,40.4054496
047,"440368,37","4472905,07",41813,ARGANZUELA,2,ACACIAS,2-02,GLORIETA DE EMBAJADORES,7 B,24,-3.702755,40.4046233
048,"440424,7","4472996,09",41813,CENTRO,1,EMBAJADORES,1-02,GLORIETA DE EMBAJADORES,2,24,-3.7020997,40.4054473
049,"440667,66","4473061,04",41813,CENTRO,1,EMBAJADORES,1-02,RONDA DE ATOCHA,36,24,-3.6992427,40.4060497
050,"441180,67","4473307,92",41813,CENTRO,1,EMBAJADORES,1-02,CALLE DE SANTA ISABEL,57,24,-3.69322,40.4083102
051,"441148,47","4473243,04",41813,CENTRO,1,EMBAJADORES,1-02,PLAZA DEL EMPERADOR CARLOS V,7,27,-3.6935934,40.4077234
052,"440544,34","4474002,06",41813,CENTRO,1,CORTES,1-03,PLAZA DE SANTA ANA,9,24,-3.7007838,40.4145181
053,"440543,46","4473309,62",41813,CENTRO,1,EMBAJADORES,1-02,CALLE DE VALENCIA,frente 2,24,-3.7007295,40.4082802
054,"440592,35","4475345,44",41813,CENTRO,1,JUSTICIA,1-04,CALLE DE BARCELO,7,21,-3.7003435,40.4266233
055,"440455,56","4475063,26",41813,CENTRO,1,UNIVERSIDAD,1-05,PLAZA DE SAN ILDEFONSO,8,24,-3.7019295,40.4240716
056,"440335,43","4474443,96",41813,CENTRO,1,SOL,1-06,PLAZA DEL CARMEN,1,24,-3.7032875,40.418484
057,"439536,86","4475688,34",41813,CENTRO,1,UNIVERSIDAD,1-05,CALLE DE SANTA CRUZ DE MARCENADO,24,24,-3.7128181,40.4296363
058,"440791,91","4474859,51",41813,CENTRO,1,JUSTICIA,1-04,CALLE DE AUGUSTO FIGUEROA,33,24,-3.6979458,40.4222601
059,"440271,27","4475221,1",41813,CENTRO,1,UNIVERSIDAD,1-05,CALLE DEL ESPIRITU SANTO,30,21,-3.7041167,40.4254802
060,"441616,3","4474541,2",41813,RETIRO,3,JERÓNIMOS,3-05,PLAZA DE LA INDEPENDENCIA,7,24,-3.6881994,40.4194508
061,"442720,29","4474753,26",41813,RETIRO,3,IBIZA,3-04,CALLE DE O'DONNELL,30,24,-3.675206,40.4214379
062,"442956,32","4474735,99",41813,RETIRO,3,IBIZA,3-04,CALLE DE O'DONNELL,48,24,-3.6724223,40.4212986
063,"443103,74","4474356,79",41813,RETIRO,3,IBIZA,3-04,CALLE DE IBIZA,64,24,-3.6706508,40.4178926
065,"441513,53","4474235,07",41813,RETIRO,3,JERÓNIMOS,3-05,CALLE DE ANTONIO MAURA,15,24,-3.6893825,40.4166859
067,"441190,08","4473587,45",41813,CENTRO,1,CORTES,1-03,CALLE DE ALMADEN,28,24,-3.6931349,40.410829
068,"441358,92","4473802,81",41813,RETIRO,3,JERÓNIMOS,3-05,CALLE DE ESPALTER,1,21,-3.6911649,40.412781
069,"441551,54","4473499,36",41813,RETIRO,3,JERÓNIMOS,3-05,CALLE DE ALFONSO XII,54,27,-3.6888669,40.4100609
070,"442494,99","4474064,79",41813,RETIRO,3,JERÓNIMOS,3-05,AVENIDA DE MENENDEZ PELAYO,frente 63,24,-3.6777994,40.4152203
071,"442816,22","4474149,49",41813,RETIRO,3,NIÑO JESÚS,3-06,CALLE DEL DOCE DE OCTUBRE,28,24,-3.674021,40.4160054
072,"443189,11","4474115,08",41813,RETIRO,3,NIÑO JESÚS,3-06,CALLE DEL DOCTOR ESQUERDO,62,24,-3.669623,40.415721
073,"443229,99","4473642,11",41813,RETIRO,3,ESTRELLA,3-03,PLAZA DE LOS ASTROS,S/N,24,-3.669099,40.411463
074,"442595,78","4473679,92",41813,RETIRO,3,JERÓNIMOS,3-05,AVENIDA DE MENENDEZ PELAYO,S/N,24,-3.6765768,40.4117601
075,"442436,91","4473301,34",41813,RETIRO,3,JERÓNIMOS,3-05,AVENIDA DE MENENDEZ PELAYO,S/N,24,-3.6784149,40.4083387
076,"442712,67","4473182,27",41813,RETIRO,3,NIÑO JESÚS,3-06,AVENIDA DEL MEDITERRANEO,19,24,-3.6751544,40.4072851
077,"443083,53","4473073,95",41813,RETIRO,3,PACÍFICO,3-01,PLAZA DEL CONDE DE CASAL,8,22,-3.6707742,40.4063347
078,"442755,86","4472436,57",41813,RETIRO,3,ADELFAS,3-02,CALLE DEL CERRO DE LA PLATA,2,24,-3.6745783,40.4005704
079,"442252,73","4472937,49",41813,RETIRO,3,PACÍFICO,3-01,AVENIDA DE MENENDEZ PELAYO,38,24,-3.6805524,40.4050482
080 a,"441412,24","4473206,43",41813,ARGANZUELA,2,ATOCHA,2-07,AVENIDA DE LA CIUDAD DE BARCELONA,S/N,24,-3.6904816,40.4074122
080 b,"441391,88","4473230,32",41813,ARGANZUELA,2,ATOCHA,2-07,AVENIDA DE LA CIUDAD DE BARCELONA,S/N,27,-3.6907238,40.407626
081,"441288,14","4473447,57",41813,RETIRO,3,JERÓNIMOS,3-05,CALLE DE CLAUDIO MOYANO,S/N,24,-3.6919663,40.4095758
082,"443177,93","4473311,29",41813,RETIRO,3,ESTRELLA,3-03,CALLE DE LA LIRA,frente 2,24,-3.669683,40.4084793
083,"442770,38","4473844,96",41813,RETIRO,3,NIÑO JESÚS,3-06,CALLE DE PIO BAROJA,8 B,24,-3.6745339,40.4132589
084,"442918,27","4472746,05",41813,RETIRO,3,ADELFAS,3-02,CALLE DEL DOCTOR ESQUERDO,191,24,-3.6726923,40.4033695
085,"442319,29","4474723,43",41813,RETIRO,3,JERÓNIMOS,3-05,AVENIDA DE MENENDEZ PELAYO,frente 9,27,-3.6799299,40.4211415
086,"441180,29","4474447,71",41904,CENTRO,1,CORTES,1-03,PASEO DEL PRADO,S/N,21,-3.6933298,40.4185779
087,"442016,68","4475450,66",41813,SALAMANCA,4,RECOLETOS,4-01,CALLE DE AYALA,44,24,-3.6835631,40.4276717
088,"442004,11","4475843,28",41813,SALAMANCA,4,CASTELLANA,4-06,CALLE DE VELAZQUEZ,73,24,-3.6837471,40.4312077
089,"442728,15","4475399,8",41813,SALAMANCA,4,GOYA,4-02,CALLE DE AYALA,102,24,-3.6751716,40.4272628
090,"442000,33","4475163,96",41813,SALAMANCA,4,RECOLETOS,4-01,CALLE DE GOYA,18,24,-3.6837297,40.4250878
090 ampliacion,"442014,61","4475162,88",43115,SALAMANCA,4,RECOLETOS,4-01,CALLE DE GOYA,20,6,-3.6835613,40.4250791
091,"442417,66","4475274,35",41813,SALAMANCA,4,GOYA,4-02,CALLE DE HERMOSILLA,73,24,-3.6788203,40.4261113
092,"441767,83","4475291,85",41813,SALAMANCA,4,RECOLETOS,4-01,CALLE DE CLAUDIO COELLO,45,24,-3.6864821,40.4262237
093,"441518,8","4475235,48",41813,SALAMANCA,4,RECOLETOS,4-01,CALLE DE GOYA,3,24,-3.6894124,40.4256984
094,"441407,18","4474977,73",41813,SALAMANCA,4,RECOLETOS,4-01,PASEO DE RECOLETOS,22,21,-3.6907044,40.4233686
095,"441721,55",4474897,41813,SALAMANCA,4,RECOLETOS,4-01,CALLE DE CLAUDIO COELLO,19,24,-3.6869914,40.4226634
096,"442140,46","4474825,84",41813,SALAMANCA,4,RECOLETOS,4-01,CALLE DE ALCALA,111,27,-3.6820471,40.4220516
097,"442301,64","4474872,66",41813,SALAMANCA,4,GOYA,4-02,AVENIDA DE MENENDEZ PELAYO,1,27,-3.6801515,40.4224846
098,"442705,5","4475058,99",41813,SALAMANCA,4,GOYA,4-02,AVENIDA DE FELIPE II,5,24,-3.6754079,40.4241911
099,"442829,62","4475270,48",41813,SALAMANCA,4,GOYA,4-02,CALLE DE ALCANTARA,2,24,-3.6739638,40.4261048
100,"442835,81","4475123,85",41813,SALAMANCA,4,GOYA,4-02,CALLE DE GOYA,99,24,-3.6738777,40.4247843
101,"443212,16","4474936,49",41813,SALAMANCA,4,GOYA,4-02,CALLE DE JORGE JUAN,131,24,-3.6694246,40.4231223
102,"441967,18","4474727,67",41813,SALAMANCA,4,RECOLETOS,4-01,CALLE DE ALCALA,95,24,-3.6840806,40.4211552
103,"441766,91","4475752,49",41813,SALAMANCA,4,CASTELLANA,4-06,CALLE DE JOSE ORTEGA Y GASSET,4,24,-3.6865351,40.4303733
104,"441505,58","4475354,07",41813,SALAMANCA,4,RECOLETOS,4-01,PASEO DE LA CASTELLANA,4,21,-3.6895792,40.4267658
105,"441684,37","4475386,27",41813,SALAMANCA,4,RECOLETOS,4-01,CALLE DE SERRANO,46,24,-3.6874745,40.4270684
106 a,"441647,49","4475141,87",41782,SALAMANCA,4,RECOLETOS,4-01,CALLE DE SERRANO,32,18,-3.6878868,40.4248642
106 b,"441649,86","4475157,87",41813,SALAMANCA,4,RECOLETOS,4-01,CALLE DE SERRANO,34,18,-3.6878604,40.4250085
107,"441599,07","4474779,37",41813,SALAMANCA,4,RECOLETOS,4-01,CALLE DE SERRANO,8,24,-3.6884243,40.4215952
108,"443111,6","4475416,83",41813,SALAMANCA,4,GOYA,4-02,CALLE DE LAS MARTIRES CONCEPCIONISTAS,2,27,-3.670653,40.4274425
109,"442191,64","4475721,98",41813,SALAMANCA,4,CASTELLANA,4-06,CALLE DE JOSE ORTEGA Y GASSET,32,24,-3.6815253,40.4301281
110,"438921,15","4476262,7",41813,MONCLOA-ARAVACA,9,CASA DE CAMPO,9-01,PASEO DE MORET,S/N,24,-3.7201316,40.4347654
111 a,"439144,16","4476128,65",41813,CHAMBERÍ,7,GAZTAMBIDE,7-01,CALLE DEL ARCIPRESTE DE HITA,8,24,-3.7174896,40.4335742
111 b,"439120,04","4476174,12",41813,CHAMBERÍ,7,GAZTAMBIDE,7-01,CALLE DEL ARCIPRESTE DE HITA,12,24,-3.7177783,40.433982
112,"438517,07","4476028,6",41813,MONCLOA-ARAVACA,9,ARGÜELLES,9-02,PASEO DE MORET,11,24,-3.7248727,40.4326267
113,"438865,35","4475484,09",41813,MONCLOA-ARAVACA,9,CASA DE CAMPO,9-01,PASEO DEL PINTOR ROSALES,frente 38,24,-3.7207145,40.4277472
114,"439145,29","4475490,01",41813,MONCLOA-ARAVACA,9,ARGÜELLES,9-02,CALLE DE QUINTANA,13,24,-3.7174151,40.4278211
115,"439181,48","4475218,76",41813,MONCLOA-ARAVACA,9,ARGÜELLES,9-02,PLAZA DEL MARQUES DE CERRALBO,S/N,24,-3.7169626,40.4253802
116 a,"439621,73",4475069,41813,MONCLOA-ARAVACA,9,ARGÜELLES,9-02,PLAZA DE ESPAÑA,S/N,24,-3.7117588,40.4240632
116 b,"439614,47","4475083,02",41813,MONCLOA-ARAVACA,9,ARGÜELLES,9-02,PLAZA DE ESPAÑA,S/N,24,-3.7118457,40.4241889
117,"439020,83","4475833,31",41816,MONCLOA-ARAVACA,9,ARGÜELLES,9-02,CALLE DE ALTAMIRANO,24,24,-3.7189152,40.4309046
118,"441605,64","4472470,47",41813,ARGANZUELA,2,PALOS DE MOGUER,2-06,CALLE DE JUAN MARTIN EL EMPECINADO,16,24,-3.688135,40.4007959
119,"441738,36","4472542,79",41813,ARGANZUELA,2,ATOCHA,2-07,CALLE DE MENDEZ ALVARO,7,24,-3.6865777,40.4014567
120,"441043,78","4472723,55",41813,ARGANZUELA,2,PALOS DE MOGUER,2-06,CALLE DE PALOS DE LA FRONTERA,frente 27,24,-3.6947791,40.4030362
121,"440718,1","4472592,85",41813,ARGANZUELA,2,PALOS DE MOGUER,2-06,PASEO DE SANTA MARIA DE LA CABEZA,58,24,-3.6986046,40.4018356
122,"440941,06","4475664,68",41813,CHAMBERÍ,7,ALMAGRO,7-04,CALLE DE SANTA ENGRACIA,16,24,-3.6962626,40.429524
123,"439482,59","4475800,04",41813,CHAMBERÍ,7,GAZTAMBIDE,7-01,CALLE DE GUZMAN EL BUENO,2,24,-3.7134685,40.4306386
124,"440683,01","4475810,28",42186,CHAMBERÍ,7,TRAFALGAR,7-03,CALLE DE MANUEL SILVELA,18,24,-3.6993182,40.4308173
125,"441067,49","4476306,28",42186,CHAMBERÍ,7,ALMAGRO,7-04,CALLE DE FERNANDEZ DE LA HOZ,29,24,-3.6948316,40.4353128
126,"440480,69","4476228,15",42186,CHAMBERÍ,7,TRAFALGAR,7-03,CALLE DEL GENERAL ALVAREZ DE CASTRO,4,24,-3.7017424,40.4345672
127,"439915,53","4476159,21",42186,CHAMBERÍ,7,ARAPILES,7-02,CALLE DE FERNANDO EL CATOLICO,19,24,-3.7083987,40.4339055
128,"439313,53","4476733,24",42186,CHAMBERÍ,7,GAZTAMBIDE,7-01,CALLE DE CEA BERMUDEZ,59,24,-3.7155506,40.4390329
128 ampliacion,"439301,59","4476734,02",43539,CHAMBERÍ,7,GAZTAMBIDE,7-01,CALLE DE CEA BERMUDEZ,59,3,-3.7156915,40.4390391
129,"440777,63","4476658,85",42186,CHAMBERÍ,7,RÍOS ROSAS,7-05,CALLE DE JOSE ABASCAL,33,24,-3.6982818,40.4384684
130,"440489,99","4477022,03",42907,CHAMBERÍ,7,RÍOS ROSAS,7-05,CALLE DE SANTA ENGRACIA,129,20,-3.7017071,40.4417195
131,"440293,7","4477027,45",42186,CHAMBERÍ,7,RÍOS ROSAS,7-05,CALLE DE BRAVO MURILLO,44,24,-3.704022,40.4417543
132,"440334,34","4477541,61",42186,CHAMBERÍ,7,RÍOS ROSAS,7-05,CALLE DE SANTA ENGRACIA,168,24,-3.7035911,40.4463889
133,"440637,08","4477625,61",42186,TETUÁN,6,CUATRO CAMINOS,6-02,CALLE DE DULCINEA,3,24,-3.7000292,40.4471673
134,"441017,45","4477274,01",42186,CHAMBERÍ,7,RÍOS ROSAS,7-05,CALLE DE MARIA DE GUZMAN,58,24,-3.6955114,40.444027
135,"441237,54","4476990,04",42095,CHAMBERÍ,7,RÍOS ROSAS,7-05,PLAZA DE SAN JUAN DE LA CRUZ,S/N,24,-3.6928901,40.4414845
136,"441417,02","4477410,33",42186,CHAMARTÍN,5,EL VISO,5-01,PASEO DE LA CASTELLANA,106,24,-3.6908127,40.4452833
137,"441885,33","4477430,27",42186,CHAMARTÍN,5,EL VISO,5-01,PLAZA DE LA REPUBLICA ARGENTINA,6,24,-3.6852925,40.4454958
138,"441352,15","4477455,81",42186,CHAMBERÍ,7,RÍOS ROSAS,7-05,PASEO DE LA CASTELLANA,frente 108,24,-3.6915818,40.4456884
139,"441442,67","4476752,13",42186,CHAMARTÍN,5,EL VISO,5-01,CALLE DE JOSE GUTIERREZ ABASCAL,S/N,24,-3.6904495,40.4393558
140,"442081,95","4476666,37",42186,CHAMARTÍN,5,EL VISO,5-01,CALLE DE VELAZQUEZ,134,24,-3.6829045,40.438628
140 ampliación,"442081,16","4476654,37",44007,CHAMARTÍN,5,EL VISO,5-01,CALLE DE VELAZQUEZ,134,3,-3.6829127,40.4385198
141,"441537,59","4476315,08",42186,CHAMBERÍ,7,ALMAGRO,7-04,PASEO DE LA CASTELLANA,43,12,-3.6892902,40.4354253
142,"441641,97","4476103,45",42186,SALAMANCA,4,CASTELLANA,4-06,PASEO DE LA CASTELLANA,S/N,24,-3.6880402,40.4335262
143,"442474,52","4476217,99",42186,SALAMANCA,4,LISTA,4-05,CALLE DE DIEGO DE LEON,54,24,-3.6782355,40.434616
144,"442707,74","4475961,24",42175,SALAMANCA,4,LISTA,4-05,CALLE DE JUAN BRAVO,50,24,-3.6754628,40.4323192
145,"443050,11","4475675,85",42186,SALAMANCA,4,LISTA,4-05,CALLE DE JOSE ORTEGA Y GASSET,87,24,-3.671401,40.4297717
146,"442434,99","4477286,31",42175,CHAMARTÍN,5,EL VISO,5-01,CALLE DE MARIA FRANCISCA,1,18,-3.6787983,40.4442372
147,"442372,1","4477741,71",42186,CHAMARTÍN,5,EL VISO,5-01,AVENIDA DEL DOCTOR ARCE,45,24,-3.6795811,40.4483353
148,"442194,78","4478041,13",42186,CHAMARTÍN,5,EL VISO,5-01,CALLE DE SERRANO,210,24,-3.6816993,40.4510203
149,"441672,11","4477914,69",42186,CHAMARTÍN,5,EL VISO,5-01,PASEO DE LA HABANA,42,24,-3.6878512,40.4498448
150,"441443,38","4477835,19",42186,CHAMARTÍN,5,EL VISO,5-01,PASEO DE LA CASTELLANA,S/N,24,-3.690541,40.4491125
151,"441047,89","4477810,45",42186,TETUÁN,6,CUATRO CAMINOS,6-02,CALLE DE ORENSE,10,24,-3.6952023,40.4488617
152,"440733,5","4478240,82",42186,TETUÁN,6,CUATRO CAMINOS,6-02,AVENIDA DEL GENERAL PERON,frente 4,24,-3.6989497,40.4527163
153,"441230,1","4478196,25",42186,TETUÁN,6,CUATRO CAMINOS,6-02,AVENIDA DEL GENERAL PERON,frente 36,24,-3.6930894,40.45235
154,"441097,89","4478466,69",42186,TETUÁN,6,CUATRO CAMINOS,6-02,CALLE DE ORENSE,36,24,-3.6946736,40.4547769
155,"440575,2","4478749,38",42186,TETUÁN,6,CUATRO CAMINOS,6-02,CALLE DE SAN GERMÁN,55,24,-3.700864,40.4572863
156,"441385,88","4478959,93",42186,TETUÁN,6,CASTILLEJOS,6-03,CALLE DE SOR ANGELA DE LA CRUZ,2,24,-3.6913229,40.4592406
157,"441554,84","4478963,2",42186,CHAMARTÍN,5,NUEVA ESPAÑA,5-05,PASEO DE LA CASTELLANA,S/N,24,-3.6893305,40.459282
158,"441946,46","4478886,67",42186,CHAMARTÍN,5,HISPANOAMÉRICA,5-04,AVENIDA DE ALBERTO ALCOCER,22 A,24,-3.6847049,40.45862
159,"442024,96","4478401,51",42186,CHAMARTÍN,5,HISPANOAMÉRICA,5-04,PASEO DE LA HABANA,63,24,-3.6837348,40.4542549
160,"442632,03","4478722,9",42186,CHAMARTÍN,5,HISPANOAMÉRICA,5-04,CALLE DE COLOMBIA,7,24,-3.6766048,40.4571923
161,"438745,93","4474862,31",42186,MONCLOA-ARAVACA,9,CASA DE CAMPO,9-01,PASEO DE LA FLORIDA,8,24,-3.7220624,40.4221372
161 ampliacion,"438754,04","4474853,3",43355,MONCLOA-ARAVACA,9,CASA DE CAMPO,9-01,PASEO DE LA FLORIDA,6,3,-3.7219659,40.4220566
162,"439688,47","4472787,76",42186,ARGANZUELA,2,ACACIAS,2-02,PASEO DE LOS OLMOS,28,24,-3.7107559,40.4035176
163,"440055,04","4472797,85",42186,ARGANZUELA,2,ACACIAS,2-02,PASEO DE LA ESPERANZA,2 A,21,-3.7064372,40.4036349
164,"441063,58","4472068,5",42186,ARGANZUELA,2,DELICIAS,2-05,PASEO DE LAS DELICIAS,94,24,-3.6944851,40.3971366
165,"440794,37","4471598,57",43718,ARGANZUELA,2,CHOPERA,2-03,PASEO DE LA CHOPERA,frente 49,27,-3.6976134,40.3928841
166,"439478,68","4473946,37",42544,CENTRO,1,PALACIO,1-01,CALLE DE SEGOVIA,21,24,-3.7133382,40.4139396
167,"439113,04","4473926,4",42877,ARGANZUELA,2,IMPERIAL,2-01,CALLE DE SEGOVIA,47 A,24,-3.7176456,40.4137331
168,"440948,66","4472895,98",43752,ARGANZUELA,2,PALOS DE MOGUER,2-06,PASEO DE SANTA MARIA DE LA CABEZA,frente 32,24,-3.6959159,40.4045828
169,"439424,51","4472574,58",43699,ARGANZUELA,2,ACACIAS,2-02,CALLE DE TOLEDO,181,24,-3.713846,40.401578
170,"440225,41","4472515,53",43649,ARGANZUELA,2,ACACIAS,2-02,PASEO DE LA ESPERANZA,21,24,-3.704403,40.4011039
171,"440729,75","4472362,64",43649,ARGANZUELA,2,DELICIAS,2-05,CALLE DE EMBAJADORES,97,24,-3.6984459,40.3997626
172,"441146,63","4472482,09",43740,ARGANZUELA,2,PALOS DE MOGUER,2-06,CALLE DE BUSTAMANTE,1,24,-3.6935448,40.4008683
173,"440396,07","4472189,13",43699,ARGANZUELA,2,ACACIAS,2-02,PASEO DE LA ESPERANZA,59,24,-3.7023615,40.3981757
174,"440054,62","4472107,63",43718,ARGANZUELA,2,ACACIAS,2-02,PASEO DE LAS YESERIAS,8,27,-3.7063771,40.397417
175,"440738,79","4471974,72",43641,ARGANZUELA,2,CHOPERA,2-03,CALLE DE JAIME EL CONQUISTADOR,30,21,-3.6983033,40.3962687
176,"441133,61","4471746,54",43634,ARGANZUELA,2,DELICIAS,2-05,CALLE DE ALICANTE,3,24,-3.6936302,40.3942411
177,"441092,45","4471442,79",43634,ARGANZUELA,2,DELICIAS,2-05,CALLE DE BOLIVAR,3,24,-3.694087,40.3915019
178,"442391,73","4472711,75",43881,RETIRO,3,PACÍFICO,3-01,CALLE DE LEON GIL DE PALACIO,1,24,-3.6788939,40.4030242
179,"443221,91","4472140,39",43738,PUENTE DE VALLECAS,3,SAN DIEGO,3-02,AUTOVIA   M-30,S/N,24,-3.6690602,40.3979341
180,"442636,16","4471722,03",43719,ARGANZUELA,2,ATOCHA,2-07,CALLE DE LA RETAMA,5,24,-3.6759244,40.3941252
181,"442595,87","4474391,99",43634,RETIRO,3,IBIZA,3-04,CALLE DE IBIZA,18,27,-3.67664,40.4181748
