Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;Longitud;Latitud;Direccion
001 a;440443,61;4474290,65;43803;01  CENTRO;01-06 SOL;ALCALA, CALLE, DE;2;BiciMAD;30;-3.701998;40.4171107;ALCALA, CALLE, DE, 2, Plazas: 30
001 b;440480,56;4474301,74;43867;01  CENTRO;01-06 SOL;ALCALA, CALLE, DE;6;BiciMAD;30;-3.7015636;40.4172132;ALCALA, CALLE, DE, 6, Plazas: 30
002;440134,83;4474678,23;41813;01  CENTRO;01-05 UNIVERSIDAD;MIGUEL MOYA, CALLE, DE;1;BiciMAD;24;-3.7056739;40.42058;MIGUEL MOYA, CALLE, DE, 1, Plazas: 24
003;440012,98;4475760,68;41813;07  CHAMBERÍ;07-02 ARAPILES;CONDE DEL VALLE DE SUCHIL, PLAZA, DEL;2;BiciMAD;18;-3.7072122;40.4303224;CONDE DEL VALLE DE SUCHIL, PLAZA, DEL, 2, Plazas: 18
004;440396,4;4475565,36;41813;01  CENTRO;01-05 UNIVERSIDAD;MANUELA MALASAÑA, CALLE, DE;3;BiciMAD;24;-3.7026739;40.4285905;MANUELA MALASAÑA, CALLE, DE, 3, Plazas: 24
005;440447,06;4475539,6;41813;01  CENTRO;01-04 JUSTICIA;FUENCARRAL, CALLE, DE;106;BiciMAD;27;-3.7020743;40.428362;FUENCARRAL, CALLE, DE, 106, Plazas: 27
006;440754,26;4475071,08;41813;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;63;BiciMAD;24;-3.6984093;40.4241633;HORTALEZA, CALLE, DE, 63, Plazas: 24
007;440811,97;4475187,49;41813;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;75;BiciMAD;21;-3.6977399;40.4252161;HORTALEZA, CALLE, DE, 75, Plazas: 21
008;441020,56;4475463,16;41813;07  CHAMBERÍ;07-04 ALMAGRO;ALONSO MARTINEZ, PLAZA, DE;6;BiciMAD;24;-3.6953067;40.4277143;ALONSO MARTINEZ, PLAZA, DE, 6, Plazas: 24
009;439813,51;4474129,47;41813;01  CENTRO;01-01 PALACIO;SAN MIGUEL, PLAZA, DE;9;BiciMAD;24;-3.7094093;40.4156134;SAN MIGUEL, PLAZA, DE, 9, Plazas: 24
010;441292,12;4475204,43;41813;01  CENTRO;01-04 JUSTICIA;MARQUES DE LA ENSENADA, CALLE, DEL;16;BiciMAD;24;-3.6920816;40.4254027;MARQUES DE LA ENSENADA, CALLE, DEL, 16, Plazas: 24
011;440314,86;4475395,19;41813;01  CENTRO;01-05 UNIVERSIDAD;SAN ANDRES, CALLE, DE;20;BiciMAD;24;-3.7036192;40.4270517;SAN ANDRES, CALLE, DE, 20, Plazas: 24
