bs_id,position_x,position_y,district_name,district_name's URI,district_number,neighbourhood_name,neighbourhood_name's URI,neighbourhood_number,street_name,address,spots,longitude,latitude
168,440948.66,4472895.98,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Palos de Moguer,http://www.wikidata.org/entity/Q521009,2-06,Paseo De Santa Maria De La Cabeza,"Paseo De Santa Maria De La Cabeza,frente 32",24,-3.6959159,40.4045828
169,439424.51,4472574.58,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Acacias ,http://dbpedia.org/resource/Acacias,2-02,Calle De Toledo,"Calle De Toledo,181",24,-3.713846,40.401578
170,440225.41,4472515.53,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Acacias ,http://dbpedia.org/resource/Acacias,2-02,Paseo De La Esperanza,"Paseo De La Esperanza,21",24,-3.704403,40.4011039
171,440729.75,4472362.64,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Delicias ,http://dbpedia.org/resource/Las_Delicias,2-05,Calle De Embajadores,"Calle De Embajadores,97",24,-3.6984459,40.3997626
172,441146.63,4472482.09,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Palos de Moguer,http://www.wikidata.org/entity/Q521009,2-06,Calle De Bustamante,"Calle De Bustamante,1",24,-3.6935448,40.4008683
173,440396.07,4472189.13,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Acacias ,http://dbpedia.org/resource/Acacias,2-02,Paseo De La Esperanza,"Paseo De La Esperanza,59",24,-3.7023615,40.3981757
174,440054.62,4472107.63,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Acacias ,http://dbpedia.org/resource/Acacias,2-02,Paseo De Las Yeserias,"Paseo De Las Yeserias,8",27,-3.7063771,40.397417
175,440738.79,4471974.72,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Chopera ,http://dbpedia.org/resource/La_Chopera,2-03,Calle De Jaime El Conquistador,"Calle De Jaime El Conquistador,30",21,-3.6983033,40.3962687
176,441133.61,4471746.54,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Delicias ,http://dbpedia.org/resource/Las_Delicias,2-05,Calle De Alicante,"Calle De Alicante,3",24,-3.6936302,40.3942411
177,441092.45,4471442.79,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Delicias ,http://dbpedia.org/resource/Las_Delicias,2-05,Calle De Bolivar,"Calle De Bolivar,3",24,-3.694087,40.3915019
178,442391.73,4472711.75,Retiro ,http://dbpedia.org/resource/Retiro,3,Pacifico ,http://dbpedia.org/resource/Pacifico,3-01,Calle De Leon Gil De Palacio,"Calle De Leon Gil De Palacio,1",24,-3.6788939,40.4030242
179,443221.91,4472140.39,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,3,San Diego ,http://dbpedia.org/resource/San_Diego,3-02,Autovia   M-30,"Autovia   M,30,s/n",24,-3.6690602,40.3979341
180,442636.16,4471722.03,Arganzuela,http://dbpedia.org/resource/Arganzuela,2,Atocha ,http://dbpedia.org/resource/Atocha,2-07,Calle De La Retama,"Calle De La Retama,5",24,-3.6759244,40.3941252
181,442595.87,4474391.99,Retiro ,http://dbpedia.org/resource/Retiro,3,Ibiza ,http://dbpedia.org/resource/Ibiza,3-04,Calle De Ibiza,"Calle De Ibiza,18",27,-3.67664,40.4181748
