CODIGO;"ZONA VERDE / 
VIA PUBLICA";DISTRITO;DIRECCION;COMPLEMENTO DE DIRECCION ;COORD, X;COORD, Y;SISTEMA DE COORDENADAS;ESTADO;OBSERVACIONES;FECHA DATOS;LONGITUD;LATITUD
FUE_01-01_0000000001;ZV;CENTRO;PLAZA COMENDADORAS;PLAZA COMENDADORAS;439892,4997;4475419,798;ETRS89 / UTM Zona 30N;EN SERVICIO;;nov.-19;-37.086.003;404.272.429
FUE_01-01_0000000002;ZV;CENTRO;JARDINES CONDE DUQUE;JARDINES CONDE DUQUE;439766,5391;4475585,204;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.101.008;404.287.238
FUE_01-01_0000000003;ZV;CENTRO;PLAZA DE LAS SALESAS;PLAZA DE LAS SALESAS;441077,2599;4475077,763;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.946.026;404.242.464
FUE_01-01_0000000004;ZV;CENTRO;PLAZA VILLA DE PARIS;PLAZA VILLA DE PARIS;441281,789;4475192,9;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.922.023;404.252.981
FUE_01-01_0000000005;ZV;CENTRO;PLAZA VILLA DE PARIS;PLAZA VILLA DE PARIS;441199,3988;4475222,805;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.931.763;404.255.618
FUE_01-01_0000000006;ZV;CENTRO;PLAZA CRISTINO MARTOS;PLAZA CRISTINO MARTOS;439601,2523;4475244,82;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.120.169;404.256.456
FUE_01-01_0000000007;ZV;CENTRO;PLAZA SAN ILDEFONSO;PLAZA SAN ILDEFONSO;440465,5389;4475071,01;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.018.126;404.241.421
FUE_01-01_0000000008;ZV;CENTRO;PARQUE CASINO DE LA REINA;PARQUE CASINO DE LA REINA;440185,8664;4473053,601;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.049.195;404.059.482
FUE_01-01_0000000009;ZV;CENTRO;PLAZA DE LOS CARROS;PLAZA DE LOS CARROS;439636,4322;4473693,572;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-3.711.455;404.116.737
FUE_01-01_0000000012;ZV;CENTRO;PARQUE DE LA CORNISA;PARQUE DE LA CORNISA;439304,7466;4473492,437;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.153.448;404.098.378
FUE_01-01_0000000017;ZV;CENTRO;PASEO DEL PRADO;PASEO DEL PRADO;441186,3865;4473797,868;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.931.979;404.127.243
FUE_01-01_0000000018;ZV;CENTRO;CAPITAN SALAZAR MARTINEZ Nº 11;GLORIETA PUERTA DE TOLEDO, JARDÍN DE LAS HEROÍNAS DE SÁLVORA;439737,4751;4473188,049;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.102.162;404.071.271
FUE_01-01_0000000020;ZV;CENTRO;PLAZA DOS DE MAYO;PLAZA DOS DE MAYO;440248,1564;4475384,045;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.044.044;404.269.465
FUE_01-01_0000000021;ZV;CENTRO;PARQUE DE ATENAS;JUNTO PISTA DEPORTIVA;438867,16;4474075,74;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.205.578;404.150.604
FUE_01-01_0000000023;ZV;CENTRO;PLAZA DE SANTO DOMINGO;PLAZA DE SANTO DOMINGO;439913,6859;4474623,727;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.082.753;404.200.731
FUE_01-01_0000000024;ZV;CENTRO;JARDINES PLAZA GABRIEL MIRO;JARDINES PLAZA GABRIEL MIRO;439346,7118;4473805,941;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.148.802;40.412.665
FUE_01-01_0000000027;ZV;CENTRO;PARQUE DE ATENAS;PARQUE DE ATENAS;439005,2002;4474042,985;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.189.277;404.147.755
FUE_01-01_0000000028;ZV;CENTRO;PARQUE DE ATENAS;JUNTO PISTAS PETANCA Y ESTANQUE;438901,76;4474042,18;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.201.468;404.147.606
FUE_01-01_0000000029;ZV;CENTRO;PARQUE CASINO DE LA REINA;PARQUE CASINO DE LA REINA;440213,5592;4473132,298;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.046.006;404.066.592
FUE_01-01_0000000030;ZV;CENTRO;PARQUE CASINO DE LA REINA;PARQUE CASINO DE LA REINA;440150,8768;4477112,016;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.057.139;404.425.058
FUE_01-01_0000000031;VP;CENTRO;CL ARGANZUELA Nº:1;;439735,5452;4473379,122;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.102.571;404.088.482
FUE_01-01_0000000032;VP;CENTRO;CL MESON DE PAREDES, Nº 48;CABESTREROS/ PLAZA NELSON MANDELA;440273,2651;4473434,891;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.039.254;404.093.894
FUE_01-01_0000000033;VP;CENTRO;CL SAN JUSTO Nº:1;PLAZA PUERTA CERRADA;439843,2957;4473930,022;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.090.393;404.138.188
FUE_01-01_0000000034;VP;CENTRO;PLAZA JESUS Nº:4;;439995,0402;4473496,73;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.072.101;404.099.264
FUE_01-01_0000000036;VP;CENTRO;PLAZA CASCORRO Nº:11;;440951,0136;4473425,951;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.959.374;404.093.572
FUE_01-01_0000000037;VP;CENTRO;PLAZA ISABEL II Nº:8;;439838,4509;4474407,334;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.091.416;404.181.182
FUE_01-01_0000000038;VP;CENTRO;PZA. GENERAL VARA DE REY, Nº 3;;439894,0509;4473423,029;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.083.933;404.092.552
FUE_01-01_0000000039;VP;CENTRO;PZA. GABRIEL MIRO, Nº 8;;439337,9101;4473732,938;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.149.769;404.120.067
FUE_01-01_0000000041;VP;CENTRO;C/ SANTA CRUZ DE MARCENADO, 18;ESQUINA C/ CONDE DUQUE (FTE FARMACIA);439804,5471;4475601,772;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.096.543;404.288.758
FUE_01-01_0000000042;VP;CENTRO;PLAZA SANTA MARÍA SOLEDAD TORRES ACOSTA;FRENTE A CALLE LUNA, 8;440151,64;4474817,1;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.054.888;404.218.322
FUE_01-01_0000000043;VP;CENTRO;CALLE DEL ALMENDRO, 3;;439844,35;4473824,59;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-3.709.017;404.128.691
FUE_01-01_0000000044;VP;CENTRO;CIUDAD RODRIGO, JUNTO ACCESO PZA. MAYOR;CV TRAVESÍA DE BRINGAS;439879,02;4474144,04;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.086.386;404.157.493
FUE_01-01_0000000045;ZV;CENTRO;JARDINES ARQUITECTO RIBERA;JUNTO ZONA INFANTIL;440651,51;4475261,61;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.996.383;404.258.724
FUE_01-01_0000000046;VP;CENTRO;CALLE ARENAL Nº 18;;440031,29;4474322,66;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.068.608;404.173.694
FUE_01-01_0000000047;ZV;CENTRO;PLAZA DE LAVAPIÉS;JUNTO ZONA INFANTIL;440519,31;4473379,46;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.010.206;404.089.076
FAM_01-01_0000000048;ZV;CENTRO;PLAZA DEL PRÍNCIPE ALFONSO Nº5;PLAZA DE SANTA ANA, ÁREA INFANTIL;440569,19;4474037,7;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.004.943;40.414.841
