"p","callret-1"
"http://es.dbpedia.org/property/distritro",1
"http://es.dbpedia.org/property/juntoA",19
"http://es.dbpedia.org/property/parlamento",1
"http://es.dbpedia.org/property/honorificPrefix",1
"http://es.dbpedia.org/property/dobladorHispanoamérica",5
"http://es.dbpedia.org/property/causadelamuerte",1
"http://es.dbpedia.org/property/equipoDebut",8
"http://es.dbpedia.org/property/cupación",2
"http://es.dbpedia.org/property/tp",1
"http://es.dbpedia.org/property/periodo",15
"http://es.dbpedia.org/property/conference",1
"http://es.dbpedia.org/property/resultado",1
"http://es.dbpedia.org/property/batallas",276
"http://es.dbpedia.org/property/fecgaDeNacimiento",1
"http://es.dbpedia.org/property/piedefoto",1
"http://es.dbpedia.org/property/prefecto",1
"http://es.dbpedia.org/property/gobierno",3
"http://es.dbpedia.org/property/campañas",2
"http://es.dbpedia.org/property/madre",19
"http://es.dbpedia.org/property/predeceso",4
"http://es.dbpedia.org/property/sucesión",17
"http://es.dbpedia.org/property/1y",20
"http://es.dbpedia.org/property/pinpoint",1
"http://es.dbpedia.org/property/almamáter",2131
"http://es.dbpedia.org/property/hija",4
"http://es.dbpedia.org/property/cir",4
"http://es.dbpedia.org/property/ignoreIsbnError",1
"http://dbpedia.org/ontology/battle",3
"http://es.dbpedia.org/property/conflictos",174
"http://es.dbpedia.org/property/anchoTotal",1
"http://es.dbpedia.org/property/sitoweb",1
"http://es.dbpedia.org/property/comidaFavorita",1
"http://es.dbpedia.org/property/fin",7
"http://es.dbpedia.org/property/coronación",1
"http://es.dbpedia.org/property/miembroDe",43
"http://es.dbpedia.org/property/webOficial",1
"http://es.dbpedia.org/property/fuerza",1
"http://es.dbpedia.org/property/knownFor",1
"http://es.dbpedia.org/property/quote",9
"http://es.dbpedia.org/property/cargosCriminales",56
"http://es.dbpedia.org/property/subtitulo",7
"http://es.dbpedia.org/property/ideología",3
"http://es.dbpedia.org/property/enlaceautor",975
"http://dbpedia.org/ontology/parent",1
"http://es.dbpedia.org/property/t",48
"http://es.dbpedia.org/property/participoEn",2
"http://es.dbpedia.org/property/termStart",3
"http://es.dbpedia.org/property/imagenPie",1
"http://es.dbpedia.org/property/lemaFamiliar",1
"http://es.dbpedia.org/property/flick",1
"http://es.dbpedia.org/property/anchoBarra",1
"http://es.dbpedia.org/property/fallecimiento",7
"http://es.dbpedia.org/property/vicepresidenta",7
"http://es.dbpedia.org/property/tituloNobiliario",1
"http://es.dbpedia.org/property/beatificación",1
"http://es.dbpedia.org/property/author1Last",1
"http://es.dbpedia.org/property/secretario",3
"http://es.dbpedia.org/property/source",7
"http://es.dbpedia.org/property/detalle",2
"http://es.dbpedia.org/property/postgrado",4
"http://es.dbpedia.org/property/projecto",1
"http://es.dbpedia.org/property/bisnieto",1
"http://es.dbpedia.org/property/altamater",1
"http://es.dbpedia.org/property/hermanos",28
"http://es.dbpedia.org/property/imagenTamaño",5
"http://es.dbpedia.org/property/empleador",99
"http://es.dbpedia.org/property/titular",5
"http://es.dbpedia.org/property/lugarFallecimiento",2
"http://es.dbpedia.org/property/gobernador",360
"http://es.dbpedia.org/property/textoImagen",12
"http://es.dbpedia.org/property/paginaWeb",1
"http://es.dbpedia.org/property/especialidad",2
"http://es.dbpedia.org/property/pag",1
"http://es.dbpedia.org/property/visir",3
"http://es.dbpedia.org/property/cwidth",1
"http://es.dbpedia.org/property/vol",2
"http://es.dbpedia.org/property/wikidata",15
"http://dbpedia.org/ontology/office",2
"http://es.dbpedia.org/property/lealtad",192
"http://es.dbpedia.org/property/pRedecesor",1
"http://es.dbpedia.org/property/victorias",2
"http://es.dbpedia.org/property/wikiqoutes",1
"http://es.dbpedia.org/property/amante",1
"http://es.dbpedia.org/property/fechanac",430
"http://es.dbpedia.org/property/lugarPublicación",11
"http://dbpedia.org/ontology/militaryCommand",1
"http://es.dbpedia.org/property/suscripción",1
"http://es.dbpedia.org/property/páginaweb",1
"http://es.dbpedia.org/property/lugarnacimiento",4
"http://es.dbpedia.org/property/ci",2
"http://es.dbpedia.org/property/pais",2
"http://es.dbpedia.org/property/episcopadoPor",1
"http://es.dbpedia.org/property/anterior",1
"http://es.dbpedia.org/property/teniente",51
"http://es.dbpedia.org/property/especie",2
"http://es.dbpedia.org/property/relaciones",1
"http://es.dbpedia.org/property/títuloTrad",30
"http://es.dbpedia.org/property/medioDeComunicación",24
"http://es.dbpedia.org/property/perrow",1
"http://es.dbpedia.org/property/video",3
"http://es.dbpedia.org/property/licenciatura",1
"http://es.dbpedia.org/property/description",2
"http://es.dbpedia.org/property/fechaPublicación",2
"http://es.dbpedia.org/property/vicepresidente",802
"http://es.dbpedia.org/property/obrasDestacadas",17
"http://es.dbpedia.org/property/presidentaMunicipalDeTultitlán",1
"http://es.dbpedia.org/property/cargo",13444
"http://es.dbpedia.org/property/sucesr",1
"http://es.dbpedia.org/property/author1First",1
"http://es.dbpedia.org/property/pubPeriódica",3
"http://es.dbpedia.org/property/maestría",2
"http://es.dbpedia.org/property/causaDeMuerte",8
"http://es.dbpedia.org/property/directorSupremo",1
"http://www.georss.org/georss/point",3
"http://es.dbpedia.org/property/presidenta(interina)_",1
"http://dbpedia.org/ontology/birthName",2
"http://es.dbpedia.org/property/mr",19
"http://es.dbpedia.org/property/añosActivo",63
"http://es.dbpedia.org/property/series",5
"http://www.w3.org/2000/01/rdf-schema#label",22781
"http://es.dbpedia.org/property/notas",97
"http://es.dbpedia.org/property/descripcion",3
"http://es.dbpedia.org/property/fina",1
