Distrito,DistritoURI,Subepigrafe,Apartado,Numero_de_archivo,Naturaleza_del_inmueble,Situacion_Destino,Destino,Tamanio_Solar
Centro,https://www.wikidata.org/wiki/Q1763376,ZONAS VERDES,PARQUES Y JARDINES,300000,URBANA,CALLE DE BAILEN Nº 15,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,5025.42
Centro,https://www.wikidata.org/wiki/Q1763376,ZONAS VERDES,PARQUES Y JARDINES,300001,URBANA,CALLE DE BAILEN Nº 6,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR. DENTRO DE SU PERÍMETRO SE ENCUENTRA UBICADAUNA CASETA DE GUARDAS.,26814
Centro,https://www.wikidata.org/wiki/Q1763376,ZONAS VERDES,PARQUES Y JARDINES,300002,URBANA,"CALLE DEL MESON DE PAREDES, Nº. 37 C/V CALLE DE AMPARO Nº 26",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2979.2
Centro,https://www.wikidata.org/wiki/Q1763376,ZONAS VERDES,PARQUES Y JARDINES,300003,URBANA,CALLE MESON DE PAREDES Nº 68,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1637.34
Centro,https://www.wikidata.org/wiki/Q1763376,ZONAS VERDES,PARQUES Y JARDINES,300004,URBANA,CALLE DE SEGOVIA Nº 12,DOTACIONAL SERVCIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADO TOTALMENTE PARA JARDIN PUBLICO. PROYECTODEL BARRIO HISTORICO.,172.9
Centro,https://www.wikidata.org/wiki/Q1763376,ZONAS VERDES,PARQUES Y JARDINES,300005,URBANA,"CALLE DE SEGOVIA, Nº 21-23 Y CALLE DE LA MORERÍA, Nº 28",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADO TOTALMENTE POR LOS ACCESOS AL VIADUCTO.,5462.95
Centro,https://www.wikidata.org/wiki/Q1763376,ZONAS VERDES,PARQUES Y JARDINES,300006,URBANA,"CALLE DE SEGOVIA, Nº27 C/V CUESTA DE LOS CIEGOS",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADA PARA ZONA VERDE. ACCESOS AL VIADUCTO.,1001.53
Centro,https://www.wikidata.org/wiki/Q1763376,ZONAS VERDES,PARQUES Y JARDINES,300007,URBANA,CALLE DE SEGOVIA C/V CUESTA DE LA VEGA,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. ANTIGUA ALAMEDA DE LA VIRGEN DEL PUERTO YJARDINES DE LA CUESTA DE LA VEGA. DENTRO DE SU PERIMETRO SE ENCUENTRAN UBICADOS UN EVACUATORIO, UNCANTON DE LIMPIEZAS, UNA CASETA DE PERSONAL DE JARDINERÍA Y UNA PISTA POLIVALENTE.",106811.18
Centro,https://www.wikidata.org/wiki/Q1763376,ZONAS VERDES,PARQUES Y JARDINES,300008,URBANA,"CALLE DE SEGOVIA, Nº 31 Y 37 C/V CUESTA DE JAVALQUINTO",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. ACCESOS AL VIADUCTO.,1999.63
Centro,https://www.wikidata.org/wiki/Q1763376,ZONAS VERDES,PARQUES Y JARDINES,300009,URBANA,CALLE DE SEGOVIA Nº 35,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADO PARA ZONA VERDE. ACCESOS AL VIADUCTO.,1374.79
