Numero de Puesto,Latitud,Longitud,Calle,Distrito,Barrio,Numero de Plazas
001 a,40.4171107,-3.701998,"ALCALA, CALLE, DE, 2,  ",01  CENTRO,01-06 SOL,30
001 b,40.4172132,-3.7015636,"ALCALA, CALLE, DE, 6,  ",01  CENTRO,01-06 SOL,30
002,40.42058,-3.7056739,"MIGUEL MOYA, CALLE, DE, 1,  ",01  CENTRO,01-05 UNIVERSIDAD,24
003,40.4303224,-3.7072122,"CONDE DEL VALLE DE SUCHIL, PLAZA, DEL, 2,  ",07  CHAMBERÍ,07-02 ARAPILES,18
004,40.4285905,-3.7026739,"MANUELA MALASAÑA, CALLE, DE, 3,  ",01  CENTRO,01-05 UNIVERSIDAD,24
005,40.428362,-3.7020743,"FUENCARRAL, CALLE, DE, 106,  ",01  CENTRO,01-04 JUSTICIA,27
006,40.4241633,-3.6984093,"HORTALEZA, CALLE, DE, 63,  ",01  CENTRO,01-04 JUSTICIA,24
007,40.4252161,-3.6977399,"HORTALEZA, CALLE, DE, 75,  ",01  CENTRO,01-04 JUSTICIA,21
008,40.4277143,-3.6953067,"ALONSO MARTINEZ, PLAZA, DE, 6,  ",07  CHAMBERÍ,07-04 ALMAGRO,24
009,40.4156134,-3.7094093,"SAN MIGUEL, PLAZA, DE, 9,  ",01  CENTRO,01-01 PALACIO,24
010,40.4254027,-3.6920816,"MARQUES DE LA ENSENADA, CALLE, DEL, 16,  ",01  CENTRO,01-04 JUSTICIA,24
011,40.4270517,-3.7036192,"SAN ANDRES, CALLE, DE, 20,  ",01  CENTRO,01-05 UNIVERSIDAD,24
012,40.4285271,-3.7062202,"SAN BERNARDO, CALLE, DE, 87,  ",01  CENTRO,01-05 UNIVERSIDAD,24
013,40.4273652,-3.7104727,"CONDE DUQUE, CALLE, DEL, 22,  ",01  CENTRO,01-05 UNIVERSIDAD,24
014,40.4259913,-3.7133768,"VENTURA RODRIGUEZ, CALLE, DE, 1,  ",09  MONCLOA-ARAVACA,09-02 ARGÜELLES,24
015,40.4262937,-3.7073611,"NORTE, CALLE, DEL, 10,  ",01  CENTRO,01-05 UNIVERSIDAD,21
016,40.4229421,-3.7074955,"SAN BERNARDO, CALLE, DE, 22,  ",01  CENTRO,01-05 UNIVERSIDAD,21
017,40.4231675,-3.7041859,"CARLOS CAMBRONERO, PLAZA, DE, 2,  ",01  CENTRO,01-05 UNIVERSIDAD,24
018,40.4209206,-3.6995679,"PEDRO ZEROLO, PLAZA, DE, 1,  ",01  CENTRO,01-04 JUSTICIA,24
019,40.4218997,-3.6953951,"PRIM, CALLE, DE, 4,  ",01  CENTRO,01-04 JUSTICIA,24
020,40.4191989,-3.6952095,"ALCALA, CALLE, DE, 49,  ",01  CENTRO,01-04 JUSTICIA,24
020 ,40.4191858,-3.6952901,"ALCALA, CALLE, DE, 49,  ",01  CENTRO,01-04 JUSTICIA,6
022,40.4201452,-3.7064995,"JACOMETREZO, CALLE, DE, 1,  ",01  CENTRO,01-06 SOL,24
023,40.4202137,-3.7082901,"SANTO DOMINGO, PLAZA, DE, S/N,  ",01  CENTRO,01-01 PALACIO,24
024,40.417906,-3.7105866,"CARLOS III, CALLE, DE, 1,  ",01  CENTRO,01-01 PALACIO,24
