Numero de Puesto,Latitud,Longitud,Calle,Distrito,Barrio,Numero de Plazas
025 a,40.4173416,-3.7059978,"CELENQUE, PLAZA, DEL, 1,  ",01  CENTRO,01-06 SOL,24
025 b,40.4172593,-3.7060243,"CELENQUE, PLAZA, DEL, 1,  ",01  CENTRO,01-06 SOL,24
026,40.4238308,-3.6945421,"SALESAS, PLAZA, DE LAS, 8,  ",01  CENTRO,01-04 JUSTICIA,24
027,40.4132831,-3.6955803,"JESUS, CALLE, DE, 6,  ",01  CENTRO,01-03 CORTES,27
028,40.4180695,-3.6983662,"ALCALA, CALLE, DE, 26,  ",01  CENTRO,01-03 CORTES,24
029,40.416244,-3.6958008,"MARQUES DE CUBAS, CALLE, DEL, 25,  ",01  CENTRO,01-03 CORTES,24
030,40.4193355,-3.7115428,"PAVIA, CALLE, DE, 6,  ",01  CENTRO,01-01 PALACIO,27
031,40.4163446,-3.706625,"MAYOR, CALLE, 18,  ",01  CENTRO,01-06 SOL,27
032,40.4148511,-3.7061355,"PROVINCIA, PLAZA, DE LA, 1,  ",01  CENTRO,01-06 SOL,18
033,40.4164757,-3.7032096,"CARRETAS, CALLE, DE LAS, 3,  ",01  CENTRO,01-06 SOL,21
034,40.4144117,-3.7035044,"JACINTO BENAVENTE, PLAZA, DE, S/N,  ",01  CENTRO,01-03 CORTES,24
035,40.4141792,-3.7103676,"CORDON, PLAZA, DEL, 1,  ",01  CENTRO,01-01 PALACIO,24
036,40.4168229,-3.711764,"RAMALES, PLAZA, DE, 5,  ",01  CENTRO,01-01 PALACIO,24
037,40.4108606,-3.7141234,"SAN FRANCISCO, PLAZA, DE, 5,  ",01  CENTRO,01-01 PALACIO,24
038,40.4112961,-3.7114443,"SAN FRANCISCO, CARRERA, DE, 1,  ",01  CENTRO,01-01 PALACIO,24
039,40.4112662,-3.7090043,"CEBADA, PLAZA, DE LA, 16,  ",01  CENTRO,01-01 PALACIO,27
040,40.4137865,-3.7047463,"CONDE DE ROMANONES, CALLE, DEL, 2,  ",01  CENTRO,01-02 EMBAJADORES,24
041,40.412228,-3.6989898,"ATOCHA, CALLE, DE, 56,  ",01  CENTRO,01-02 EMBAJADORES,18
042,40.4107714,-3.6982294,"SANTA ISABEL, CALLE, DE, 32,  ",01  CENTRO,01-02 EMBAJADORES,24
043,40.4100889,-3.7025446,"LAVAPIES, CALLE, DE, 36,  ",01  CENTRO,01-02 EMBAJADORES,24
044,40.4098162,-3.7039138,"MESON DE PAREDES, CALLE, DEL, 35,  ",01  CENTRO,01-02 EMBAJADORES,21
045,40.4069486,-3.7111381,"PUERTA DE TOLEDO, GLORIETA, DE LA, 1,  ",01  CENTRO,01-02 EMBAJADORES,21
046,40.4054496,-3.7071178,"RIBERA DE CURTIDORES, CALLE, DE LA, 28,  ",02  ARGANZUELA,02-02 ACACIAS,24
047,40.4046233,-3.702755,"EMBAJADORES, GLORIETA, DE, 7 B,  ",02  ARGANZUELA,02-02 ACACIAS,24
048,40.4054473,-3.7020997,"EMBAJADORES, GLORIETA, DE, 2,  ",01  CENTRO,01-02 EMBAJADORES,24
049,40.4060497,-3.6992427,"ATOCHA, RONDA, DE, 36,  ",01  CENTRO,01-02 EMBAJADORES,24
050,40.4083102,-3.69322,"SANTA ISABEL, CALLE, DE, 57,  ",01  CENTRO,01-02 EMBAJADORES,24
051,40.4077234,-3.6935934,"EMPERADOR CARLOS V, PLAZA, DEL, 7,  ",01  CENTRO,01-02 EMBAJADORES,27
052,40.4145181,-3.7007838,"SANTA ANA, PLAZA, DE, 9,  ",01  CENTRO,01-03 CORTES,24
053,40.4082802,-3.7007295,"VALENCIA, CALLE, DE, 2,  ",01  CENTRO,01-02 EMBAJADORES,24
054,40.4266233,-3.7003435,"BARCELO, CALLE, DE, 7,  ",01  CENTRO,01-04 JUSTICIA,21
055,40.4240716,-3.7019295,"SAN ILDEFONSO, PLAZA, DE, 8,  ",01  CENTRO,01-05 UNIVERSIDAD,24
056,40.418484,-3.7032875,"CARMEN, PLAZA, DEL, 1,  ",01  CENTRO,01-06 SOL,24
057,40.4296363,-3.7128181,"SANTA CRUZ DE MARCENADO, CALLE, DE, ,  ",01  CENTRO,01-05 UNIVERSIDAD,24
058,40.4222601,-3.6979458,"AUGUSTO FIGUEROA, CALLE, DE, 33,  ",01  CENTRO,01-04 JUSTICIA,24
059,40.4254802,-3.7041167,"ESPIRITU SANTO, CALLE, DEL, 30,  ",01  CENTRO,01-05 UNIVERSIDAD,21
060,40.4194508,-3.6881994,"INDEPENDENCIA, PLAZA, DE LA, 7,  ",03  RETIRO,03-05 JERÓNIMOS,24
061,40.4214379,-3.675206,"O'DONNELL, CALLE, DE, 30,  ",03  RETIRO,03-04 IBIZA,24
062,40.4212986,-3.6724223,"O'DONNELL, CALLE, DE, 48,  ",03  RETIRO,03-04 IBIZA,24
063,40.4178926,-3.6706508,"IBIZA, CALLE, DE, 64,  ",03  RETIRO,03-04 IBIZA,24
065,40.4166859,-3.6893825,"ANTONIO MAURA, CALLE, DE, 15,  ",03  RETIRO,03-05 JERÓNIMOS,24
067,40.410829,-3.6931349,"ALMADEN, CALLE, DE, 28,  ",01  CENTRO,01-03 CORTES,24
068,40.412781,-3.6911649,"ESPALTER, CALLE, DE, 1,  ",03  RETIRO,03-05 JERÓNIMOS,21
069,40.4100609,-3.6888669,"ALFONSO XII, CALLE, DE, 54,  ",03  RETIRO,03-05 JERÓNIMOS,27
070,40.4152203,-3.6777994,"MENENDEZ PELAYO, AVENIDA, DE,  63,  ",03  RETIRO,03-05 JERÓNIMOS,24
071,40.4160054,-3.674021,"DOCE DE OCTUBRE, CALLE, DEL, 28,  ",03  RETIRO,03-06 NIÑO JESÚS,24
072,40.415721,-3.669623,"DOCTOR ESQUERDO, CALLE, DEL, 62,  ",03  RETIRO,03-06 NIÑO JESÚS,24
073,40.411463,-3.669099,"ASTROS, PLAZA, DE LOS, S/N,  ",03  RETIRO,03-03 ESTRELLA,24
074,40.4117601,-3.6765768,"MENENDEZ PELAYO, AVENIDA, DE, S/N,  ",03  RETIRO,03-05 JERÓNIMOS,24
075,40.4083387,-3.6784149,"MENENDEZ PELAYO, AVENIDA, DE, S/N,  ",03  RETIRO,03-05 JERÓNIMOS,24
076,40.4072851,-3.6751544,"MEDITERRANEO, AVENIDA, DEL, 19,  ",03  RETIRO,03-06 NIÑO JESÚS,24
077,40.4063347,-3.6707742,"CONDE DE CASAL, PLAZA, DEL, 8,  ",03  RETIRO,03-01 PACÍFICO,22
078,40.4005704,-3.6745783,"CERRO DE LA PLATA, CALLE, DEL, 2,  ",03  RETIRO,03-02 ADELFAS,24
079,40.4050482,-3.6805524,"MENENDEZ PELAYO, AVENIDA, DE, 38,  ",03  RETIRO,03-01 PACÍFICO,24
080 a,40.4074122,-3.6904816,"CIUDAD DE BARCELONA, AVENIDA, DE LA, S/N,  ",02  ARGANZUELA,02-07 ATOCHA,24
080 b,40.407626,-3.6907238,"CIUDAD DE BARCELONA, AVENIDA, DE LA, S/N,  ",02  ARGANZUELA,02-07 ATOCHA,27
081,40.4095758,-3.6919663,"CLAUDIO MOYANO, CALLE, DE, S/N,  ",03  RETIRO,03-05 JERÓNIMOS,24
082,40.4084793,-3.669683,"LIRA, CALLE, DE LA, 2,  ",03  RETIRO,03-03 ESTRELLA,24
083,40.4132589,-3.6745339,"PIO BAROJA, CALLE, DE, 8 B,  ",03  RETIRO,03-06 NIÑO JESÚS,24
084,40.4033695,-3.6726923,"DOCTOR ESQUERDO, CALLE, DEL, 191,  ",03  RETIRO,03-02 ADELFAS,24
085,40.4211415,-3.6799299,"MENENDEZ PELAYO, AVENIDA, DE, 9,  ",03  RETIRO,03-05 JERÓNIMOS,27
086,40.4185779,-3.6933298,"PRADO, PASEO, DEL, S/N,  ",01  CENTRO,01-03 CORTES,21
087,40.4276717,-3.6835631,"AYALA, CALLE, DE, 44,  ",04  SALAMANCA,04-01 RECOLETOS,24
088,40.4312077,-3.6837471,"VELAZQUEZ, CALLE, DE, 73,  ",04  SALAMANCA,04-06 CASTELLANA,24
089,40.4272628,-3.6751716,"AYALA, CALLE, DE, 102,  ",04  SALAMANCA,04-02 GOYA,24
090,40.4250878,-3.6837297,"GOYA, CALLE, DE, 18,  ",04  SALAMANCA,04-01 RECOLETOS,24
090 ,40.4250791,-3.6835613,"GOYA, CALLE, DE, 20,  ",04  SALAMANCA,04-01 RECOLETOS,6
091,40.4261113,-3.6788203,"HERMOSILLA, CALLE, DE, 73,  ",04  SALAMANCA,04-02 GOYA,24
092,40.4262237,-3.6864821,"CLAUDIO COELLO, CALLE, DE, 45,  ",04  SALAMANCA,04-01 RECOLETOS,24
093,40.4256984,-3.6894124,"GOYA, CALLE, DE, 3,  ",04  SALAMANCA,04-01 RECOLETOS,24
094,40.4233686,-3.6907044,"RECOLETOS, PASEO, DE, 22,  ",04  SALAMANCA,04-01 RECOLETOS,21
095,40.4226634,-3.6869914,"CLAUDIO COELLO, CALLE, DE, 19,  ",04  SALAMANCA,04-01 RECOLETOS,24
096,40.4220516,-3.6820471,"ALCALA, CALLE, DE, 111,  ",04  SALAMANCA,04-01 RECOLETOS,27
097,40.4224846,-3.6801515,"MENENDEZ PELAYO, AVENIDA, DE, 1,  ",04  SALAMANCA,04-02 GOYA,27
098,40.4241911,-3.6754079,"FELIPE II, AVENIDA, DE, 5,  ",04  SALAMANCA,04-02 GOYA,24
099,40.4261048,-3.6739638,"ALCANTARA, CALLE, DE, 2,  ",04  SALAMANCA,04-02 GOYA,24
100,40.4247843,-3.6738777,"GOYA, CALLE, DE, 99,  ",04  SALAMANCA,04-02 GOYA,24
101,40.4231223,-3.6694246,"JORGE JUAN, CALLE, DE, 131,  ",04  SALAMANCA,04-02 GOYA,24
102,40.4211552,-3.6840806,"ALCALA, CALLE, DE, 95,  ",04  SALAMANCA,04-01 RECOLETOS,24
103,40.4303733,-3.6865351,"JOSE ORTEGA Y GASSET, CALLE, DE, 4,  ",04  SALAMANCA,04-06 CASTELLANA,24
104,40.4267658,-3.6895792,"CASTELLANA, PASEO, DE LA, 4,  ",04  SALAMANCA,04-01 RECOLETOS,21
105,40.4270684,-3.6874745,"SERRANO, CALLE, DE, 46,  ",04  SALAMANCA,04-01 RECOLETOS,24
106 a,40.4248642,-3.6878868,"SERRANO, CALLE, DE, 32,  ",04  SALAMANCA,04-01 RECOLETOS,18
106 b,40.4250085,-3.6878604,"SERRANO, CALLE, DE, 34,  ",04  SALAMANCA,04-01 RECOLETOS,18
107,40.4215952,-3.6884243,"SERRANO, CALLE, DE, 8,  ",04  SALAMANCA,04-01 RECOLETOS,24
108,40.4274425,-3.670653,"MARTIRES CONCEPCIONISTAS, CALLE, DE LAS, 2,  ",04  SALAMANCA,04-02 GOYA,27
109,40.4301281,-3.6815253,"JOSE ORTEGA Y GASSET, CALLE, DE, 32,  ",04  SALAMANCA,04-06 CASTELLANA,24
110,40.4347654,-3.7201316,"MORET, PASEO, DE, S/N,  ",09  MONCLOA-ARAVACA,09-01 CASA DE CAMPO,24
111 a,40.4335742,-3.7174896,"ARCIPRESTE DE HITA, CALLE, DEL, 8,  ",07  CHAMBERÍ,07-01 GAZTAMBIDE,24
111 b,40.433982,-3.7177783,"ARCIPRESTE DE HITA, CALLE, DEL, 12,  ",07  CHAMBERÍ,07-01 GAZTAMBIDE,24
112,40.4326267,-3.7248727,"MORET, PASEO, DE, 11,  ",09  MONCLOA-ARAVACA,09-02 ARGÜELLES,24
113,40.4277472,-3.7207145,"PINTOR ROSALES, PASEO, DEL, 38,  ",09  MONCLOA-ARAVACA,09-01 CASA DE CAMPO,24
114,40.4278211,-3.7174151,"QUINTANA, CALLE, DE, 13,  ",09  MONCLOA-ARAVACA,09-02 ARGÜELLES,24
115,40.4253802,-3.7169626,"MARQUES DE CERRALBO, PLAZA, DEL, S/N,  ",09  MONCLOA-ARAVACA,09-02 ARGÜELLES,24
116 a,40.4240632,-3.7117588,"ESPAÑA, PLAZA, DE, S/N,  ",09  MONCLOA-ARAVACA,09-02 ARGÜELLES,24
116 b,40.4241889,-3.7118457,"ESPAÑA, PLAZA, DE, S/N,  ",09  MONCLOA-ARAVACA,09-02 ARGÜELLES,24
117,40.4309046,-3.7189152,"ALTAMIRANO, CALLE, DE, ,  ",09  MONCLOA-ARAVACA,09-02 ARGÜELLES,24
118,40.4007959,-3.688135,"JUAN MARTIN EL EMPECINADO, CALLE, DE, 16,  ",02  ARGANZUELA,02-06 PALOS DE MOGUER,24
119,40.4014567,-3.6865777,"MENDEZ ALVARO, CALLE, DE, 7,  ",02  ARGANZUELA,02-07 ATOCHA,24
120,40.4030362,-3.6947791,"PALOS DE LA FRONTERA, CALLE, DE, 27,  ",02  ARGANZUELA,02-06 PALOS DE MOGUER,24
121,40.4018356,-3.6986046,"SANTA MARIA DE LA CABEZA, PASEO, DE, 58,  ",02  ARGANZUELA,02-06 PALOS DE MOGUER,24
122,40.429524,-3.6962626,"SANTA ENGRACIA, CALLE, DE, 16,  ",07  CHAMBERÍ,07-04 ALMAGRO,24
123,40.4306386,-3.7134685,"GUZMAN EL BUENO, CALLE, DE, 2,  ",07  CHAMBERÍ,07-01 GAZTAMBIDE,24
124,40.4308173,-3.6993182,"MANUEL SILVELA, CALLE, DE, 18,  ",07  CHAMBERÍ,07-03 TRAFALGAR,24
125,40.4353128,-3.6948316,"FERNANDEZ DE LA HOZ, CALLE, DE, 29,  ",07  CHAMBERÍ,07-04 ALMAGRO,24
126,40.4345672,-3.7017424,"GENERAL ALVAREZ DE CASTRO, CALLE, DEL, 4,  ",07  CHAMBERÍ,07-03 TRAFALGAR,24
127,40.4339055,-3.7083987,"FERNANDO EL CATOLICO, CALLE, DE, 19,  ",07  CHAMBERÍ,07-02 ARAPILES,24
128,40.4390329,-3.7155506,"CEA BERMUDEZ, CALLE, DE, 59,  ",07  CHAMBERÍ,07-01 GAZTAMBIDE,24
128 ,40.4390391,-3.7156915,"CEA BERMUDEZ, CALLE, DE, 59,  ",07  CHAMBERÍ,07-01 GAZTAMBIDE,3
129,40.4384684,-3.6982818,"JOSE ABASCAL, CALLE, DE, 33,  ",07  CHAMBERÍ,07-05 RÍOS ROSAS,24
130,40.4417195,-3.7017071,"SANTA ENGRACIA, CALLE, DE, 129,  ",07  CHAMBERÍ,07-05 RÍOS ROSAS,20
131,40.4417543,-3.704022,"BRAVO MURILLO, CALLE, DE, 44,  ",07  CHAMBERÍ,07-05 RÍOS ROSAS,24
132,40.4463889,-3.7035911,"SANTA ENGRACIA, CALLE, DE, 168,  ",07  CHAMBERÍ,07-05 RÍOS ROSAS,24
133,40.4471673,-3.7000292,"DULCINEA, CALLE, DE, 3,  ",06  TETUÁN,06-02 CUATRO CAMINOS,24
134,40.444027,-3.6955114,"MARIA DE GUZMAN, CALLE, DE, 58,  ",07  CHAMBERÍ,07-05 RÍOS ROSAS,24
135,40.4414845,-3.6928901,"SAN JUAN DE LA CRUZ, PLAZA, DE, S/N,  ",07  CHAMBERÍ,07-05 RÍOS ROSAS,24
136,40.4452833,-3.6908127,"CASTELLANA, PASEO, DE LA, 106,  ",05  CHAMARTÍN,05-01 EL VISO,24
137,40.4454958,-3.6852925,"REPUBLICA ARGENTINA, PLAZA, DE LA, 6,  ",05  CHAMARTÍN,05-01 EL VISO,24
138,40.4456884,-3.6915818,"CASTELLANA, PASEO, DE LA, 108,  ",07  CHAMBERÍ,07-05 RÍOS ROSAS,24
139,40.4393558,-3.6904495,"JOSE GUTIERREZ ABASCAL, CALLE, DE, S/N,  ",05  CHAMARTÍN,05-01 EL VISO,24
140,40.438628,-3.6829045,"VELAZQUEZ, CALLE, DE, 134,  ",05  CHAMARTÍN,05-01 EL VISO,24
140 ,40.4385198,-3.6829127,"VELAZQUEZ, CALLE, DE, 14,  ",05  CHAMARTÍN,05-01 EL VISO,3
141,40.4354253,-3.6892902,"CASTELLANA, PASEO, DE LA, 43,  ",07  CHAMBERÍ,07-04 ALMAGRO,12
142,40.4335262,-3.6880402,"CASTELLANA, PASEO, DE LA, S/N,  ",04  SALAMANCA,04-06 CASTELLANA,24
143,40.434616,-3.6782355,"DIEGO DE LEON, CALLE, DE, 54,  ",04  SALAMANCA,04-05 LISTA,24
144,40.4323192,-3.6754628,"JUAN BRAVO, CALLE, DE, 50,  ",04  SALAMANCA,04-05 LISTA,24
145,40.4297717,-3.671401,"JOSE ORTEGA Y GASSET, CALLE, DE, 87,  ",04  SALAMANCA,04-05 LISTA,24
146,40.4442372,-3.6787983,"MARIA FRANCISCA, CALLE, DE, 1,  ",05  CHAMARTÍN,05-01 EL VISO,18
147,40.4483353,-3.6795811,"DOCTOR ARCE, AVENIDA, DEL, 45,  ",05  CHAMARTÍN,05-01 EL VISO,24
148,40.4510203,-3.6816993,"SERRANO, CALLE, DE, 210,  ",05  CHAMARTÍN,05-01 EL VISO,24
149,40.4498448,-3.6878512,"LA HABANA, PASEO, DE, 42,  ",05  CHAMARTÍN,05-01 EL VISO,24
150,40.4491125,-3.690541,"CASTELLANA, PASEO, DE LA, S/N,  ",05  CHAMARTÍN,05-01 EL VISO,24
151,40.4488617,-3.6952023,"ORENSE, CALLE, DE, 10,  ",06  TETUÁN,06-02 CUATRO CAMINOS,24
152,40.4527163,-3.6989497,"GENERAL PERON, AVENIDA, DEL, 4,  ",06  TETUÁN,06-02 CUATRO CAMINOS,24
153,40.45235,-3.6930894,"GENERAL PERON, AVENIDA, DEL, 36,  ",06  TETUÁN,06-02 CUATRO CAMINOS,24
154,40.4547769,-3.6946736,"ORENSE, CALLE, DE, 36,  ",06  TETUÁN,06-02 CUATRO CAMINOS,24
155,40.4572863,-3.700864,"SAN GERMÁN, CALLE, DE, 55,  ",06  TETUÁN,06-02 CUATRO CAMINOS,24
156,40.4592406,-3.6913229,"SOR ANGELA DE LA CRUZ, CALLE, DE, 2,  ",06  TETUÁN,06-03 CASTILLEJOS,24
157,40.459282,-3.6893305,"CASTELLANA, PASEO, DE LA, S/N,  ",05  CHAMARTÍN,05-05 NUEVA ESPAÑA,24
158,40.45862,-3.6847049,"ALBERTO ALCOCER, AVENIDA, DE, 22 A,  ",05  CHAMARTÍN,05-04 HISPANOAMÉRICA,24
159,40.4542549,-3.6837348,"LA HABANA, PASEO, DE, 63,  ",05  CHAMARTÍN,05-04 HISPANOAMÉRICA,24
160,40.4571923,-3.6766048,"COLOMBIA, CALLE, DE, 7,  ",05  CHAMARTÍN,05-04 HISPANOAMÉRICA,24
161,40.4221372,-3.7220624,"FLORIDA, PASEO, DE LA, 8,  ",09  MONCLOA-ARAVACA,09-01 CASA DE CAMPO,24
161 ,40.4220566,-3.7219659,"FLORIDA, PASEO, DE LA, 6,  ",09  MONCLOA-ARAVACA,09-01 CASA DE CAMPO,3
162,40.4035176,-3.7107559,"OLMOS, PASEO, DE LOS, 28,  ",02  ARGANZUELA,02-02 ACACIAS,24
163,40.4036349,-3.7064372,"ESPERANZA, PASEO, DE LA, 2 A,  ",02  ARGANZUELA,02-02 ACACIAS,21
164,40.3971366,-3.6944851,"DELICIAS, PASEO, DE LAS, 94,  ",02  ARGANZUELA,02-05 DELICIAS,24
165,40.3928841,-3.6976134,"CHOPERA, PASEO, DE LA, 49,  ",02  ARGANZUELA,02-03 CHOPERA,27
166,40.4139396,-3.7133382,"SEGOVIA, CALLE, DE, 21,  ",01  CENTRO,01-01 PALACIO,24
167,40.4137331,-3.7176456,"SEGOVIA, CALLE, DE, 47 A,  ",02  ARGANZUELA,02-01 IMPERIAL,24
168,40.4045828,-3.6959159,"SANTA MARIA DE LA CABEZA, PASEO, DE, 32,  ",02  ARGANZUELA,02-06 PALOS DE MOGUER,24
169,40.401578,-3.713846,"TOLEDO, CALLE, DE, 181,  ",02  ARGANZUELA,02-02 ACACIAS,24
170,40.4011039,-3.704403,"ESPERANZA, PASEO, DE LA, 21,  ",02  ARGANZUELA,02-02 ACACIAS,24
171,40.3997626,-3.6984459,"EMBAJADORES, CALLE, DE, 97,  ",02  ARGANZUELA,02-05 DELICIAS,24
172,40.4008683,-3.6935448,"BUSTAMANTE, CALLE, DE, 1,  ",02  ARGANZUELA,02-06 PALOS DE MOGUER,24
173,40.3981757,-3.7023615,"ESPERANZA, PASEO, DE LA, 59,  ",02  ARGANZUELA,02-02 ACACIAS,24
174,40.397417,-3.7063771,"YESERIAS, PASEO, DE LAS, 8,  ",02  ARGANZUELA,02-02 ACACIAS,27
175,40.3962687,-3.6983033,"JAIME EL CONQUISTADOR, CALLE, DE, 30,  ",02  ARGANZUELA,02-03 CHOPERA,21
176,40.3942411,-3.6936302,"ALICANTE, CALLE, DE, 3,  ",02  ARGANZUELA,02-05 DELICIAS,24
177,40.3915019,-3.694087,"BOLIVAR, CALLE, DE, 3,  ",02  ARGANZUELA,02-05 DELICIAS,24
178,40.4030242,-3.6788939,"LEON GIL DE PALACIO, CALLE, DE, 1,  ",03  RETIRO,03-01 PACÍFICO,24
179,40.3979341,-3.6690602,"M-30, AUTOVIA, S/N,  ",13  PUENTE DE VALLECAS,13-02 SAN DIEGO,24
180,40.3941252,-3.6759244,"RETAMA, CALLE, DE LA, 5,  ",02  ARGANZUELA,02-07 ATOCHA,24
181,40.4181748,-3.67664,"IBIZA, CALLE, DE, 18,  ",03  RETIRO,03-04 IBIZA,27
182,40.4187145,-3.6655023,"ALCALDE SAINZ DE BARANDA, CALLE, DEL, 90,  ",03  RETIRO,03-03 ESTRELLA,24
183,40.4256358,-3.6694506,"HERMOSILLA, CALLE, DE, 135,  ",04  SALAMANCA,04-02 GOYA,24
184,40.4260023,-3.6653095,"MARQUES DE ZAFRA, PASEO, DEL, ,  ",04  SALAMANCA,04-03 FUENTE DEL BERRO,24
185,40.4250682,-3.661533,"MARQUES DE ZAFRA, GLORIETA, DEL, 4,  ",04  SALAMANCA,04-03 FUENTE DEL BERRO,24
186,40.429069,-3.6782783,"GENERAL PARDIÑAS, CALLE, DEL, 56,  ",04  SALAMANCA,04-05 LISTA,24
187,40.4301353,-3.6638407,"ALEJANDRO GONZALEZ, CALLE, DE, 1,  ",04  SALAMANCA,04-03 FUENTE DEL BERRO,24
188,40.4311658,-3.6589062,"DAROCA, AVENIDA, DE, 2,  ",15  CIUDAD LINEAL,15-01 VENTAS,27
189,40.4350206,-3.6555431,"VIRGEN DE LA ALEGRIA, CALLE, DE LA, 18,  ",15  CIUDAD LINEAL,15-04 CONCEPCIÓN,24
190,40.4343761,-3.6834711,"VELAZQUEZ, CALLE, DE, 91,  ",04  SALAMANCA,04-06 CASTELLANA,24
191,40.4346168,-3.6740365,"ALONSO HEREDIA, CALLE, DE, 1,  ",04  SALAMANCA,04-04 GUINDALERA,18
192,40.431855,-3.6714315,"TOREROS, AVENIDA, DE LOS, 3,  ",04  SALAMANCA,04-04 GUINDALERA,27
193,40.4325204,-3.665644,"TOREROS, AVENIDA, DE LOS, 47,  ",04  SALAMANCA,04-04 GUINDALERA,24
194,40.4371986,-3.6771947,"FRANCISCO SILVELA, CALLE, DE, 86,  ",04  SALAMANCA,04-04 GUINDALERA,24
195,40.4392483,-3.6754913,"PADRE INDALECIO HERNANDEZ, CALLE, DEL, 1,  ",05  CHAMARTÍN,05-02 PROSPERIDAD,24
196,40.4440957,-3.6750918,"SUERO DE QUIÑONES, CALLE, DE, 2,  ",05  CHAMARTÍN,05-03 CIUDAD JARDÍN,24
197,40.4515501,-3.6780252,"CONCHA ESPINA, AVENIDA, DE, S/N,  ",05  CHAMARTÍN,05-01 EL VISO,24
198,40.4331172,-3.6915713,"RUBEN DARIO, GLORIETA, DE, 2,  ",07  CHAMBERÍ,07-04 ALMAGRO,24
199,40.4343244,-3.7148406,"FERNANDO EL CATOLICO, CALLE, DE, 61,  ",07  CHAMBERÍ,07-01 GAZTAMBIDE,27
200,40.4336617,-3.704671,"QUEVEDO, GLORIETA, DE, 4,  ",07  CHAMBERÍ,07-02 ARAPILES,24
201,40.4387323,-3.7038161,"JOSE ABASCAL, CALLE, DE, 2,  ",07  CHAMBERÍ,07-05 RÍOS ROSAS,24
202,40.4411686,-3.7080969,"SANTANDER, CALLE, DE, S/N,  ",07  CHAMBERÍ,07-06 VALLEHERMOSO,24
203,40.4417547,-3.7144239,"GENERAL AMPUDIA, CALLE, DEL, 2,  ",07  CHAMBERÍ,07-06 VALLEHERMOSO,24
204,40.4476606,-3.7041702,"DOCTOR SANTERO, CALLE, DEL, 1,  ",06  TETUÁN,06-01 BELLAS VISTAS,24
