PR_ID,DISTRITO,wikidata:distrito,DIRECCION,DIRECCIÓN_COMPLETA,CIUDAD,wikidata:ciudad,EMPLAZAMIENTO,Nº CARGADORES,OPERADOR,wikidata:operador,COORX,COORY,LONGITUD,LATITUD,COORDENADA_COMPLETA
23,Retiro,https://www.wikidata.org/wiki/Q2002296,"Calle Alfonso XII 2, Retiro","Calle Alfonso XII 2, Retiro, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,Repsol,https://www.wikidata.org/wiki/Q174747,"441553,76","4474522,81",-3.6889348,40.4192808,"40.4192808, -3.6889348"
24,Retiro,https://www.wikidata.org/wiki/Q2002296,"Calle Cerro de la Plata 4, Retiro","Calle Cerro de la Plata 4, Retiro, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,GIC,,"442701,58","4472363,01",-3.6752113,40.399904,"40.399904, -3.6752113"
25,Retiro,https://www.wikidata.org/wiki/Q2002296,"Plaza del Conde de Casal 6, Retiro","Plaza del Conde de Casal 6, Retiro, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Aparcamiento,2,DRIVE THE CITY,,"443198,96","4473071,62",-3.6694137,40.4063216,"40.4063216, -3.6694137"
26,Retiro,https://www.wikidata.org/wiki/Q2002296,"Calle Ibiza 1, Retiro","Calle Ibiza 1, Retiro, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,Repsol,https://www.wikidata.org/wiki/Q174747,"442444,53","4474433,54",-3.6784275,40.4185387,"40.4185387, -3.6784275"
27,Retiro,https://www.wikidata.org/wiki/Q2002296,"Plaza de la Lealtad, s/n, Retiro","Plaza de la Lealtad, s/n, Retiro, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,GIC,,"441289,71","4474176,66",-3.6920151,40.4161439,"40.4161439, -3.6920151"
28,Salamanca,https://www.wikidata.org/wiki/Q1773521,"Paseo Castellana 52, Salamanca","Paseo Castellana 52, Salamanca, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,Repsol,https://www.wikidata.org/wiki/Q174747,441650,4476325,-3.6879659,40.4355225,"40.4355225, -3.6879659"
29,Salamanca,https://www.wikidata.org/wiki/Q1773521,"Calle Castelló 105, Salamanca","Calle Castelló 105, Salamanca, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,GIC,,"442261,15","4476262,44",-3.680755,40.4350016,"40.4350016, -3.680755"
30,Salamanca,https://www.wikidata.org/wiki/Q1773521,"Calle Goya 36, Salamanca","Calle Goya 36, Salamanca, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,GIC,,"442227,27","4475141,53",-3.6810526,40.4249016,"40.4249016, -3.6810526"
31,Salamanca,https://www.wikidata.org/wiki/Q1773521,"Calle Goya 123, Salamanca","Calle Goya 123, Salamanca, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,Repsol,https://www.wikidata.org/wiki/Q174747,"443066,59","4475108,89",-3.671156,40.4246654,"40.4246654, -3.671156"
32,Salamanca,https://www.wikidata.org/wiki/Q1773521,"Calle Velázquez 74, Salamanca","Calle Velázquez 74, Salamanca, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,Repsol,https://www.wikidata.org/wiki/Q174747,"442015,28","4475633,05",-3.6835963,40.4293147,"40.4293147, -3.6835963"
33,Salamanca,https://www.wikidata.org/wiki/Q1773521,"Jardines del Descubrimiento - Acceso a Complejo de Aparcamientos subterráneos por Calle de la Armada Española, Salamanca","Jardines del Descubrimiento - Acceso a Complejo de Aparcamientos subterráneos por Calle de la Armada Española, Salamanca, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Aparcamiento,4,Empresa Municipal de Transportes de Madrid,https://www.wikidata.org/wiki/Q1094755,"441474,08","4475110,19",-3.689928,40.4245666,"40.4245666, -3.689928"
34,Salamanca,https://www.wikidata.org/wiki/Q1773521,"Plaza de Marqués de Salamanca, Salamanca","Plaza de Marqués de Salamanca, Salamanca, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Aparcamiento,1,Empresa Municipal de Transportes de Madrid,https://www.wikidata.org/wiki/Q1094755,"442391,2","4475742,85",-3.6791747,40.4303299,"40.4303299, -3.6791747"
35,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,"Avenida de Madrid Mercamadrid s/n, Villa de Vallecas","Avenida de Madrid Mercamadrid s/n, Villa de Vallecas, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Otros,2,DRIVE THE CITY,,"444302,11","4468182,62",-3.6559863,40.362353,"40.362353, -3.6559863"
36,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,"Carretera M602 km. 13, Villa de Vallecas","Carretera M602 km. 13, Villa de Vallecas, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Estación de servicio,1,Repsol,https://www.wikidata.org/wiki/Q174747,"445890,74","4469312,58",-3.637373,40.3726371,"40.3726371, -3.637373"
37,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,"Carretera Villaverde a Vallecas km. 3,5, Villa de Vallecas","Carretera Villaverde a Vallecas km. 3,5, Villa de Vallecas, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Estacion de servicio,1,Naturgy,https://www.wikidata.org/wiki/Q474690,"444372,2","4468659,86",-3.6552024,40.366657,"40.366657, -3.6552024"
38,Latina,https://www.wikidata.org/wiki/Q794954,"Calle de José de Cadalso 51, Latina","Calle de José de Cadalso 51, Latina, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Aparcamiento,1,DRIVE THE CITY,,"434762,24","4469976,18",-3.7685175,40.3778184,"40.3778184, -3.7685175"
