PR_ID,DISTRITO,wikidata:distrito,DIRECCION,DIRECCIÓN_COMPLETA,CIUDAD,wikidata:ciudad,EMPLAZAMIENTO,Nº CARGADORES,OPERADOR,wikidata:operador,COORX,COORY,LONGITUD,LATITUD,COORDENADA_COMPLETA
0,Arganzuela,https://www.wikidata.org/wiki/Q2000929,"Calle Chulapos s/n, Arganzuela","Calle Chulapos s/n, Arganzuela, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,Repsol,https://www.wikidata.org/wiki/Q174747,"438893,73","4473226,26",-3.7201631,40.4074098,"40.4074098, -3.7201631"
1,Arganzuela,https://www.wikidata.org/wiki/Q2000929,"Ronda de Valencia 1, Arganzuela","Ronda de Valencia 1, Arganzuela, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,GIC,,"440624,23","4473016,22",-3.6997503,40.4056429,"40.4056429, -3.6997503"
2,Barajas,https://www.wikidata.org/wiki/Q807230,"Calle Medina del Pomar 22, Barajas","Calle Medina del Pomar 22, Barajas, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Otros,1,ELECTRIC CHARGE SPAIN,,"450446,39","4478105,29",-3.584398,40.4521312,"40.4521312, -3.584398"
3,Carabanchel,https://www.wikidata.org/wiki/Q1001991,"Avenida de la Peseta 6, Carabanchel","Avenida de la Peseta 6, Carabanchel, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Estación de servicio,1,Repsol,https://www.wikidata.org/wiki/Q174747,"434997,82","4468934,81",-3.7656363,40.3684557,"40.3684557, -3.7656363"
4,Centro,https://www.wikidata.org/wiki/Q1763376,"Calle Génova 24, Centro","Calle Génova 24, Centro, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,GIC,,441259,4475260,-3.6924771,40.425901,"40.425901, -3.6924771"
5,Centro,https://www.wikidata.org/wiki/Q1763376,"Calle San Bernardo 14, Centro","Calle San Bernardo 14, Centro, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,Repsol,https://www.wikidata.org/wiki/Q174747,439969,4474882,-3.7076477,40.4224037,"40.4224037, -3.7076477"
6,Centro,https://www.wikidata.org/wiki/Q1763376,"Plaza de Jacinto Benavente 6, Centro","Plaza de Jacinto Benavente 6, Centro, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Aparcamiento,1,Empresa Municipal de Transportes de Madrid,https://www.wikidata.org/wiki/Q1094755,"440341,55","4474015,14",-3.7031751,40.4146214,"40.4146214, -3.7031751"
7,Centro,https://www.wikidata.org/wiki/Q1763376,"Plaza de la Cebada, Centro","Plaza de la Cebada, Centro, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Aparcamiento,2,DRIVE THE CITY,,"439749,07","4473590,81",-3.7101178,40.4107562,"40.4107562, -3.7101178"
8,Chamartín,https://www.wikidata.org/wiki/Q1766348,"Paseo Castellana 160, Chamartín","Paseo Castellana 160, Chamartín, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,Repsol,https://www.wikidata.org/wiki/Q174747,"441528,45","4478870,2",-3.6896332,40.4584423,"40.4584423, -3.6896332"
9,Chamartín,https://www.wikidata.org/wiki/Q1766348,"Calle Cardenal Marcelo Spínola 10, Chamartín","Calle Cardenal Marcelo Spínola 10, Chamartín, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,GIC,,"443204,66","4479841,35",-3.6699516,40.4673071,"40.4673071, -3.6699516"
10,Chamartín,https://www.wikidata.org/wiki/Q1766348,"Calle Hiedra 36, Chamartín","Calle Hiedra 36, Chamartín, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Aparcamiento,1,Empresa Municipal de Transportes de Madrid,https://www.wikidata.org/wiki/Q1094755,"442442,16","4480402,5",-3.6789963,40.4723097,"40.4723097, -3.6789963"
11,Chamberí,https://www.wikidata.org/wiki/Q1763370,"Paseo Castellana 33, Chamberí","Paseo Castellana 33, Chamberí, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,GIC,,"441547,43","4475930,09",-3.6891388,40.4319578,"40.4319578, -3.6891388"
12,Chamberí,https://www.wikidata.org/wiki/Q1763370,"Paseo Castellana 106, Chamberí","Paseo Castellana 106, Chamberí, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,Repsol,https://www.wikidata.org/wiki/Q174747,"441420,49","4477426,85",-3.6907733,40.4454324,"40.4454324, -3.6907733"
13,Chamberí,https://www.wikidata.org/wiki/Q1763370,"Calle Fernández de los Ríos 42, Chamberí","Calle Fernández de los Ríos 42, Chamberí, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,Repsol,https://www.wikidata.org/wiki/Q174747,"439847,45","4476302,27",-3.7092149,40.4351894,"40.4351894, -3.7092149"
14,Chamberí,https://www.wikidata.org/wiki/Q1763370,"Calle Fuencarral 114, Chamberí","Calle Fuencarral 114, Chamberí, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,Repsol,https://www.wikidata.org/wiki/Q174747,"440414,18","4475676,4",-3.7024748,40.429592,"40.429592, -3.7024748"
15,Chamberí,https://www.wikidata.org/wiki/Q1763370,"Calle Manuel Silvela 16, Chamberí","Calle Manuel Silvela 16, Chamberí, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,GIC,,440694,4475775,-3.6991853,40.4305003,"40.4305003, -3.6991853"
16,Chamberí,https://www.wikidata.org/wiki/Q1763370,"Plaza del Conde de Valle de Suchil, Chamberí","Plaza del Conde de Valle de Suchil, Chamberí, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,Repsol,https://www.wikidata.org/wiki/Q174747,"440038,83","4475778,21",-3.7069092,40.4304822,"40.4304822, -3.7069092"
17,Chamberí,https://www.wikidata.org/wiki/Q1763370,"Calle Alberto Aguilera 9, Chamberí","Calle Alberto Aguilera 9, Chamberí, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Estación de servicio,1,Repsol,https://www.wikidata.org/wiki/Q174747,"439914,74","4475692,23",-3.7083639,40.4296987,"40.4296987, -3.7083639"
18,Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,"Calle Bueso Pineda 29, Ciudad Lineal","Calle Bueso Pineda 29, Ciudad Lineal, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Vía pública,1,GIC,,"444431,81","4478363,82",-3.6553478,40.4540798,"40.4540798, -3.6553478"
19,Hortaleza,https://www.wikidata.org/wiki/Q1928529,"Avenida María de Portugal 15, Hortaleza","Avenida María de Portugal 15, Hortaleza, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Estación de servicio,1,Iberdrola,https://www.wikidata.org/wiki/Q1437502,"443849,63","4483208,55",-3.6626423,40.4976842,"40.4976842, -3.6626423"
20,Hortaleza,https://www.wikidata.org/wiki/Q1928529,"Avenida de Machupichu 105, Hortaleza","Avenida de Machupichu 105, Hortaleza, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Estación de servicio,1,GIC,,"446082,58","4479561,39",-3.6359822,40.4649769,"40.4649769, -3.6359822"
21,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,"Avenida de la Albufera 319, Puente de Vallecas","Avenida de la Albufera 319, Puente de Vallecas, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Aparcamiento,2,ECOLINERAS,,"446350,62","4470558,49",-3.6320611,40.3838908,"40.3838908, -3.6320611"
22,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,"Avenida Real de Arganda 74, Puente de Vallecas","Avenida Real de Arganda 74, Puente de Vallecas, Madrid",Madrid,https://www.wikidata.org/wiki/Q2807,Estación de servicio,1,Repsol,https://www.wikidata.org/wiki/Q174747,"448693,92","4469672,14",-3.6043841,40.3760535,"40.3760535, -3.6043841"
