District,Neighbourhood,Place,PlaceURI,Availability,AvailabilityURI,ACCIONA,Taxify,KOKO,UFO,RIDECONGA,FLASH,LIME,WIND,BIRD,REBY RIDES,MOVO,MYGO,JUMP UBER,SJV CONSULTING
CENTRO,PALACIO,CENTRO PALACIO,CENTROPALACIO,AVAILABILITY CENTRO PALACIO,AVAILABILITYCENTROPALACIO,4,4,4,4,4,4,4,4,2,4,4,4,4,4
CENTRO,EMBAJADORES,CENTRO EMBAJADORES,CENTROEMBAJADORES,AVAILABILITY CENTRO EMBAJADORES,AVAILABILITYCENTROEMBAJADORES,5,5,5,5,5,5,5,5,0,5,5,5,5,5
CENTRO,CORTES,CENTRO CORTES,CENTROCORTES,AVAILABILITY CENTRO CORTES,AVAILABILITYCENTROCORTES,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CENTRO,JUSTICIA,CENTRO JUSTICIA,CENTROJUSTICIA,AVAILABILITY CENTRO JUSTICIA,AVAILABILITYCENTROJUSTICIA,3,3,3,3,3,3,3,3,0,3,3,2,3,3
CENTRO,UNIVERSIDAD,CENTRO UNIVERSIDAD,CENTROUNIVERSIDAD,AVAILABILITY CENTRO UNIVERSIDAD,AVAILABILITYCENTROUNIVERSIDAD,5,5,5,5,5,5,5,5,0,5,5,0,5,5
CENTRO,SOL,CENTRO SOL,CENTROSOL,AVAILABILITY CENTRO SOL,AVAILABILITYCENTROSOL,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ARGANZUELA,IMPERIAL,ARGANZUELA IMPERIAL,ARGANZUELAIMPERIAL,AVAILABILITY ARGANZUELA IMPERIAL,AVAILABILITYARGANZUELAIMPERIAL,0,3,3,3,3,3,3,3,0,0,1,0,3,3
ARGANZUELA,LAS ACACIAS,ARGANZUELA LAS ACACIAS,ARGANZUELALASACACIAS,AVAILABILITY ARGANZUELA LAS ACACIAS,AVAILABILITYARGANZUELALASACACIAS,4,4,4,4,4,4,4,4,0,4,4,4,4,4
ARGANZUELA,LA CHOPERA,ARGANZUELA LA CHOPERA,ARGANZUELALACHOPERA,AVAILABILITY ARGANZUELA LA CHOPERA,AVAILABILITYARGANZUELALACHOPERA,0,1,1,1,1,1,1,1,1,1,1,1,1,1
ARGANZUELA,LEGAZPI,ARGANZUELA LEGAZPI,ARGANZUELALEGAZPI,AVAILABILITY ARGANZUELA LEGAZPI,AVAILABILITYARGANZUELALEGAZPI,0,3,3,3,3,3,3,3,3,3,3,3,3,3
ARGANZUELA,LAS DELICIAS,ARGANZUELA LAS DELICIAS,ARGANZUELALASDELICIAS,AVAILABILITY ARGANZUELA LAS DELICIAS,AVAILABILITYARGANZUELALASDELICIAS,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ARGANZUELA,PALOS DE MOGUER,ARGANZUELA PALOS DE MOGUER,ARGANZUELAPALOSDEMOGUER,AVAILABILITY ARGANZUELA PALOS DE MOGUER,AVAILABILITYARGANZUELAPALOSDEMOGUER,2,2,2,2,2,2,2,2,0,2,2,0,2,2
ARGANZUELA,ATOCHA,ARGANZUELA ATOCHA,ARGANZUELAATOCHA,AVAILABILITY ARGANZUELA ATOCHA,AVAILABILITYARGANZUELAATOCHA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RETIRO,PACÍFICO,RETIRO PACÍFICO,RETIROPACÍFICO,AVAILABILITY RETIRO PACÍFICO,AVAILABILITYRETIROPACÍFICO,2,2,2,2,2,2,2,2,0,2,2,0,2,2
RETIRO,ADELFAS,RETIRO ADELFAS,RETIROADELFAS,AVAILABILITY RETIRO ADELFAS,AVAILABILITYRETIROADELFAS,0,2,2,2,2,2,2,2,2,2,2,2,2,2
RETIRO,LA ESTRELLA,RETIRO LA ESTRELLA,RETIROLAESTRELLA,AVAILABILITY RETIRO LA ESTRELLA,AVAILABILITYRETIROLAESTRELLA,0,3,3,3,3,3,3,3,0,0,1,0,3,3
RETIRO,IBIZA,RETIRO IBIZA,RETIROIBIZA,AVAILABILITY RETIRO IBIZA,AVAILABILITYRETIROIBIZA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RETIRO,LOS JERÓNIMOS,RETIRO LOS JERÓNIMOS,RETIROLOSJERÓNIMOS,AVAILABILITY RETIRO LOS JERÓNIMOS,AVAILABILITYRETIROLOSJERÓNIMOS,2,2,2,2,2,2,2,2,2,2,2,2,2,2
RETIRO,NIÑO JESÚS,RETIRO NIÑO JESÚS,RETIRONIÑOJESÚS,AVAILABILITY RETIRO NIÑO JESÚS,AVAILABILITYRETIRONIÑOJESÚS,2,2,2,2,2,2,2,2,0,0,0,0,2,2
SALAMANCA,RECOLETOS,SALAMANCA RECOLETOS,SALAMANCARECOLETOS,AVAILABILITY SALAMANCA RECOLETOS,AVAILABILITYSALAMANCARECOLETOS,2,2,2,2,2,2,2,2,2,2,2,2,2,2
SALAMANCA,GOYA,SALAMANCA GOYA,SALAMANCAGOYA,AVAILABILITY SALAMANCA GOYA,AVAILABILITYSALAMANCAGOYA,2,2,2,2,2,2,2,2,0,0,1,0,2,2
SALAMANCA,FUENTE DEL BERRO,SALAMANCA FUENTE DEL BERRO,SALAMANCAFUENTEDELBERRO,AVAILABILITY SALAMANCA FUENTE DEL BERRO,AVAILABILITYSALAMANCAFUENTEDELBERRO,0,3,3,3,3,3,3,3,3,3,3,3,3,3
SALAMANCA,GUINDALERA,SALAMANCA GUINDALERA,SALAMANCAGUINDALERA,AVAILABILITY SALAMANCA GUINDALERA,AVAILABILITYSALAMANCAGUINDALERA,6,6,6,6,6,6,6,6,0,6,6,0,6,6
SALAMANCA,LISTA,SALAMANCA LISTA,SALAMANCALISTA,AVAILABILITY SALAMANCA LISTA,AVAILABILITYSALAMANCALISTA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SALAMANCA,CASTELLANA,SALAMANCA CASTELLANA,SALAMANCACASTELLANA,AVAILABILITY SALAMANCA CASTELLANA,AVAILABILITYSALAMANCACASTELLANA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHAMARTÍN,EL VISO,CHAMARTÍN EL VISO,CHAMARTÍNELVISO,AVAILABILITY CHAMARTÍN EL VISO,AVAILABILITYCHAMARTÍNELVISO,5,5,5,5,5,5,5,5,0,5,5,0,5,5
CHAMARTÍN,PROSPERIDAD,CHAMARTÍN PROSPERIDAD,CHAMARTÍNPROSPERIDAD,AVAILABILITY CHAMARTÍN PROSPERIDAD,AVAILABILITYCHAMARTÍNPROSPERIDAD,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CHAMARTÍN,CIUDAD JARDÍN,CHAMARTÍN CIUDAD JARDÍN,CHAMARTÍNCIUDADJARDÍN,AVAILABILITY CHAMARTÍN CIUDAD JARDÍN,AVAILABILITYCHAMARTÍNCIUDADJARDÍN,3,3,3,3,3,3,3,3,0,3,3,1,3,3
CHAMARTÍN,HISPANOAMÉRICA,CHAMARTÍN HISPANOAMÉRICA,CHAMARTÍNHISPANOAMÉRICA,AVAILABILITY CHAMARTÍN HISPANOAMÉRICA,AVAILABILITYCHAMARTÍNHISPANOAMÉRICA,4,4,4,4,4,4,4,4,0,0,2,0,4,4
CHAMARTÍN,NUEVA ESPAÑA,CHAMARTÍN NUEVA ESPAÑA,CHAMARTÍNNUEVAESPAÑA,AVAILABILITY CHAMARTÍN NUEVA ESPAÑA,AVAILABILITYCHAMARTÍNNUEVAESPAÑA,5,5,5,5,5,5,5,5,0,5,0,0,5,5
CHAMARTÍN,CASTILLA,CHAMARTÍN CASTILLA,CHAMARTÍNCASTILLA,AVAILABILITY CHAMARTÍN CASTILLA,AVAILABILITYCHAMARTÍNCASTILLA,2,2,2,2,2,2,2,2,1,2,2,2,2,2
TETUÁN,BELLAS VISTAS,TETUÁN BELLAS VISTAS,TETUÁNBELLASVISTAS,AVAILABILITY TETUÁN BELLAS VISTAS,AVAILABILITYTETUÁNBELLASVISTAS,0,3,3,3,3,3,3,3,3,3,3,3,3,3
TETUÁN,CUATRO CAMINOS,TETUÁN CUATRO CAMINOS,TETUÁNCUATROCAMINOS,AVAILABILITY TETUÁN CUATRO CAMINOS,AVAILABILITYTETUÁNCUATROCAMINOS,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TETUÁN,CASTILLEJOS,TETUÁN CASTILLEJOS,TETUÁNCASTILLEJOS,AVAILABILITY TETUÁN CASTILLEJOS,AVAILABILITYTETUÁNCASTILLEJOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TETUÁN,ALMENARA,TETUÁN ALMENARA,TETUÁNALMENARA,AVAILABILITY TETUÁN ALMENARA,AVAILABILITYTETUÁNALMENARA,0,5,5,5,5,5,5,5,0,5,5,5,5,5
TETUÁN,VALDEACEDERAS,TETUÁN VALDEACEDERAS,TETUÁNVALDEACEDERAS,AVAILABILITY TETUÁN VALDEACEDERAS,AVAILABILITYTETUÁNVALDEACEDERAS,0,6,6,6,6,6,6,6,0,6,6,1,6,6
TETUÁN,BERRUGUETE,TETUÁN BERRUGUETE,TETUÁNBERRUGUETE,AVAILABILITY TETUÁN BERRUGUETE,AVAILABILITYTETUÁNBERRUGUETE,0,3,3,3,3,3,3,3,3,3,3,3,3,3
CHAMBERÍ,GAZTAMBIDE,CHAMBERÍ GAZTAMBIDE,CHAMBERÍGAZTAMBIDE,AVAILABILITY CHAMBERÍ GAZTAMBIDE,AVAILABILITYCHAMBERÍGAZTAMBIDE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHAMBERÍ,ARAPILES,CHAMBERÍ ARAPILES,CHAMBERÍARAPILES,AVAILABILITY CHAMBERÍ ARAPILES,AVAILABILITYCHAMBERÍARAPILES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHAMBERÍ,TRAFALGAR,CHAMBERÍ TRAFALGAR,CHAMBERÍTRAFALGAR,AVAILABILITY CHAMBERÍ TRAFALGAR,AVAILABILITYCHAMBERÍTRAFALGAR,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CHAMBERÍ,ALMAGRO,CHAMBERÍ ALMAGRO,CHAMBERÍALMAGRO,AVAILABILITY CHAMBERÍ ALMAGRO,AVAILABILITYCHAMBERÍALMAGRO,2,2,2,2,2,2,2,2,2,2,2,2,2,2
