COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;COD_VIAL;CLASE_VIAL;PARTICULAS_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;DÍA SEMANA;TURNO;HORA INICIO;HORA FINAL;DIRRECCIONHORA
;Punto Limpio Móvil;;;Calle  Príncipe de Vergara, 110 ;;;Calle;;Príncipe de Vergara;número;110;;;05;CHAMARTIN;442421,33;4476741,68;40.4393301262956;-3.67890999372858;LUNES;MAÑANA;7:00;8:30;Calle  Príncipe de Vergara, 110  (LUNES MAÑANA 7:00- 8:30)
;Punto Limpio Móvil;;;Calle  San Marcelo, 6 ;;;Calle;;San Marcelo;número;6;;;15;CIUDAD LINEAL;444161,68;4475366,47;40.42706013;-3.658269994;LUNES;MAÑANA;7:00;8:30;Calle  San Marcelo, 6  (LUNES MAÑANA 7:00- 8:30)
;Punto Limpio Móvil;;;Avenida  Doctor Arce, 1 Intersección con Plaza de la República Argentina;Intersección con Plaza de la República Argentina;;Avenida;;Doctor Arce;número;1;;;05;CHAMARTIN;441900,66;4477410,63;40.44532013;-3.685109994;LUNES;MAÑANA;8:45;10:15;Avenida  Doctor Arce, 1 Intersección con Plaza de la República Argentina (LUNES MAÑANA 8:45- 10:15)
;Punto Limpio Móvil;;;Calle  Santurce,  Intersección con Calle Luis Ruiz;Intersección con Calle Luis Ruiz;;Calle;;Santurce;;;;;15;CIUDAD LINEAL;446077,17;4475366,87;40.42719013;-3.635689994;LUNES;MAÑANA;8:45;10:15;Calle  Santurce,  Intersección con Calle Luis Ruiz (LUNES MAÑANA 8:45- 10:15)
;Punto Limpio Móvil;;;Calle  Pradillo, 22 ;;;Calle;;Pradillo;número;22;;;05;CHAMARTIN;442881,26;4477772,74;40.44865013;-3.673579994;LUNES;MAÑANA;10:30;12:00;Calle  Pradillo, 22  (LUNES MAÑANA 10:30- 12:00)
;Punto Limpio Móvil;;;Calle  Gómez de Avellaneda, 14 ;;;Calle;;Gómez de Avellaneda;número;14;;;15;CIUDAD LINEAL;445480,21;4476101,61;40.43377013;-3.642789994;LUNES;MAÑANA;10:30;12:00;Calle  Gómez de Avellaneda, 14  (LUNES MAÑANA 10:30- 12:00)
;Punto Limpio Móvil;;;Paseo  de la Dirección, 328 ;;;Paseo;;de la Dirección;número;328;;;06;TETUAN;440313,76;4480160,56;40.46998013;-3.704079993;LUNES;MAÑANA;10:30;12:00;Paseo  de la Dirección, 328  (LUNES MAÑANA 10:30- 12:00)
;Punto Limpio Móvil;;;Calle  Padre Claret, 17 ;;;Calle;;Padre Claret;número;17;;;05;CHAMARTIN;443640,94;4477637,11;40.44748013;-3.664609994;LUNES;MAÑANA;12:15;13:45;Calle  Padre Claret, 17  (LUNES MAÑANA 12:15- 13:45)
;Punto Limpio Móvil;;;Calle  Hierbabuena, 13 ;;;Calle;;Hierbabuena;número;13;;;06;TETUAN;440494,07;4479060,15;40.46008013;-3.701849994;LUNES;TARDE;15:45;17:15;Calle  Hierbabuena, 13  (LUNES TARDE 15:45- 17:15)
;Punto Limpio Móvil;;;Calle  Julio Dánvila, 1 Frente al colegio;Frente al colegio;;Calle;;Julio Dánvila;número;1;;;15;CIUDAD LINEAL;443458,44;4480309,30;40.47154013;-3.666999994;LUNES;TARDE;19:15;20:45;Calle  Julio Dánvila, 1 Frente al colegio (LUNES TARDE 19:15- 20:45)
;Punto Limpio Móvil;;;Calle  Saliente,  Frente al número 10;Frente al número 10;;Calle;;Saliente;;;;;03;RETIRO;443446,55;4474466,02;40.41890013;-3.666619994;LUNES;TARDE;19:15;20:45;Calle  Saliente,  Frente al número 10 (LUNES TARDE 19:15- 20:45)
;Punto Limpio Móvil;;;Calle  Pedro Teixeira, 10 Intersección con Calle Poeta Joan Maragall;Intersección con Calle Poeta Joan Maragall;;Calle;;Pedro Teixeira;número;10;;;06;TETUAN;441286,56;4478482,20;40.45493013;-3.692449994;LUNES;TARDE;19:15;20:45;Calle  Pedro Teixeira, 10 Intersección con Calle Poeta Joan Maragall (LUNES TARDE 19:15- 20:45)
;Punto Limpio Móvil;;;Calle  Juan Duque,  Intersección con Calle Fósforo;Intersección con Calle Fósforo;;Calle;;Juan Duque;;;;;02;ARGANZUELA;438941,39;4473524,50;40.41010013;-3.719629993;MARTES;MAÑANA;7:00;8:30;Calle  Juan Duque,  Intersección con Calle Fósforo (MARTES MAÑANA 7:00- 8:30)
;Punto Limpio Móvil;;;Calle  Fernando el Católico, 73 ;;;Calle;;Fernando el Católico;número;73;;;07;CHAMBERI;439239,86;4476218,44;40.43439013;-3.716369993;MARTES;MAÑANA;7:00;8:30;Calle  Fernando el Católico, 73  (MARTES MAÑANA 7:00- 8:30)
;Punto Limpio Móvil;;;Paseo  Esperanza, 21 ;;;Paseo;;Esperanza;número;21;;;02;ARGANZUELA;440234,97;4472511,69;40.40107013;-3.704289993;MARTES;MAÑANA;8:45;10:15;Paseo  Esperanza, 21  (MARTES MAÑANA 8:45- 10:15)
