DIRECCION_COMPLETA,COD_DISTRITO,DISTRITO,LATITUD,LONGITUD,DÍA SEMANA,HORA INICIO,HORA FINAL
"Calle  Príncipe de Vergara, 110",05,CHAMARTIN,40.4393301262956,-3.67890999372858,LUNES,7:00,8:30
"Calle  San Marcelo, 6",15,CIUDAD LINEAL,40.42706013,-3.658269994,LUNES,7:00,8:30
"Avenida  Doctor Arce, 1 Intersección con Plaza de la República Argentina",05,CHAMARTIN,40.44532013,-3.685109994,LUNES,8:45,10:15
"Calle  Santurce,  Intersección con Calle Luis Ruiz",15,CIUDAD LINEAL,40.42719013,-3.635689994,LUNES,8:45,10:15
"Calle  Pradillo, 22",05,CHAMARTIN,40.44865013,-3.673579994,LUNES,10:30,12:00
"Calle  Gómez de Avellaneda, 14",15,CIUDAD LINEAL,40.43377013,-3.642789994,LUNES,10:30,12:00
"Paseo  de la Dirección, 328",06,TETUAN,40.46998013,-3.704079993,LUNES,10:30,12:00
"Calle  Padre Claret, 17",05,CHAMARTIN,40.44748013,-3.664609994,LUNES,12:15,13:45
"Calle  Hierbabuena, 13",06,TETUAN,40.46008013,-3.701849994,LUNES,15:45,17:15
"Calle  Julio Dánvila, 1 Frente al colegio",15,CIUDAD LINEAL,40.47154013,-3.666999994,LUNES,19:15,20:45
"Calle  Saliente,  Frente al número 10",03,RETIRO,40.41890013,-3.666619994,LUNES,19:15,20:45
"Calle  Pedro Teixeira, 10 Intersección con Calle Poeta Joan Maragall",06,TETUAN,40.45493013,-3.692449994,LUNES,19:15,20:45
"Calle  Juan Duque,  Intersección con Calle Fósforo",02,ARGANZUELA,40.41010013,-3.719629993,MARTES,7:00,8:30
"Calle  Fernando el Católico, 73",07,CHAMBERI,40.43439013,-3.716369993,MARTES,7:00,8:30
"Paseo  Esperanza, 21",02,ARGANZUELA,40.40107013,-3.704289993,MARTES,8:45,10:15
"Calle  Joaquín María López, 54",07,CHAMBERI,40.43786013,-3.715549993,MARTES,8:45,10:15
"Calle  Diligencia, 22 Intersección con Calle la Violetera, frente al Vivero de Empresas",13,PUENTE VALLECAS,40.38313013,-3.656179994,MARTES,8:45,10:15
"Calle  Fernando Poo,  Frente el número 36, esquina Divino Vallés",02,ARGANZUELA,40.39662013,-3.699859994,MARTES,10:30,12:00
"Calle  Arrieta, 15",01,CENTRO,40.41918013,-3.711069993,MARTES,10:30,12:00
"Calle  Ponzano, 2",07,CHAMBERI,40.43695013,-3.699359994,MARTES,10:30,12:00
"Avenida  San Diego, 78 Intersección con Calle Manuel Maroto",13,PUENTE VALLECAS,40.38777013,-3.669399994,MARTES,10:30,12:00
"Paseo  Delicias, 68",02,ARGANZUELA,40.39936013,-3.694309994,MARTES,12:15,13:45
"Calle  Francisco de Rojas, 11",07,CHAMBERI,40.43002013,-3.699999994,MARTES,12:15,13:45
"Calle  Enrique García Álvarez,  Frente al número 10",18,VILLA DE VALLECAS,40.38180013,-3.614779994,MARTES,12:15,13:45
"Calle  Fray Luis de León,  Intersección con Calle Juan Sebastian Elcano, 17",02,ARGANZUELA,40.40480013,-3.698689994,MARTES,14:00,15:30
"Calle  García de Paredes, 82",07,CHAMBERI,40.43655013,-3.693179994,MARTES,14:00,15:30
"Avenida  Celio Villalba,  Intersección con Calle Manizales",16,HORTALEZA,40.47455013,-3.636779994,MARTES,14:00,15:30
"Calle  Marismas, 24",13,PUENTE VALLECAS,40.40144013,-3.653579994,MARTES,14:00,15:30
"Calle  Fuentespina, 10",18,VILLA DE VALLECAS,40.37947013,-3.606899994,MARTES,14:00,15:30
"Calle  Arganda, 2 Frente al número 2",02,ARGANZUELA,40.399104,-3.709351,MARTES,15:45,17:15
