;PATINETES CONCEDIDOS;;;;;;;;;;;;;;;;;
DISTRITO;BARRIO;ACCIONA;Taxify;KOKO;UFO;RIDECONGA;FLASH;LIME;WIND ;BIRD;REBY RIDES;MOVO;MYGO;JUMP UBER;SJV CONSULTING;TOTAL;;
CENTRO;Palacio;4;4;4;4;4;4;4;4;2;4;4;4;4;4;54;;
CENTRO;Embajadores;5;5;5;5;5;5;5;5;0;5;5;5;5;5;65;;
CENTRO;Cortes;2;2;2;2;2;2;2;2;2;2;2;2;2;2;28;;
CENTRO;Justicia;3;3;3;3;3;3;3;3;0;3;3;2;3;3;38;;
CENTRO;Universidad;5;5;5;5;5;5;5;5;0;5;5;0;5;5;60;;
CENTRO;Sol;2;2;2;2;2;2;2;2;2;2;2;2;2;2;28;;
CENTRO;Total;21;21;21;21;21;21;21;21;6;21;21;15;21;21;273;;
ARGANZUELA;Imperial;0;3;3;3;3;3;3;3;0;0;1;0;3;3;28;;
ARGANZUELA;Las Acacias;4;4;4;4;4;4;4;4;0;4;4;4;4;4;52;;
ARGANZUELA;La Chopera;0;1;1;1;1;1;1;1;1;1;1;1;1;1;13;;
ARGANZUELA;Legazpi;0;3;3;3;3;3;3;3;3;3;3;3;3;3;39;;
ARGANZUELA;Las Delicias;2;2;2;2;2;2;2;2;2;2;2;2;2;2;28;;
ARGANZUELA;Palos de Moguer;2;2;2;2;2;2;2;2;0;2;2;0;2;2;24;;
ARGANZUELA;Atocha;1;1;1;1;1;1;1;1;1;1;1;1;1;1;14;;
ARGANZUELA;Total;9;16;16;16;16;16;16;16;7;13;14;11;16;16;198;;
RETIRO;Pacífico;2;2;2;2;2;2;2;2;0;2;2;0;2;2;24;;
RETIRO;Adelfas;0;2;2;2;2;2;2;2;2;2;2;2;2;2;26;;
RETIRO;La Estrella;0;3;3;3;3;3;3;3;0;0;1;0;3;3;28;;
RETIRO;Ibiza;1;1;1;1;1;1;1;1;1;1;1;1;1;1;14;;
RETIRO;Los Jerónimos;2;2;2;2;2;2;2;2;2;2;2;2;2;2;28;;
RETIRO;Niño Jesús;2;2;2;2;2;2;2;2;0;0;0;0;2;2;20;;
RETIRO;Total;7;12;12;12;12;12;12;12;5;7;8;5;12;12;140;;
SALAMANCA;Recoletos;2;2;2;2;2;2;2;2;2;2;2;2;2;2;28;;
SALAMANCA;Goya;2;2;2;2;2;2;2;2;0;0;1;0;2;2;21;;
SALAMANCA;Fuente del Berro;0;3;3;3;3;3;3;3;3;3;3;3;3;3;39;;
SALAMANCA;Guindalera;6;6;6;6;6;6;6;6;0;6;6;0;6;6;72;;
SALAMANCA;Lista;1;1;1;1;1;1;1;1;1;1;1;1;1;1;14;;
SALAMANCA;Castellana;1;1;1;1;1;1;1;1;1;1;1;1;1;1;14;;
SALAMANCA;Total;12;15;15;15;15;15;15;15;7;13;14;7;15;15;188;;
CHAMARTÍN;El Viso;5;5;5;5;5;5;5;5;0;5;5;0;5;5;60;;
CHAMARTÍN;Prosperidad;2;2;2;2;2;2;2;2;2;2;2;2;2;2;28;;
CHAMARTÍN;Ciudad Jardín;3;3;3;3;3;3;3;3;0;3;3;1;3;3;37;;
CHAMARTÍN;Hispanoamérica;4;4;4;4;4;4;4;4;0;0;2;0;4;4;42;;
CHAMARTÍN;Nueva España;5;5;5;5;5;5;5;5;0;5;0;0;5;5;55;;
CHAMARTÍN;Castilla;2;2;2;2;2;2;2;2;1;2;2;2;2;2;27;;
CHAMARTÍN;Total;21;21;21;21;21;21;21;21;3;17;14;5;21;21;249;;
TETUÁN;Bellas Vistas;0;3;3;3;3;3;3;3;3;3;3;3;3;3;39;;
TETUÁN;Cuatro Caminos;2;2;2;2;2;2;2;2;2;2;2;2;2;2;28;;
TETUÁN;Castillejos;1;1;1;1;1;1;1;1;1;1;1;1;1;1;14;;
TETUÁN;Almenara;0;5;5;5;5;5;5;5;0;5;5;5;5;5;60;;
TETUÁN;Valdeacederas;0;6;6;6;6;6;6;6;0;6;6;1;6;6;67;;
TETUÁN;Berruguete;0;3;3;3;3;3;3;3;3;3;3;3;3;3;39;;
TETUÁN;Total;3;20;20;20;20;20;20;20;9;20;20;15;20;20;247;;
CHAMBERÍ;Gaztambide;1;1;1;1;1;1;1;1;1;1;1;1;1;1;14;;
CHAMBERÍ;Arapiles;1;1;1;1;1;1;1;1;1;1;1;1;1;1;14;;
CHAMBERÍ;Trafalgar;2;2;2;2;2;2;2;2;2;2;2;2;2;2;28;;
CHAMBERÍ;Almagro;2;2;2;2;2;2;2;2;2;2;2;2;2;2;28;;
CHAMBERÍ;Ríos Rosas;2;2;2;2;2;2;2;2;0;0;1;0;2;2;21;;
CHAMBERÍ;Vallehermoso;2;2;2;2;2;2;2;2;2;2;2;2;2;2;28;;
CHAMBERÍ;Total;10;10;10;10;10;10;10;10;8;8;9;8;10;10;133;;
FUENCARRAL-EL PARDO;El Pardo;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;
FUENCARRAL-EL PARDO;Fuentelarreina;0;0;4;3;4;4;0;0;4;0;0;0;0;;19;;
FUENCARRAL-EL PARDO;Peñagrande;0;0;12;6;12;12;12;0;12;0;0;0;12;;78;;
FUENCARRAL-EL PARDO;Del Pilar;3;0;3;3;3;3;3;0;3;3;3;0;3;;30;;
FUENCARRAL-EL PARDO;La Paz;4;0;4;4;4;4;5;4;0;2;2;0;4;;37;;
FUENCARRAL-EL PARDO;Valverde;17;0;17;12;17;17;17;0;17;0;0;0;0;;114;;
FUENCARRAL-EL PARDO;Mirasierra;0;0;14;6;14;14;14;0;10;0;0;0;0;;72;;
FUENCARRAL-EL PARDO;El Goloso;0;0;0;0;0;47;47;0;2;0;0;0;0;;96;;
FUENCARRAL-EL PARDO;Total;24;0;54;34;54;101;98;4;48;5;5;0;19;;446;;
MONCLOA-ARAVACA;Casa de Campo;0;12;0;6;12;12;0;0;0;0;6;0;12;12;72;;
MONCLOA-ARAVACA;Argüelles;2;2;2;2;2;2;2;2;2;2;2;0;2;2;26;;
MONCLOA-ARAVACA;Ciudad Universitaria;0;15;15;15;15;15;15;15;0;0;5;0;15;15;140;;
MONCLOA-ARAVACA;Valdezarza;0;6;6;6;6;6;6;0;0;0;4;0;6;6;52;;
MONCLOA-ARAVACA;Valdemarín;0;12;0;6;0;12;12;0;12;0;0;0;0;12;66;;
MONCLOA-ARAVACA;El Plantío;0;7;0;5;0;7;7;0;7;0;0;0;0;7;40;;
MONCLOA-ARAVACA;Aravaca;0;22;0;6;22;22;22;0;21;0;0;0;0;22;137;;
MONCLOA-ARAVACA;Total;2;76;23;46;57;76;64;17;42;2;17;0;35;76;533;;
LATINA;Los Cármenes;0;0;0;4;0;0;8;0;6;0;0;0;6;0;24;;
LATINA;Puerta del Ángel;0;0;0;5;0;0;10;0;5;0;0;0;10;0;30;;
LATINA;Lucero;0;0;0;4;0;0;9;0;5;0;0;0;9;0;27;;
LATINA;Aluche;0;0;0;5;0;0;0;0;11;0;0;0;14;0;30;;
LATINA;Campamento;0;0;0;3;0;0;0;0;11;0;0;0;0;0;14;;
