COD_VIA,VIA_CLASE,VIA_PAR,VIA_NOMBRE,VIA_NOMBRE_ACENTOS,DISTRITO
5200,CALLE,DE,ADEMUZ,ADEMUZ,11
31000496,CALLE,DE,ADOLFO BIOY CASARES,ADOLFO BIOY CASARES,18
31000486,CALLE,DE,ADOLFO MARSILLACH,ADOLFO MARSILLACH,18
31005003,AEROPUERTO,DE,ADOLFO SUAREZ MADRID BARAJAS,ADOLFO SUÁREZ MADRID BARAJAS,
969,CALLE,DE,ADONIS,ADONIS,10
5300,CALLE,DE,ADORA,ADORA,12
5400,CALLE,DE,ADRA,ADRA,13
5500,PASAJE,DE,ADRA,ADRA,13
5600,CALLE,DE,ADRADA DE HAZA,ADRADA DE HAZA,13
5700,CALLE,DE,ADRIAN ANDRES,ADRIÁN ANDRÉS,9
5900,CALLE,DE,ADRIAN PULIDO,ADRIÁN PULIDO,6
31000084,CALLE,DE,ADRIANO DE UTRECHT,ADRIANO DE UTRECHT,16
6000,CALLE,DE LA,ADUANA,ADUANA,1
6300,CALLE,DE LA,AERONAVE,AERONAVE,21
1126,CAMINO,DEL,AEROPUERTO,AEROPUERTO,21
1006,CALLE,DEL,AFECTO,AFECTO,17
1022,CALLE,DE LOS,AFLUENTES,AFLUENTES,17
6600,CALLE,DE,AFUERAS A SAN ROQUE,AFUERAS A SAN ROQUE,8
6700,CALLE,DE,AFUERAS A VALVERDE,AFUERAS A VALVERDE,8
6700,CALLE,DE,AFUERAS A VALVERDE,AFUERAS A VALVERDE,8
1973,PUENTE,DE LA,AGACHADIZA,AGACHADIZA,9
6800,CALLE,DE,AGAMI,AGAMI,15
7000,CALLE,DE,AGASTIA,AGASTIA,15
7000,CALLE,DE,AGASTIA,AGASTIA,15
7000,CALLE,DE,AGASTIA,AGASTIA,15
7000,CALLE,DE,AGASTIA,AGASTIA,15
7100,CALLE,DE,AGATA,ÁGATA,17
7200,PLAZA,DE,AGATA,ÁGATA,17
31001351,CALLE,DE,AGATHA CHRISTIE,AGATHA CHRISTIE,16
7300,CALLE,DEL,AGAVE,ÁGAVE,6
2826,CALLE,DE,AGES,AGÉS,8
7400,CALLE,DE,AGILA,AGILA,10
7600,CALLE,DE,AGOSTO,AGOSTO,20
7700,CALLE,DEL,AGRACEJO,AGRACEJO,6
7800,CALLE,DE,AGRAMUNT,AGRAMUNT,21
7850,CALLE,DE,AGREDA,ÁGREDA,16
31001268,PLAZA,DE,"AGUA, AZUCARILLOS Y AGUARDIENTE","AGUA, AZUCARILLOS Y AGUARDIENTE",17
31001268,PLAZA,DE,"AGUA, AZUCARILLOS Y AGUARDIENTE","AGUA, AZUCARILLOS Y AGUARDIENTE",17
7900,CALLE,DEL,AGUACATE,AGUACATE,11
8000,PLAZA,DEL,AGUADOR,AGUADOR,11
8100,CALLE,DE,AGUADULCE,AGUADULCE,21
8200,CALLE,DE,AGUARON,AGUARÓN,9
8300,CALLE,DE LAS,AGUAS,AGUAS,1
8400,CALLE,DE,AGUAVIVA,AGUAVIVA,20
8500,CALLE,DE,AGUEDA DIEZ,ÁGUEDA DÍEZ,11
8600,PLAZA,DE,AGUEDA DIEZ,ÁGUEDA DÍEZ,11
838,CALLE,DE,AGUETOL,AGUETOL,21
8700,CALLE,DEL,AGUILA,ÁGUILA,1
905563,CAMINO,DEL,AGUILA DE SAN JORGE,ÁGUILA DE SAN JORGE,8
8800,CALLE,DE,AGUILAFUENTE,AGUILAFUENTE,9
8900,CALLE,DE,AGUILAR DE CAMPOO,AGUILAR DE CAMPOO,9
9100,CALLE,DE,AGUILAR DEL RIO,AGUILAR DEL RÍO,11
9200,CALLE,DE LAS,AGUILEÑAS,AGUILEÑAS,6
9300,CALLE,DE,AGUILON,AGUILÓN,2
9500,CALLE,DE,AGUIRRE,AGUIRRE,4
9600,CALLE,DE LA,AGUJA,AGUJA,20
9900,CALLE,DE,AGUSTIN CALVO,AGUSTÍN CALVO,16
9800,CALLE,DE,AGUSTIN DE BETANCOURT,AGUSTÍN DE BETANCOURT,7
10200,CALLE,DE,AGUSTIN DE FOXA,AGUSTÍN DE FOXÁ,5
2263,CALLE,DE,AGUSTIN DE ITURBIDE,AGUSTÍN DE ITURBIDE,16
