COD_VIA,VIA_CLASE,URI,VIA_PAR,VIA_NOMBRE,VIA_NOMBRE_ACENTOS,DISTRITO
84900,CALLE,CALLEDEAVILES,DE,AVILES,AVILÉS,10
31000210,CALLE,CALLEDELABAD JUAN CATALAN,DEL,ABAD JUAN CATALAN,ABAD JUAN CATALÁN,19
200,CALLE,CALLEDE LAABADA,DE LA,ABADA,ABADA,1
200,CALLE,CALLEDE LAABADA,DE LA,ABADA,ABADA,21
300,CALLE,CALLEDE LOSABADES,DE LOS,ABADES,ABADES,1
400,CALLE,CALLEDE LAABADESA,DE LA,ABADESA,ABADESA,6
600,CALLE,CALLEDEABALOS,DE,ABALOS,ÁBALOS,15
31001576,CARRETERA,CARRETERAABANDONADA,,ABANDONADA,ABANDONADA,8
700,CALLE,CALLEDELABANICO,DEL,ABANICO,ABANICO,20
800,CALLE,CALLEDEABANTOS,DE,ABANTOS,ABANTOS,5
900,CALLE,CALLEDELABARDERO,DEL,ABARDERO,ABARDERO,8
1000,CALLE,CALLEDEABARZUZA,DE,ABARZUZA,ABÁRZUZA,16
1100,CALLE,CALLEDEABAY,DE,ABAY,ABAY,17
1150,CALLE,CALLEDEABDON TERRADAS,DE,ABDON TERRADAS,ABDÓN TERRADAS,7
1200,CALLE,CALLEDELABEDUL,DEL,ABEDUL,ABEDUL,5
1300,CALLE,CALLEDEABEGONDO,DE,ABEGONDO,ABEGONDO,16
1301,CALLE,CALLEDELABEJARUCO,DEL,ABEJARUCO,ABEJARUCO,9
1400,CALLE,CALLEDE LAABEJUELA,DE LA,ABEJUELA,ABEJUELA,10
1500,CALLE,CALLEDEABEL,DE,ABEL,ABEL,6
2665,CALLE,CALLEDE LASABELIAS,DE LAS,ABELIAS,ABELIAS,16
1600,CALLE,CALLEDEABELLA,DE,ABELLA,ABELLA,11
1800,CALLE,CALLEDEABERTURA,DE,ABERTURA,ABERTURA,16
2318,CALLE,CALLEDELABETAL,DEL,ABETAL,ABETAL,8
1900,CALLE,CALLEDELABETO,DEL,ABETO,ABETO,9
2100,CALLE,CALLEDEABIZANDA,DE,ABIZANDA,ABIZANDA,16
2300,CALLE,CALLEDELABOLENGO,DEL,ABOLENGO,ABOLENGO,11
2400,AVENIDA,AVENIDADEABRANTES,DE,ABRANTES,ABRANTES,11
2400,AVENIDA,AVENIDADEABRANTES,DE,ABRANTES,ABRANTES,11
2500,CALLE,CALLEDEABRIL,DE,ABRIL,ABRIL,20
2600,CALLE,CALLEDEABTAO,DE,ABTAO,ABTAO,3
2600,CALLE,CALLEDEABTAO,DE,ABTAO,ABTAO,3
2725,RONDA,RONDADE LAABUBILLA,DE LA,ABUBILLA,ABUBILLA,16
31000683,CALLE,CALLEDEABUNDIO GARCIA ROMAN,DE,ABUNDIO GARCIA ROMAN,ABUNDIO GARCÍA ROMÁN,11
2800,CALLE,CALLEDEABUÑOL,DE,ABUÑOL,ABUÑOL,16
2900,PASEO,PASEODE LASACACIAS,DE LAS,ACACIAS,ACACIAS,2
3000,CALLE,CALLEDE LAACADEMIA,DE LA,ACADEMIA,ACADEMIA,3
3200,CALLE,CALLEDEACADEMOS,DE,ACADEMOS,ACADEMOS,16
3250,CALLE,CALLEDEACAMAR,DE,ACAMAR,ACAMAR,9
3400,CALLE,CALLEDELACANTILADO,DEL,ACANTILADO,ACANTILADO,9
2881,CALLE,CALLEDE LAACANTITA,DE LA,ACANTITA,ACANTITA,17
873,CALLE,CALLEDELACANTO,DEL,ACANTO,ACANTO,2
1084,CARRETERA,CARRETERADEACCESO A LA ESTACION DE AUTOBUSES DE LA E.M.T.,DE,ACCESO A LA ESTACION DE AUTOBUSES DE LA E.M.T.,ACCESO A LA ESTACIÓN DE AUTOBUSES DE LA E.M.T.,13
906015,CARRETERA,CARRETERADEACCESO A LA ESTACION DE O'DONNELL,DE,ACCESO A LA ESTACION DE O'DONNELL,ACCESO A LA ESTACIÓN DE O'DONNELL,20
3700,CALLE,CALLEDEACEBEDO,DE,ACEBEDO,ACEBEDO,16
3750,CALLE,CALLEDEACEBES,DE,ACEBES,ACEBES,17
3800,CALLE,CALLEDELACEBO,DEL,ACEBO,ACEBO,5
546601,CALLE,CALLEDELACEBUCHE,DEL,ACEBUCHE,ACEBUCHE,9
905704,CAMINO,CAMINODE LOSACEITEROS,DE LOS,ACEITEROS,ACEITEROS,18
3900,CALLE,CALLEDEACENTEJO,DE,ACENTEJO,ACENTEJO,15
906106,CALLE,CALLEDEACEREIRO,DE,ACEREIRO,ACEREIRO,10
4100,CALLE,CALLEDEACEUCHAL,DE,ACEUCHAL,ACEUCHAL,11
