DIRECCION_COMPLETA 1,DIRECCION1,URI,NUMBER,COD_DISTRITO,DISTRITO,LATITUD,LONGITUD,DÍA SEMANA,HORA INICIO,HORA FINAL
Calle  Príncipe de Vergara,Príncipe de Vergara,PVMPríncipedeVergara110,110,5,CHAMARTIN,40.4393301262956,-3.67890999372858,LUNES,7:00,8:30
Calle  San Marcelo,San Marcelo,PVMSanMarcelo6,6,15,CIUDAD LINEAL,40.42706013,-3.658269994,LUNES,7:00,8:30
Avenida  Doctor Arce,Doctor Arce,PVMDoctorArce1,1,5,CHAMARTIN,40.44532013,-3.685109994,LUNES,8:45,10:15
Calle  Santurce,Santurce,PVMSanturce,,15,CIUDAD LINEAL,40.42719013,-3.635689994,LUNES,8:45,10:15
Calle  Pradillo,Pradillo,PVMPradillo22,22,5,CHAMARTIN,40.44865013,-3.673579994,LUNES,10:30,12:00
Calle  Gómez de Avellaneda,Gómez de Avellaneda,PVMGómezdeAvellaneda14,14,15,CIUDAD LINEAL,40.43377013,-3.642789994,LUNES,10:30,12:00
Paseo  de la Dirección,de la Dirección,PVMdelaDirección328,328,6,TETUAN,40.46998013,-3.704079993,LUNES,10:30,12:00
Calle  Padre Claret,Padre Claret,PVMPadreClaret17,17,5,CHAMARTIN,40.44748013,-3.664609994,LUNES,12:15,13:45
Calle  Hierbabuena,Hierbabuena,PVMHierbabuena13,13,6,TETUAN,40.46008013,-3.701849994,LUNES,15:45,17:15
Calle  Julio Dánvila,Julio Dánvila,PVMJulioDánvila1,1,15,CIUDAD LINEAL,40.47154013,-3.666999994,LUNES,19:15,20:45
Calle  Saliente,Saliente,PVMSaliente10,10,3,RETIRO,40.41890013,-3.666619994,LUNES,19:15,20:45
Calle  Pedro Teixeira,Pedro Teixeira,PVMPedroTeixeira10,10,6,TETUAN,40.45493013,-3.692449994,LUNES,19:15,20:45
Calle  Juan Duque,Juan Duque,PVMJuanDuque,,2,ARGANZUELA,40.41010013,-3.719629993,MARTES,7:00,8:30
Calle  Fernando el Católico,Fernando el Católico,PVMFernandoelCatólico73,73,7,CHAMBERI,40.43439013,-3.716369993,MARTES,7:00,8:30
Paseo  Esperanza,Esperanza,PVMEsperanza21,21,2,ARGANZUELA,40.40107013,-3.704289993,MARTES,8:45,10:15
