PROVINCIA,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,DIA,Hora1,V01,Hora2,V02,Hora3,V03,Hora4,V04,Hora5,V05,Hora6,V06,Hora7,V07,Hora8,V08,Hora9,V09,Hora10,V10,Hora11,V11,Hora12,V12,Hora13,V13,Hora14,V14,Hora15,V15,Hora16,V16,Hora17,V17,Hora18,V18,Hora19,V19,Hora20,V20,Hora21,V21,Hora22,V22,Hora23,V23,Hora24,V24
28,4,6,28079004_6_48,2019,04,01,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.4,V,000.5,V,000.6,V,000.5,V,000.5,V,000.4,V,000.5,V,000.5,V,000.5,V,000.4,V,000.4,V,000.4,V,000.4,V,000.5,V,000.6,V,000.7,V,000.4,V
28,4,6,28079004_6_48,2019,04,02,000.3,V,000.3,V,000.4,V,000.4,V,000.3,V,000.4,V,000.4,V,000.8,V,001.2,V,000.7,V,000.6,V,000.5,V,000.5,V,000.4,V,000.4,V,000.4,V,000.3,V,000.3,V,000.3,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V
28,4,6,28079004_6_48,2019,04,03,000.4,V,000.3,V,000.3,V,000.3,V,000.3,V,000.4,V,000.5,V,000.5,V,000.6,V,000.5,V,000.5,V,000.5,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.5,V,000.5,V,000.4,V
28,4,6,28079004_6_48,2019,04,04,000.4,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.5,V,000.5,V,000.5,V,000.4,V,000.4,V,000.4,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.4,V,000.4,V,000.4,V,000.4,V,000.3,V
28,4,6,28079004_6_48,2019,04,05,000.4,V,000.3,V,000.3,V,000.3,V,000.2,V,000.2,V,000.2,V,000.3,V,000.4,V,000.4,V,000.4,V,000.4,V,000.3,V,000.4,V,000.4,V,000.3,V,000.3,V,000.3,V,000.4,V,000.4,V,000.4,V,000.5,V,000.6,V,000.4,V
28,4,6,28079004_6_48,2019,04,06,000.4,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.4,V,000.4,V,000.4,V,000.4,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V
28,4,6,28079004_6_48,2019,04,07,000.4,V,000.4,V,000.4,V,000.3,V,000.3,V,000.3,V,000.3,V,000.4,V,000.4,V,000.4,V,000.3,V,000.3,V,000.3,V,000.4,V,000.3,V,000.3,V,000.3,V,000.4,V,000.3,V,000.3,V,000.4,V,000.4,V,000.4,V,000.4,V
28,4,6,28079004_6_48,2019,04,08,000.4,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.4,V,000.4,V,000.4,V,000.4,V,000.3,V,000.3,V,000.4,V,000.4,V,000.4,V,000.3,V,000.3,V,000.3,V,000.4,V,000.4,V,000.4,V,000.4,V,000.3,V
28,4,6,28079004_6_48,2019,04,09,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.3,V,000.4,V,000.3,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.3,V
28,4,6,28079004_6_48,2019,04,10,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.5,V,000.5,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.5,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.5,V,000.6,V
