residuos_domestic_año;residuos_domestic_ambito;residuos_domestic_tipo;residuos_domestic_cantidad_ton
2005;Ayuntamiento de Madrid;Residuos de recogida selectiva (orgánicos y resto, envases, vidrio, papel/cartón, pilas) (t);1332392
2005;Ayuntamiento de Madrid;Residuos de operaciones de limpieza (t);113463
2005;Ayuntamiento de Madrid;Animales muertos (t);417
2005;Ayuntamiento de Madrid;Residuos voluminosos (t);19508
2005;Ayuntamiento de Madrid;Residuos de puntos limpios (t);8072
2005;Ayuntamiento de Madrid;Residuos industriales asimilables a urbanos (particulares) (t);82612
2005;Ayuntamiento de Madrid;Otros residuos (t);87743
2005;Comunidad de Madrid excepto Madrid;Residuos de recogida selectiva (orgánicos y resto, envases, vidrio, papel/cartón, pilas) (t);1336732
2005;Comunidad de Madrid excepto Madrid;Residuos industriales asimilables a urbanos (particulares) (t);322303
2005;Comunidad de Madrid excepto Madrid;Animales muertos (t);159
2005;Comunidad de Madrid excepto Madrid;Residuos voluminosos y de puntos limpios (t);17286
2005;Comunidad de Madrid excepto Madrid;Residuos de areas recreativas (t);743
2006;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Residuos de recogida selectiva residuos orgánicos (t);1219063
2006;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Envases (t);51269
2006;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Papel y cartón (t);61440
2006;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Residuos industriales asimilables a urbanos (particulares) (t);316535
2006;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Residuos voluminosos y de puntos limpios (t);115665
2006;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Otros residuos (t);5378
2007;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Residuos de recogida de bolsa resto (t);1221609
2007;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Envases (t);55163
2007;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Papel y cartón (t);68307
2007;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Vidrio (t);37858
2007;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Residuos industriales asimilables a urbanos (particulares) (t);322882
2007;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Residuos voluminosos y de puntos limpios (t);138807
2007;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Otros residuos (t);784
2008;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Residuos de recogida de bolsa resto (t);1176196
2008;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Envases (t);59484
2008;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Papel y cartón (t);74277
2008;Comunidad de Madrid excepto Madrid, Rivas-Vaciamadrid y Arganda del Rey;Vidrio (t);44602
