res_tra_registro_tipo,res_tra_razon_social,res_tra_nif,res_tra_direccion_tipo_vial,res_tra_direccion_via_nombre,res_tra_direccion_muni_desc,res_tra_direccion_cod_postal,res_tra_residuo_ler_desc
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"DEMOLICIONES DAGANZO, S.L.",B86424991,AVDA,DEL CONDE DE CORUÑA,Daganzo de Arriba,28814,ENVASES DE PLÁSTICO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"MINIVAN 77, S.L.",B86426921,CALLE,TALAMANCA DEL JARAMA,Madrid,28051,RESIDUOS DE GRAVA Y ROCAS TRITURADAS DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 01 04 07.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"KORPORATE TECHNOLOGIES SERVICES AND DOCUMENTS, S.L.",B86429859,CALLE,CARLOS JIMÉNEZ DÍAZ,Alcalá de Henares,28806,RESIDUOS DE TÓNER DE IMPRESIÓN DISTINTOS DE LOS ESPECIFICADOS EN EL CÓDIGO 08 03 17.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"BIOACEITES GESTORES DE RESIDUOS, S.L.",B86437654,AVDA,DEL MAR MEDITERRÁNEO,Valdemoro,28341,ACEITES Y GRASAS COMESTIBLES
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"RECICLAJES JARAMA, S.L",B86452851,CALLE,ARROYO DE LOS BERROS,Valdetorres de Jarama,28150,RESIDUOS DE LA EXTRACCIÓN DE MINERALES METÁLICOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"MACAR VACIADOS, S.L.",B86466653,CALLE,DE MAQUEDA,Madrid,28024,LODOS DE DESTINTADO PROCEDENTES DEL RECICLADO DE PAPEL.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"BIOMETAL RECICLADOS, S.L.",B86473196,CALLE,ROCINANTE,Humanes de Madrid,28970,"COBRE, BRONCE Y LATÓN."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"SOLUCIONES INTEGRALES EN EXCAVACIONES Y VACIADOS, S.L.",B86479896,CALLE,MORALTO,Daganzo de Arriba,28814,RESIDUOS DE GRAVA Y ROCAS TRITURADAS DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 01 04 07.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES ESPECIALES DOBLE A, S.L.",B86480316,CTRA,VALDEMINGOMEZ,Madrid,28051,METALES FÉRREOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES M.A. GUTIERREZ, S.L.",B86503083,CALLE,ESTRELLA,Valdemoro,28341,"RESIDUOS DE PINTURA Y BARNIZ, DISTINTOS DE LOS ESPECIFICADOS EN EL CÓDIGO 08 01 11."
