res_tra_registro_tipo,res_tra_razon_social,res_tra_nif,res_tra_direccion_tipo_vial,res_tra_direccion_via_nombre,res_tra_direccion_muni_desc,res_tra_direccion_cod_postal,res_tra_residuo_ler_desc
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"LOGITERS LOGISTICA, S.A.",A08057895,CALLE,BUENOS AIRES,Alcalá de Henares,28806,RESIDUOS PROCEDENTES DE LA CLASIFICACIÓN DE PAPEL Y CARTÓN DESTINADOS AL RECICLADO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA S.A.U.,A08332975,CALLE,DE SANTA LEONOR,Madrid,28037,LODOS Y RESIDUOS DE PERFORACIONES QUE CONTIENEN AGUA DULCE.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"SERVICIOS ESPECIALES DE LIMPIEZA, S.A.",A08350621,CALLE,DE FEDERICO SALMÓN,Madrid,28016,RESIDUOS AGROQUÍMICOS QUE CONTIENEN SUSTANCIAS PELIGROSAS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TALHER, S.A.",A08602815,AVDA,MANOTERAS,Madrid,28050,RESIDUOS DE TEJIDOS DE VEGETALES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES BONILLA, S.A.",A08643389,CTRA,"AJALVIR A TORREJON, KM.",Ajalvir,28864,"EQUIPOS ELÉCTRICOS Y ELECTRÓNICOS DESECHADOS DISTINTOS DE LOS ESPECIFICADOS EN LOS CÓDIGOS 20 01 21, 20 01 23 Y 20 01 35."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TECNOLOGIAS DEL MEDIO AMBIENTE, S.A.",A08948143,RONDA,DE PONIENTE,Tres Cantos,28760,PLÁSTICO.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"ALFONSO BENITEZ, S.A.",A11604238,CALLE,DE FEDERICO SALMÓN,Madrid,28016,RESIDUOS DE TÓNER DE IMPRESIÓN QUE CONTIENEN SUSTANCIAS PELIGROSAS.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"FERNANDO BUIL, S.A.",A19001353,AVDA,DE LA INDUSTRIA,Coslada,28823,ESCORIAS DE LA PRODUCCIÓN PRIMARIA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CERANOR, S.A.",A24200065,CALLE,DEL GENERAL ARRANDO,Madrid,28010,LODOS DEL TRATAMIENTO IN SITU DE EFLUENTES DISTINDOS DE LOS ESPECIFICADOS EN EL CÓDIGO 03 03 10.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"FCC AQUALIA, S.A.",A26019992,CALLE,DE FEDERICO SALMÓN,Madrid,28016,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"OHL SERVICIOS-INGESAN, S.A.",A27178789,PASEO,CASTELLANA,Madrid,28046,OTROS RESIDUOS (INCLUÍDAS MEZCLAS DE MATERIALES) PROCEDENTES DEL TRATAMIENTO MECÁNICO DE RESIDUOS QUE CONTIENEN SUSTANCIAS PELIGROSAS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"URBALUX, S.A.",A28000479,CALLE,DE MORATINES,Madrid,28005,"RESIDUOS MEZCLADOS DE CONSTRUCCIÓN Y DEMOLICIÓN DISTINTOS DE LOS ESPECIFICADOS EN LOS CÓDIGOS 170901, 170902 Y 170903."
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"EXIDE TECHNOLOGIES, S.A.",A28006294,CALLE,AYALA,Madrid,28006,BATERÍAS DE PLOMO.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"FINANZAUTO, S.A.",A28006922,AVDA,DE MADRID,Arganda del Rey,28500,"ACEITES MINERALES NO CLORADOS DE MOTOR, DE TRANSMISIÓN MECÁNICA Y LUBRICANTES."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"SUMINISTROS Y MONTAJES INDUSTRIALES, S.A.",A28009389,CALLE,DEL MAZO,Alcorcón,28925,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"OBRAS Y SERVICIOS PUBLICOS, S.A.",A28012359,CALLE,DE VÍCTOR ANDRÉS BELAÚNDE,Madrid,28016,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"SOCIEDAD ESPAÑOLA DE MONTAJES INDUSTRIALES,S.A.",A28018083,AVDA,DE MANOTERAS,Madrid,28050,COMPONENTES RETIRADOS DE EQUIPOS DESECHADOS DISTINTOS DE LOS ESPECIFICADOS EN EL CÓDIGO 16 02 15.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"MONTAJES Y OBRAS, S.A.",A28029122,CALLE,DEL TORNILLO,Rivas-Vaciamadrid,28529,"RESIDUOS DE PINTURA Y BARNIZ, DISTINTOS DE LOS ESPECIFICADOS EN EL CÓDIGO 08 01 11."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"VELASCO OBRAS Y SERVICIOS, S.A.",A28038784,CALLE,DE ANGELITA CAVERO,Madrid,28027,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),RADIOLOGIA SAU,A28047991,CALLE,PELAYA,Algete,28119,EQUIPOS DESECHADOS QUE CONTIENEN COMPONENTES PELIGROSOS DISTINTOS DE LOS ESPECIFICADOS EN LOS CÓDIGOS 16 02 09 Y 16 02 12.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"JABER, S.A.",A28078541,CMNO,DE LAS PAJARILLAS,Móstoles,28935,"OTROS DISOLVENTES, LÍQUIDOS DE LIMPIEZA Y LICORES MADRE ORGÁNICOS."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"INDUSTRIAS FARMACEUTICAS PUERTO GALIANO, S.A.",A28101954,CALLE,PARÍS,"Rozas de Madrid, Las",28232,RESIDUOS DE PLÁSTICOS (EXCEPTO EMBALAJES).
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"PLASTICOS VANGUARDIA, S.A.",A28118230,CALLE,DE CASAS DE MIRAVETE,Madrid,28031,PLÁSTICO.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"LAJO Y RODRIGUEZ, S.A.",A28131084,CALLE,DEL DUERO,Mejorada del Campo,28840,OTROS RESIDUOS DE REACCIÓN Y DE DESTILACIÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"VELPA, S.A.",A28147197,PASEO,DE LA CASTELLANA,Madrid,28046,LIXIVIADOS DE VERTEDERO DISTINTOS DE LOS ESPECIFICADOS EN EL CÓDIGO 19 07 02.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"MONTEJANO, S.A.",A28206605,AVDA,LA REGUERA,Móstoles,28936,RESIDUOS QUE CONTIENEN SUSTANCIAS PELIGROSAS PROCEDENTES DE LA TRANSFORMACIÓN FÍSICA Y QUÍMICA DE MINERALES NO METÁLICOS.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"GEOTECNIA Y CIMIENTOS, S.A.",A28208874,CALLE,DE LOS LLANOS DE JEREZ,Coslada,28823,TIERRA Y PIEDRAS QUE CONTIENEN SUSTANCIAS PELIGROSAS.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"PLOMOS INDUSTRIALES DE MADRID, S.A.",A28212033,CALLE,AMONIO,Fuenlabrada,28946,BATERÍAS DE PLOMO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"SOCIEDAD ESPAÑOLA DE AGUAS FILTRADAS, S.A.",A28223741,CALLE,ULISES,Madrid,28043,"RESIDUOS MEZCLADOS DE CONSTRUCCIÓN Y DEMOLICIÓN DISTINTOS DE LOS ESPECIFICADOS EN LOS CÓDIGOS 170901, 170902 Y 170903."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"INOCENCIO FERNANDEZ ARANA, S.A.",A28230704,CALLE,DE LA RESINA,Madrid,28021,LIMADURAS Y VIRUTAS DE METALES FÉRREOS.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"VEOLIA SERVICIOS LECAM, S.A.U",A28233922,CALLE,DE TORRELAGUNA,Madrid,28043,"PRODUCTOS FITOSANITARIOS INORGÁNICOS, CONSERVANTES DE LA MADERA Y OTROS BIOCIDAS."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CODILOSA, S.A",A28258705,AVDA,OPORTO,Madrid,28025,HORMIGÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"FAIN ASCENSORES, S.A.",A28303485,CALLE,DEL DOCTOR ESQUERDO,Madrid,28007,PAPEL Y CARTÓN
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,GRUPORAGA S.A.,A28317543,CALLE,DE LOS EMBAJADORES,Madrid,28053,LODOS DE LAVADO Y LIMPIEZA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"SERVYAL, S.A.",A28337897,CALLE,DE FUENCARRAL,Madrid,28004,CENIZAS VOLANTES DE CARBÓN.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"SERVEIS MEDI AMBENT, S.A.",A28339653,CALLE,DE ZURBANO,Madrid,28010,"ABSORBENTES, MATERIALES DE FILTRACIÓN (INCLUIDOS LOS FILTROS DE ACEITE NO ESPECIFICADOS EN OTRA CATEGORIA), TRAPOS DE LIMPIEZA Y ROPAS PROTECTORAS CONTAMINADOS POR SUSTANCIAS PELIGROSAS."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES CARRASCO, SA",A28352045,CMNO,VINATEROS,Madrid,28030,RESIDUOS DE TÓNER DE IMPRESIÓN DISTINTOS DE LOS ESPECIFICADOS EN EL CÓDIGO 08 03 17.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"VIRTON, S.A.",A28357093,CUSTA,CUESTA DE SAN VICENTE,Madrid,28008,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"CESPA GESTION Y TRATAMIENTO DE RESIDUOS, S.A.",A28358323,CALLE,DEL PRÍNCIPE DE VERGARA,Madrid,28002,ESTÉRILES QUE GENERAN ÁCIDO PROCEDENTES DE LA TRANSFORMACIÓN DE SULFUROS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"SERVICIOS INDUSTRIALES  Y TRANSPORTES, S.A.",A28386746,CALLE,DE CIUDAD DE FRÍAS,Madrid,28021,RESIDUOS DE LA SILVICULTURA.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"LIMPIEZAS CRESPO, S.A.",A28396604,CALLE,DEL GENERAL PALANCA,Madrid,28045,RESIDUOS QUE CONTIENEN SUSTANCIAS PELIGROSAS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"SISTEMAS Y MONTAJES INDUSTRIALES , S.A.",A28407468,AVDA,RITA LEVI MONTALCINI,Getafe,28906,RESIDUOS DE MATERIALES DE FIBRA DE VIDRIO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"EDICIONES INFORMATIZADAS, S.A. (EINSA)",A28407484,CALLE,DE FRANCISCO GERVAS,Alcobendas,28108,MADERA DISTINTA DE LA ESPECIFICADA EN EL CÓDIGO 20 01 37.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),TEODORO DEL BARRIO S.A.,A28416089,CALLE,DEL ARTE,Madrid,28033,"ACEITES MINERALES NO CLORADOS DE MOTOR, DE TRANSMISIÓN MECÁNICA Y LUBRICANTES."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"PLASTICOS LOS ANGELES, S.A.",A28417517,CALLE,LEÓN,Fuenlabrada,28947,RESIDUOS PROCEDENTES DE LA CLASIFICACIÓN DE PAPEL Y CARTÓN DESTINADOS AL RECICLADO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CONSTRUCTURA INDUSTRIAL Y DE OBRAS PUBLICAS, S.A.",A28420602,CTRA,DE HÚMERA,Pozuelo de Alarcón,28224,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"FERROSER INFRAESTRUCTURAS, S.A.",A28423853,CALLE,DEL PRÍNCIPE DE VERGARA,Madrid,28002,RESIDUOS DE TEJIDOS DE VEGETALES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"MANUTENCION CENTRO, S.A.",A28425577,CALLE,DE SAN ENRIQUE,Madrid,28020,RESIDUOS DEL DESHOLLINADO DE CHIMENEAS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"INVERSIONES, PROYECTOS,CONSTRUCCIONES, S.A.",A28435188,CALLE,DE AGASTIA,Madrid,28027,LODOS DEL TRATAMIENTO DE AGUAS RESIDUALES URBANAS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRATAMIENTO DE RESIDUOS, S.A.",A28441764,AVDA,DE SAN PABLO,Coslada,28823,RESIDUOS DE TEJIDOS DE VEGETALES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,REVESTIMIENTOS INDUSTRIALES SA,A28448058,CTRA,BELVIS KM. 1 CALLE POLVORIN OCHO,Paracuellos de Jarama,28860,"RESIDUOS DE PINTURA Y BARNIZ, DISTINTOS DE LOS ESPECIFICADOS EN EL CÓDIGO 08 01 11."
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"DEMOLICIONES TECNICAS, S.A.",A28451649,CALLE,MARIE CURIE,Rivas-Vaciamadrid,28521,RESIDUOS DE LA FABRICACIÓN DE FIBROCEMENTO QUE CONTIENEN AMIANTO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"EMPRESA DE TRANSFORMACION AGRARIA, S.A.",A28476208,CALLE,DE MALDONADO,Madrid,28006,RESIDUOS DE TEJIDOS DE VEGETALES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"VERTEDEROS DE RESIDUOS, S.A. (VERTRESA)",A28481018,CALLE,CAMINO HORMIGUERAS,Madrid,28031,CONSERVANTES DE LA MADERA NO ESPECIFICADOS EN OTRAS CATEGORÍA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"FCC INDUSTRIAL E INFRAESTRUCTURAS ENERGETICAS, S.A.",A28482024,CALLE,DE FEDERICO SALMÓN,Madrid,28016,ENVASES MEZCLADOS.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"HIJOS DE DEMETRIO FERNANDEZ, S.A.",A28484210,CALLE,DEL COTO DE DOÑANA,Pinto,28320,COLORANTES Y PIGMENTOS QUE CONTIENEN SUSTANCIAS PELIGROSAS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"EXPLOTACIONES AGRICOLAS LA GABARDA, S.A.",A28487569,AVDA,DE MENÉNDEZ PELAYO,Madrid,28007,LODOS DEL TRATAMIENTO DE AGUAS RESIDUALES URBANAS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"NUZZI, S.A.",A28493336,CALLE,DEL PRÍNCIPE DE VERGARA,Madrid,28001,"SERRÍN, VIRUTAS, RECORTES, MADERA, TABLEROS DE PARTÍCULAS Y CHAPAS DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 03 01 04."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"MANTENIMIENTOS  AYUDA A LA EXPLOTACION Y SERVICIOS, S.A.",A28500932,CALLE,DE MÉNDEZ ÁLVARO,Madrid,28045,HORMIGÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"PACOVA, S.A.",A28504041,CALLE,JUAN XXIII,Arganda del Rey,28500,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ELSAMEX, S.A.",A28504728,CALLE,DE SAN SEVERO,Madrid,28042,RESIDUOS BIODEGRADABLES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"INTERSERVE FACILITIES SERVICES, S.A.",A28506038,CALLE,DE LA ALCARRIA,Coslada,28823,PAPEL Y CARTÓN
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CASTELLANA DE SERVICIOS, S.A.",A28507440,CALLE,DE FEDERICO SALMÓN,Madrid,28016,PAPEL Y CARTÓN
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES FRANCISCO TELLO, S.A.",A28523355,CTRA,"VALENCIA, KM.",Madrid,28051,RESIDUOS DE LA EXTRACCIÓN DE MINERALES NO METÁLICOS.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"TRATAMIENTO INDUSTRIAL DE AGUAS, S.A.",A28525723,CALLE,DE FEDERICO SALMÓN,Madrid,28016,MEZCLAS DE GRASAS Y ACEITES PROCEDENTES DE LA SEPARACIÓN DE AGUA/SUSTANCIAS ACEITOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 19 08 09.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"FCC MEDIO AMBIENTE, S.A.",A28541639,CALLE,DE FEDERICO SALMÓN,Madrid,28016,RESIDUOS AGROQUÍMICOS QUE CONTIENEN SUSTANCIAS PELIGROSAS.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"RECOLTE, SERVICIOS Y MEDIOAMBIENTE, S.A.U.",A28579258,AVDA,DE ALBERTO ALCOCER,Madrid,28036,RESIDUOS AGROQUÍMICOS QUE CONTIENEN SUSTANCIAS PELIGROSAS.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"VOLMAQUINARIA DE CONSTRUCCION ESPAÑA, S.A.U.",A28616373,AVDA,CASTILLA,San Fernando de Henares,28830,OTROS ÁCIDOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"MUDANZAS ZARZA, S.A.",A28617983,CALLE,DE LA RÁBIDA,Madrid,28039,PAPEL Y CARTÓN
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"NORTHGATE ESPAÑA RENTING FLEXIBLE, S.A.",A28659423,CALLE,PUERTO DE LA MORCUERA,Leganés,28919,"ACEITES MINERALES NO CLORADOS DE MOTOR, DE TRANSMISIÓN MECÁNICA Y LUBRICANTES."
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"LAPIN, S.A.",A28668143,CALLE,DE PEDRO MUGURUZA,Madrid,28036,RESIDUOS DE PINTURA Y BARNIZ QUE CONTIENEN DISOLVENTES ORGÁNICOS U OTRAS SUSTANCIAS PELIGROSAS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"FERROSER SERVICIOS AUXILIARES, S.A.",A28672038,CALLE,DEL PRÍNCIPE DE VERGARA,Madrid,28002,OBJETOS CORTANTES Y PUNZANTES (EXCEPTO LOS DEL CÓDIGO 18 01 03).
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ANTONIO AGUADO, S.A.",A28672996,CTRA,"POVEDA CAMPO REAL, KM.",Arganda del Rey,28500,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES DOMINGUEZ MORENO, S.A.",A28683878,CTRA,"DAGANZO MARGEN IZQUIERDO, KM.",Alcalá de Henares,28806,LODOS DEL TRATAMIENTO IN SITU DE EFLUENTES DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 06 05 02.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"EMPRESA DE TRANSPORTE DE RESIDUOS DEL CENTRO, S.A.",A28686582,CALLE,"BOLIVIA, PARCELA",Alcalá de Henares,28806,RESIDUOS AGROQUÍMICOS QUE CONTIENEN SUSTANCIAS PELIGROSAS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ZAJI, SA",A28695492,CALLE,"EDUARDO TORROJA, NAVE",Fuenlabrada,28940,PAPEL Y CARTÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"RUIVEL, S.A.",A28700763,CALLE,EDUARDO TORROJA,Fuenlabrada,28940,RESIDUOS PROCEDENTES DE LA CLASIFICACIÓN DE PAPEL Y CARTÓN DESTINADOS AL RECICLADO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ALPADI, S.A.",A28706091,CALLE,DE MANUEL TOVAR,Madrid,28034,RESIDUOS DE TÓNER DE IMPRESIÓN DISTINTOS DE LOS ESPECIFICADOS EN EL CÓDIGO 08 03 17.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CONSTRUCCIONES FRANCISCO CARRASCO NOVILLO, S.A.",A28714566,CALLE,DE TORRES MIRANDA,Madrid,28045,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"MARIANO MAROÑAS HERNAN, S.A.",A28729424,CALLE,DE LA ISLA DE LA GOMERA,Colmenar Viejo,28770,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"HERRANZ ARRIBAS, S.A.",A28732774,CALLE,DE SAN NORBERTO,Madrid,28021,LIMADURAS Y VIRUTAS DE METALES FÉRREOS.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"VALORIZA SERVICIOS MEDIOAMBIENTALES, S.A.",A28760692,CALLE,JUAN ESPLANDIU,Madrid,28007,"SERRÍN, VIRUTAS, RECORTES, MADERA, TABLEROS DE PARTÍCULAS Y CHAPAS QUE CONTIENEN SUSTANCIAS PELIGROSAS."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"GRUAS Y TRANSPORTES SIERRA, S.A",A28761393,PLAZA,ESPAÑA,Torrejón de Ardoz,28850,LODOS DE DESTINTADO PROCEDENTES DEL RECICLADO DE PAPEL.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"RENTOKIL INITIAL ESPAÑA, S.A.",A28767671,CALLE,MAR MEDITERRANEO,San Fernando de Henares,28830,RESIDUOS AGROQUÍMICOS QUE CONTIENEN SUSTANCIAS PELIGROSAS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSIX, S.A.",A28772630,CALLE,DELCO,Leganés,28914,LODOS DE DESTINTADO PROCEDENTES DEL RECICLADO DE PAPEL.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ASFALTOS Y PAVIMENTOS, S.A.",A28773711,CALLE,DEL MARQUÉS DE URQUIJO,Madrid,28008,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ASYCAR, S.A.",A28780807,CALLE,DE FERNÁNDEZ DE OVIEDO,Madrid,28002,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"MARIANO GARCIA HERMANOS, S.A.",A28783769,CALLE,DEL PRADO DE LAS BANDERILLAS,Colmenar Viejo,28770,RESIDUOS DE GRAVA Y ROCAS TRITURADAS DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 01 04 07.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"VALENTIN MARTINEZ E HIJOS, SA",A28791507,CALLE,BOLIVIA,Alcalá de Henares,28806,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"PRONORTE UNO, S.A.",A28795763,CALLE,DEL PRÍNCIPE DE VERGARA,Madrid,28001,MADERA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CORREOS EXPRESS PAQUETERIA URGENTE, S.A., S.M.E.",A28799120,AVDA,EUROPA,Coslada,28821,RESIDUOS DE TÓNER DE IMPRESIÓN DISTINTOS DE LOS ESPECIFICADOS EN EL CÓDIGO 08 03 17.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ALONSO Y NOGUEIRA, S.A.",A28810026,PARAJ,"CAMBRIJA, PARCELA",Paracuellos de Jarama,28860,LIGANTES RESIDUALES DISTINTOS DE LOS ESPECIFICADOS EN EL CÓDIGO 10 10 13.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TDN, S.A.",A28815017,AVDA,EUROPA,Coslada,28820,COMPONENTES RETIRADOS DE EQUIPOS DESECHADOS DISTINTOS DE LOS ESPECIFICADOS EN EL CÓDIGO 16 02 15.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"AUTO RECYCLING TEO MARTIN, S.A.",A28823151,CALLE,DEL BRONCE,San Martín de la Vega,28330,VEHÍCULOS AL FINAL DE SU VIDA UTIL QUE NO CONTENGAN LÍQUIDOS NI OTROS COMPONENTES PELIGROSOS.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"TEODORO GARCIA E HIJOS, S.A.",A28823672,CALLE,DEL LOTO,Madrid,28029,ACIDO SULFÚRICO Y ÁCIDO SULFUROSO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"GRUAS Y TRANSPORTES SIXTO, S.A.",A28828861,AVDA,DEL EURO,Madrid,28054,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
