planta_año,planta_clasificacion_envases,planta_tipo_residuo_desc,planta_tipo_residuo_cantidad
2013,Pinto,Metales (kg),1793160
2013,Pinto,Plásticos (kg),8427130
2013,Pinto,Vidrio (kg),47640
2013,Pinto,Papel y cartón (kg),0
2013,Pinto,Briks (kg),1943600
2013,Pinto,Otros materiales (kg),0
2013,Colmenar Viejo,Metales (kg),2295440
2013,Colmenar Viejo,Plásticos (kg),7496595
2013,Colmenar Viejo,Vidrio (kg),0
2013,Colmenar Viejo,Papel y cartón (kg),148160
2013,Colmenar Viejo,Briks (kg),1880280
2013,Colmenar Viejo,Otros materiales (kg),15700
2013,Nueva Rendija,Metales (kg),2065360
2013,Nueva Rendija,Plásticos (kg),0
2013,Nueva Rendija,Vidrio (kg),0
2013,Nueva Rendija,Papel y cartón (kg),145980
2013,Nueva Rendija,Briks (kg),0
2013,Nueva Rendija,Otros materiales (kg),4621320
2013,Fuenlabrada,Metales (kg),1122300
2013,Fuenlabrada,Plásticos (kg),2341600
2013,Fuenlabrada,Vidrio (kg),0
2013,Fuenlabrada,Papel y cartón (kg),72580
2013,Fuenlabrada,Briks (kg),530880
2013,Fuenlabrada,Otros materiales (kg),0
2013,La Paloma,Metales (kg),2984000
2013,La Paloma,Plásticos (kg),0
2013,La Paloma,Vidrio (kg),600000
2013,La Paloma,Papel y cartón (kg),1890000
2013,La Paloma,Briks (kg),1683000
2013,La Paloma,Otros materiales (kg),11731000
2013,Las Dehesas,Metales (kg),2423000
2013,Las Dehesas,Plásticos (kg),0
2013,Las Dehesas,Vidrio (kg),0
2013,Las Dehesas,Papel y cartón (kg),1517000
2013,Las Dehesas,Briks (kg),610000
2013,Las Dehesas,Otros materiales (kg),3763000
2014,Pinto,Metales (kg),1719360
2014,Pinto,Plásticos (kg),5205740
2014,Pinto,Vidrio (kg),44440
2014,Pinto,Papel y cartón (kg),44600
2014,Pinto,Briks (kg),1958240
2014,Pinto,Otros materiales (kg),1673220
2014,Colmenar Viejo,Metales (kg),2142760
