residuos_pelig_año,residuos_pelig_opcion_gestion,residuos_pelig_tratamiento,residuos_pelig_cantidad_ton
2013,Reciclado,Recuperación de disolventes,13954.18
2013,Reciclado,Recuperación de metales,2420.23
2013,Reciclado,Regeneración de aceite,25045.88
2013,Eliminación,Estabilización,5757.23
2013,Eliminación,Esterilización,5931.90
2013,Eliminación,Evapocondensación,199.87
2013,Eliminación,Tratamiento físico-químico,447.85
2013,Eliminación,Vertido en depósito de seguridad,26448.40
2014,Reciclado,Recuperación de disolventes,14358.13
2014,Reciclado,Recuperación de metales,2898.20
2014,Reciclado,Regeneración de aceite,30857.18
2014,Preparación para la reutilización,Preparación para la reutilización de envases,402.24
2014,Preparación para la reutilización,Preparación para la reutilización de tóner,0.54
2014,Eliminación,Estabilización,6333.48
2014,Eliminación,Esterilización,5981.02
2014,Eliminación,Evapocondensación,2186.20
2014,Eliminación,Tratamiento físico-químico,12636.49
2014,Eliminación,Vertido en depósito de seguridad,30230.24
2014,Eliminación,Tratamiento biológico,3600.36
2015,Reciclado,Recuperación de disolventes,30948.29
2015,Reciclado,Recuperación de metales,2656.12
2015,Reciclado,Regeneración de aceite,27414.19
2015,Reciclado,Regeneración de gases refrigerantes,7.84
2015,Preparación para la reutilización,Preparación para la reutilización de envases,672.59
2015,Preparación para la reutilización,Preparación para la reutilización de tóner,17.02
2015,Eliminación,Estabilización,8457.00
2015,Eliminación,Esterilización,4728.73
2015,Eliminación,Evapocondensación,3907.56
2015,Eliminación,Tratamiento físico-químico,18665.33
2015,Eliminación,Vertido en depósito de seguridad,35030.86
2015,Eliminación,Tratamiento biológico,4904.55
2016,Reciclado,Recuperación de disolventes,27574.49
2016,Reciclado,Recuperación de metales,1868.67
2016,Reciclado,Regeneración de aceite,24898.16
2016,Reciclado,Regeneración de gases refrigerantes,8.04
2016,Preparación para la reutilización,Preparación para la reutilización de envases,835.56
2016,Preparación para la reutilización,Preparación para la reutilización de tóner,3.82
2016,Preparación para la reutilización,Preparación para la reutilización de RAEE,5.34
2016,Eliminación,Estabilización,3307.38
2016,Eliminación,Esterilización,5137.34
2016,Eliminación,Evapocondensación,4389.32
2016,Eliminación,Tratamiento físico-químico,34744.98
2016,Eliminación,Vertido en depósito de seguridad,35033.52
2016,Eliminación,Tratamiento biológico,5331.45
2017,Reciclado,Recuperación de disolventes,17352.18
2017,Reciclado,Recuperación de metales,2443.75
2017,Reciclado,Regeneración de aceite,25906.76
2017,Reciclado,Recuperación de gases refrigerantes,8.90
2017,Preparación para la reutilización,Preparación para la reutilización de envases,1080.53
2017,Preparación para la reutilización,Preparación para la reutilización de tóner,2.59
2017,Preparación para la reutilización,Preparación para la reutilización de RAEE,18.86
2017,Eliminación,Estabilización,12911.97
2017,Eliminación,Esterilización,5200.61
2017,Eliminación,Evapocondensación,8166.07
2017,Eliminación,Tratamiento físico-químico,7847.03
2017,Eliminación,Vertido en depósito de seguridad,45860.68
2017,Eliminación,Tratamiento biológico,4344.15
