vidrio_municipio_codigo,vidrio_municipio_nombre,vidrio_año,vidrio_indicador_descripcion,vidrio_indicador_unidades,vidrio_indicador_valor
0014,"Acebeda, La",2013,habitantes,número,67
0014,"Acebeda, La",2013,contenedores,unidades,2
0014,"Acebeda, La",2013,vidrio recogido,kg,4213
0029,Ajalvir,2013,habitantes,número,4261
0029,Ajalvir,2013,contenedores,unidades,33
0029,Ajalvir,2013,vidrio recogido,kg,90679
0035,Alameda del Valle,2013,habitantes,número,248
0035,Alameda del Valle,2013,contenedores,unidades,5
0035,Alameda del Valle,2013,vidrio recogido,kg,7355
0040,"Álamo, El",2013,habitantes,número,8845
0040,"Álamo, El",2013,contenedores,unidades,45
0040,"Álamo, El",2013,vidrio recogido,kg,62696
0053,Alcalá de Henares,2013,habitantes,número,204823
0053,Alcalá de Henares,2013,contenedores,unidades,610
0053,Alcalá de Henares,2013,vidrio recogido,kg,1956609
0066,Alcobendas,2013,habitantes,número,112196
0066,Alcobendas,2013,contenedores,unidades,260
0066,Alcobendas,2013,vidrio recogido,kg,2379008
0072,Alcorcón,2013,habitantes,número,169773
0072,Alcorcón,2013,contenedores,unidades,474
0072,Alcorcón,2013,vidrio recogido,kg,2088214
0088,Aldea del Fresno,2013,habitantes,número,2574
0088,Aldea del Fresno,2013,contenedores,unidades,15
0088,Aldea del Fresno,2013,vidrio recogido,kg,34474
0091,Algete,2013,habitantes,número,20136
0091,Algete,2013,contenedores,unidades,107
0091,Algete,2013,vidrio recogido,kg,340574
0105,Alpedrete,2013,habitantes,número,13996
0105,Alpedrete,2013,contenedores,unidades,71
0105,Alpedrete,2013,vidrio recogido,kg,183939
0112,Ambite,2013,habitantes,número,586
0112,Ambite,2013,contenedores,unidades,6
0112,Ambite,2013,vidrio recogido,kg,8459
0127,Anchuelo,2013,habitantes,número,1209
0127,Anchuelo,2013,contenedores,unidades,11
0127,Anchuelo,2013,vidrio recogido,kg,16134
0133,Aranjuez,2013,habitantes,número,57728
0133,Aranjuez,2013,contenedores,unidades,254
0133,Aranjuez,2013,vidrio recogido,kg,578669
0148,Arganda del Rey,2013,habitantes,número,55981
0148,Arganda del Rey,2013,contenedores,unidades,185
0148,Arganda del Rey,2013,vidrio recogido,kg,377966
0151,Arroyomolinos,2013,habitantes,número,24313
0151,Arroyomolinos,2013,contenedores,unidades,105
0151,Arroyomolinos,2013,vidrio recogido,kg,180453
0164,"Atazar, El",2013,habitantes,número,103
0164,"Atazar, El",2013,contenedores,unidades,5
0164,"Atazar, El",2013,vidrio recogido,kg,4670
0170,Batres,2013,habitantes,número,1558
0170,Batres,2013,contenedores,unidades,18
0170,Batres,2013,vidrio recogido,kg,22727
0186,Becerril de la Sierra,2013,habitantes,número,5388
0186,Becerril de la Sierra,2013,contenedores,unidades,44
0186,Becerril de la Sierra,2013,vidrio recogido,kg,93152
0199,Belmonte de Tajo,2013,habitantes,número,1591
0199,Belmonte de Tajo,2013,contenedores,unidades,11
0199,Belmonte de Tajo,2013,vidrio recogido,kg,18850
0210,"Berrueco, El",2013,habitantes,número,633
0210,"Berrueco, El",2013,contenedores,unidades,6
0210,"Berrueco, El",2013,vidrio recogido,kg,13534
