vidrio_municipio_codigo,vidrio_municipio_nombre,vidrio_año,vidrio_indicador_descripcion,vidrio_indicador_unidades,vidrio_indicador_valor
0203,Berzosa del Lozoya,2013,habitantes,número,214
0203,Berzosa del Lozoya,2013,contenedores,unidades,5
0203,Berzosa del Lozoya,2013,vidrio recogido,kg,4860
0225,Boadilla del Monte,2013,habitantes,número,47587
0225,Boadilla del Monte,2013,contenedores,unidades,103
0225,Boadilla del Monte,2013,vidrio recogido,kg,518971
0231,"Boalo, El",2013,habitantes,número,7050
0231,"Boalo, El",2013,contenedores,unidades,61
0231,"Boalo, El",2013,vidrio recogido,kg,123710
0246,Braojos,2013,habitantes,número,210
0246,Braojos,2013,contenedores,unidades,3
0246,Braojos,2013,vidrio recogido,kg,5213
0259,Brea de Tajo,2013,habitantes,número,563
0259,Brea de Tajo,2013,contenedores,unidades,11
0259,Brea de Tajo,2013,vidrio recogido,kg,8870
0262,Brunete,2013,habitantes,número,10075
0262,Brunete,2013,contenedores,unidades,42
0262,Brunete,2013,vidrio recogido,kg,106277
0278,Buitrago del Lozoya,2013,habitantes,número,1964
0278,Buitrago del Lozoya,2013,contenedores,unidades,14
0278,Buitrago del Lozoya,2013,vidrio recogido,kg,41746
0284,Bustarviejo,2013,habitantes,número,2372
0284,Bustarviejo,2013,contenedores,unidades,26
0284,Bustarviejo,2013,vidrio recogido,kg,70914
0297,Cabanillas de la Sierra,2013,habitantes,número,743
0297,Cabanillas de la Sierra,2013,contenedores,unidades,13
0297,Cabanillas de la Sierra,2013,vidrio recogido,kg,22220
0301,"Cabrera, La",2013,habitantes,número,2613
0301,"Cabrera, La",2013,contenedores,unidades,30
0301,"Cabrera, La",2013,vidrio recogido,kg,94595
0318,Cadalso de los Vidrios,2013,habitantes,número,2915
0318,Cadalso de los Vidrios,2013,contenedores,unidades,13
0318,Cadalso de los Vidrios,2013,vidrio recogido,kg,20893
0323,Camarma de Esteruelas,2013,habitantes,número,6995
0323,Camarma de Esteruelas,2013,contenedores,unidades,37
0323,Camarma de Esteruelas,2013,vidrio recogido,kg,127211
0339,Campo Real,2013,habitantes,número,5715
0339,Campo Real,2013,contenedores,unidades,21
0339,Campo Real,2013,vidrio recogido,kg,40451
0344,Canencia,2013,habitantes,número,483
0344,Canencia,2013,contenedores,unidades,4
0344,Canencia,2013,vidrio recogido,kg,7562
0357,Carabaña,2013,habitantes,número,2017
0357,Carabaña,2013,contenedores,unidades,17
0357,Carabaña,2013,vidrio recogido,kg,21900
0360,Casarrubuelos,2013,habitantes,número,3361
0360,Casarrubuelos,2013,contenedores,unidades,22
0360,Casarrubuelos,2013,vidrio recogido,kg,38135
0376,Cenicientos,2013,habitantes,número,2091
0376,Cenicientos,2013,contenedores,unidades,8
0376,Cenicientos,2013,vidrio recogido,kg,7863
0382,Cercedilla,2013,habitantes,número,6890
0382,Cercedilla,2013,contenedores,unidades,53
0382,Cercedilla,2013,vidrio recogido,kg,85429
0395,Cervera de Buitrago,2013,habitantes,número,180
0395,Cervera de Buitrago,2013,contenedores,unidades,6
0395,Cervera de Buitrago,2013,vidrio recogido,kg,5836
0513,Chapinería,2013,habitantes,número,2194
0513,Chapinería,2013,contenedores,unidades,14
0513,Chapinería,2013,vidrio recogido,kg,28226
0528,Chinchón,2013,habitantes,número,5428
0528,Chinchón,2013,contenedores,unidades,26
0528,Chinchón,2013,vidrio recogido,kg,77371
0409,Ciempozuelos,2013,habitantes,número,23950
0409,Ciempozuelos,2013,contenedores,unidades,80
0409,Ciempozuelos,2013,vidrio recogido,kg,167721
0416,Cobeña,2013,habitantes,número,6984
0416,Cobeña,2013,contenedores,unidades,40
0416,Cobeña,2013,vidrio recogido,kg,142906
0468,Collado Mediano,2013,habitantes,número,6746
0468,Collado Mediano,2013,contenedores,unidades,28
0468,Collado Mediano,2013,vidrio recogido,kg,76078
0474,Collado Villalba,2013,habitantes,número,62684
0474,Collado Villalba,2013,contenedores,unidades,230
0474,Collado Villalba,2013,vidrio recogido,kg,665679
0437,Colmenar de Oreja,2013,habitantes,número,8424
0437,Colmenar de Oreja,2013,contenedores,unidades,34
0437,Colmenar de Oreja,2013,vidrio recogido,kg,67107
0421,Colmenar del Arroyo,2013,habitantes,número,1581
0421,Colmenar del Arroyo,2013,contenedores,unidades,11
0421,Colmenar del Arroyo,2013,vidrio recogido,kg,17916
0455,Colmenar Viejo,2013,habitantes,número,46955
0455,Colmenar Viejo,2013,contenedores,unidades,132
0455,Colmenar Viejo,2013,vidrio recogido,kg,480443
0442,Colmenarejo,2013,habitantes,número,8919
0442,Colmenarejo,2013,contenedores,unidades,48
0442,Colmenarejo,2013,vidrio recogido,kg,86816
0480,Corpa,2013,habitantes,número,658
0480,Corpa,2013,contenedores,unidades,4
0480,Corpa,2013,vidrio recogido,kg,5282
0493,Coslada,2013,habitantes,número,91425
0493,Coslada,2013,contenedores,unidades,221
0493,Coslada,2013,vidrio recogido,kg,870508
0506,Cubas de la Sagra,2013,habitantes,número,5525
0506,Cubas de la Sagra,2013,contenedores,unidades,44
0506,Cubas de la Sagra,2013,vidrio recogido,kg,62155
0534,Daganzo de Arriba,2013,habitantes,número,9793
0534,Daganzo de Arriba,2013,contenedores,unidades,44
0534,Daganzo de Arriba,2013,vidrio recogido,kg,140813
0549,"Escorial, El",2013,habitantes,número,15197
0549,"Escorial, El",2013,contenedores,unidades,73
0549,"Escorial, El",2013,vidrio recogido,kg,167589
0552,Estremera,2013,habitantes,número,1468
0552,Estremera,2013,contenedores,unidades,21
0552,Estremera,2013,vidrio recogido,kg,15045
0565,Fresnedillas de la Oliva,2013,habitantes,número,1577
0565,Fresnedillas de la Oliva,2013,contenedores,unidades,12
0565,Fresnedillas de la Oliva,2013,vidrio recogido,kg,26942
0571,Fresno de Torote,2013,habitantes,número,2043
0571,Fresno de Torote,2013,contenedores,unidades,10
0571,Fresno de Torote,2013,vidrio recogido,kg,17365
0587,Fuenlabrada,2013,habitantes,número,197520
0587,Fuenlabrada,2013,contenedores,unidades,526
0587,Fuenlabrada,2013,vidrio recogido,kg,1824751
0590,Fuente el Saz de Jarama,2013,habitantes,número,6324
0590,Fuente el Saz de Jarama,2013,contenedores,unidades,34
0590,Fuente el Saz de Jarama,2013,vidrio recogido,kg,113380
0604,Fuentidueña de Tajo,2013,habitantes,número,2108
0604,Fuentidueña de Tajo,2013,contenedores,unidades,18
0604,Fuentidueña de Tajo,2013,vidrio recogido,kg,20620
0611,Galapagar,2013,habitantes,número,32523
0611,Galapagar,2013,contenedores,unidades,139
0611,Galapagar,2013,vidrio recogido,kg,383725
0626,Garganta de los Montes,2013,habitantes,número,393
0626,Garganta de los Montes,2013,contenedores,unidades,9
0626,Garganta de los Montes,2013,vidrio recogido,kg,12595
0632,Gargantilla del Lozoya y Pinilla de Buitrago,2013,habitantes,número,368
0632,Gargantilla del Lozoya y Pinilla de Buitrago,2013,contenedores,unidades,9
0632,Gargantilla del Lozoya y Pinilla de Buitrago,2013,vidrio recogido,kg,25290
0647,Gascones,2013,habitantes,número,176
0647,Gascones,2013,contenedores,unidades,2
0647,Gascones,2013,vidrio recogido,kg,1205
0650,Getafe,2013,habitantes,número,172526
0650,Getafe,2013,contenedores,unidades,479
0650,Getafe,2013,vidrio recogido,kg,1622777
0663,Griñón,2013,habitantes,número,9873
0663,Griñón,2013,contenedores,unidades,52
0663,Griñón,2013,vidrio recogido,kg,111301
0679,Guadalix de la Sierra,2013,habitantes,número,6071
0679,Guadalix de la Sierra,2013,contenedores,unidades,31
0679,Guadalix de la Sierra,2013,vidrio recogido,kg,134932
0685,Guadarrama,2013,habitantes,número,15712
0685,Guadarrama,2013,contenedores,unidades,66
0685,Guadarrama,2013,vidrio recogido,kg,161677
0698,"Hiruela, La",2013,habitantes,número,51
0698,"Hiruela, La",2013,contenedores,unidades,2
0698,"Hiruela, La",2013,vidrio recogido,kg,3758
0702,Horcajo de la Sierra-Aoslos,2013,habitantes,número,169
0702,Horcajo de la Sierra-Aoslos,2013,contenedores,unidades,6
0702,Horcajo de la Sierra-Aoslos,2013,vidrio recogido,kg,4603
0719,Horcajuelo de la Sierra,2013,habitantes,número,86
0719,Horcajuelo de la Sierra,2013,contenedores,unidades,3
0719,Horcajuelo de la Sierra,2013,vidrio recogido,kg,2539
0724,Hoyo de Manzanares,2013,habitantes,número,7872
0724,Hoyo de Manzanares,2013,contenedores,unidades,38
0724,Hoyo de Manzanares,2013,vidrio recogido,kg,139734
0730,Humanes de Madrid,2013,habitantes,número,19248
0730,Humanes de Madrid,2013,contenedores,unidades,99
0730,Humanes de Madrid,2013,vidrio recogido,kg,202435
0745,Leganés,2013,habitantes,número,186995
0745,Leganés,2013,contenedores,unidades,442
0745,Leganés,2013,vidrio recogido,kg,1919377
0758,Loeches,2013,habitantes,número,8078
0758,Loeches,2013,contenedores,unidades,50
0758,Loeches,2013,vidrio recogido,kg,77334
0761,Lozoya,2013,habitantes,número,625
0761,Lozoya,2013,contenedores,unidades,6
0761,Lozoya,2013,vidrio recogido,kg,10472
9015,Lozoyuela-Navas-Sieteiglesias,2013,habitantes,número,1216
9015,Lozoyuela-Navas-Sieteiglesias,2013,contenedores,unidades,17
9015,Lozoyuela-Navas-Sieteiglesias,2013,vidrio recogido,kg,22363
0783,Madarcos,2013,habitantes,número,55
0783,Madarcos,2013,contenedores,unidades,3
0783,Madarcos,2013,vidrio recogido,kg,1951
0796,Madrid,2013,habitantes,número,3207247
0796,Madrid,2013,contenedores,unidades,6080
0796,Madrid,2013,vidrio recogido,kg,41348940
0800,Majadahonda,2013,habitantes,número,70386
0800,Majadahonda,2013,contenedores,unidades,157
0800,Majadahonda,2013,vidrio recogido,kg,891644
0822,Manzanares el Real,2013,habitantes,número,8053
0822,Manzanares el Real,2013,contenedores,unidades,53
0822,Manzanares el Real,2013,vidrio recogido,kg,141931
0838,Meco,2013,habitantes,número,12925
0838,Meco,2013,contenedores,unidades,62
0838,Meco,2013,vidrio recogido,kg,206005
0843,Mejorada del Campo,2013,habitantes,número,23048
0843,Mejorada del Campo,2013,contenedores,unidades,64
0843,Mejorada del Campo,2013,vidrio recogido,kg,185179
0856,Miraflores de la Sierra,2013,habitantes,número,5907
0856,Miraflores de la Sierra,2013,contenedores,unidades,39
0856,Miraflores de la Sierra,2013,vidrio recogido,kg,119853
0869,"Molar, El",2013,habitantes,número,8365
0869,"Molar, El",2013,contenedores,unidades,33
0869,"Molar, El",2013,vidrio recogido,kg,69417
0875,"Molinos, Los",2013,habitantes,número,4485
0875,"Molinos, Los",2013,contenedores,unidades,19
0875,"Molinos, Los",2013,vidrio recogido,kg,46446
0881,Montejo de la Sierra,2013,habitantes,número,359
0881,Montejo de la Sierra,2013,contenedores,unidades,6
0881,Montejo de la Sierra,2013,vidrio recogido,kg,7840
0894,Moraleja de Enmedio,2013,habitantes,número,4937
0894,Moraleja de Enmedio,2013,contenedores,unidades,34
0894,Moraleja de Enmedio,2013,vidrio recogido,kg,29855
0908,Moralzarzal,2013,habitantes,número,12168
0908,Moralzarzal,2013,contenedores,unidades,40
0908,Moralzarzal,2013,vidrio recogido,kg,147780
0915,Morata de Tajuña,2013,habitantes,número,7553
0915,Morata de Tajuña,2013,contenedores,unidades,35
0915,Morata de Tajuña,2013,vidrio recogido,kg,76179
0920,Móstoles,2013,habitantes,número,206451
0920,Móstoles,2013,contenedores,unidades,348
0920,Móstoles,2013,vidrio recogido,kg,1711844
0936,Navacerrada,2013,habitantes,número,2863
0936,Navacerrada,2013,contenedores,unidades,43
0936,Navacerrada,2013,vidrio recogido,kg,63214
0941,Navalafuente,2013,habitantes,número,1223
0941,Navalafuente,2013,contenedores,unidades,18
0941,Navalafuente,2013,vidrio recogido,kg,25083
0954,Navalagamella,2013,habitantes,número,2436
0954,Navalagamella,2013,contenedores,unidades,13
0954,Navalagamella,2013,vidrio recogido,kg,20422
0967,Navalcarnero,2013,habitantes,número,26085
0967,Navalcarnero,2013,contenedores,unidades,102
0967,Navalcarnero,2013,vidrio recogido,kg,190930
0973,Navarredonda y San Mamés,2013,habitantes,número,128
0973,Navarredonda y San Mamés,2013,contenedores,unidades,3
0973,Navarredonda y San Mamés,2013,vidrio recogido,kg,4531
0992,Navas del Rey,2013,habitantes,número,2684
0992,Navas del Rey,2013,contenedores,unidades,16
0992,Navas del Rey,2013,vidrio recogido,kg,23836
1006,Nuevo Baztán,2013,habitantes,número,6299
1006,Nuevo Baztán,2013,contenedores,unidades,41
1006,Nuevo Baztán,2013,vidrio recogido,kg,77595
1013,Olmeda de las Fuentes,2013,habitantes,número,340
1013,Olmeda de las Fuentes,2013,contenedores,unidades,6
1013,Olmeda de las Fuentes,2013,vidrio recogido,kg,5688
1028,Orusco de Tajuña,2013,habitantes,número,1308
1028,Orusco de Tajuña,2013,contenedores,unidades,7
1028,Orusco de Tajuña,2013,vidrio recogido,kg,12020
1049,Paracuellos de Jarama,2013,habitantes,número,21128
1049,Paracuellos de Jarama,2013,contenedores,unidades,115
1049,Paracuellos de Jarama,2013,vidrio recogido,kg,370499
1065,Parla,2013,habitantes,número,125634
1065,Parla,2013,contenedores,unidades,357
1065,Parla,2013,vidrio recogido,kg,796840
1071,Patones,2013,habitantes,número,502
1071,Patones,2013,contenedores,unidades,5
1071,Patones,2013,vidrio recogido,kg,8270
1087,Pedrezuela,2013,habitantes,número,5082
1087,Pedrezuela,2013,contenedores,unidades,34
1087,Pedrezuela,2013,vidrio recogido,kg,122079
1090,Pelayos de la Presa,2013,habitantes,número,2537
1090,Pelayos de la Presa,2013,contenedores,unidades,13
1090,Pelayos de la Presa,2013,vidrio recogido,kg,23397
1104,Perales de Tajuña,2013,habitantes,número,2990
1104,Perales de Tajuña,2013,contenedores,unidades,24
1104,Perales de Tajuña,2013,vidrio recogido,kg,36050
1111,Pezuela de las Torres,2013,habitantes,número,798
1111,Pezuela de las Torres,2013,contenedores,unidades,5
1111,Pezuela de las Torres,2013,vidrio recogido,kg,8602
1126,Pinilla del Valle,2013,habitantes,número,210
1126,Pinilla del Valle,2013,contenedores,unidades,4
1126,Pinilla del Valle,2013,vidrio recogido,kg,5978
1132,Pinto,2013,habitantes,número,46870
1132,Pinto,2013,contenedores,unidades,144
1132,Pinto,2013,vidrio recogido,kg,505319
1147,Piñuécar-Gandullas,2013,habitantes,número,176
1147,Piñuécar-Gandullas,2013,contenedores,unidades,9
1147,Piñuécar-Gandullas,2013,vidrio recogido,kg,4466
1150,Pozuelo de Alarcón,2013,habitantes,número,84474
1150,Pozuelo de Alarcón,2013,contenedores,unidades,205
1150,Pozuelo de Alarcón,2013,vidrio recogido,kg,1100830
1163,Pozuelo del Rey,2013,habitantes,número,1052
1163,Pozuelo del Rey,2013,contenedores,unidades,8
1163,Pozuelo del Rey,2013,vidrio recogido,kg,9952
1179,Prádena del Rincón,2013,habitantes,número,126
1179,Prádena del Rincón,2013,contenedores,unidades,9
1179,Prádena del Rincón,2013,vidrio recogido,kg,7357
1185,Puebla de la Sierra,2013,habitantes,número,96
1185,Puebla de la Sierra,2013,contenedores,unidades,3
1185,Puebla de la Sierra,2013,vidrio recogido,kg,1693
9020,Puentes Viejas,2013,habitantes,número,648
9020,Puentes Viejas,2013,contenedores,unidades,12
9020,Puentes Viejas,2013,vidrio recogido,kg,24322
1198,Quijorna,2013,habitantes,número,3190
1198,Quijorna,2013,contenedores,unidades,14
1198,Quijorna,2013,vidrio recogido,kg,33553
1202,Rascafría,2013,habitantes,número,1893
1202,Rascafría,2013,contenedores,unidades,29
1202,Rascafría,2013,vidrio recogido,kg,77327
1219,Redueña,2013,habitantes,número,284
1219,Redueña,2013,contenedores,unidades,2
1219,Redueña,2013,vidrio recogido,kg,1807
1224,Ribatejada,2013,habitantes,número,696
1224,Ribatejada,2013,contenedores,unidades,5
1224,Ribatejada,2013,vidrio recogido,kg,14969
1230,Rivas-Vaciamadrid,2013,habitantes,número,78133
1230,Rivas-Vaciamadrid,2013,contenedores,unidades,255
1230,Rivas-Vaciamadrid,2013,vidrio recogido,kg,794214
1245,Robledillo de la Jara,2013,habitantes,número,102
1245,Robledillo de la Jara,2013,contenedores,unidades,5
1245,Robledillo de la Jara,2013,vidrio recogido,kg,4722
1258,Robledo de Chavela,2013,habitantes,número,4137
1258,Robledo de Chavela,2013,contenedores,unidades,25
1258,Robledo de Chavela,2013,vidrio recogido,kg,61362
1261,Robregordo,2013,habitantes,número,60
1261,Robregordo,2013,contenedores,unidades,4
1261,Robregordo,2013,vidrio recogido,kg,3009
1277,"Rozas de Madrid, Las",2013,habitantes,número,91806
1277,"Rozas de Madrid, Las",2013,contenedores,unidades,351
1277,"Rozas de Madrid, Las",2013,vidrio recogido,kg,1085832
1283,Rozas de Puerto Real,2013,habitantes,número,484
1283,Rozas de Puerto Real,2013,contenedores,unidades,3
1283,Rozas de Puerto Real,2013,vidrio recogido,kg,3995
1296,San Agustín del Guadalix,2013,habitantes,número,12955
1296,San Agustín del Guadalix,2013,contenedores,unidades,64
1296,San Agustín del Guadalix,2013,vidrio recogido,kg,263845
1300,San Fernando de Henares,2013,habitantes,número,41226
1300,San Fernando de Henares,2013,contenedores,unidades,116
1300,San Fernando de Henares,2013,vidrio recogido,kg,434122
1317,San Lorenzo de El Escorial,2013,habitantes,número,18495
1317,San Lorenzo de El Escorial,2013,contenedores,unidades,185
1317,San Lorenzo de El Escorial,2013,vidrio recogido,kg,208076
1322,San Martín de la Vega,2013,habitantes,número,19672
1322,San Martín de la Vega,2013,contenedores,unidades,53
1322,San Martín de la Vega,2013,vidrio recogido,kg,109301
1338,San Martín de Valdeiglesias,2013,habitantes,número,8524
1338,San Martín de Valdeiglesias,2013,contenedores,unidades,62
1338,San Martín de Valdeiglesias,2013,vidrio recogido,kg,75568
1343,San Sebastián de los Reyes,2013,habitantes,número,82090
1343,San Sebastián de los Reyes,2013,contenedores,unidades,251
1343,San Sebastián de los Reyes,2013,vidrio recogido,kg,1813108
1356,Santa María de la Alameda,2013,habitantes,número,1214
1356,Santa María de la Alameda,2013,contenedores,unidades,16
1356,Santa María de la Alameda,2013,vidrio recogido,kg,25738
1369,Santorcaz,2013,habitantes,número,845
1369,Santorcaz,2013,contenedores,unidades,10
1369,Santorcaz,2013,vidrio recogido,kg,15260
1375,"Santos de la Humosa, Los",2013,habitantes,número,2421
1375,"Santos de la Humosa, Los",2013,contenedores,unidades,23
1375,"Santos de la Humosa, Los",2013,vidrio recogido,kg,27073
1381,"Serna del Monte, La",2013,habitantes,número,93
1381,"Serna del Monte, La",2013,contenedores,unidades,3
1381,"Serna del Monte, La",2013,vidrio recogido,kg,2828
1408,Serranillos del Valle,2013,habitantes,número,3816
1408,Serranillos del Valle,2013,contenedores,unidades,37
1408,Serranillos del Valle,2013,vidrio recogido,kg,40357
1415,Sevilla la Nueva,2013,habitantes,número,8925
1415,Sevilla la Nueva,2013,contenedores,unidades,60
1415,Sevilla la Nueva,2013,vidrio recogido,kg,87883
1436,Somosierra,2013,habitantes,número,82
1436,Somosierra,2013,contenedores,unidades,3
1436,Somosierra,2013,vidrio recogido,kg,1976
1441,Soto del Real,2013,habitantes,número,8519
1441,Soto del Real,2013,contenedores,unidades,74
1441,Soto del Real,2013,vidrio recogido,kg,162998
1454,Talamanca de Jarama,2013,habitantes,número,3211
1454,Talamanca de Jarama,2013,contenedores,unidades,19
1454,Talamanca de Jarama,2013,vidrio recogido,kg,82617
1467,Tielmes,2013,habitantes,número,2658
1467,Tielmes,2013,contenedores,unidades,18
1467,Tielmes,2013,vidrio recogido,kg,35940
1473,Titulcia,2013,habitantes,número,1237
1473,Titulcia,2013,contenedores,unidades,6
1473,Titulcia,2013,vidrio recogido,kg,9245
1489,Torrejón de Ardoz,2013,habitantes,número,123761
1489,Torrejón de Ardoz,2013,contenedores,unidades,383
1489,Torrejón de Ardoz,2013,vidrio recogido,kg,1388320
1492,Torrejón de la Calzada,2013,habitantes,número,7743
1492,Torrejón de la Calzada,2013,contenedores,unidades,32
1492,Torrejón de la Calzada,2013,vidrio recogido,kg,51964
1505,Torrejón de Velasco,2013,habitantes,número,4177
1505,Torrejón de Velasco,2013,contenedores,unidades,34
1505,Torrejón de Velasco,2013,vidrio recogido,kg,39642
1512,Torrelaguna,2013,habitantes,número,4861
1512,Torrelaguna,2013,contenedores,unidades,22
1512,Torrelaguna,2013,vidrio recogido,kg,75564
1527,Torrelodones,2013,habitantes,número,22782
1527,Torrelodones,2013,contenedores,unidades,112
1527,Torrelodones,2013,vidrio recogido,kg,316130
1533,Torremocha de Jarama,2013,habitantes,número,892
1533,Torremocha de Jarama,2013,contenedores,unidades,10
1533,Torremocha de Jarama,2013,vidrio recogido,kg,19742
1548,Torres de la Alameda,2013,habitantes,número,7899
1548,Torres de la Alameda,2013,contenedores,unidades,50
1548,Torres de la Alameda,2013,vidrio recogido,kg,83907
9036,Tres Cantos,2013,habitantes,número,41896
9036,Tres Cantos,2013,contenedores,unidades,159
9036,Tres Cantos,2013,vidrio recogido,kg,666878
1551,Valdaracete,2013,habitantes,número,669
1551,Valdaracete,2013,contenedores,unidades,7
1551,Valdaracete,2013,vidrio recogido,kg,4770
1564,Valdeavero,2013,habitantes,número,1494
1564,Valdeavero,2013,contenedores,unidades,15
1564,Valdeavero,2013,vidrio recogido,kg,12591
1570,Valdelaguna,2013,habitantes,número,871
1570,Valdelaguna,2013,contenedores,unidades,9
1570,Valdelaguna,2013,vidrio recogido,kg,11340
1586,Valdemanco,2013,habitantes,número,958
1586,Valdemanco,2013,contenedores,unidades,12
1586,Valdemanco,2013,vidrio recogido,kg,30972
1599,Valdemaqueda,2013,habitantes,número,882
1599,Valdemaqueda,2013,contenedores,unidades,10
1599,Valdemaqueda,2013,vidrio recogido,kg,11547
1603,Valdemorillo,2013,habitantes,número,11988
1603,Valdemorillo,2013,contenedores,unidades,72
1603,Valdemorillo,2013,vidrio recogido,kg,166750
1610,Valdemoro,2013,habitantes,número,71578
1610,Valdemoro,2013,contenedores,unidades,213
1610,Valdemoro,2013,vidrio recogido,kg,507231
1625,Valdeolmos-Alalpardo,2013,habitantes,número,3633
1625,Valdeolmos-Alalpardo,2013,contenedores,unidades,24
1625,Valdeolmos-Alalpardo,2013,vidrio recogido,kg,59780
1631,Valdepiélagos,2013,habitantes,número,574
1631,Valdepiélagos,2013,contenedores,unidades,5
1631,Valdepiélagos,2013,vidrio recogido,kg,7381
1646,Valdetorres de Jarama,2013,habitantes,número,4176
1646,Valdetorres de Jarama,2013,contenedores,unidades,11
1646,Valdetorres de Jarama,2013,vidrio recogido,kg,59632
1659,Valdilecha,2013,habitantes,número,2910
1659,Valdilecha,2013,contenedores,unidades,11
1659,Valdilecha,2013,vidrio recogido,kg,26365
1662,Valverde de Alcalá,2013,habitantes,número,453
1662,Valverde de Alcalá,2013,contenedores,unidades,8
1662,Valverde de Alcalá,2013,vidrio recogido,kg,3924
1678,Velilla de San Antonio,2013,habitantes,número,12246
1678,Velilla de San Antonio,2013,contenedores,unidades,42
1678,Velilla de San Antonio,2013,vidrio recogido,kg,109977
1684,"Vellón, El",2013,habitantes,número,1824
1684,"Vellón, El",2013,contenedores,unidades,5
1684,"Vellón, El",2013,vidrio recogido,kg,11581
1697,Venturada,2013,habitantes,número,1968
1697,Venturada,2013,contenedores,unidades,15
1697,Venturada,2013,vidrio recogido,kg,40235
1718,Villa del Prado,2013,habitantes,número,6502
1718,Villa del Prado,2013,contenedores,unidades,24
1718,Villa del Prado,2013,vidrio recogido,kg,44832
1701,Villaconejos,2013,habitantes,número,3495
1701,Villaconejos,2013,contenedores,unidades,19
1701,Villaconejos,2013,vidrio recogido,kg,45128
1723,Villalbilla,2013,habitantes,número,11643
1723,Villalbilla,2013,contenedores,unidades,83
1723,Villalbilla,2013,vidrio recogido,kg,134643
1739,Villamanrique de Tajo,2013,habitantes,número,798
1739,Villamanrique de Tajo,2013,contenedores,unidades,8
1739,Villamanrique de Tajo,2013,vidrio recogido,kg,6300
1744,Villamanta,2013,habitantes,número,2514
1744,Villamanta,2013,contenedores,unidades,10
1744,Villamanta,2013,vidrio recogido,kg,16838
1757,Villamantilla,2013,habitantes,número,1238
1757,Villamantilla,2013,contenedores,unidades,8
1757,Villamantilla,2013,vidrio recogido,kg,16149
1760,Villanueva de la Cañada,2013,habitantes,número,18734
1760,Villanueva de la Cañada,2013,contenedores,unidades,65
1760,Villanueva de la Cañada,2013,vidrio recogido,kg,188131
1782,Villanueva de Perales,2013,habitantes,número,1458
1782,Villanueva de Perales,2013,contenedores,unidades,9
