Centro_codigo,Actividad_extraexcolar_codigo,Actividad_extraexcolar_descrip
28023315,150,PROGRAMA 4ºESO+EMPRESA
28023327,150,PROGRAMA 4ºESO+EMPRESA
28023327,030,PROGRAMA REFUERZA
28023364,150,PROGRAMA 4ºESO+EMPRESA
28023364,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28023376,150,PROGRAMA 4ºESO+EMPRESA
28023388,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28023546,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28023674,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28023698,150,PROGRAMA 4ºESO+EMPRESA
28023716,150,PROGRAMA 4ºESO+EMPRESA
28023881,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28023911,150,PROGRAMA 4ºESO+EMPRESA
28023911,030,PROGRAMA REFUERZA
28023947,150,PROGRAMA 4ºESO+EMPRESA
28024071,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28024198,150,PROGRAMA 4ºESO+EMPRESA
28024290,150,PROGRAMA 4ºESO+EMPRESA
28024290,030,PROGRAMA REFUERZA
28024642,030,PROGRAMA REFUERZA
28024812,150,PROGRAMA 4ºESO+EMPRESA
28024873,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28024897,150,PROGRAMA 4ºESO+EMPRESA
28024915,150,PROGRAMA 4ºESO+EMPRESA
28024976,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28024988,150,PROGRAMA 4ºESO+EMPRESA
28025014,030,PROGRAMA REFUERZA
28025026,150,PROGRAMA 4ºESO+EMPRESA
28025026,030,PROGRAMA REFUERZA
28025129,150,PROGRAMA 4ºESO+EMPRESA
28025129,030,PROGRAMA REFUERZA
28025208,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28025294,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28025403,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28025415,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28025491,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28025634,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28025646,150,PROGRAMA 4ºESO+EMPRESA
28025695,150,PROGRAMA 4ºESO+EMPRESA
28025816,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28025828,184,ESCUELA DEPORTIVA: VOLEIBOL
28025828,165,ESCUELA DEPORTIVA: BALONCESTO
28025828,173,ESCUELA DEPORTIVA: FUTBOL SALA
28025828,177,ESCUELA DEPORTIVA: JUDO
28025828,150,PROGRAMA 4ºESO+EMPRESA
28025828,030,PROGRAMA REFUERZA
28025841,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28025956,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28025968,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28026031,184,ESCUELA DEPORTIVA: VOLEIBOL
28026031,150,PROGRAMA 4ºESO+EMPRESA
28026031,173,ESCUELA DEPORTIVA: FUTBOL SALA
28026092,184,ESCUELA DEPORTIVA: VOLEIBOL
28026092,161,ESCUELA DEPORTIVA: AJEDREZ
28026092,150,PROGRAMA 4ºESO+EMPRESA
28026092,165,ESCUELA DEPORTIVA: BALONCESTO
28026092,173,ESCUELA DEPORTIVA: FUTBOL SALA
28026092,030,PROGRAMA REFUERZA
28026195,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28026420,150,PROGRAMA 4ºESO+EMPRESA
28026547,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28027931,150,PROGRAMA 4ºESO+EMPRESA
28028131,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28028301,184,ESCUELA DEPORTIVA: VOLEIBOL
28028301,150,PROGRAMA 4ºESO+EMPRESA
28028301,030,PROGRAMA REFUERZA
28028301,165,ESCUELA DEPORTIVA: BALONCESTO
28028301,177,ESCUELA DEPORTIVA: JUDO
28028301,173,ESCUELA DEPORTIVA: FUTBOL SALA
28028301,174,ESCUELA DEPORTIVA: GIMNASIA
28028350,150,PROGRAMA 4ºESO+EMPRESA
28028350,030,PROGRAMA REFUERZA
28028374,184,ESCUELA DEPORTIVA: VOLEIBOL
28028374,174,ESCUELA DEPORTIVA: GIMNASIA
28028374,030,PROGRAMA REFUERZA
28028374,163,ESCUELA DEPORTIVA: ATLETISMO
28028374,165,ESCUELA DEPORTIVA: BALONCESTO
28028374,168,ESCUELA DEPORTIVA: BALONMANO
28028374,177,ESCUELA DEPORTIVA: JUDO
28028374,182,ESCUELA DEPORTIVA: TAEKWONDO
28028404,184,ESCUELA DEPORTIVA: VOLEIBOL
28028404,170,ESCUELA DEPORTIVA: ESGRIMA
28028404,030,PROGRAMA REFUERZA
28028404,150,PROGRAMA 4ºESO+EMPRESA
28028404,173,ESCUELA DEPORTIVA: FUTBOL SALA
28028404,181,ESCUELA DEPORTIVA: TIRO CON ARCO
28028428,176,ESCUELA DEPORTIVA: HOCKEY
28028428,173,ESCUELA DEPORTIVA: FUTBOL SALA
28028428,150,PROGRAMA 4ºESO+EMPRESA
28028428,030,PROGRAMA REFUERZA
28028428,165,ESCUELA DEPORTIVA: BALONCESTO
28028431,189,ESCUELA DEPORTIVA: TENIS DE MESA
28028431,165,ESCUELA DEPORTIVA: BALONCESTO
28028431,176,ESCUELA DEPORTIVA: HOCKEY
28028431,184,ESCUELA DEPORTIVA: VOLEIBOL
28028431,161,ESCUELA DEPORTIVA: AJEDREZ
28028431,030,PROGRAMA REFUERZA
28028431,150,PROGRAMA 4ºESO+EMPRESA
28028453,189,ESCUELA DEPORTIVA: TENIS DE MESA
28028453,168,ESCUELA DEPORTIVA: BALONMANO
28028453,165,ESCUELA DEPORTIVA: BALONCESTO
28028453,184,ESCUELA DEPORTIVA: VOLEIBOL
28028453,030,PROGRAMA REFUERZA
28028465,189,ESCUELA DEPORTIVA: TENIS DE MESA
28028465,187,ESCUELA DEPORTIVA: PIRAGÜISMO
28028465,177,ESCUELA DEPORTIVA: JUDO
28028465,030,PROGRAMA REFUERZA
28028465,165,ESCUELA DEPORTIVA: BALONCESTO
28028465,184,ESCUELA DEPORTIVA: VOLEIBOL
28028477,184,ESCUELA DEPORTIVA: VOLEIBOL
28028477,173,ESCUELA DEPORTIVA: FUTBOL SALA
28028477,165,ESCUELA DEPORTIVA: BALONCESTO
28028477,150,PROGRAMA 4ºESO+EMPRESA
28028477,030,PROGRAMA REFUERZA
28028519,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28028556,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28028568,150,PROGRAMA 4ºESO+EMPRESA
28028568,030,PROGRAMA REFUERZA
28028571,030,PROGRAMA REFUERZA
28028611,184,ESCUELA DEPORTIVA: VOLEIBOL
28028611,182,ESCUELA DEPORTIVA: TAEKWONDO
28028611,173,ESCUELA DEPORTIVA: FUTBOL SALA
28028611,150,PROGRAMA 4ºESO+EMPRESA
28028672,186,ESCUELA DEPORTIVA: LUCHA
28028672,184,ESCUELA DEPORTIVA: VOLEIBOL
28028672,182,ESCUELA DEPORTIVA: TAEKWONDO
28028672,173,ESCUELA DEPORTIVA: FUTBOL SALA
28028672,161,ESCUELA DEPORTIVA: AJEDREZ
28028672,150,PROGRAMA 4ºESO+EMPRESA
28028672,165,ESCUELA DEPORTIVA: BALONCESTO
28028684,189,ESCUELA DEPORTIVA: TENIS DE MESA
28028684,166,ESCUELA DEPORTIVA: BADMINTON
28028684,030,PROGRAMA REFUERZA
28028684,150,PROGRAMA 4ºESO+EMPRESA
28028684,178,ESCUELA DEPORTIVA: ORIENTACION
28028945,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28029123,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28029652,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28029691,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28030137,184,ESCUELA DEPORTIVA: VOLEIBOL
28030137,165,ESCUELA DEPORTIVA: BALONCESTO
28030137,150,PROGRAMA 4ºESO+EMPRESA
28030137,030,PROGRAMA REFUERZA
28030149,184,ESCUELA DEPORTIVA: VOLEIBOL
28030149,150,PROGRAMA 4ºESO+EMPRESA
28030149,030,PROGRAMA REFUERZA
28030149,165,ESCUELA DEPORTIVA: BALONCESTO
28030149,176,ESCUELA DEPORTIVA: HOCKEY
28030149,173,ESCUELA DEPORTIVA: FUTBOL SALA
28030150,150,PROGRAMA 4ºESO+EMPRESA
28030150,030,PROGRAMA REFUERZA
28030162,184,ESCUELA DEPORTIVA: VOLEIBOL
28030162,030,PROGRAMA REFUERZA
28030162,150,PROGRAMA 4ºESO+EMPRESA
28030162,173,ESCUELA DEPORTIVA: FUTBOL SALA
28030162,165,ESCUELA DEPORTIVA: BALONCESTO
28030174,184,ESCUELA DEPORTIVA: VOLEIBOL
28030174,030,PROGRAMA REFUERZA
28030174,150,PROGRAMA 4ºESO+EMPRESA
28030174,165,ESCUELA DEPORTIVA: BALONCESTO
28030186,176,ESCUELA DEPORTIVA: HOCKEY
28030186,030,PROGRAMA REFUERZA
28030216,173,ESCUELA DEPORTIVA: FUTBOL SALA
28030216,165,ESCUELA DEPORTIVA: BALONCESTO
28030228,184,ESCUELA DEPORTIVA: VOLEIBOL
28030228,168,ESCUELA DEPORTIVA: BALONMANO
28030228,150,PROGRAMA 4ºESO+EMPRESA
28030228,165,ESCUELA DEPORTIVA: BALONCESTO
28030228,030,PROGRAMA REFUERZA
28030241,150,PROGRAMA 4ºESO+EMPRESA
28030241,030,PROGRAMA REFUERZA
28030344,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28030411,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28030575,184,ESCUELA DEPORTIVA: VOLEIBOL
28030575,150,PROGRAMA 4ºESO+EMPRESA
28030575,030,PROGRAMA REFUERZA
28030575,176,ESCUELA DEPORTIVA: HOCKEY
28030903,150,PROGRAMA 4ºESO+EMPRESA
28030903,030,PROGRAMA REFUERZA
28030915,030,PROGRAMA REFUERZA
28030927,150,PROGRAMA 4ºESO+EMPRESA
28030927,030,PROGRAMA REFUERZA
28030952,030,PROGRAMA REFUERZA
28030964,184,ESCUELA DEPORTIVA: VOLEIBOL
28030964,150,PROGRAMA 4ºESO+EMPRESA
28030964,030,PROGRAMA REFUERZA
28030976,030,PROGRAMA REFUERZA
28031026,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28031051,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28031075,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28031488,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28032468,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28032471,150,PROGRAMA 4ºESO+EMPRESA
28032471,030,PROGRAMA REFUERZA
28032481,187,ESCUELA DEPORTIVA: PIRAGÜISMO
28032481,186,ESCUELA DEPORTIVA: LUCHA
28032481,173,ESCUELA DEPORTIVA: FUTBOL SALA
28032481,030,PROGRAMA REFUERZA
28032481,150,PROGRAMA 4ºESO+EMPRESA
28032481,165,ESCUELA DEPORTIVA: BALONCESTO
28032481,184,ESCUELA DEPORTIVA: VOLEIBOL
28032501,150,PROGRAMA 4ºESO+EMPRESA
28032501,030,PROGRAMA REFUERZA
28032535,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28032547,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28032559,150,PROGRAMA 4ºESO+EMPRESA
28032638,150,PROGRAMA 4ºESO+EMPRESA
28033382,150,PROGRAMA 4ºESO+EMPRESA
28033539,187,ESCUELA DEPORTIVA: PIRAGÜISMO
28033539,173,ESCUELA DEPORTIVA: FUTBOL SALA
28033539,165,ESCUELA DEPORTIVA: BALONCESTO
28033539,030,PROGRAMA REFUERZA
28033539,166,ESCUELA DEPORTIVA: BADMINTON
28033539,177,ESCUELA DEPORTIVA: JUDO
28033539,184,ESCUELA DEPORTIVA: VOLEIBOL
28033539,180,ESCUELA DEPORTIVA: SALVAMENTO Y SOCORRISMO
28033552,150,PROGRAMA 4ºESO+EMPRESA
28033552,030,PROGRAMA REFUERZA
28033621,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28033679,030,PROGRAMA REFUERZA
28033679,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28033825,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28033850,030,PROGRAMA REFUERZA
28033931,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28033941,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28034027,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28034040,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28034091,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28034118,150,PROGRAMA 4ºESO+EMPRESA
28034441,184,ESCUELA DEPORTIVA: VOLEIBOL
28034441,165,ESCUELA DEPORTIVA: BALONCESTO
28034441,150,PROGRAMA 4ºESO+EMPRESA
28034441,030,PROGRAMA REFUERZA
28034933,150,PROGRAMA 4ºESO+EMPRESA
28034994,150,PROGRAMA 4ºESO+EMPRESA
28035044,150,PROGRAMA 4ºESO+EMPRESA
28035305,174,ESCUELA DEPORTIVA: GIMNASIA
28035305,173,ESCUELA DEPORTIVA: FUTBOL SALA
28035305,165,ESCUELA DEPORTIVA: BALONCESTO
28035305,150,PROGRAMA 4ºESO+EMPRESA
28035317,030,PROGRAMA REFUERZA
28035330,184,ESCUELA DEPORTIVA: VOLEIBOL
28035330,150,PROGRAMA 4ºESO+EMPRESA
28035330,165,ESCUELA DEPORTIVA: BALONCESTO
28035330,161,ESCUELA DEPORTIVA: AJEDREZ
28035330,030,PROGRAMA REFUERZA
28035342,184,ESCUELA DEPORTIVA: VOLEIBOL
28035342,162,ESCUELA DEPORTIVA: ACTIVIDADES MEDIO NATURAL
28035342,150,PROGRAMA 4ºESO+EMPRESA
28035342,030,PROGRAMA REFUERZA
28035482,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28035512,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28035524,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28035597,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28035640,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28035688,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28036978,176,ESCUELA DEPORTIVA: HOCKEY
28036978,150,PROGRAMA 4ºESO+EMPRESA
28036978,173,ESCUELA DEPORTIVA: FUTBOL SALA
28036981,150,PROGRAMA 4ºESO+EMPRESA
28036981,030,PROGRAMA REFUERZA
28036991,150,PROGRAMA 4ºESO+EMPRESA
28036991,030,PROGRAMA REFUERZA
28037004,030,PROGRAMA REFUERZA
28037016,184,ESCUELA DEPORTIVA: VOLEIBOL
28037016,150,PROGRAMA 4ºESO+EMPRESA
28037016,173,ESCUELA DEPORTIVA: FUTBOL SALA
28037016,165,ESCUELA DEPORTIVA: BALONCESTO
28037016,030,PROGRAMA REFUERZA
28037031,184,ESCUELA DEPORTIVA: VOLEIBOL
28037031,030,PROGRAMA REFUERZA
28037031,150,PROGRAMA 4ºESO+EMPRESA
28037031,165,ESCUELA DEPORTIVA: BALONCESTO
28037041,173,ESCUELA DEPORTIVA: FUTBOL SALA
28037041,165,ESCUELA DEPORTIVA: BALONCESTO
28037041,150,PROGRAMA 4ºESO+EMPRESA
28037041,030,PROGRAMA REFUERZA
28037053,150,PROGRAMA 4ºESO+EMPRESA
28037053,030,PROGRAMA REFUERZA
28037065,150,PROGRAMA 4ºESO+EMPRESA
28037065,030,PROGRAMA REFUERZA
28037077,184,ESCUELA DEPORTIVA: VOLEIBOL
28037077,177,ESCUELA DEPORTIVA: JUDO
28037077,174,ESCUELA DEPORTIVA: GIMNASIA
28037077,173,ESCUELA DEPORTIVA: FUTBOL SALA
28037077,161,ESCUELA DEPORTIVA: AJEDREZ
28037077,030,PROGRAMA REFUERZA
28037077,150,PROGRAMA 4ºESO+EMPRESA
28037077,162,ESCUELA DEPORTIVA: ACTIVIDADES MEDIO NATURAL
28037089,030,PROGRAMA REFUERZA
28037405,150,PROGRAMA 4ºESO+EMPRESA
28037545,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28037791,150,PROGRAMA 4ºESO+EMPRESA
28037961,150,PROGRAMA 4ºESO+EMPRESA
28037971,150,PROGRAMA 4ºESO+EMPRESA
28038151,150,PROGRAMA 4ºESO+EMPRESA
28038151,030,PROGRAMA REFUERZA
28038291,184,ESCUELA DEPORTIVA: VOLEIBOL
28038291,173,ESCUELA DEPORTIVA: FUTBOL SALA
28038291,150,PROGRAMA 4ºESO+EMPRESA
28038291,163,ESCUELA DEPORTIVA: ATLETISMO
28038291,030,PROGRAMA REFUERZA
28038306,150,PROGRAMA 4ºESO+EMPRESA
28038306,030,PROGRAMA REFUERZA
28038321,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28038355,184,ESCUELA DEPORTIVA: VOLEIBOL
28038355,176,ESCUELA DEPORTIVA: HOCKEY
28038355,150,PROGRAMA 4ºESO+EMPRESA
28038446,186,ESCUELA DEPORTIVA: LUCHA
28038446,181,ESCUELA DEPORTIVA: TIRO CON ARCO
28038446,179,ESCUELA DEPORTIVA: PATINAJE
28038446,165,ESCUELA DEPORTIVA: BALONCESTO
28038446,030,PROGRAMA REFUERZA
28038446,173,ESCUELA DEPORTIVA: FUTBOL SALA
28038446,180,ESCUELA DEPORTIVA: SALVAMENTO Y SOCORRISMO
28038562,150,PROGRAMA 4ºESO+EMPRESA
28038598,150,PROGRAMA 4ºESO+EMPRESA
28038616,150,PROGRAMA 4ºESO+EMPRESA
28038801,184,ESCUELA DEPORTIVA: VOLEIBOL
28038801,030,PROGRAMA REFUERZA
28038801,150,PROGRAMA 4ºESO+EMPRESA
28038801,182,ESCUELA DEPORTIVA: TAEKWONDO
28038801,173,ESCUELA DEPORTIVA: FUTBOL SALA
28038823,184,ESCUELA DEPORTIVA: VOLEIBOL
28038823,150,PROGRAMA 4ºESO+EMPRESA
28038823,030,PROGRAMA REFUERZA
28038823,176,ESCUELA DEPORTIVA: HOCKEY
28038835,150,PROGRAMA 4ºESO+EMPRESA
28038835,030,PROGRAMA REFUERZA
28038847,184,ESCUELA DEPORTIVA: VOLEIBOL
28038847,173,ESCUELA DEPORTIVA: FUTBOL SALA
28038847,165,ESCUELA DEPORTIVA: BALONCESTO
28038847,150,PROGRAMA 4ºESO+EMPRESA
28038847,030,PROGRAMA REFUERZA
28038859,184,ESCUELA DEPORTIVA: VOLEIBOL
28038859,177,ESCUELA DEPORTIVA: JUDO
28038859,030,PROGRAMA REFUERZA
28038859,165,ESCUELA DEPORTIVA: BALONCESTO
28038859,173,ESCUELA DEPORTIVA: FUTBOL SALA
28038860,186,ESCUELA DEPORTIVA: LUCHA
28038860,184,ESCUELA DEPORTIVA: VOLEIBOL
28038860,177,ESCUELA DEPORTIVA: JUDO
28038860,030,PROGRAMA REFUERZA
28038860,150,PROGRAMA 4ºESO+EMPRESA
28038860,165,ESCUELA DEPORTIVA: BALONCESTO
28038860,168,ESCUELA DEPORTIVA: BALONMANO
28038860,174,ESCUELA DEPORTIVA: GIMNASIA
28038860,179,ESCUELA DEPORTIVA: PATINAJE
28038872,182,ESCUELA DEPORTIVA: TAEKWONDO
28038872,179,ESCUELA DEPORTIVA: PATINAJE
28038872,166,ESCUELA DEPORTIVA: BADMINTON
28038872,150,PROGRAMA 4ºESO+EMPRESA
28038872,030,PROGRAMA REFUERZA
28038872,168,ESCUELA DEPORTIVA: BALONMANO
28038884,184,ESCUELA DEPORTIVA: VOLEIBOL
28038884,030,PROGRAMA REFUERZA
28038884,173,ESCUELA DEPORTIVA: FUTBOL SALA
28038884,165,ESCUELA DEPORTIVA: BALONCESTO
28038884,150,PROGRAMA 4ºESO+EMPRESA
28038896,184,ESCUELA DEPORTIVA: VOLEIBOL
28038896,173,ESCUELA DEPORTIVA: FUTBOL SALA
28038896,150,PROGRAMA 4ºESO+EMPRESA
28038896,030,PROGRAMA REFUERZA
28038896,165,ESCUELA DEPORTIVA: BALONCESTO
28038896,182,ESCUELA DEPORTIVA: TAEKWONDO
28038902,189,ESCUELA DEPORTIVA: TENIS DE MESA
28038902,182,ESCUELA DEPORTIVA: TAEKWONDO
28038902,180,ESCUELA DEPORTIVA: SALVAMENTO Y SOCORRISMO
28038902,173,ESCUELA DEPORTIVA: FUTBOL SALA
28038902,165,ESCUELA DEPORTIVA: BALONCESTO
28038902,168,ESCUELA DEPORTIVA: BALONMANO
28038902,184,ESCUELA DEPORTIVA: VOLEIBOL
28038914,150,PROGRAMA 4ºESO+EMPRESA
28038914,030,PROGRAMA REFUERZA
28038926,184,ESCUELA DEPORTIVA: VOLEIBOL
28038926,150,PROGRAMA 4ºESO+EMPRESA
28038926,173,ESCUELA DEPORTIVA: FUTBOL SALA
28039037,187,ESCUELA DEPORTIVA: PIRAGÜISMO
28039037,173,ESCUELA DEPORTIVA: FUTBOL SALA
28039037,030,PROGRAMA REFUERZA
28039037,150,PROGRAMA 4ºESO+EMPRESA
28039037,163,ESCUELA DEPORTIVA: ATLETISMO
28039037,184,ESCUELA DEPORTIVA: VOLEIBOL
28039669,150,PROGRAMA 4ºESO+EMPRESA
28039670,150,PROGRAMA 4ºESO+EMPRESA
28039682,173,ESCUELA DEPORTIVA: FUTBOL SALA
28039682,165,ESCUELA DEPORTIVA: BALONCESTO
28039682,150,PROGRAMA 4ºESO+EMPRESA
28039700,150,PROGRAMA 4ºESO+EMPRESA
28039700,030,PROGRAMA REFUERZA
28039736,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28039797,150,PROGRAMA 4ºESO+EMPRESA
28039797,030,PROGRAMA REFUERZA
28039803,184,ESCUELA DEPORTIVA: VOLEIBOL
28039803,173,ESCUELA DEPORTIVA: FUTBOL SALA
28039803,030,PROGRAMA REFUERZA
28039827,150,PROGRAMA 4ºESO+EMPRESA
28039839,187,ESCUELA DEPORTIVA: PIRAGÜISMO
28039839,173,ESCUELA DEPORTIVA: FUTBOL SALA
28039839,166,ESCUELA DEPORTIVA: BADMINTON
28039839,030,PROGRAMA REFUERZA
28039839,150,PROGRAMA 4ºESO+EMPRESA
28039840,184,ESCUELA DEPORTIVA: VOLEIBOL
28039840,173,ESCUELA DEPORTIVA: FUTBOL SALA
28039840,165,ESCUELA DEPORTIVA: BALONCESTO
28039840,177,ESCUELA DEPORTIVA: JUDO
28039840,179,ESCUELA DEPORTIVA: PATINAJE
28039840,161,ESCUELA DEPORTIVA: AJEDREZ
28039840,030,PROGRAMA REFUERZA
28039864,184,ESCUELA DEPORTIVA: VOLEIBOL
28039864,165,ESCUELA DEPORTIVA: BALONCESTO
28039864,150,PROGRAMA 4ºESO+EMPRESA
28039864,030,PROGRAMA REFUERZA
28039876,184,ESCUELA DEPORTIVA: VOLEIBOL
28039876,030,PROGRAMA REFUERZA
28039876,168,ESCUELA DEPORTIVA: BALONMANO
28039876,165,ESCUELA DEPORTIVA: BALONCESTO
28039876,150,PROGRAMA 4ºESO+EMPRESA
28039876,173,ESCUELA DEPORTIVA: FUTBOL SALA
28039888,184,ESCUELA DEPORTIVA: VOLEIBOL
28039888,165,ESCUELA DEPORTIVA: BALONCESTO
28039888,150,PROGRAMA 4ºESO+EMPRESA
28039888,030,PROGRAMA REFUERZA
28039888,161,ESCUELA DEPORTIVA: AJEDREZ
28039888,173,ESCUELA DEPORTIVA: FUTBOL SALA
28039888,182,ESCUELA DEPORTIVA: TAEKWONDO
28039888,179,ESCUELA DEPORTIVA: PATINAJE
28039891,150,PROGRAMA 4ºESO+EMPRESA
28039891,030,PROGRAMA REFUERZA
28039943,150,PROGRAMA 4ºESO+EMPRESA
28039992,030,PROGRAMA REFUERZA
28040027,030,PROGRAMA REFUERZA
28040519,150,PROGRAMA 4ºESO+EMPRESA
28040611,150,PROGRAMA 4ºESO+EMPRESA
28040623,150,PROGRAMA 4ºESO+EMPRESA
28040660,030,PROGRAMA REFUERZA
28040672,150,PROGRAMA 4ºESO+EMPRESA
28040684,150,PROGRAMA 4ºESO+EMPRESA
28040696,189,ESCUELA DEPORTIVA: TENIS DE MESA
28040696,165,ESCUELA DEPORTIVA: BALONCESTO
28040696,162,ESCUELA DEPORTIVA: ACTIVIDADES MEDIO NATURAL
28040696,180,ESCUELA DEPORTIVA: SALVAMENTO Y SOCORRISMO
28040702,187,ESCUELA DEPORTIVA: PIRAGÜISMO
28040702,030,PROGRAMA REFUERZA
28040702,150,PROGRAMA 4ºESO+EMPRESA
28040702,184,ESCUELA DEPORTIVA: VOLEIBOL
28040702,182,ESCUELA DEPORTIVA: TAEKWONDO
28040702,165,ESCUELA DEPORTIVA: BALONCESTO
28040714,150,PROGRAMA 4ºESO+EMPRESA
28040714,030,PROGRAMA REFUERZA
28040738,165,ESCUELA DEPORTIVA: BALONCESTO
28040738,150,PROGRAMA 4ºESO+EMPRESA
28040738,030,PROGRAMA REFUERZA
28040741,189,ESCUELA DEPORTIVA: TENIS DE MESA
28040741,150,PROGRAMA 4ºESO+EMPRESA
28040741,030,PROGRAMA REFUERZA
28040741,165,ESCUELA DEPORTIVA: BALONCESTO
