Centro_codigo,Actividad_extraexcolar_codigo,Actividad_extraexcolar_descrip
28002211,168,ESCUELA DEPORTIVA: BALONMANO
28002211,150,PROGRAMA 4ºESO+EMPRESA
28002270,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28002282,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28002312,150,PROGRAMA 4ºESO+EMPRESA
28002312,030,PROGRAMA REFUERZA
28002361,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28002385,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28002415,189,ESCUELA DEPORTIVA: TENIS DE MESA
28002415,173,ESCUELA DEPORTIVA: FUTBOL SALA
28002415,150,PROGRAMA 4ºESO+EMPRESA
28002415,030,PROGRAMA REFUERZA
28002415,162,ESCUELA DEPORTIVA: ACTIVIDADES MEDIO NATURAL
28002415,174,ESCUELA DEPORTIVA: GIMNASIA
28002415,184,ESCUELA DEPORTIVA: VOLEIBOL
28002415,182,ESCUELA DEPORTIVA: TAEKWONDO
28002427,150,PROGRAMA 4ºESO+EMPRESA
28002464,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28002580,150,PROGRAMA 4ºESO+EMPRESA
28002580,030,PROGRAMA REFUERZA
28002737,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28002804,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28002853,189,ESCUELA DEPORTIVA: TENIS DE MESA
28002853,168,ESCUELA DEPORTIVA: BALONMANO
28002853,184,ESCUELA DEPORTIVA: VOLEIBOL
28002890,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28002944,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28002956,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28002981,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28003134,150,PROGRAMA 4ºESO+EMPRESA
28003201,150,PROGRAMA 4ºESO+EMPRESA
28003328,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28003420,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28003501,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28003535,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28003675,150,PROGRAMA 4ºESO+EMPRESA
28003778,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28003882,150,PROGRAMA 4ºESO+EMPRESA
28003882,030,PROGRAMA REFUERZA
28003900,150,PROGRAMA 4ºESO+EMPRESA
28003900,030,PROGRAMA REFUERZA
28004059,184,ESCUELA DEPORTIVA: VOLEIBOL
28004059,174,ESCUELA DEPORTIVA: GIMNASIA
28004059,165,ESCUELA DEPORTIVA: BALONCESTO
28004059,150,PROGRAMA 4ºESO+EMPRESA
28004059,161,ESCUELA DEPORTIVA: AJEDREZ
28004059,173,ESCUELA DEPORTIVA: FUTBOL SALA
28004059,176,ESCUELA DEPORTIVA: HOCKEY
28004266,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28004904,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005091,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005155,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005179,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005261,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005295,150,PROGRAMA 4ºESO+EMPRESA
