centro_codigo;centro_nombre;centro_tipo_codigo;centro_tipo_desc_abreviada;centro_tipo_descripcion;centro_titularidad;dat_codigo;dat_nombre;centro_direccion_coor_x;centro_direccion_coor_y;actividad_extraexcolar_codigo;actividad_extraexcolar_descrip
28000042;EL ALAMO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;415961;4453703;031;PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28000081;DAOIZ Y VELARDE;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;3;Madrid-Este;468826;4481956;031;PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28000111;REYES CATOLICOS;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;3;Madrid-Este;468146;4480586;031;PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28000327;SANTA MARIA DE LA PROVIDENCIA;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;3;Madrid-Este;469022;4482033;150;PROGRAMA 4ºESO+EMPRESA
28000339;JUNCAL;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;3;Madrid-Este;467839;4480671;031;PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28000364;COMPLUTENSE;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;470510;4481599;189;ESCUELA DEPORTIVA: TENIS DE MESA
28000364;COMPLUTENSE;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;470510;4481599;165;ESCUELA DEPORTIVA: BALONCESTO
28000364;COMPLUTENSE;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;470510;4481599;150;PROGRAMA 4ºESO+EMPRESA
28000364;COMPLUTENSE;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;470510;4481599;173;ESCUELA DEPORTIVA: FUTBOL SALA
28000364;COMPLUTENSE;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;470510;4481599;184;ESCUELA DEPORTIVA: VOLEIBOL
28000364;COMPLUTENSE;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;470510;4481599;181;ESCUELA DEPORTIVA: TIRO CON ARCO
28000406;SAN GABRIEL;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;3;Madrid-Este;467137;4483263;150;PROGRAMA 4ºESO+EMPRESA
28000479;CALASANZ;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;3;Madrid-Este;468941;4481493;150;PROGRAMA 4ºESO+EMPRESA
28000492;LOPE DE VEGA;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;3;Madrid-Este;469744;4482228;150;PROGRAMA 4ºESO+EMPRESA
28000522;ANTONIO MACHADO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;468665;4482393;184;ESCUELA DEPORTIVA: VOLEIBOL
28000522;ANTONIO MACHADO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;468665;4482393;165;ESCUELA DEPORTIVA: BALONCESTO
28000522;ANTONIO MACHADO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;468665;4482393;150;PROGRAMA 4ºESO+EMPRESA
28000522;ANTONIO MACHADO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;468665;4482393;162;ESCUELA DEPORTIVA: ACTIVIDADES MEDIO NATURAL
28000522;ANTONIO MACHADO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;468665;4482393;166;ESCUELA DEPORTIVA: BADMINTON
28000522;ANTONIO MACHADO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;468665;4482393;182;ESCUELA DEPORTIVA: TAEKWONDO
28000522;ANTONIO MACHADO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;468665;4482393;179;ESCUELA DEPORTIVA: PATINAJE
28000522;ANTONIO MACHADO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;468665;4482393;168;ESCUELA DEPORTIVA: BALONMANO
28000522;ANTONIO MACHADO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;468665;4482393;173;ESCUELA DEPORTIVA: FUTBOL SALA
28000753;FRANCISCO GINER DE LOS RIOS;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;1;Madrid-Norte;447429;4487172;150;PROGRAMA 4ºESO+EMPRESA
28000901;NTRA. SRA. DE RIHONDO;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;2;Madrid-Sur;428975;4466342;150;PROGRAMA 4ºESO+EMPRESA
28001010;AMOR DE DIOS;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;2;Madrid-Sur;430735;4467059;150;PROGRAMA 4ºESO+EMPRESA
28001034;VIRGEN DEL REMEDIO;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;2;Madrid-Sur;430148;4467116;150;PROGRAMA 4ºESO+EMPRESA
28001046;CENTRO EDUCATIVO VILLA DE ALCORCON;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;2;Madrid-Sur;429720;4466865;150;PROGRAMA 4ºESO+EMPRESA
28001241;NTRA. SRA. DE FATIMA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;398068;4464438;031;PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28001551;VICENTE ALEIXANDRE;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;448855;4431855;031;PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28001617;SAN ISIDRO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;449488;4431557;031;PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28001629;DOMENICO SCARLATTI;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;448012;4431221;187;ESCUELA DEPORTIVA: PIRAGÜISMO
28001629;DOMENICO SCARLATTI;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;448012;4431221;165;ESCUELA DEPORTIVA: BALONCESTO
28001629;DOMENICO SCARLATTI;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;448012;4431221;030;PROGRAMA REFUERZA
28001629;DOMENICO SCARLATTI;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;448012;4431221;166;ESCUELA DEPORTIVA: BADMINTON
28001629;DOMENICO SCARLATTI;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;448012;4431221;184;ESCUELA DEPORTIVA: VOLEIBOL
28001629;DOMENICO SCARLATTI;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;448012;4431221;171;ESCUELA DEPORTIVA: FÚTBOL 
28001678;JORGE MANRIQUE;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;1;Madrid-Norte;440399;4493685;150;PROGRAMA 4ºESO+EMPRESA
28001678;JORGE MANRIQUE;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;1;Madrid-Norte;440399;4493685;030;PROGRAMA REFUERZA
28001769;EL CARRASCAL;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;462479;4460073;150;PROGRAMA 4ºESO+EMPRESA
28001769;EL CARRASCAL;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;3;Madrid-Este;462479;4460073;030;PROGRAMA REFUERZA
28001812;JUAN RAMON JIMENEZ;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;4;Madrid-Oeste;416281;4507436;150;PROGRAMA 4ºESO+EMPRESA
28001812;JUAN RAMON JIMENEZ;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;4;Madrid-Oeste;416281;4507436;031;PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28001848;PRINCIPE DON FELIPE;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;4;Madrid-Oeste;425441;4473346;150;PROGRAMA 4ºESO+EMPRESA
28001848;PRINCIPE DON FELIPE;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;4;Madrid-Oeste;425441;4473346;030;PROGRAMA REFUERZA
28001873;SAN SEBASTIAN;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;4;Madrid-Oeste;423816;4507413;150;PROGRAMA 4ºESO+EMPRESA
28001976;GSD INTERNATIONAL SCHOOL  BUITRAGO;073;CPR PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;1;Madrid-Norte;446290;4537673;150;PROGRAMA 4ºESO+EMPRESA
28002014;PICO DE LA MIEL;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;1;Madrid-Norte;448706;4524776;031;PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28002026;EUGENIO MURO;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;2;Madrid-Sur;376734;4462250;174;ESCUELA DEPORTIVA: GIMNASIA
28002026;EUGENIO MURO;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;2;Madrid-Sur;376734;4462250;030;PROGRAMA REFUERZA
28002026;EUGENIO MURO;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;2;Madrid-Sur;376734;4462250;031;PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28002026;EUGENIO MURO;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;2;Madrid-Sur;376734;4462250;171;ESCUELA DEPORTIVA: FÚTBOL 
