municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Loeches;2020/07/01 09:00:00;;0;52;591,51;0758
Parla;2020/07/01 09:00:00;10;7,68;835;641,7;1065
Fuentidueña de Tajo;2020/07/01 09:00:00;;48,71;20;974,18;0604
Ambite;2020/07/01 09:00:00;;0;7;1182,43;0112
Torremocha de Jarama;2020/07/01 09:00:00;;0;16;1570,17;1533
Anchuelo;2020/07/01 09:00:00;;78,68;9;708,1;0127
Los Molinos;2020/07/01 09:00:00;;22,78;56;1275,92;0875
Soto del Real;2020/07/01 09:00:00;;0;77;875,1;1441
Valverde de Alcalá;2020/07/01 09:00:00;;0;8;1720,43;1662
Fuente el Saz de Jarama;2020/07/01 09:00:00;;29,87;42;627,24;0590
Horcajo de la Sierra-Aoslos;2020/07/01 09:00:00;;0;;2758,62;0702
Valdeolmos-Alalpardo;2020/07/01 09:00:00;;0;11;265,96;1625
Campo Real;2020/07/01 09:00:00;;16,1;32;515,3;0339
Valdeavero;2020/07/01 09:00:00;;0;10;643,5;1564
Villamanrique de Tajo;2020/07/01 09:00:00;;0;;568,99;1739
Cobeña;2020/07/01 09:00:00;;13,46;89;1198,17;0416
Fresnedillas de la Oliva;2020/07/01 09:00:00;;0;9;572,52;0565
Valdilecha;2020/07/01 09:00:00;;0;21;715,99;1659
El Berrueco;2020/07/01 09:00:00;;526,32;12;1578,95;0210
Pezuela de las Torres;2020/07/01 09:00:00;;0;;237,53;1111
Villar del Olmo;2020/07/01 09:00:00;;0;7;348,09;1795
Guadarrama;2020/07/01 09:00:00;;0;237;1478,29;0685
San Martín de Valdeiglesias;2020/07/01 09:00:00;;0;101;1193,99;1338
Torrelodones;2020/07/01 09:00:00;;4,22;362;1526,33;1527
Boadilla del Monte;2020/07/01 09:00:00;;5,5;400;733;0225
Torrejón de Velasco;2020/07/01 09:00:00;;22,82;24;547,7;1505
Villanueva de Perales;2020/07/01 09:00:00;;0;;319,9;1782
Tielmes;2020/07/01 09:00:00;;37,74;37;1396,23;1467
San Sebastián de los Reyes;2020/07/01 09:00:00;8;8,96;628;703,44;1343
Guadalix de la Sierra;2020/07/01 09:00:00;;0;53;852,91;0679
Humanes de Madrid;2020/07/01 09:00:00;;10,13;143;724,31;0730
Chinchón;2020/07/01 09:00:00;;18,76;32;600,26;0528
Cadalso de los Vidrios;2020/07/01 09:00:00;;0;15;493,58;0318
Hoyo de Manzanares;2020/07/01 09:00:00;;0;44;521,7;0724
Torrejón de la Calzada;2020/07/01 09:00:00;;0;41;462,13;1492
Estremera;2020/07/01 09:00:00;;0;10;793,65;0552
Corpa;2020/07/01 09:00:00;;0;6;841,51;0480
Meco;2020/07/01 09:00:00;;6,99;146;1020,62;0838
Madarcos;2020/07/01 09:00:00;;0;;0;0783
Zarzalejo;2020/07/01 09:00:00;;0;43;2593,49;1837
Arganda del Rey;2020/07/01 09:00:00;;3,61;376;678,84;0148
Collado Mediano;2020/07/01 09:00:00;;0;33;474,27;0468
Daganzo de Arriba;2020/07/01 09:00:00;;0;46;450,76;0534
Manzanares El Real;2020/07/01 09:00:00;;0;48;542,99;0822
Buitrago del Lozoya;2020/07/01 09:00:00;;53,08;18;955,41;0278
Valdelaguna;2020/07/01 09:00:00;;0;;106,72;1570
Valdepiélagos;2020/07/01 09:00:00;;0;;0;1631
Casarrubuelos;2020/07/01 09:00:00;;0;11;291,16;0360
Miraflores de la Sierra;2020/07/01 09:00:00;;0;39;638,51;0856
Paracuellos de Jarama;2020/07/01 09:00:00;;7,91;84;332,42;1049
El Vellón;2020/07/01 09:00:00;;0;14;715,02;1684
Lozoya;2020/07/01 09:00:00;;0;;172,12;0761
Collado Villalba;2020/07/01 09:00:00;7;10,99;573;899,83;0474
Colmenarejo;2020/07/01 09:00:00;;21,91;52;569,55;0442
Villavieja del Lozoya;2020/07/01 09:00:00;;0;;0;1821
Prádena del Rincón;2020/07/01 09:00:00;;0;;0;1179
La Cabrera;2020/07/01 09:00:00;;0;12;449,94;0301
Sevilla la Nueva;2020/07/01 09:00:00;;32,2;159;1706,37;1415
La Acebeda;2020/07/01 09:00:00;;0;;0;0014
Redueña;2020/07/01 09:00:00;;0;;769,23;1219
Robledillo de la Jara;2020/07/01 09:00:00;;0;;1250;1245
La Serna del Monte;2020/07/01 09:00:00;;0;;0;1381
Colmenar de Oreja;2020/07/01 09:00:00;;0;28;348,61;0437
Rozas de Puerto Real;2020/07/01 09:00:00;;0;;943,4;1283
Valdemanco;2020/07/01 09:00:00;;0;;218,82;1586
Brunete;2020/07/01 09:00:00;;9,31;119;1108,42;0262
