municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Moraleja de Enmedio;2020/05/22 07:00:00;;0;25;486,76;0894
Valdaracete;2020/05/22 07:00:00;;328,41;7;1149,43;1551
Pozuelo del Rey;2020/05/22 07:00:00;;0;;174,37;1163
Puebla de la Sierra;2020/05/22 07:00:00;;0;;0;1185
Perales de Tajuña;2020/05/22 07:00:00;;0;10;340,72;1104
Valdemorillo;2020/05/22 07:00:00;;23,97;50;399,42;1603
Navalafuente;2020/05/22 07:00:00;;0;7;483,09;0941
Velilla de San Antonio;2020/05/22 07:00:00;;24,52;74;604,77;1678
Villanueva de la Cañada;2020/05/22 07:00:00;6;27,98;149;694,8;1760
Villanueva del Pardillo;2020/05/22 07:00:00;;23,28;105;611,18;1776
Nuevo Baztán;2020/05/22 07:00:00;;15,93;30;478,01;1006
Villamantilla;2020/05/22 07:00:00;;0;7;485,77;1757
Villamanta;2020/05/22 07:00:00;;0;12;469,67;1744
Cabanillas de la Sierra;2020/05/22 07:00:00;;0;10;1322,75;0297
Cenicientos;2020/05/22 07:00:00;;49,19;29;1426,46;0376
Puentes Viejas;2020/05/22 07:00:00;;0;;294,55;9020
Aranjuez;2020/05/22 07:00:00;10;16,78;453;759,98;0133
Cercedilla;2020/05/22 07:00:00;;56,93;114;1622,54;0382
Santorcaz;2020/05/22 07:00:00;;0;7;790,07;1369
Coslada;2020/05/22 07:00:00;22;26,94;816;999,25;0493
Morata de Tajuña;2020/05/22 07:00:00;;39,05;98;1275,54;0915
Robregordo;2020/05/22 07:00:00;;0;;0;1261
Navarredonda y San Mamés;2020/05/22 07:00:00;;0;;1550,39;0973
Venturada;2020/05/22 07:00:00;;0;;138,7;1697
Navacerrada;2020/05/22 07:00:00;;0;18;605,65;0936
Montejo de la Sierra;2020/05/22 07:00:00;;0;;283,29;0881
Fresno de Torote;2020/05/22 07:00:00;;0;14;630,35;0571
Pinilla del Valle;2020/05/22 07:00:00;;0;;0;1126
Valdemaqueda;2020/05/22 07:00:00;;0;;640,2;1599
Navas del Rey;2020/05/22 07:00:00;10;342,7;79;2707,33;0992
Olmeda de las Fuentes;2020/05/22 07:00:00;;0;;862,07;1013
Bustarviejo;2020/05/22 07:00:00;;0;8;319,62;0284
Velilla de San Antonio;2020/05/27 07:00:00;;16,35;74;604,77;1678
Villanueva de la Cañada;2020/05/27 07:00:00;6;27,98;157;732,11;1760
Villanueva del Pardillo;2020/05/27 07:00:00;;11,64;106;617;1776
Nuevo Baztán;2020/05/27 07:00:00;;15,93;30;478,01;1006
Villamantilla;2020/05/27 07:00:00;;0;7;485,77;1757
Villamanta;2020/05/27 07:00:00;;0;12;469,67;1744
Cabanillas de la Sierra;2020/05/27 07:00:00;;0;10;1322,75;0297
Cenicientos;2020/05/27 07:00:00;;0;29;1426,46;0376
Puentes Viejas;2020/05/27 07:00:00;;0;;294,55;9020
Aranjuez;2020/05/27 07:00:00;10;16,78;456;765,01;0133
Cercedilla;2020/05/27 07:00:00;;56,93;118;1679,48;0382
Santorcaz;2020/05/27 07:00:00;;0;7;790,07;1369
Coslada;2020/05/27 07:00:00;21;25,72;826;1011,5;0493
Morata de Tajuña;2020/05/27 07:00:00;;0;98;1275,54;0915
Robregordo;2020/05/27 07:00:00;;0;;0;1261
Navarredonda y San Mamés;2020/05/27 07:00:00;;0;;1550,39;0973
Venturada;2020/05/27 07:00:00;;0;;138,7;1697
Navacerrada;2020/05/27 07:00:00;;33,65;19;639,3;0936
Montejo de la Sierra;2020/05/27 07:00:00;;0;;283,29;0881
Fresno de Torote;2020/05/27 07:00:00;;0;14;630,35;0571
Pinilla del Valle;2020/05/27 07:00:00;;0;;0;1126
Valdemaqueda;2020/05/27 07:00:00;;0;;640,2;1599
Navas del Rey;2020/05/27 07:00:00;;0;80;2741,6;0992
Olmeda de las Fuentes;2020/05/27 07:00:00;;0;;862,07;1013
Bustarviejo;2020/05/27 07:00:00;;39,95;9;359,57;0284
Becerril de la Sierra;2020/05/27 07:00:00;;0;32;560,03;0186
Fuenlabrada;2020/05/27 07:00:00;49;25,3;1604;828,08;0587
Garganta de los Montes;2020/05/27 07:00:00;;0;;288,18;0626
Pinto;2020/05/27 07:00:00;15;28,56;300;571,15;1132
Alameda del Valle;2020/05/27 07:00:00;;0;;0;0035
Berzosa del Lozoya;2020/05/27 07:00:00;;0;;975,61;0203
Los Santos de la Humosa;2020/05/27 07:00:00;;0;20;772,2;1375
El Álamo;2020/05/27 07:00:00;;52,8;91;960,93;0040
Pelayos de la Presa;2020/05/27 07:00:00;;0;18;693,37;1090
Somosierra;2020/05/26 07:00:00;;0;;2325,58;1436
Galapagar;2020/05/27 07:00:00;7;20,75;282;835,75;0611
Griñón;2020/05/27 07:00:00;;19,38;86;833,41;0663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/05/27 07:00:00;;0;;949,37;0632
Aldea del Fresno;2020/05/27 07:00:00;;35,24;58;2043,69;0088
Carabaña;2020/05/27 07:00:00;;0;14;696,52;0357
Talamanca de Jarama;2020/05/27 07:00:00;;51,85;61;1581,54;1454
Chapinería;2020/05/27 07:00:00;;0;7;300,69;0513
Ciempozuelos;2020/05/27 07:00:00;9;36,6;251;1020,66;0409
Ajalvir;2020/05/27 07:00:00;6;127,33;21;445,67;0029
Zarzalejo;2020/03/26 07:00:00;;60,31;;60,31;1837
San Lorenzo de El Escorial;2020/05/27 07:00:00;6;32,66;146;794,82;1317
Gascones;2020/05/27 07:00:00;;0;;0;0647
San Martín de la Vega;2020/05/27 07:00:00;6;31,3;97;506;1322
Móstoles;2020/05/27 07:00:00;52;24,86;2172;1038,32;0920
Leganés;2020/05/27 07:00:00;108;56,88;3109;1637,51;0745
Braojos;2020/05/27 07:00:00;;0;;975,61;0246
Cubas de la Sagra;2020/05/27 07:00:00;;31,19;30;467,8;0506
Algete;2020/05/27 07:00:00;;14,56;118;572,51;0091
Mejorada del Campo;2020/05/27 07:00:00;;12,89;188;807,77;0843
Loeches;2020/05/27 07:00:00;;0;49;557,39;0758
Parla;2020/05/27 07:00:00;19;14,6;770;591,74;1065
Fuentidueña de Tajo;2020/05/27 07:00:00;;48,71;19;925,47;0604
Ambite;2020/05/27 07:00:00;;0;7;1182,43;0112
Torremocha de Jarama;2020/05/27 07:00:00;7;686,95;15;1472,03;1533
Anchuelo;2020/05/27 07:00:00;;0;7;550,75;0127
Los Molinos;2020/05/27 07:00:00;;22,78;53;1207,56;0875
Soto del Real;2020/05/27 07:00:00;;0;65;738,72;1441
Valverde de Alcalá;2020/05/27 07:00:00;;0;8;1720,43;1662
Fuente el Saz de Jarama;2020/05/27 07:00:00;;14,93;36;537,63;0590
Horcajo de la Sierra-Aoslos;2020/05/27 07:00:00;;0;;2758,62;0702
Valdeolmos-Alalpardo;2020/05/27 07:00:00;;0;11;265,96;1625
Campo Real;2020/05/27 07:00:00;;64,41;28;450,89;0339
Valdeavero;2020/05/27 07:00:00;;64,35;9;579,15;1564
Villamanrique de Tajo;2020/05/27 07:00:00;;0;;568,99;1739
Cobeña;2020/05/27 07:00:00;8;107,7;83;1117,39;0416
Fresnedillas de la Oliva;2020/05/27 07:00:00;;0;9;572,52;0565
Valdilecha;2020/05/27 07:00:00;;0;18;613,71;1659
El Berrueco;2020/05/27 07:00:00;;0;8;1052,63;0210
Pezuela de las Torres;2020/05/27 07:00:00;;0;;237,53;1111
Villar del Olmo;2020/05/27 07:00:00;;0;;198,91;1795
Guadarrama;2020/05/27 07:00:00;12;74,85;223;1390,97;0685
San Martín de Valdeiglesias;2020/05/27 07:00:00;;47,29;94;1111,24;1338
Torrelodones;2020/05/27 07:00:00;8;33,73;346;1458,87;1527
Boadilla del Monte;2020/05/27 07:00:00;11;20,16;375;687,19;0225
Torrejón de Velasco;2020/05/27 07:00:00;;45,64;22;502,05;1505
Villanueva de Perales;2020/05/27 07:00:00;;0;;319,9;1782
Tielmes;2020/05/27 07:00:00;;37,74;34;1283,02;1467
San Sebastián de los Reyes;2020/05/27 07:00:00;46;51,53;539;603,75;1343
Guadalix de la Sierra;2020/05/27 07:00:00;;0;50;804,63;0679
Humanes de Madrid;2020/05/27 07:00:00;;10,13;124;628,07;0730
Chinchón;2020/05/27 07:00:00;;37,52;28;525,23;0528
Cadalso de los Vidrios;2020/05/27 07:00:00;;65,81;10;329,06;0318
Hoyo de Manzanares;2020/05/27 07:00:00;;47,43;41;486,13;0724
Torrejón de la Calzada;2020/05/27 07:00:00;;22,54;40;450,86;1492
Estremera;2020/05/27 07:00:00;;0;9;714,29;0552
Corpa;2020/05/27 07:00:00;;0;6;841,51;0480
Meco;2020/05/27 07:00:00;10;69,91;139;971,69;0838
Madarcos;2020/05/27 07:00:00;;0;;0;0783
Zarzalejo;2020/05/27 07:00:00;;60,31;34;2050,66;1837
Arganda del Rey;2020/05/27 07:00:00;12;21,66;359;648,14;0148
Collado Mediano;2020/05/27 07:00:00;;0;32;459,9;0468
Daganzo de Arriba;2020/05/27 07:00:00;;0;41;401,76;0534
Manzanares El Real;2020/05/27 07:00:00;;11,31;44;497,74;0822
Buitrago del Lozoya;2020/05/27 07:00:00;;0;15;796,18;0278
Valdelaguna;2020/05/27 07:00:00;;0;;106,72;1570
Valdepiélagos;2020/05/27 07:00:00;;0;;0;1631
Casarrubuelos;2020/05/27 07:00:00;;0;11;291,16;0360
Titulcia;2020/05/25 07:00:00;;0;9;685,45;1473
Miraflores de la Sierra;2020/05/27 07:00:00;;49,12;39;638,51;0856
Paracuellos de Jarama;2020/05/27 07:00:00;;3,96;72;284,93;1049
El Vellón;2020/05/27 07:00:00;;0;14;715,02;1684
Lozoya;2020/05/27 07:00:00;;0;;172,12;0761
Collado Villalba;2020/05/27 07:00:00;19;29,84;537;843,29;0474
Colmenarejo;2020/05/27 07:00:00;;0;47;514,79;0442
Villavieja del Lozoya;2020/05/27 07:00:00;;0;;0;1821
Prádena del Rincón;2020/05/27 07:00:00;;0;;0;1179
La Cabrera;2020/05/27 07:00:00;;37,5;12;449,94;0301
Sevilla la Nueva;2020/05/27 07:00:00;;10,73;138;1481;1415
La Acebeda;2020/05/27 07:00:00;;0;;0;0014
Redueña;2020/05/27 07:00:00;;0;;769,23;1219
Robledillo de la Jara;2020/05/27 07:00:00;;0;;1250;1245
La Serna del Monte;2020/05/27 07:00:00;;0;;0;1381
Colmenar de Oreja;2020/05/27 07:00:00;;12,45;27;336,16;0437
Rozas de Puerto Real;2020/05/27 07:00:00;;0;;566,04;1283
Valdemanco;2020/05/27 07:00:00;;109,41;;218,82;1586
Brunete;2020/05/27 07:00:00;;9,31;115;1071,16;0262
Titulcia;2020/05/27 07:00:00;;0;9;685,45;1473
Villa del Prado;2020/05/27 07:00:00;;30,67;126;1932,52;1718
Lozoyuela-Navas-Sieteiglesias;2020/05/27 07:00:00;;0;;230,95;9015
Quijorna;2020/05/27 07:00:00;;29,08;33;959,58;1198
Valdemoro;2020/05/27 07:00:00;28;36,85;825;1085,77;1610
Tres Cantos;2020/05/27 07:00:00;27;56,58;425;890,57;9036
Torrelaguna;2020/05/27 07:00:00;;0;24;504,2;1512
Rivas-Vaciamadrid;2020/05/27 07:00:00;11;12,48;572;648,89;1230
El Atazar;2020/05/27 07:00:00;;0;;0;0164
Pedrezuela;2020/05/27 07:00:00;;33,94;27;458,25;1087
Santa María de la Alameda;2020/05/27 07:00:00;;0;6;478,47;1356
Horcajuelo de la Sierra;2020/05/27 07:00:00;;0;;0;0719
Arroyomolinos;2020/05/27 07:00:00;;12,74;183;582,88;0151
Moralzarzal;2020/05/27 07:00:00;;15,35;76;583,45;0908
Navalafuente;2020/05/21 07:00:00;;0;7;483,09;0941
Velilla de San Antonio;2020/05/21 07:00:00;;16,35;73;596,6;1678
Villanueva de la Cañada;2020/05/21 07:00:00;7;32,64;149;694,8;1760
Villanueva del Pardillo;2020/05/21 07:00:00;;17,46;104;605,36;1776
Nuevo Baztán;2020/05/21 07:00:00;;15,93;30;478,01;1006
Villamantilla;2020/05/21 07:00:00;;0;7;485,77;1757
Villamanta;2020/05/21 07:00:00;;0;12;469,67;1744
Cabanillas de la Sierra;2020/05/21 07:00:00;;0;10;1322,75;0297
Cenicientos;2020/05/21 07:00:00;;98,38;29;1426,46;0376
Puentes Viejas;2020/05/21 07:00:00;;0;;294,55;9020
Aranjuez;2020/05/21 07:00:00;9;15,1;452;758,3;0133
El Boalo;2020/05/27 07:00:00;;39,96;44;586,04;0231
Majadahonda;2020/05/27 07:00:00;15;20,88;598;832,57;0800
Batres;2020/05/27 07:00:00;;0;8;475,06;0170
Alcobendas;2020/05/27 07:00:00;30;25,63;816;697,2;0066
Alcalá de Henares;2020/05/27 07:00:00;41;20,96;2393;1223,11;0053
Colmenar Viejo;2020/05/27 07:00:00;7;13,79;429;845,29;0455
San Fernando de Henares;2020/05/27 07:00:00;9;22,82;425;1077,8;1300
Villalbilla;2020/05/27 07:00:00;;7,21;93;670,13;1723
El Escorial;2020/05/27 07:00:00;6;37,12;138;853,85;0549
Colmenar del Arroyo;2020/05/27 07:00:00;;0;51;2956,52;0421
Torrejón de Ardoz;2020/05/27 07:00:00;24;18,27;1008;767,26;1489
Piñuécar-Gandullas;2020/05/27 07:00:00;;0;;0;1147
Brea de Tajo;2020/05/27 07:00:00;;0;6;1145,04;0259
El Molar;2020/05/27 07:00:00;;11,19;38;425,15;0869
Belmonte de Tajo;2020/05/27 07:00:00;;0;;300,48;0199
Torres de la Alameda;2020/05/27 07:00:00;;12,86;77;989,84;1548
Somosierra;2020/05/27 07:00:00;;0;;2325,58;1436
Alpedrete;2020/05/27 07:00:00;;13,72;144;987,99;0105
Orusco de Tajuña;2020/05/27 07:00:00;;0;17;1366,56;1028
La Hiruela;2020/05/27 07:00:00;;0;;1754,39;0698
Cervera de Buitrago;2020/05/27 07:00:00;;0;;2000;0395
Getafe;2020/05/27 07:00:00;66;35,99;1419;773,83;0650
Ribatejada;2020/05/27 07:00:00;;0;;255,43;1224
Villaconejos;2020/05/27 07:00:00;;0;9;265,64;1701
Valdetorres de Jarama;2020/05/27 07:00:00;;0;18;400,27;1646
Madrid-Retiro;2020/05/26 07:00:00;38;31,85;1498;1255,48;079603
Titulcia;2020/05/24 07:00:00;;0;9;685,45;1473
Madrid-Salamanca;2020/05/26 07:00:00;39;26,69;1663;1138,23;079604
Madrid-Centro;2020/05/26 07:00:00;19;14,09;1169;866,9;079601
Madrid-Arganzuela;2020/05/26 07:00:00;39;25,36;1613;1048,74;079602
Madrid-Chamartín;2020/05/26 07:00:00;48;32,91;1680;1151,88;079605
Madrid-Tetuán;2020/05/26 07:00:00;23;14,55;2130;1347,91;079606
Titulcia;2020/03/23 07:00:00;;152,32;;152,32;1473
Madrid-Chamberí;2020/05/26 07:00:00;39;27,98;1576;1130,73;079607
Madrid-Fuencarral-El Pardo;2020/05/26 07:00:00;45;18,3;3010;1223,88;079608
Madrid-Moncloa-Aravaca;2020/05/26 07:00:00;35;29,31;1447;1211,7;079609
Madrid-Latina;2020/05/26 07:00:00;86;36,1;2847;1195,12;079610
Madrid-Carabanchel;2020/05/26 07:00:00;63;24,89;2746;1084,95;079611
Madrid-Usera;2020/05/26 07:00:00;19;13,6;1394;997,56;079612
Madrid-Puente de Vallecas;2020/05/26 07:00:00;89;37,9;3105;1322,08;079613
Madrid-San Blas - Canillejas;2020/05/26 07:00:00;31;19,6;1479;935,24;079620
Madrid-Barajas;2020/05/26 07:00:00;7;14,3;430;878,54;079621
Madrid-Moratalaz;2020/05/26 07:00:00;52;54,99;1357;1434,92;079614
Madrid-Ciudad Lineal;2020/05/26 07:00:00;46;21,27;2236;1033,83;079615
Madrid-Hortaleza;2020/05/26 07:00:00;40;21,26;1762;936,3;079616
Madrid-Villaverde;2020/05/26 07:00:00;29;19,47;1435;963,44;079617
Madrid-Villa de Vallecas;2020/05/26 07:00:00;23;20,84;1225;1109,95;079618
Madrid-Vicálvaro;2020/05/26 07:00:00;41;56,87;838;1162,42;079619
Pozuelo de Alarcón;2020/05/26 07:00:00;26;30,08;804;930,32;1150
Alcorcón;2020/05/26 07:00:00;40;23,46;1882;1103,72;0072
Navalcarnero;2020/05/26 07:00:00;7;23,89;183;624,62;0967
San Agustín del Guadalix;2020/05/26 07:00:00;16;119,59;79;590,48;1296
Las Rozas de Madrid;2020/05/26 07:00:00;16;16,7;811;846,43;1277
Moraleja de Enmedio;2020/05/26 07:00:00;;0;26;506,23;0894
Valdaracete;2020/05/26 07:00:00;;164,2;7;1149,43;1551
Pozuelo del Rey;2020/05/26 07:00:00;;0;;174,37;1163
Puebla de la Sierra;2020/05/26 07:00:00;;0;;0;1185
Perales de Tajuña;2020/05/26 07:00:00;;0;10;340,72;1104
Valdemorillo;2020/05/26 07:00:00;;7,99;49;391,44;1603
Navalafuente;2020/05/26 07:00:00;;0;7;483,09;0941
Velilla de San Antonio;2020/05/26 07:00:00;;16,35;74;604,77;1678
Villanueva de la Cañada;2020/05/26 07:00:00;6;27,98;154;718,12;1760
Brea de Tajo;2020/03/23 07:00:00;;0;;0;0259
Villanueva del Pardillo;2020/05/26 07:00:00;;11,64;105;611,18;1776
Nuevo Baztán;2020/05/26 07:00:00;;15,93;30;478,01;1006
Villamantilla;2020/05/26 07:00:00;;0;7;485,77;1757
Villamanta;2020/05/26 07:00:00;;0;12;469,67;1744
Cabanillas de la Sierra;2020/05/26 07:00:00;;0;10;1322,75;0297
Cenicientos;2020/05/26 07:00:00;;0;29;1426,46;0376
Puentes Viejas;2020/05/26 07:00:00;;0;;294,55;9020
Aranjuez;2020/05/26 07:00:00;11;18,45;456;765,01;0133
Cercedilla;2020/05/26 07:00:00;;71,16;116;1651,01;0382
Santorcaz;2020/05/26 07:00:00;;0;7;790,07;1369
Coslada;2020/05/26 07:00:00;23;28,17;823;1007,83;0493
Morata de Tajuña;2020/05/26 07:00:00;;26,03;98;1275,54;0915
Robregordo;2020/05/26 07:00:00;;0;;0;1261
Navarredonda y San Mamés;2020/05/26 07:00:00;;0;;1550,39;0973
Venturada;2020/05/26 07:00:00;;0;;138,7;1697
Navacerrada;2020/05/26 07:00:00;;33,65;19;639,3;0936
Montejo de la Sierra;2020/05/26 07:00:00;;0;;283,29;0881
Fresno de Torote;2020/05/26 07:00:00;;0;14;630,35;0571
Pinilla del Valle;2020/05/26 07:00:00;;0;;0;1126
Valdemaqueda;2020/05/26 07:00:00;;0;;640,2;1599
Navas del Rey;2020/05/26 07:00:00;;0;80;2741,6;0992
Olmeda de las Fuentes;2020/05/26 07:00:00;;0;;862,07;1013
Bustarviejo;2020/05/26 07:00:00;;39,95;9;359,57;0284
Becerril de la Sierra;2020/05/26 07:00:00;;0;32;560,03;0186
Fuenlabrada;2020/05/26 07:00:00;49;25,3;1598;824,99;0587
Garganta de los Montes;2020/05/26 07:00:00;;0;;288,18;0626
Pinto;2020/05/26 07:00:00;16;30,46;298;567,34;1132
Alameda del Valle;2020/05/26 07:00:00;;0;;0;0035
Berzosa del Lozoya;2020/05/26 07:00:00;;0;;975,61;0203
La Serna del Monte;2020/03/18 07:00:00;;0;;0;1381
Los Santos de la Humosa;2020/05/26 07:00:00;;0;20;772,2;1375
El Álamo;2020/05/26 07:00:00;6;63,36;91;960,93;0040
Pelayos de la Presa;2020/05/26 07:00:00;;0;18;693,37;1090
Galapagar;2020/05/26 07:00:00;7;20,75;281;832,79;0611
Griñón;2020/05/26 07:00:00;;19,38;86;833,41;0663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/05/26 07:00:00;;0;;949,37;0632
Aldea del Fresno;2020/05/26 07:00:00;;70,47;58;2043,69;0088
Alcalá de Henares;2020/05/19 07:00:00;35;17,89;2349;1200,62;0053
Colmenar Viejo;2020/05/19 07:00:00;52;102,46;424;835,44;0455
San Fernando de Henares;2020/05/19 07:00:00;9;22,82;417;1057,52;1300
Villalbilla;2020/05/19 07:00:00;;14,41;93;670,13;1723
El Escorial;2020/05/19 07:00:00;28;173,25;135;835,29;0549
Colmenar del Arroyo;2020/05/19 07:00:00;;0;51;2956,52;0421
Torrejón de Ardoz;2020/05/19 07:00:00;36;27,4;987;751,28;1489
Piñuécar-Gandullas;2020/05/19 07:00:00;;0;;0;1147
Brea de Tajo;2020/05/19 07:00:00;;0;6;1145,04;0259
El Molar;2020/05/19 07:00:00;;0;35;391,59;0869
Belmonte de Tajo;2020/05/19 07:00:00;;0;;300,48;0199
Torres de la Alameda;2020/05/19 07:00:00;;0;75;964,13;1548
Somosierra;2020/05/19 07:00:00;;0;;1162,79;1436
Alpedrete;2020/05/19 07:00:00;;6,86;141;967,41;0105
Orusco de Tajuña;2020/05/19 07:00:00;;0;17;1366,56;1028
La Hiruela;2020/05/19 07:00:00;;0;;1754,39;0698
Cervera de Buitrago;2020/05/19 07:00:00;;0;;2000;0395
Getafe;2020/05/19 07:00:00;67;36,54;1343;732,38;0650
Ribatejada;2020/05/19 07:00:00;;0;;255,43;1224
Villaconejos;2020/05/19 07:00:00;;0;9;265,64;1701
Valdetorres de Jarama;2020/05/19 07:00:00;;0;17;378,03;1646
Madrid-Retiro;2020/05/18 07:00:00;59;49,45;1460;1223,63;079603
Madrid-Salamanca;2020/05/18 07:00:00;51;34,91;1629;1114,96;079604
Madrid-Centro;2020/05/18 07:00:00;30;22,25;1148;851,33;079601
Madrid-Arganzuela;2020/05/18 07:00:00;37;24,06;1565;1017,54;079602
Galapagar;2020/05/18 07:00:00;25;74,09;274;812,04;0611
Torremocha de Jarama;2020/05/26 07:00:00;7;686,95;15;1472,03;1533
Anchuelo;2020/05/26 07:00:00;;0;7;550,75;0127
Los Molinos;2020/05/26 07:00:00;;22,78;53;1207,56;0875
Soto del Real;2020/05/26 07:00:00;;0;65;738,72;1441
Pinilla del Valle;2020/03/22 07:00:00;;0;;0;1126
Valverde de Alcalá;2020/05/26 07:00:00;;0;8;1720,43;1662
Fuente el Saz de Jarama;2020/05/26 07:00:00;;29,87;36;537,63;0590
Horcajo de la Sierra-Aoslos;2020/05/26 07:00:00;;0;;2758,62;0702
Valdeolmos-Alalpardo;2020/05/26 07:00:00;;0;11;265,96;1625
Campo Real;2020/05/26 07:00:00;;64,41;28;450,89;0339
Valdeavero;2020/05/26 07:00:00;;64,35;9;579,15;1564
Villamanrique de Tajo;2020/05/26 07:00:00;;0;;568,99;1739
Cobeña;2020/05/26 07:00:00;8;107,7;83;1117,39;0416
Fresnedillas de la Oliva;2020/05/26 07:00:00;;0;9;572,52;0565
Valdilecha;2020/05/26 07:00:00;;0;18;613,71;1659
El Berrueco;2020/05/26 07:00:00;;0;8;1052,63;0210
Pezuela de las Torres;2020/05/26 07:00:00;;0;;237,53;1111
Villar del Olmo;2020/05/26 07:00:00;;0;;198,91;1795
Guadarrama;2020/05/26 07:00:00;13;81,09;223;1390,97;0685
San Martín de Valdeiglesias;2020/05/26 07:00:00;;35,47;93;1099,42;1338
Torrelodones;2020/05/26 07:00:00;9;37,95;345;1454,65;1527
Boadilla del Monte;2020/05/26 07:00:00;10;18,33;374;685,36;0225
Torrejón de Velasco;2020/05/26 07:00:00;;22,82;21;479,23;1505
Villanueva de Perales;2020/05/26 07:00:00;;0;;319,9;1782
Tielmes;2020/05/26 07:00:00;;37,74;34;1283,02;1467
San Sebastián de los Reyes;2020/05/26 07:00:00;37;41,44;527;590,3;1343
Guadalix de la Sierra;2020/05/26 07:00:00;;0;50;804,63;0679
Humanes de Madrid;2020/05/26 07:00:00;;15,2;122;617,94;0730
Chinchón;2020/05/26 07:00:00;;18,76;27;506,47;0528
Cadalso de los Vidrios;2020/05/26 07:00:00;;65,81;10;329,06;0318
Hoyo de Manzanares;2020/05/26 07:00:00;;47,43;41;486,13;0724
Torrejón de la Calzada;2020/05/26 07:00:00;;11,27;39;439,59;1492
Estremera;2020/05/26 07:00:00;;0;9;714,29;0552
Corpa;2020/05/26 07:00:00;;0;6;841,51;0480
Meco;2020/05/26 07:00:00;11;76,9;139;971,69;0838
Madarcos;2020/05/26 07:00:00;;0;;0;0783
Zarzalejo;2020/05/26 07:00:00;;60,31;34;2050,66;1837
Cervera de Buitrago;2020/05/26 07:00:00;;0;;2000;0395
Arganda del Rey;2020/05/26 07:00:00;14;25,28;358;646,34;0148
Collado Mediano;2020/05/26 07:00:00;;0;32;459,9;0468
Daganzo de Arriba;2020/05/26 07:00:00;;0;41;401,76;0534
Manzanares El Real;2020/05/26 07:00:00;;22,62;44;497,74;0822
Buitrago del Lozoya;2020/05/26 07:00:00;;0;15;796,18;0278
Valdelaguna;2020/05/26 07:00:00;;0;;106,72;1570
Valdepiélagos;2020/05/26 07:00:00;;0;;0;1631
Casarrubuelos;2020/05/26 07:00:00;;0;11;291,16;0360
Miraflores de la Sierra;2020/05/26 07:00:00;;49,12;39;638,51;0856
Paracuellos de Jarama;2020/05/26 07:00:00;;3,96;72;284,93;1049
El Vellón;2020/05/26 07:00:00;;51,07;14;715,02;1684
Lozoya;2020/05/26 07:00:00;;0;;172,12;0761
Collado Villalba;2020/05/26 07:00:00;19;29,84;535;840,15;0474
Colmenarejo;2020/05/26 07:00:00;;0;47;514,79;0442
Villavieja del Lozoya;2020/05/26 07:00:00;;0;;0;1821
Prádena del Rincón;2020/05/26 07:00:00;;0;;0;1179
La Cabrera;2020/05/26 07:00:00;;37,5;12;449,94;0301
Sevilla la Nueva;2020/05/26 07:00:00;;21,46;137;1470,27;1415
La Acebeda;2020/05/26 07:00:00;;0;;0;0014
Redueña;2020/05/26 07:00:00;;0;;769,23;1219
Robledillo de la Jara;2020/05/26 07:00:00;;0;;1250;1245
La Serna del Monte;2020/05/26 07:00:00;;0;;0;1381
Colmenar de Oreja;2020/05/26 07:00:00;;12,45;26;323,71;0437
Rozas de Puerto Real;2020/05/26 07:00:00;;0;;566,04;1283
Valdemanco;2020/05/26 07:00:00;;109,41;;218,82;1586
Brunete;2020/05/26 07:00:00;;27,94;113;1052,53;0262
Titulcia;2020/05/26 07:00:00;;0;9;685,45;1473
Villa del Prado;2020/05/26 07:00:00;;30,67;126;1932,52;1718
Lozoyuela-Navas-Sieteiglesias;2020/05/26 07:00:00;;0;;230,95;9015
Quijorna;2020/05/26 07:00:00;;29,08;32;930,5;1198
Valdemoro;2020/05/26 07:00:00;26;34,22;823;1083,14;1610
Tres Cantos;2020/05/26 07:00:00;27;56,58;425;890,57;9036
Torrelaguna;2020/05/26 07:00:00;;21,01;24;504,2;1512
Rivas-Vaciamadrid;2020/05/26 07:00:00;11;12,48;572;648,89;1230
Pedrezuela;2020/05/26 07:00:00;;16,97;26;441,28;1087
Santa María de la Alameda;2020/05/26 07:00:00;;0;6;478,47;1356
Horcajuelo de la Sierra;2020/05/26 07:00:00;;0;;0;0719
Arroyomolinos;2020/05/26 07:00:00;;15,93;183;582,88;0151
Moralzarzal;2020/05/26 07:00:00;;15,35;76;583,45;0908
Canencia;2020/05/26 07:00:00;;223,71;;671,14;0344
Villarejo de Salvanés;2020/05/26 07:00:00;;13,63;38;518,06;1809
Serranillos del Valle;2020/05/26 07:00:00;;48,02;35;840,34;1408
Villaviciosa de Odón;2020/05/26 07:00:00;;14,37;218;783,19;1816
Camarma de Esteruelas;2020/05/26 07:00:00;;0;42;572,52;0323
Robledo de Chavela;2020/05/26 07:00:00;;0;27;632,32;1258
Patones;2020/05/26 07:00:00;;0;6;1109,06;1071
Navalagamella;2020/05/26 07:00:00;;0;6;229,89;0954
Rascafría;2020/05/26 07:00:00;;60,1;7;420,67;1202
El Boalo;2020/05/26 07:00:00;;39,96;44;586,04;0231
Majadahonda;2020/05/26 07:00:00;24;33,41;594;827;0800
