Fecha;28079008;28079016;28079017;28079018;28079024;28079027;28079035;28079039;28079049;28079054;28079056;28079058;28079059;28079060
01/03/2020;58;60;59;65;61;63;95;63;66;68;67;71;62;74
02/03/2020;58;66;64;72;68;71;95;67;71;72;70;78;67;78
03/03/2020;45;49;49;58;56;52;60;50;55;57;55;66;50;62
04/03/2020;32;40;39;45;46;45;44;43;46;44;45;57;42;52
05/03/2020;46;56;54;62;59;59;74;57;61;62;58;69;56;66
06/03/2020;60;68;68;77;74;74;79;70;76;71;73;82;70;78
07/03/2020;47;48;49;59;60;39;55;49;58;48;53;52;45;55
08/03/2020;34;38;25;34;34;39;33;37;37;40;34;44;42;49
09/03/2020;48;58;51;64;66;57;54;53;57;58;59;69;60;59
10/03/2020;22;21;21;28;34;21;-;22;27;27;27;37;21;27
11/03/2020;15;15;15;18;22;19;-;18;20;23;20;30;19;25
12/03/2020;16;20;14;16;22;20;-;16;22;22;19;28;24;25
13/03/2020;33;36;26;33;37;36;-;35;39;42;32;43;37;44
14/03/2020;60;59;45;58;58;51;-;61;64;61;55;57;54;70
15/03/2020;63;61;42;51;50;52;-;60;61;65;53;53;58;70
16/03/2020;55;57;60;63;54;60;-;59;60;66;60;64;58;69
17/03/2020;53;59;56;64;55;58;63;59;61;61;59;69;61;71
18/03/2020;36;40;35;42;37;35;44;42;38;41;38;46;38;48
19/03/2020;61;66;57;61;52;61;70;59;62;68;53;52;61;70
20/03/2020;61;67;62;69;63;62;71;64;68;72;61;67;64;73
21/03/2020;58;60;61;69;58;56;71;60;64;68;68;60;57;70
22/03/2020;69;66;68;76;64;60;79;67;71;73;75;59;61;75
23/03/2020;50;55;56;62;52;57;64;57;57;63;58;56;56;68
24/03/2020;55;58;57;64;57;62;66;61;61;63;58;70;59;74
25/03/2020;64;62;62;72;65;66;78;68;68;71;66;68;66;77
26/03/2020;60;72;56;60;57;72;67;61;64;67;57;59;70;79
27/03/2020;73;79;75;82;74;78;86;77;80;82;73;83;76;89
28/03/2020;66;67;48;60;56;58;74;67;66;62;58;59;60;76
29/03/2020;56;61;49;60;57;59;64;62;58;61;61;63;59;76
30/03/2020;62;71;71;73;65;72;75;69;71;75;70;74;69;82
31/03/2020;43;51;46;49;47;52;54;52;48;58;46;58;55;64
01/04/2020;54;53;48;60;54;53;69;57;56;60;53;59;52;68
