codigo,via_publica,distrito,wikiDistrito,direccion,coord_x,coord_y,en_funcionamiento,longitud,latitud
FUE_01-01_0000000001,ZV,Centro,https://wikidata.org/entity/Q1763376,PLAZA COMENDADORAS,439892.4997,4475419.798,true,-3.7086003,40.4272429
FUE_01-01_0000000002,ZV,Centro,https://wikidata.org/entity/Q1763376,JARDINES CONDE DUQUE,439766.5391,4475585.204,true,-3.7101008,40.4287238
FUE_01-01_0000000003,ZV,Centro,https://wikidata.org/entity/Q1763376,PLAZA DE LAS SALESAS,441077.2599,4475077.763,true,-3.6946026,40.4242464
FUE_01-01_0000000004,ZV,Centro,https://wikidata.org/entity/Q1763376,PLAZA VILLA DE PARIS,441281.789,4475192.9,true,-3.6922023,40.4252981
FUE_01-01_0000000005,ZV,Centro,https://wikidata.org/entity/Q1763376,PLAZA VILLA DE PARIS,441199.3988,4475222.805,true,-3.6931763,40.4255618
FUE_01-01_0000000006,ZV,Centro,https://wikidata.org/entity/Q1763376,PLAZA CRISTINO MARTOS,439601.2523,4475244.82,true,-3.7120169,40.4256456
FUE_01-01_0000000007,ZV,Centro,https://wikidata.org/entity/Q1763376,PLAZA SAN ILDEFONSO,440465.5389,4475071.01,true,-3.7018126,40.4241421
FUE_01-01_0000000008,ZV,Centro,https://wikidata.org/entity/Q1763376,PARQUE CASINO DE LA REINA,440185.8664,4473053.601,true,-3.7049195,40.4059482
FUE_01-01_0000000009,ZV,Centro,https://wikidata.org/entity/Q1763376,PLAZA DE LOS CARROS,439636.4322,4473693.572,true,-3.711455,40.4116737
FUE_01-01_0000000012,ZV,Centro,https://wikidata.org/entity/Q1763376,PARQUE DE LA CORNISA,439304.7466,4473492.437,true,-3.7153448,40.4098378
FUE_01-01_0000000017,ZV,Centro,https://wikidata.org/entity/Q1763376,PASEO DEL PRADO,441186.3865,4473797.868,true,-3.6931979,40.4127243
FUE_01-01_0000000018,ZV,Centro,https://wikidata.org/entity/Q1763376,CAPITAN SALAZAR MARTINEZ No 11,439737.4751,4473188.049,true,-3.7102162,40.4071271
FUE_01-01_0000000020,ZV,Centro,https://wikidata.org/entity/Q1763376,PLAZA DOS DE MAYO,440248.1564,4475384.045,true,-3.7044044,40.4269465
FUE_01-01_0000000021,ZV,Centro,https://wikidata.org/entity/Q1763376,PARQUE DE ATENAS,438867.16,4474075.74,true,-3.7205578,40.4150604
