OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
11,4,336280,101,10a,1,1,205,,427,21,TI,T,PUERTA DEL SUR,28,007,ALCORCON,B1,Avda de la Libertad N 2,20070425,20070426,,723.81886015532,31.12,4,92_307,,,4__10_A____1_IT_1_4_205__427_TI_T_21,,,,4__10_A__,4__10_A____1_IT_1,4_205,4_205_,4_205_427
12,4,336281,101,10a,2,1,205,,428,1,TI,T,PUERTA DEL SUR,28,007,ALCORCON,B1,Avda de la Libertad N 2,20070425,20070426,,0,0,4,92_307,,,4__10_A____2_IT_1_4_205__428_TI_T_1,,,,4__10_A__,4__10_A____2_IT_1,4_205,4_205_,4_205_428
13,4,332069,121,12-1,1,1,209,,435,29,TI,T,PUERTA DEL SUR,28,007,ALCORCON,B1,Avda de Leganés N 52,20030613,20030411,,3366.349,40.53,4,92_307,,,4__12_1____1_IT_1_4_209__435_TI_T_29,,,,4__12_1__,4__12_1____1_IT_1,4_209,4_209_,4_209_435
14,4,332070,122,12-2,1,1,209,,436,1,TI,C,PUERTA DEL SUR,28,007,ALCORCON,B1,Avda de Leganés N 52,20030613,20030411,,0,0,4,92_307,,,4__12_2____1_IT_1_4_209__436_TI_C_1,,,,4__12_2__,4__12_2____1_IT_1,4_209,4_209_,4_209_436
15,4,332070,122,12-2,1,1,209,,436,29,TI,T,PUERTA DEL SUR,28,007,ALCORCON,B1,Avda de Leganés N 52,20030613,20030411,,842.413,40.59,4,92_307,,,4__12_2____1_IT_1_4_209__436_TI_T_29,,,,4__12_2__,4__12_2____1_IT_1,4_209,4_209_,4_209_436
16,4,332069,121,12-1,1,1,209,,435,1,TI,C,PUERTA DEL SUR,28,007,ALCORCON,B1,Avda de Leganés N 52,20030613,20030411,,0,0,4,92_307,,,4__12_1____1_IT_1_4_209__435_TI_C_1,,,,4__12_1__,4__12_1____1_IT_1,4_209,4_209_,4_209_435
17,4,332069,121,12-1,1,1,210,,437,2,TI,I,PARQUE LISBOA,28,007,ALCORCON,B1,Calle de Porto Lagos N 7,20030613,20030411,,841.921,40.53,4,93_293,,,4__12_1____1_IT_1_4_210__437_TI_I_2,,,,4__12_1__,4__12_1____1_IT_1,4_210,4_210_,4_210_437
18,4,332070,122,12-2,1,1,210,,438,28,TI,I,PARQUE LISBOA,28,007,ALCORCON,B1,Calle de Porto Lagos N 7,20030613,20030411,,1284.994,40.59,4,93_293,,,4__12_2____1_IT_1_4_210__438_TI_I_28,,,,4__12_2__,4__12_2____1_IT_1,4_210,4_210_,4_210_438
19,4,332069,121,12-1,1,1,211,,439,3,TI,I,ALCORCON CENTRAL,28,007,ALCORCON,B1,Avda de Móstoles N 12,20030613,20030411,,1278.985,40.53,4,92_89,,,4__12_1____1_IT_1_4_211__439_TI_I_3,,,,4__12_1__,4__12_1____1_IT_1,4_211,4_211_,4_211_439
20,4,332070,122,12-2,1,1,211,,440,27,TI,I,ALCORCON CENTRAL,28,007,ALCORCON,B1,Avda de Móstoles N 12,20030613,20030411,,1564.933,40.59,4,92_89,,,4__12_2____1_IT_1_4_211__440_TI_I_27,,,,4__12_2__,4__12_2____1_IT_1,4_211,4_211_,4_211_440
