NumeroLineaUsuario,wikidata:NumeroLineaUsuario,Sentido,Denominacion,wikidata:Denominacion,CodigoMunicipio,Municipio,wikidata:Municipio,CoronaTarifaria,Direccion,LongitudTramoAnterior,VelocidadTramoAnterior
Madrid Metro Line 10,https://www.wikidata.org/wiki/Q1760090,1,La Granja,https://www.wikidata.org/wiki/Q8779955,6,Alcobendas,https://www.wikidata.org/wiki/Q487679,B1,Calle de Sepulveda N 1,2061.13450920886,37.18
Madrid Metro Line 10,https://www.wikidata.org/wiki/Q1760090,2,La Granja,https://www.wikidata.org/wiki/Q8779955,6,Alcobendas,https://www.wikidata.org/wiki/Q487679,B1,Calle de Sepulveda N 1,1497.63319892205,37.18
Madrid Metro Line 10,https://www.wikidata.org/wiki/Q1760090,1,La Moraleja,https://www.wikidata.org/wiki/Q2059047,6,Alcobendas,https://www.wikidata.org/wiki/Q487679,B1,Avda de la Ermita N 5,1325.80051622755,37.18
Madrid Metro Line 10,https://www.wikidata.org/wiki/Q1760090,2,La Moraleja,https://www.wikidata.org/wiki/Q2059047,6,Alcobendas,https://www.wikidata.org/wiki/Q487679,B1,Avda de la Ermita N 5,2057.30287248666,37.18
Madrid Metro Line 10,https://www.wikidata.org/wiki/Q1760090,1,Marques de la Valdavia,https://www.wikidata.org/wiki/Q3849824,6,Alcobendas,https://www.wikidata.org/wiki/Q487679,B1,Calle del Marques de la Valdavia BLQ 21,1514.58431713643,37.18
Madrid Metro Line 10,https://www.wikidata.org/wiki/Q1760090,2,Marques de la Valdavia,https://www.wikidata.org/wiki/Q3849824,6,Alcobendas,https://www.wikidata.org/wiki/Q487679,B1,Calle del Marques de la Valdavia BLQ 21,1319.07449855973,37.18
Madrid Metro Line 10,https://www.wikidata.org/wiki/Q1760090,1,Manuel de Falla,https://www.wikidata.org/wiki/Q580146,6,Alcobendas,https://www.wikidata.org/wiki/Q487679,B1,Calle   Manuel de Falla N 59,1108.192303689,37.18
Madrid Metro Line 10,https://www.wikidata.org/wiki/Q1760090,2,Manuel de Falla,https://www.wikidata.org/wiki/Q580146,6,Alcobendas,https://www.wikidata.org/wiki/Q487679,B1,Calle   Manuel de Falla N 59,1525.36804580127,37.18
Madrid Metro Line 10,https://www.wikidata.org/wiki/Q1760090,1,Joaquin Vilumbrales,https://www.wikidata.org/wiki/Q528905,7,Alcorcon,https://www.wikidata.org/wiki/Q10372,B1,Avda de la Libertad N 13,3272.36404486616,31.12
Madrid Metro Line 10,https://www.wikidata.org/wiki/Q1760090,2,Joaquin Vilumbrales,https://www.wikidata.org/wiki/Q528905,7,Alcorcon,https://www.wikidata.org/wiki/Q10372,B1,Avda de la Libertad N 13,721.744,31.12
Madrid Metro Line 10,https://www.wikidata.org/wiki/Q1760090,1,Puerta del Sur,https://www.wikidata.org/wiki/Q2484406,7,Alcorcon,https://www.wikidata.org/wiki/Q10372,B1,Avda de la Libertad N 2,723.81886015532,31.12
Madrid Metro Line 10,https://www.wikidata.org/wiki/Q1760090,2,Puerta del Sur,https://www.wikidata.org/wiki/Q2484406,7,Alcorcon,https://www.wikidata.org/wiki/Q10372,B1,Avda de la Libertad N 2,0.1,0.1
Madrid Metro Line 12,https://www.wikidata.org/wiki/Q1558864,1,Puerta del Sur,https://www.wikidata.org/wiki/Q2484406,7,Alcorcon,https://www.wikidata.org/wiki/Q10372,B1,Avda de Leganes N 52,3366.349,40.53
Madrid Metro Line 12,https://www.wikidata.org/wiki/Q1558864,1,Puerta del Sur,https://www.wikidata.org/wiki/Q2484406,7,Alcorcon,https://www.wikidata.org/wiki/Q10372,B1,Avda de Leganes N 52,0.1,0.1
Madrid Metro Line 12,https://www.wikidata.org/wiki/Q1558864,1,Puerta del Sur,https://www.wikidata.org/wiki/Q2484406,7,Alcorcon,https://www.wikidata.org/wiki/Q10372,B1,Avda de Leganes N 52,842.413,40.59
Madrid Metro Line 12,https://www.wikidata.org/wiki/Q1558864,1,Puerta del Sur,https://www.wikidata.org/wiki/Q2484406,7,Alcorcon,https://www.wikidata.org/wiki/Q10372,B1,Avda de Leganes N 52,0.1,0.1
Madrid Metro Line 12,https://www.wikidata.org/wiki/Q1558864,1,Parque Lisboa,https://www.wikidata.org/wiki/Q510707,7,Alcorcon,https://www.wikidata.org/wiki/Q10372,B1,Calle de Porto Lagos N 7,841.921,40.53
Madrid Metro Line 12,https://www.wikidata.org/wiki/Q1558864,1,Parque Lisboa,https://www.wikidata.org/wiki/Q510707,7,Alcorcon,https://www.wikidata.org/wiki/Q10372,B1,Calle de Porto Lagos N 7,1284.994,40.59
Madrid Metro Line 12,https://www.wikidata.org/wiki/Q1558864,1,Alcorcon,https://www.wikidata.org/wiki/Q3585564,7,Alcorcon,https://www.wikidata.org/wiki/Q10372,B1,Avda de Mostoles N 12,1278.985,40.53
Madrid Metro Line 12,https://www.wikidata.org/wiki/Q1558864,1,Alcorcon,https://www.wikidata.org/wiki/Q3585564,7,Alcorcon,https://www.wikidata.org/wiki/Q10372,B1,Avda de Mostoles N 12,1564.933,40.59
Madrid Metro Line 12,https://www.wikidata.org/wiki/Q1558864,1,Parque Oeste,https://www.wikidata.org/wiki/Q2482424,7,Alcorcon,https://www.wikidata.org/wiki/Q10372,B1,Calle de Estambul N 5,2614.559,40.59
Madrid Metro Line 12,https://www.wikidata.org/wiki/Q1558864,1,Parque Oeste,https://www.wikidata.org/wiki/Q2482424,7,Alcorcon,https://www.wikidata.org/wiki/Q10372,B1,Calle de Estambul N 5,1566.99,40.53
Madrid Metro Line 9,https://www.wikidata.org/wiki/Q1759707,1,Arganda del Rey,https://www.wikidata.org/wiki/Q2055844,14,Arganda del Rey,https://www.wikidata.org/wiki/Q497692,B3,Paseo de la Estacion N 37,3707.895,54.34
Madrid Metro Line 9,https://www.wikidata.org/wiki/Q1759707,2,Arganda del Rey,https://www.wikidata.org/wiki/Q2055844,14,Arganda del Rey,https://www.wikidata.org/wiki/Q497692,B3,Paseo de la Estacion N 37,0.1,0.1
Madrid Metro Line 9,https://www.wikidata.org/wiki/Q1759707,1,La Poveda,https://www.wikidata.org/wiki/Q2479062,14,Arganda del Rey,https://www.wikidata.org/wiki/Q497692,B3,Parcela   9017 Poligono 1 SN S/N,4371.06,54.34
Madrid Metro Line 9,https://www.wikidata.org/wiki/Q1759707,2,La Poveda,https://www.wikidata.org/wiki/Q2479062,14,Arganda del Rey,https://www.wikidata.org/wiki/Q497692,B3,Parcela   9017 Poligono 1 SN S/N,3699.83,54.34
Madrid Metro Line 7,https://www.wikidata.org/wiki/Q1826683,1,Barrio del Puerto,https://www.wikidata.org/wiki/Q2244272,49,Coslada,https://www.wikidata.org/wiki/Q164197,B1,Avda de Espana N 8,691.7971,33.38
Madrid Metro Line 7,https://www.wikidata.org/wiki/Q1826683,2,Barrio del Puerto,https://www.wikidata.org/wiki/Q2244272,49,Coslada,https://www.wikidata.org/wiki/Q164197,B1,Avda de Espana N 8,2950.4729,33.38
Madrid Metro Line 7,https://www.wikidata.org/wiki/Q1826683,1,Coslada Central,https://www.wikidata.org/wiki/Q10948094,49,Coslada,https://www.wikidata.org/wiki/Q164197,B1,Calle del Doctor Fleming N 41,1343.4833,33.38
Madrid Metro Line 7,https://www.wikidata.org/wiki/Q1826683,2,Coslada Central,https://www.wikidata.org/wiki/Q10948094,49,Coslada,https://www.wikidata.org/wiki/Q164197,B1,Calle del Doctor Fleming N 41,685.1082,33.38
Madrid Metro Line 7,https://www.wikidata.org/wiki/Q1826683,1,La Rambla,https://www.wikidata.org/wiki/Q2244064,49,Coslada,https://www.wikidata.org/wiki/Q164197,B1,Calle   Honduras N 2,1110.1125,33.38
Madrid Metro Line 7,https://www.wikidata.org/wiki/Q1826683,2,La Rambla,https://www.wikidata.org/wiki/Q2244064,49,Coslada,https://www.wikidata.org/wiki/Q164197,B1,Calle   Honduras N 2,1350.387,33.38
Madrid Metro Line 7,https://www.wikidata.org/wiki/Q1826683,1,Hospital del Henares,https://www.wikidata.org/wiki/Q3786852,49,Coslada,https://www.wikidata.org/wiki/Q164197,B1,Cmno del Tiro N SN,0.1,0.1
