OBJECTID,NUMEROLINEAUSUARIO,SENTIDO,DENOMINACION,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR
1,10b,1,LA GRANJA,6,ALCOBENDAS,B1,Calle de Sepúlveda N 1,2061.13450920886,37.18
2,10b,2,LA GRANJA,6,ALCOBENDAS,B1,Calle de Sepúlveda N 1,1497.63319892205,37.18
3,10b,1,LA MORALEJA,6,ALCOBENDAS,B1,Avda de la Ermita N 5,1325.80051622755,37.18
4,10b,2,LA MORALEJA,6,ALCOBENDAS,B1,Avda de la Ermita N 5,2057.30287248666,37.18
5,10b,1,MARQUES DE LA VALDAVIA,6,ALCOBENDAS,B1,Calle del Marqués de la Valdavia BLQ 21,1514.58431713643,37.18
6,10b,2,MARQUES DE LA VALDAVIA,6,ALCOBENDAS,B1,Calle del Marqués de la Valdavia BLQ 21,1319.07449855973,37.18
7,10b,1,MANUEL DE FALLA,6,ALCOBENDAS,B1,Calle   Manuel de Falla N 59,1108.192303689,37.18
8,10b,2,MANUEL DE FALLA,6,ALCOBENDAS,B1,Calle   Manuel de Falla N 59,1525.36804580127,37.18
9,10a,1,JOAQUIN VILUMBRALES,7,ALCORCON,B1,Avda de la Libertad N 13,3272.36404486616,31.12
10,10a,2,JOAQUIN VILUMBRALES,7,ALCORCON,B1,Avda de la Libertad N 13,721.744,31.12
11,10a,1,PUERTA DEL SUR,7,ALCORCON,B1,Avda de la Libertad N 2,723.81886015532,31.12
12,10a,2,PUERTA DEL SUR,7,ALCORCON,B1,Avda de la Libertad N 2,0,0
13,12-1,1,PUERTA DEL SUR,7,ALCORCON,B1,Avda de Leganés N 52,3366.349,40.53
14,12-2,1,PUERTA DEL SUR,7,ALCORCON,B1,Avda de Leganés N 52,0,0
15,12-2,1,PUERTA DEL SUR,7,ALCORCON,B1,Avda de Leganés N 52,842.413,40.59
16,12-1,1,PUERTA DEL SUR,7,ALCORCON,B1,Avda de Leganés N 52,0,0
17,12-1,1,PARQUE LISBOA,7,ALCORCON,B1,Calle de Porto Lagos N 7,841.921,40.53
18,12-2,1,PARQUE LISBOA,7,ALCORCON,B1,Calle de Porto Lagos N 7,1284.994,40.59
19,12-1,1,ALCORCON CENTRAL,7,ALCORCON,B1,Avda de Móstoles N 12,1278.985,40.53
20,12-2,1,ALCORCON CENTRAL,7,ALCORCON,B1,Avda de Móstoles N 12,1564.933,40.59
21,12-2,1,PARQUE OESTE,7,ALCORCON,B1,Calle de Estambul N 5,2614.559,40.59
22,12-1,1,PARQUE OESTE,7,ALCORCON,B1,Calle de Estambul N 5,1566.99,40.53
23,9B,1,ARGANDA DEL REY,14,ARGANDA DEL REY,B3,Paseo de la Estación N 37,3707.895,54.34
24,9B,2,ARGANDA DEL REY,14,ARGANDA DEL REY,B3,Paseo de la Estación N 37,0,0
25,9B,1,LA POVEDA,14,ARGANDA DEL REY,B3,Parcela   9017 Polígono 1 SN S/N,4371.06,54.34
26,9B,2,LA POVEDA,14,ARGANDA DEL REY,B3,Parcela   9017 Polígono 1 SN S/N,3699.83,54.34
27,7b,1,BARRIO DEL PUERTO,49,COSLADA,B1,Avda de España N 8,691.7971,33.38
28,7b,2,BARRIO DEL PUERTO,49,COSLADA,B1,Avda de España N 8,2950.4729,33.38
29,7b,1,COSLADA CENTRAL,49,COSLADA,B1,Calle del Doctor Fleming N 41,1343.4833,33.38
30,7b,2,COSLADA CENTRAL,49,COSLADA,B1,Calle del Doctor Fleming N 41,685.1082,33.38
31,7b,1,LA RAMBLA,49,COSLADA,B1,Calle   Honduras N 2,1110.1125,33.38
32,7b,2,LA RAMBLA,49,COSLADA,B1,Calle   Honduras N 2,1350.387,33.38
33,7b,1,HOSPITAL DEL HENARES,49,COSLADA,B1,Cmno del Tiro N SN,0,0
34,7b,2,HOSPITAL DEL HENARES,49,COSLADA,B1,Cmno del Tiro N SN,690.8617,33.38
35,12-1,1,LORANCA,58,FUENLABRADA,B2,Calle de la Alegría N 4,2902.405,40.53
36,12-2,1,LORANCA,58,FUENLABRADA,B2,Calle de la Alegría N 4,2277.269,40.59
37,12-1,1,HOSPITAL DE FUENLABRADA,58,FUENLABRADA,B2,Cmno del Molino N 3,2277.737,40.53
38,12-2,1,HOSPITAL DE FUENLABRADA,58,FUENLABRADA,B2,Cmno del Molino N 3,720.332,40.59
39,12-1,1,PARQUE EUROPA,58,FUENLABRADA,B2,Calle de Francia N 34,719.981,40.53
40,12-2,1,PARQUE EUROPA,58,FUENLABRADA,B2,Calle de Francia N 34,875.905,40.59
41,12-1,1,FUENLABRADA CENTRAL,58,FUENLABRADA,B2,Calle de la Vía SN SN,877.74,40.53
42,12-2,1,FUENLABRADA CENTRAL,58,FUENLABRADA,B2,Calle de la Vía SN SN,1303.514,40.59
43,12-1,1,PARQUE DE LOS ESTADOS,58,FUENLABRADA,B2,Calle de Venezuela N 2,1300.089,40.53
44,12-2,1,PARQUE DE LOS ESTADOS,58,FUENLABRADA,B2,Calle de Venezuela N 2,2720.007,40.59
45,12-1,1,ARROYO CULEBRO,65,GETAFE,B1,Paseo de Juan José Rosón N 1,2719.907,40.53
46,12-2,1,ARROYO CULEBRO,65,GETAFE,B1,Paseo de Juan José Rosón N 1,954.156,40.59
47,12-1,1,CONSERVATORIO,65,GETAFE,B1,Avda de las Arcas del Agua N 5,950.642,40.53
48,12-2,1,CONSERVATORIO,65,GETAFE,B1,Avda de las Arcas del Agua N 5,1218.564,40.59
49,12-1,1,ALONSO DE MENDOZA,65,GETAFE,B1,Calle del Greco N 6,1215.894,40.53
50,12-2,1,ALONSO DE MENDOZA,65,GETAFE,B1,Calle del Greco N 6,1311.296,40.59
51,12-1,1,GETAFE CENTRAL,65,GETAFE,B1,Calle  Ferrocarril N 2,1319.163,40.53
52,12-2,1,GETAFE CENTRAL,65,GETAFE,B1,Calle  Ferrocarril N 2,1328.239,40.59
53,12-2,1,JUAN DE LA CIERVA,65,GETAFE,B1,Avda de España N 20,1577.403,40.59
54,12-1,1,JUAN DE LA CIERVA,65,GETAFE,B1,Avda de España N 20,1323.72,40.53
55,12-2,1,EL CASAR,65,GETAFE,B1,Avda del Casar N 2,819.974,40.59
56,12-1,1,EL CASAR,65,GETAFE,B1,Avda del Casar N 2,1572.088,40.53
57,12-2,1,LOS ESPARTALES,65,GETAFE,B1,Avda   Rigoberta Menchú N 3,1199.174,40.59
58,12-1,1,LOS ESPARTALES,65,GETAFE,B1,Avda   Rigoberta Menchú N 3,817.647,40.53
59,12-2,1,EL BERCIAL,65,GETAFE,B1,Avda   Comandante José Manuel Ripollés N 4,1550.37,40.59
60,12-1,1,EL BERCIAL,65,GETAFE,B1,Avda   Comandante José Manuel Ripollés N 4,1199.883,40.53
61,12-2,1,EL CARRASCAL,74,LEGANES,B1,Avda   Rey Juan Carlos I N 85,1056.813,40.59
62,12-1,1,EL CARRASCAL,74,LEGANES,B1,Avda   Rey Juan Carlos I N 85,1544.318,40.53
63,12-1,1,JULIAN BESTEIRO,74,LEGANES,B1,Avda   Rey Juan Carlos I N 23A,1058.544,40.53
64,12-2,1,JULIAN BESTEIRO,74,LEGANES,B1,Avda   Rey Juan Carlos I N 23A,1367.971,40.59
65,12-1,1,CASA DEL RELOJ,74,LEGANES,B1,Avda   Gibraltar N 11,1363.821,40.53
66,12-2,1,CASA DEL RELOJ,74,LEGANES,B1,Avda   Gibraltar N 11,848.544,40.59
67,12-1,1,HOSPITAL SEVERO OCHOA,74,LEGANES,B1,Avda   Orellana N 3,852.28,40.53
68,12-2,1,HOSPITAL SEVERO OCHOA,74,LEGANES,B1,Avda   Orellana N 3,1089.877,40.59
69,12-1,1,LEGANES CENTRAL,74,LEGANES,B1,Calle  Virgen del Camino N 1,1100.396,40.53
70,12-2,1,LEGANES CENTRAL,74,LEGANES,B1,Calle  Virgen del Camino N 1,1170.18,40.59
